Date,Open,High,Low,Close,Adj Close,Volume
,DAL,DAL,DAL,DAL,,DAL
2007-05-01,18.9184,19.0924,15.674,16.5699,16.5699,78985700
2007-06-01,16.6134,17.3006,15.674,17.1353,17.1353,80677500
2007-07-01,17.0222,18.9619,15.0652,15.5001,15.5001,91511400
2007-08-01,15.6566,16.9614,12.995,14.6824,14.6824,79576300
2007-09-01,14.8216,15.9524,13.83,15.6131,15.6131,42781800
2007-10-01,15.6566,18.3096,15.4914,18.0921,18.0921,77783500
2007-11-01,17.7877,18.3531,14.091,17.1875,17.1875,103365300
2007-12-01,17.1788,17.3963,12.2122,12.9515,12.9515,75324400
2008-01-01,12.8124,14.7868,10.0029,14.6303,14.6303,123823500
2008-02-01,14.6129,16.5178,11.5163,11.612,11.612,86989700
2008-03-01,11.5424,12.6993,6.9063,7.4804,7.4804,145022500
2008-04-01,7.7761,9.4723,5.6538,7.4021,7.4021,259364300
2008-05-01,7.5152,7.8457,4.6709,5.3494,5.3494,217144800
2008-06-01,5.4363,6.1148,4.1751,4.9579,4.9579,294082900
2008-07-01,4.7579,7.6457,3.4793,6.5584,6.5584,414284600
2008-08-01,6.7932,8.9243,6.0191,7.0716,7.0716,366022300
2008-09-01,8.1067,8.7851,5.619,6.4801,6.4801,413846300
2008-10-01,6.6454,10.3508,4.436,9.5506,9.5506,434949100
2008-11-01,9.6897,10.4378,5.4711,7.6631,7.6631,255987000
2008-12-01,7.4804,10.1246,6.7845,9.9681,9.9681,249927900
2009-01-01,9.8376,11.0031,5.8625,6.0017,6.0017,268512000
2009-02-01,6.167,6.6715,4.2273,4.3752,4.3752,275129100
2009-03-01,4.2186,5.6103,3.053,4.8971,4.8971,302426500
2009-04-01,4.8014,7.1934,4.6622,5.3667,5.3667,329175000
2009-05-01,5.4624,6.8541,4.697,5.0536,5.0536,285442300
2009-06-01,5.2972,6.3061,4.6187,5.0362,5.0362,273395900
2009-07-01,5.0623,6.0452,4.8362,6.0278,6.0278,236887900
2009-08-01,6.1235,6.7758,5.6973,6.2801,6.2801,203721800
2009-09-01,6.1931,8.5938,5.8625,7.7935,7.7935,317881100
2009-10-01,7.7848,8.0023,6.0191,6.2105,6.2105,277153900
2009-11-01,6.2105,7.1238,5.8973,7.1238,7.1238,155565700
2009-12-01,7.2281,10.5073,7.1325,9.8985,9.8985,326898000
2010-01-01,9.7593,11.9425,9.5245,10.6378,10.6378,334450000
2010-02-01,10.7596,11.4902,9.5071,11.238,11.238,215161100
2010-03-01,11.2467,12.9602,10.7248,12.6906,12.6906,236270900
