Date,Open,High,Low,Close,Adj Close,Volume
,DECK,DECK,DECK,DECK,,DECK
1993-10-01,1.0833,1.375,1.0833,1.2917,1.2917,87577200
1993-11-01,1.3264,1.3333,1.0139,1.0833,1.0833,27977400
1993-12-01,1.0972,1.2361,0.9167,1.0,1.0,14077800
1994-01-01,1.0417,1.0556,0.8194,0.9306,0.9306,12684600
1994-02-01,0.9444,0.9861,0.7778,0.9167,0.9167,34149600
1994-03-01,0.9167,1.0833,0.9028,0.9167,0.9167,15870600
1994-04-01,0.9722,1.0,0.8611,0.8611,0.8611,8708400
1994-05-01,0.9028,0.9167,0.7639,0.8333,0.8333,29383200
1994-06-01,0.8611,0.8611,0.6389,0.7222,0.7222,16270200
1994-07-01,0.7361,0.7917,0.6667,0.7917,0.7917,6260400
1994-08-01,0.7917,0.9583,0.7083,0.9028,0.9028,19207800
1994-09-01,0.9028,0.9722,0.8611,0.9028,0.9028,11262600
1994-10-01,0.8889,0.9306,0.75,0.8472,0.8472,9244800
1994-11-01,0.8333,0.9306,0.75,0.8056,0.8056,16041600
1994-12-01,0.8472,0.8472,0.5556,0.6944,0.6944,30445200
1995-01-01,0.7014,0.7917,0.6944,0.7222,0.7222,7716600
1995-02-01,0.7222,0.7778,0.5972,0.75,0.75,18556200
1995-03-01,0.75,0.8611,0.6806,0.8299,0.8299,26713800
1995-04-01,0.8611,0.9444,0.75,0.9444,0.9444,25194600
1995-05-01,0.9444,1.0,0.5972,0.625,0.625,60121800
1995-06-01,0.6389,0.6389,0.5,0.5625,0.5625,46182600
1995-07-01,0.5417,0.5833,0.4167,0.4514,0.4514,34614000
1995-08-01,0.4583,0.5833,0.4306,0.4514,0.4514,13185000
1995-09-01,0.4722,0.5069,0.4444,0.4514,0.4514,9698400
1995-10-01,0.4514,0.4722,0.3056,0.3333,0.3333,12016800
1995-11-01,0.3542,0.4167,0.2778,0.375,0.375,10785600
1995-12-01,0.3611,0.3889,0.2639,0.3194,0.3194,12596400
1996-01-01,0.3194,0.375,0.2847,0.3472,0.3472,6746400
1996-02-01,0.3194,0.375,0.2986,0.3333,0.3333,5529600
1996-03-01,0.3472,0.4097,0.3125,0.4097,0.4097,9460800
1996-04-01,0.375,0.4028,0.3472,0.375,0.375,10857600
1996-05-01,0.3542,0.5694,0.3542,0.4722,0.4722,26920800
1996-06-01,0.4792,0.5347,0.4306,0.4792,0.4792,7284600
1996-07-01,0.4722,0.4722,0.3472,0.4097,0.4097,4845600
1996-08-01,0.3889,0.5278,0.3611,0.4861,0.4861,20655000
1996-09-01,0.4861,0.5278,0.4792,0.5,0.5,9527400
1996-10-01,0.5,0.5556,0.3958,0.4444,0.4444,11259000
1996-11-01,0.4028,0.5,0.3889,0.4861,0.4861,10060200
1996-12-01,0.4722,0.5,0.3611,0.3819,0.3819,24543000
1997-01-01,0.3819,0.4167,0.3681,0.375,0.375,3265200
1997-02-01,0.375,0.4375,0.3611,0.3681,0.3681,4878000
1997-03-01,0.3681,0.3958,0.3472,0.3819,0.3819,3598200
1997-04-01,0.3785,0.4583,0.3333,0.4097,0.4097,7635600
1997-05-01,0.4097,0.4514,0.4028,0.4167,0.4167,4568400
1997-06-01,0.4167,0.4722,0.3889,0.4097,0.4097,5518800
1997-07-01,0.3958,0.4688,0.3889,0.3889,0.3889,5466600
1997-08-01,0.4028,0.4306,0.3819,0.4167,0.4167,3288600
1997-09-01,0.4062,0.4618,0.4028,0.434,0.434,11637000
1997-10-01,0.4271,0.5556,0.4132,0.4375,0.4375,26551800
1997-11-01,0.4583,0.5208,0.4306,0.4618,0.4618,14560200
1997-12-01,0.4792,0.4861,0.3889,0.4167,0.4167,7781400
1998-01-01,0.4306,0.4722,0.4028,0.4549,0.4549,6696000
1998-02-01,0.4375,0.4722,0.4236,0.4375,0.4375,8537400
1998-03-01,0.4375,0.4514,0.3958,0.4028,0.4028,11937600
1998-04-01,0.3958,0.4097,0.3681,0.3889,0.3889,7857000
1998-05-01,0.3889,0.4167,0.3785,0.4028,0.4028,8868600
1998-06-01,0.3958,0.441,0.3785,0.3819,0.3819,7295400
1998-07-01,0.3854,0.4167,0.2917,0.3194,0.3194,9756000
1998-08-01,0.3194,0.3403,0.2812,0.2812,0.2812,6181200
1998-09-01,0.2847,0.2986,0.2535,0.2778,0.2778,7324200
1998-10-01,0.2778,0.2917,0.1111,0.1528,0.1528,14801400
1998-11-01,0.1736,0.1736,0.1076,0.1181,0.1181,17069400
1998-12-01,0.1111,0.2431,0.0694,0.1215,0.1215,42031800
1999-01-01,0.1181,0.1528,0.0972,0.1337,0.1337,18007200
1999-02-01,0.1285,0.1979,0.1285,0.1632,0.1632,12447000
1999-03-01,0.1597,0.1806,0.1076,0.1389,0.1389,9889200
1999-04-01,0.1285,0.1806,0.1042,0.1424,0.1424,9887400
1999-05-01,0.1424,0.1997,0.125,0.191,0.191,12321000
1999-06-01,0.1901,0.2917,0.1458,0.1997,0.1997,17359200
1999-07-01,0.1806,0.2014,0.1597,0.184,0.184,7464600
1999-08-01,0.1944,0.2014,0.1528,0.1597,0.1597,3616200
1999-09-01,0.1667,0.2292,0.1597,0.1701,0.1701,13408200
1999-10-01,0.1701,0.1806,0.151,0.1597,0.1597,2777400
1999-11-01,0.1597,0.2014,0.1493,0.1597,0.1597,5621400
1999-12-01,0.1667,0.1806,0.1424,0.1458,0.1458,4838400
2000-01-01,0.1458,0.1806,0.1389,0.1528,0.1528,3562200
2000-02-01,0.1597,0.2222,0.1458,0.1944,0.1944,7880400
2000-03-01,0.1944,0.2292,0.1667,0.2222,0.2222,6078600
2000-04-01,0.224,0.2274,0.1806,0.2222,0.2222,3110400
2000-05-01,0.2222,0.2292,0.1632,0.1806,0.1806,2871000
2000-06-01,0.1806,0.2188,0.1667,0.1771,0.1771,1738800
2000-07-01,0.1806,0.2188,0.1667,0.2049,0.2049,7797600
2000-08-01,0.2118,0.3611,0.1962,0.3021,0.3021,21069000
2000-09-01,0.3038,0.3385,0.25,0.3021,0.3021,5520600
2000-10-01,0.3021,0.3255,0.2326,0.2778,0.2778,5979600
2000-11-01,0.2778,0.3125,0.2292,0.2491,0.2491,2413800
2000-12-01,0.2361,0.2917,0.2292,0.2917,0.2917,2527200
2001-01-01,0.2778,0.2847,0.2014,0.2066,0.2066,5290200
2001-02-01,0.2222,0.2396,0.2066,0.2222,0.2222,2853000
2001-03-01,0.2292,0.2361,0.1875,0.1944,0.1944,4021200
2001-04-01,0.1944,0.2222,0.1892,0.195,0.195,4136400
2001-05-01,0.2022,0.2333,0.1944,0.2183,0.2183,14349600
2001-06-01,0.2222,0.2667,0.2028,0.2183,0.2183,12445200
2001-07-01,0.2106,0.2406,0.1944,0.2333,0.2333,5698800
2001-08-01,0.2306,0.2722,0.2117,0.2444,0.2444,5356800
2001-09-01,0.2494,0.2633,0.1794,0.2217,0.2217,2777400
2001-10-01,0.2117,0.255,0.2,0.2183,0.2183,2845800
2001-11-01,0.2189,0.2222,0.1894,0.2111,0.2111,3040200
2001-12-01,0.2111,0.2639,0.2,0.2361,0.2361,3866400
2002-01-01,0.2456,0.35,0.2217,0.2889,0.2889,22107600
2002-02-01,0.2844,0.2972,0.245,0.2778,0.2778,4978800
2002-03-01,0.2778,0.305,0.2739,0.2911,0.2911,4872600
2002-04-01,0.2861,0.3217,0.2778,0.2944,0.2944,6899400
2002-05-01,0.2989,0.305,0.2389,0.2556,0.2556,5927400
2002-06-01,0.2556,0.295,0.2361,0.245,0.245,1854000
2002-07-01,0.245,0.2722,0.1978,0.2472,0.2472,2642400
2002-08-01,0.2472,0.2917,0.2333,0.2617,0.2617,2341800
2002-09-01,0.2661,0.2667,0.2194,0.2467,0.2467,1992600
2002-10-01,0.2517,0.2517,0.1422,0.2067,0.2067,4741200
2002-11-01,0.2083,0.2183,0.1861,0.2144,0.2144,1756800
2002-12-01,0.2028,0.215,0.1633,0.1856,0.1856,2984400
2003-01-01,0.1839,0.2472,0.1833,0.2433,0.2433,1443600
2003-02-01,0.2417,0.2806,0.2211,0.2556,0.2556,5986800
2003-03-01,0.2589,0.2589,0.2056,0.2333,0.2333,4780800
2003-04-01,0.2306,0.3567,0.2278,0.3333,0.3333,9954000
2003-05-01,0.3267,0.3794,0.3117,0.3522,0.3522,10719000
2003-06-01,0.345,0.3917,0.2889,0.3606,0.3606,6627600
2003-07-01,0.35,0.48,0.35,0.455,0.455,19351800
2003-08-01,0.4606,0.5272,0.4444,0.5133,0.5133,6969600
2003-09-01,0.5139,0.5778,0.5,0.5556,0.5556,7198200
2003-10-01,0.5867,0.8333,0.5639,0.7956,0.7956,33976800
2003-11-01,0.7983,1.0539,0.7228,0.9333,0.9333,38494800
2003-12-01,0.9444,1.2217,0.9222,1.1389,1.1389,97367400
2004-01-01,1.1833,1.4139,0.9389,1.185,1.185,128093400
2004-02-01,1.1917,1.5333,1.1456,1.4611,1.4611,84025800
2004-03-01,1.5228,1.5472,1.2439,1.4417,1.4417,90079200
2004-04-01,1.4717,1.7261,1.3667,1.4867,1.4867,140409000
2004-05-01,1.4722,1.6294,1.2372,1.3889,1.3889,146732400
2004-06-01,1.3756,1.6583,1.3056,1.6383,1.6383,91981800
2004-07-01,1.6667,1.7,1.4211,1.625,1.625,136956600
2004-08-01,1.625,1.7839,1.5072,1.6311,1.6311,157014000
2004-09-01,1.6278,1.9444,1.6078,1.8889,1.8889,158304600
2004-10-01,1.8728,2.2306,1.7583,2.1033,2.1033,187480800
2004-11-01,2.0894,2.4728,2.0872,2.4178,2.4178,120292200
2004-12-01,2.4378,2.7289,2.3222,2.6106,2.6106,131263200
2005-01-01,2.6233,2.625,1.9583,2.1539,2.1539,260802000
2005-02-01,2.1639,2.5222,2.0883,2.2783,2.2783,194884200
2005-03-01,2.2894,2.2917,1.9328,1.9856,1.9856,133606800
2005-04-01,1.9889,2.0,1.1572,1.1706,1.1706,351077400
2005-05-01,1.1944,1.4161,1.1733,1.3456,1.3456,293068800
2005-06-01,1.36,1.4489,1.1744,1.3667,1.3667,265701600
2005-07-01,1.3689,1.6661,1.34,1.5556,1.5556,199764000
2005-08-01,1.5556,1.6,1.2872,1.2944,1.2944,161393400
2005-09-01,1.2889,1.4083,1.2033,1.3367,1.3367,113941800
2005-10-01,1.3333,1.3378,0.9444,0.9528,0.9528,225507600
2005-11-01,0.9561,1.3133,0.94,1.2794,1.2794,149603400
2005-12-01,1.4417,1.7244,1.3361,1.5344,1.5344,321445800
2006-01-01,1.5828,1.8611,1.5539,1.7739,1.7739,151023600
2006-02-01,1.7761,2.0139,1.7222,1.8833,1.8833,109051200
2006-03-01,1.9661,2.2833,1.9056,2.2522,2.2522,130908600
2006-04-01,2.2572,2.4861,2.1389,2.3717,2.3717,121753800
2006-05-01,2.3761,2.4111,1.9144,1.97,1.97,137759400
2006-06-01,1.9756,2.2572,1.8744,2.1422,2.1422,121968000
2006-07-01,2.1333,2.435,1.8533,2.3689,2.3689,124619400
2006-08-01,2.3444,2.5139,2.2528,2.2783,2.2783,92174400
2006-09-01,2.2906,2.6883,2.2739,2.6289,2.6289,92694600
2006-10-01,2.6194,3.0556,2.5544,2.9539,2.9539,174279600
2006-11-01,2.9706,3.1311,2.8333,3.0972,3.0972,101833200
2006-12-01,3.0889,3.3644,3.0556,3.3306,3.3306,90840600
