Date,Open,High,Low,Close,Adj Close,Volume
,DHI,DHI,DHI,DHI,,DHI
1992-06-01,1.1103,1.1355,1.0093,1.0346,1.0346,25195225
1992-07-01,1.0093,1.0976,0.9336,1.0598,1.0598,4912940
1992-08-01,1.085,1.085,0.9589,1.0346,1.0346,5319081
1992-09-01,1.0346,1.0346,0.7822,0.8832,0.8832,8827851
1992-10-01,0.8832,0.9336,0.7065,0.7696,0.7696,3442188
1992-11-01,0.8075,0.9589,0.757,0.9589,0.9589,2426175
1992-12-01,0.9084,1.0093,0.8075,0.9841,0.9841,6228563
1993-01-01,0.9589,1.1103,0.9589,1.0346,1.0346,10061576
1993-02-01,1.0219,1.1355,0.9841,1.0598,1.0598,6599416
1993-03-01,0.9841,1.186,0.9841,1.0598,1.0598,10651480
1993-04-01,0.9967,1.2617,0.9841,1.1607,1.1607,3380932
1993-05-01,1.1103,1.3374,1.085,1.2617,1.2617,6910345
1993-06-01,1.2112,1.3373,1.2112,1.2364,1.2364,5137317
1993-07-01,1.2617,1.413,1.2112,1.2364,1.2364,5971563
1993-08-01,1.2364,1.6427,1.2364,1.6162,1.6162,3816877
1993-09-01,1.7057,1.8455,1.4541,1.7617,1.7617,5031549
1993-10-01,1.7337,1.8455,1.6498,1.7057,1.7057,3691704
1993-11-01,1.6498,1.7617,1.482,1.7337,1.7337,5569899
1993-12-01,1.6778,2.0133,1.6778,1.9574,1.9574,2767194
1994-01-01,1.9294,2.2091,1.6778,1.8455,1.8455,6367590
1994-02-01,1.8455,2.0972,1.7057,1.9294,1.9294,4626361
1994-03-01,1.9015,1.9294,1.4541,1.5659,1.5659,8740378
1994-04-01,1.5379,1.7057,1.4541,1.5379,1.5379,4728454
1994-05-01,1.5939,1.5939,1.3142,1.4227,1.4227,5005994
1994-06-01,1.5117,1.5709,1.3931,1.482,1.482,3133389
1994-07-01,1.3931,1.5413,1.2449,1.282,1.282,3914645
1994-08-01,1.2745,1.5413,1.1263,1.4079,1.4079,4838270
1994-09-01,1.3931,1.5413,1.3635,1.4968,1.4968,9446829
1994-10-01,1.4524,1.6302,1.4227,1.5561,1.5561,4191014
1994-11-01,1.5413,1.6006,1.2449,1.2894,1.2894,3040668
1994-12-01,1.2894,1.3042,1.0522,1.0819,1.0819,7272360
1995-01-01,1.0819,1.2301,1.0374,1.1708,1.1708,8712836
1995-02-01,1.156,1.2153,1.1115,1.2004,1.2004,2633293
1995-03-01,1.2004,1.2004,1.0967,1.1856,1.1856,3394806
1995-04-01,1.156,1.2004,1.0967,1.156,1.156,5848636
1995-05-01,1.156,1.5932,1.156,1.4862,1.4862,5000839
1995-06-01,1.4539,1.7446,1.4539,1.7285,1.7285,3102426
1995-07-01,1.68,1.987,1.6639,1.9062,1.9062,4831732
1995-08-01,1.89,2.0516,1.8254,1.9708,1.9708,4316942
1995-09-01,1.987,2.0354,1.8093,1.945,1.945,3479069
1995-10-01,1.9449,2.1485,1.8319,2.0128,2.0128,3203879
1995-11-01,2.058,2.1259,1.7414,1.8093,1.8093,2629194
1995-12-01,1.8771,2.1485,1.7866,2.1259,2.1259,3477499
