Date,Open,High,Low,Close,Adj Close,Volume
,DHR,DHR,DHR,DHR,,DHR
1978-12-01,0.0,0.0446,0.0415,0.0446,0.0446,737965
1979-01-01,0.0446,0.0507,0.0446,0.0476,0.0476,7346320
1979-02-01,0.0,0.0538,0.0415,0.0522,0.0522,8093807
1979-03-01,0.0,0.0661,0.0507,0.0615,0.0615,15725789
1979-04-01,0.0,0.0753,0.0584,0.0599,0.0599,21815187
1979-05-01,0.0,0.0707,0.0507,0.0615,0.0615,12007399
1979-06-01,0.0,0.0722,0.0599,0.063,0.063,16801789
1979-07-01,0.0,0.0645,0.0584,0.0615,0.0615,10626691
1979-08-01,0.0,0.0845,0.0599,0.0737,0.0737,30261314
1979-09-01,0.0,0.0737,0.0645,0.0676,0.0676,10526707
1979-10-01,0.0,0.0676,0.0461,0.0476,0.0476,16030496
1979-11-01,0.0,0.0645,0.0476,0.0615,0.0615,11664603
1979-12-01,0.0,0.0615,0.0553,0.0568,0.0568,10655256
1980-01-01,0.0,0.0707,0.0507,0.0599,0.0599,14411737
1980-02-01,0.0,0.0615,0.0507,0.0538,0.0538,10469578
1980-03-01,0.0,0.0553,0.0323,0.0353,0.0353,12959611
1980-04-01,0.0,0.0446,0.0353,0.0446,0.0446,6698815
1980-05-01,0.0,0.0507,0.0384,0.0476,0.0476,6636921
1980-06-01,0.0,0.0538,0.0461,0.0522,0.0522,9084106
1980-07-01,0.0,0.0522,0.0461,0.0476,0.0476,11150409
1980-08-01,0.0,0.0584,0.0476,0.0492,0.0492,17049363
1980-09-01,0.0,0.0568,0.0507,0.0522,0.0522,15473453
1980-10-01,0.0,0.0568,0.0476,0.0492,0.0492,16682765
1980-11-01,0.0,0.0553,0.0476,0.0507,0.0507,13335736
1980-12-01,0.0,0.0522,0.0446,0.0522,0.0522,19925047
1981-01-01,0.0,0.0707,0.0538,0.0707,0.0707,31899118
1981-02-01,0.0,0.0707,0.0645,0.0645,0.0645,15454408
1981-03-01,0.0,0.0784,0.0599,0.0737,0.0737,21743773
1981-04-01,0.0,0.0737,0.063,0.063,0.063,13011984
1981-05-01,0.0,0.0645,0.0584,0.0599,0.0599,3751716
1981-06-01,0.0,0.0707,0.0599,0.0676,0.0676,15482976
1981-07-01,0.0,0.0676,0.0553,0.0584,0.0584,6913061
1981-08-01,0.0,0.0599,0.0522,0.0538,0.0538,4603946
1981-09-01,0.0,0.0538,0.0353,0.0415,0.0415,11426548
1981-10-01,0.0,0.0492,0.0384,0.043,0.043,5727559
1981-11-01,0.0,0.0446,0.0399,0.0399,0.0399,9393576
1981-12-01,0.0,0.043,0.0353,0.043,0.043,24528992
1982-01-01,0.0,0.043,0.0369,0.0399,0.0399,4961025
1982-02-01,0.0,0.0446,0.0369,0.0399,0.0399,15849578
1982-03-01,0.0,0.0399,0.0353,0.0353,0.0353,6579787
1982-04-01,0.0,0.0384,0.0353,0.0369,0.0369,2685240
1982-05-01,0.0,0.0369,0.0323,0.0338,0.0338,7693874
1982-06-01,0.0,0.0323,0.0261,0.0277,0.0277,5332392
1982-07-01,0.0,0.0307,0.0261,0.0292,0.0292,4489681
1982-08-01,0.0,0.0323,0.0277,0.0323,0.0323,5165753
1982-09-01,0.0,0.0307,0.0261,0.0292,0.0292,7708157
1982-10-01,0.0,0.0323,0.0261,0.0307,0.0307,7193964
1982-11-01,0.0,0.0353,0.0277,0.0353,0.0353,19272781
1982-12-01,0.0,0.0369,0.0277,0.0307,0.0307,27357063
1983-01-01,0.0,0.0415,0.0307,0.0369,0.0369,17677826
