Date,Open,High,Low,Close,Adj Close,Volume
,DIS,DIS,DIS,DIS,,DIS
1985-01-01,0.8615,1.0787,0.8508,1.0679,1.0679,278059404
1985-02-01,1.0679,1.1649,1.05,1.1182,1.1182,138915358
1985-03-01,1.1182,1.1523,1.0572,1.1308,1.1308,101605272
1985-04-01,1.128,1.1604,1.0973,1.1045,1.1045,68255854
1985-05-01,1.1027,1.2937,1.0721,1.2541,1.2541,150242675
1985-06-01,1.2586,1.3743,1.2459,1.358,1.358,112810949
1985-07-01,1.358,1.358,1.2369,1.2604,1.2604,145887885
1985-08-01,1.2803,1.3273,1.264,1.2929,1.2929,89679473
1985-09-01,1.2929,1.2929,1.1844,1.2134,1.2134,89625949
1985-10-01,1.2102,1.3354,1.203,1.3354,1.3354,95761582
1985-11-01,1.3354,1.4443,1.3245,1.437,1.437,85441460
1985-12-01,1.4334,1.7056,1.4008,1.6384,1.6384,145240749
1986-01-01,1.6433,1.8089,1.6342,1.7215,1.7215,201570804
1986-02-01,1.7215,2.06,1.6888,2.0273,2.0273,154758036
1986-03-01,2.0273,2.2129,1.9508,2.1838,2.1838,144641055
1986-04-01,2.189,2.9187,2.0577,2.6195,2.6195,284381144
1986-05-01,2.6195,2.8165,2.5319,2.7435,2.7435,109196960
1986-06-01,2.7435,3.2032,2.7216,3.1959,3.1959,129454029
1986-07-01,3.2014,3.2014,2.624,2.8286,2.8286,135503296
1986-08-01,2.8213,2.8213,2.4851,2.6678,2.6678,113310897
1986-09-01,2.6678,2.6897,2.105,2.3097,2.3097,181265079
1986-10-01,2.3145,2.6002,2.3145,2.5709,2.5709,114981046
1986-11-01,2.5709,2.6295,2.3219,2.5269,2.5269,82758034
1986-12-01,2.5269,2.7174,2.461,2.5269,2.5269,129773948
1987-01-01,2.583,3.3461,2.583,3.3168,3.3168,224438315
1987-02-01,3.3168,3.5223,3.1407,3.4856,3.4856,117563505
1987-03-01,3.4856,3.8378,3.4048,3.6617,3.6617,118211860
1987-04-01,3.6666,4.0119,3.4976,3.7768,3.7768,126399592
1987-05-01,3.7768,3.9385,3.5123,3.7621,3.7621,83053626
1987-06-01,3.7621,4.3058,3.7107,4.2471,4.2471,104766751
1987-07-01,4.2303,4.2965,3.9949,4.245,4.245,81647443
1987-08-01,4.245,4.8557,4.1935,4.7085,4.7085,102560163
1987-09-01,4.7085,4.7379,4.2082,4.5614,4.5614,120205576
1987-10-01,4.5661,4.7134,2.4304,3.2552,3.2552,248420071
1987-11-01,3.2552,3.4025,2.9459,3.0858,3.0858,130095084
1987-12-01,3.0858,3.7045,2.8428,3.4909,3.4909,160944754
1988-01-01,3.5498,3.8444,3.3141,3.4246,3.4246,123758745
1988-02-01,3.4291,3.6799,3.1858,3.6209,3.6209,112723367
1988-03-01,3.6209,3.7905,3.4291,3.4881,3.4881,99476534
1988-04-01,3.4881,3.5102,3.2005,3.3923,3.3923,140134215
1988-05-01,3.3983,3.4721,3.221,3.4278,3.4278,68808108
1988-06-01,3.4352,3.8785,3.4352,3.7233,3.7233,141409022
1988-07-01,3.7233,3.8194,3.546,3.7307,3.7307,81606082
1988-08-01,3.7367,3.8107,3.5591,3.7071,3.7071,65722047
1988-09-01,3.6849,3.8699,3.6331,3.8403,3.8403,89029903
1988-10-01,3.8403,4.0475,3.7515,3.9217,3.9217,73283323
1988-11-01,3.9204,3.9204,3.5869,3.7574,3.7574,74616524
1988-12-01,3.7574,3.9723,3.6758,3.8982,3.8982,65768270
1989-01-01,3.8982,4.454,3.8463,4.4466,4.4466,146890218
1989-02-01,4.4532,4.5051,4.2899,4.3938,4.3938,74635985
1989-03-01,4.4012,4.6758,4.4012,4.661,4.661,96615510
