Date,Open,High,Low,Close,Adj Close,Volume
,DOC,DOC,DOC,DOC,,DOC
1985-05-01,0.0,0.3759,0.3589,0.3717,0.3717,5848388
1985-06-01,0.0,0.4016,0.3717,0.3802,0.3802,3084061
1985-07-01,0.0,0.3952,0.3824,0.3824,0.3824,903435
1985-08-01,0.0,0.3888,0.361,0.3653,0.3653,644305
1985-09-01,0.0,0.3653,0.3354,0.3482,0.3482,1133575
1985-10-01,0.0,0.3567,0.3247,0.3503,0.3503,2194685
1985-11-01,0.0,0.3717,0.3482,0.3631,0.3631,530996
1985-12-01,0.0,0.3717,0.3354,0.3567,0.3567,1336925
1986-01-01,0.0,0.3888,0.346,0.3824,0.3824,1964104
1986-02-01,0.0,0.4208,0.3759,0.4187,0.4187,1412906
1986-03-01,0.0,0.4486,0.4058,0.4272,0.4272,3267649
1986-04-01,0.0,0.4507,0.4058,0.4379,0.4379,4093347
1986-05-01,0.0,0.4486,0.4293,0.44,0.44,1350103
1986-06-01,0.0,0.4699,0.4272,0.4614,0.4614,2980412
1986-07-01,0.0,0.5041,0.4528,0.4742,0.4742,1837172
1986-08-01,0.0,0.5255,0.4571,0.5105,0.5105,3590902
1986-09-01,0.0,0.5255,0.4571,0.5041,0.5041,1150264
1986-10-01,0.0,0.534,0.487,0.5127,0.5127,833162
1986-11-01,0.0,0.5169,0.4849,0.4934,0.4934,1178811
1986-12-01,0.0,0.5084,0.455,0.4977,0.4977,1457268
1987-01-01,0.0,0.5105,0.4678,0.4721,0.4721,1224050
1987-02-01,0.0,0.5474,0.4863,0.5408,0.5408,1984744
1987-03-01,0.0,0.5408,0.4972,0.5147,0.5147,1721223
1987-04-01,0.0,0.5365,0.4907,0.4907,0.4907,1827511
1987-05-01,0.0,0.5057,0.4455,0.4723,0.4723,1601763
1987-06-01,0.0,0.4968,0.4478,0.4945,0.4945,1068135
1987-07-01,0.0,0.5124,0.4834,0.5057,0.5057,938569
1987-08-01,0.0,0.5192,0.4851,0.4896,0.4896,1397976
1987-09-01,0.0,0.4919,0.4145,0.435,0.435,2867097
1987-10-01,0.0,0.4737,0.3963,0.4418,0.4418,2753345
1987-11-01,0.0,0.5148,0.4587,0.4961,0.4961,1988259
1987-12-01,0.4984,0.5289,0.4657,0.5148,0.5148,1051449
1988-01-01,0.5148,0.5265,0.4961,0.5195,0.5195,988199
1988-02-01,0.5101,0.5289,0.5008,0.5055,0.5055,1191548
1988-03-01,0.5198,0.539,0.5174,0.527,0.527,1173542
1988-04-01,0.5222,0.527,0.503,0.515,0.515,1495036
1988-05-01,0.5252,0.5301,0.4639,0.4982,0.4982,999180
1988-06-01,0.4982,0.5301,0.4712,0.5081,0.5081,1043539
1988-07-01,0.5105,0.5154,0.4884,0.4933,0.4933,939009
1988-08-01,0.5065,0.5569,0.5014,0.5518,0.5518,815155
1988-09-01,0.5518,0.5619,0.5367,0.5468,0.5468,1909642
1988-10-01,0.5468,0.5468,0.5291,0.5342,0.5342,1231077
1988-11-01,0.5532,0.5609,0.5325,0.5325,0.5325,1585076
1988-12-01,0.5299,0.5351,0.517,0.5351,0.5351,1388750
1989-01-01,0.5351,0.548,0.5092,0.517,0.517,2007583
1989-02-01,0.5337,0.5469,0.5257,0.5416,0.5416,2054579
1989-03-01,0.5443,0.5655,0.5363,0.5469,0.5469,804175
1989-04-01,0.5363,0.5469,0.5337,0.539,0.539,1773930
1989-05-01,0.5568,0.6004,0.554,0.5868,0.5868,2015488
1989-06-01,0.584,0.6687,0.5813,0.6495,0.6495,3720465
1989-07-01,0.6468,0.6768,0.6441,0.6495,0.6495,2178871
1989-08-01,0.6682,0.7101,0.6682,0.7101,0.7101,2065996
1989-09-01,0.7073,0.7157,0.6822,0.6906,0.6906,989518
1989-10-01,0.6962,0.7157,0.6542,0.6626,0.6626,1311891
1989-11-01,0.6762,0.6991,0.6676,0.6905,0.6905,1349663
1989-12-01,0.6905,0.7278,0.6762,0.7249,0.7249,1351858
1990-01-01,0.7306,0.7335,0.6619,0.6619,0.6619,1589466
1990-02-01,0.6841,0.6841,0.6547,0.6665,0.6665,3745059
1990-03-01,0.6665,0.687,0.6635,0.687,0.687,1814773
1990-04-01,0.6811,0.7046,0.6665,0.6841,0.6841,2000997
1990-05-01,0.7049,0.7441,0.6928,0.738,0.738,1730009
1990-06-01,0.741,0.7772,0.732,0.7501,0.7501,2010219
1990-07-01,0.7531,0.8164,0.7501,0.7772,0.7772,1905250
1990-08-01,0.7954,0.817,0.7338,0.7708,0.7708,2086639
1990-09-01,0.7646,0.7985,0.7523,0.7677,0.7677,1732644
1990-10-01,0.7708,0.8139,0.7461,0.7831,0.7831,1518752
1990-11-01,0.8086,0.856,0.796,0.8528,0.8528,1304862
1990-12-01,0.856,0.8686,0.837,0.837,0.837,1467803
1991-01-01,0.8339,0.9033,0.8339,0.8907,0.8907,2362894
1991-02-01,0.9081,0.9436,0.8887,0.8984,0.8984,2009781
1991-03-01,0.8984,0.9791,0.8854,0.9791,0.9791,2046231
1991-04-01,0.9791,1.0438,0.963,0.9856,0.9856,2136269
1991-05-01,1.0029,1.0491,1.0029,1.0359,1.0359,1732206
1991-06-01,1.0359,1.0392,1.0095,1.0227,1.0227,1095803
1991-07-01,1.0227,1.0853,1.0029,1.0425,1.0425,1303543
1991-08-01,1.0637,1.1377,1.0401,1.0637,1.0637,1878022
1991-09-01,1.0704,1.131,1.0401,1.1243,1.1243,2156473
1991-10-01,1.1209,1.1276,1.0637,1.0906,1.0906,2430531
1991-11-01,1.1132,1.1578,1.1063,1.1269,1.1269,1636898
1991-12-01,1.1235,1.3468,1.1201,1.3399,1.3399,1600885
1992-01-01,1.3262,1.388,1.2609,1.3022,1.3022,2517056
1992-02-01,1.3209,1.3419,1.2021,1.2091,1.2091,5278306
1992-03-01,1.2091,1.2266,1.1602,1.1671,1.1671,2554827
1992-04-01,1.1706,1.2196,1.0798,1.2021,1.2021,4306795
1992-05-01,1.2263,1.3761,1.2121,1.3761,1.3761,2015269
1992-06-01,1.3832,1.3832,1.2549,1.3547,1.3547,1228882
1992-07-01,1.3547,1.4188,1.3119,1.3832,1.3832,1477686
1992-08-01,1.4083,1.5027,1.3938,1.4882,1.4882,1177715
1992-09-01,1.4737,1.5826,1.4591,1.5027,1.5027,1272142
1992-10-01,1.5027,1.5463,1.3503,1.3865,1.3865,2600943
1992-11-01,1.4127,1.5828,1.3239,1.5606,1.5606,3138742
1992-12-01,1.5606,1.6198,1.4571,1.4941,1.4941,2362459
1993-01-01,1.5015,1.5976,1.4201,1.5976,1.5976,1879996
