Date,Open,High,Low,Close,Adj Close,Volume
,DOV,DOV,DOV,DOV,,DOV
1985-01-01,0.0,1.6534,1.3804,1.6281,1.6281,12706469
1985-02-01,0.0,1.7191,1.5371,1.5978,1.5978,13595578
1985-03-01,0.0,1.6216,1.4234,1.464,1.464,15799845
1985-04-01,0.0,1.5504,1.4437,1.4691,1.4691,11639542
1985-05-01,0.0,1.6165,1.4386,1.5504,1.5504,13828297
1985-06-01,0.0,1.6097,1.4564,1.5535,1.5535,7302610
1985-07-01,1.528,1.6353,1.5229,1.5535,1.5535,12878327
1985-08-01,1.5535,1.574,1.5024,1.5331,1.5331,7800273
1985-09-01,1.5421,1.5421,1.3211,1.3571,1.3571,12306670
1985-10-01,1.3571,1.4959,1.3365,1.4959,1.4959,22783810
1985-11-01,1.4959,1.5884,1.4342,1.5833,1.5833,13921385
1985-12-01,1.5833,1.8094,1.5473,1.6604,1.6604,15273544
1986-01-01,1.67,1.6804,1.5304,1.6338,1.6338,20339662
1986-02-01,1.6338,1.9544,1.6235,1.9544,1.9544,19165324
1986-03-01,1.9637,2.0157,1.73,1.7663,1.7663,14771109
1986-04-01,1.7767,1.8858,1.7767,1.8183,1.8183,19615248
1986-05-01,1.8183,1.8443,1.6624,1.6624,1.6624,17481392
1986-06-01,1.6764,1.7548,1.5929,1.7339,1.7339,36230208
1986-07-01,1.7339,1.7965,1.5981,1.7861,1.7861,24330497
1986-08-01,1.7861,1.8592,1.7704,1.854,1.854,9085598
1986-09-01,1.864,1.9322,1.6697,1.7327,1.7327,15062305
1986-10-01,1.7432,1.8062,1.6749,1.8062,1.8062,9725276
1986-11-01,1.8115,1.927,1.7012,1.9217,1.9217,10855459
1986-12-01,1.9322,1.9532,1.8377,1.8692,1.8692,15934705
1987-01-01,1.8839,2.3535,1.8733,2.2638,2.2638,17189000
1987-02-01,2.2638,2.4696,2.2163,2.4169,2.4169,14635056
1987-03-01,2.4162,2.7447,2.3526,2.4957,2.4957,16307054
1987-04-01,2.4957,2.6229,2.2997,2.5328,2.5328,17965927
1987-05-01,2.5328,2.7553,2.5275,2.7395,2.7395,14872550
1987-06-01,2.7605,2.9785,2.6222,2.8669,2.8669,11719501
1987-07-01,2.8456,3.1275,2.8083,2.9892,2.9892,11767239
1987-08-01,2.9573,3.2551,2.9573,3.1062,3.1062,17913417
1987-09-01,3.1232,3.2353,2.9951,3.2033,3.2033,13464301
1987-10-01,3.2086,3.3261,1.8686,2.2957,2.2957,30837091
1987-11-01,2.285,2.4772,2.1996,2.3384,2.3384,18389593
1987-12-01,2.3598,2.6801,2.1569,2.6748,2.6748,15601737
1988-01-01,2.6893,2.7483,2.4692,2.6088,2.6088,14086079
1988-02-01,2.6302,2.7161,2.4155,2.641,2.641,13689860
1988-03-01,2.642,2.7714,2.5773,2.6851,2.6851,10360184
1988-04-01,2.6959,2.89,2.6312,2.863,2.863,13657636
1988-05-01,2.8738,3.0302,2.7768,2.8846,2.8846,11427110
1988-06-01,2.8967,3.162,2.8913,3.162,3.162,17753497
1988-07-01,3.162,3.1728,2.7613,2.848,2.848,11534520
1988-08-01,2.8642,2.9346,2.4798,2.5285,2.5285,23132294
1988-09-01,2.5374,2.9077,2.5211,2.875,2.875,11543472
1988-10-01,2.8532,2.8968,2.5047,2.5374,2.5374,21923943
1988-11-01,2.5156,2.5265,2.3196,2.4612,2.4612,23603101
1988-12-01,2.4829,2.5483,2.3196,2.5156,2.5156,14265092
1989-01-01,2.5422,2.7395,2.4874,2.6628,2.6628,16986713
1989-02-01,2.6847,2.6847,2.4655,2.4984,2.4984,17676519
1989-03-01,2.5241,2.6454,2.4029,2.458,2.458,19550207
1989-04-01,2.458,2.6895,2.436,2.6785,2.6785,14852856
1989-05-01,2.6564,2.7887,2.5572,2.7777,2.7777,13760272
1989-06-01,2.8151,2.9371,2.7819,2.8373,2.8373,14000747
1989-07-01,2.8262,3.2806,2.7819,3.2806,3.2806,14753804
1989-08-01,3.2917,3.5023,3.192,3.2585,3.2585,17536888
1989-09-01,3.2746,3.3525,2.985,3.0741,3.0741,11144269
1989-10-01,3.0518,3.2523,2.829,2.907,2.907,17674728
1989-11-01,2.9181,2.9627,2.7845,2.9293,2.9293,11889567
1989-12-01,2.9293,3.23,2.9293,3.2077,3.2077,9762274
1990-01-01,3.2249,3.2585,2.8666,3.1913,3.1913,10631689
1990-02-01,3.1689,3.3705,3.1242,3.3369,3.3369,13861115
1990-03-01,3.3534,3.601,3.2634,3.4547,3.4547,17800635
1990-04-01,3.4322,3.511,3.2747,3.3872,3.3872,11815572
1990-05-01,3.3872,3.7135,3.376,3.646,3.646,14292545
1990-06-01,3.6849,3.7075,3.4927,3.5266,3.5266,9225229
1990-07-01,3.5379,3.5605,3.3232,3.3571,3.3571,13014376
1990-08-01,3.3345,3.3345,2.8936,2.9275,2.9275,14922676
1990-09-01,2.9448,3.013,2.5696,2.8197,2.8197,10761775
1990-10-01,2.797,2.9107,2.5014,2.7174,2.7174,19637924
1990-11-01,2.7174,3.2745,2.7174,3.2632,3.2632,9887587
1990-12-01,3.2745,3.627,3.2063,3.6156,3.6156,8292561
1991-01-01,3.6246,3.6589,3.3502,3.6132,3.6132,17210487
1991-02-01,3.636,3.8762,3.5674,3.7618,3.7618,16551109
1991-03-01,3.7805,3.8839,3.6311,3.769,3.769,9265209
1991-04-01,3.746,3.8954,3.5277,3.5737,3.5737,9277741
1991-05-01,3.5507,4.0218,3.5277,4.0218,4.0218,10333927
1991-06-01,4.0079,4.0425,3.6036,3.6383,3.6383,6867604
1991-07-01,3.6614,3.696,3.3957,3.5343,3.5343,10967642
1991-08-01,3.5228,3.5805,3.2571,3.5574,3.5574,22927023
1991-09-01,3.5779,3.6593,3.485,3.6012,3.6012,10464011
1991-10-01,3.6244,3.636,3.3921,3.5547,3.5547,11846006
1991-11-01,3.5779,3.5896,3.2062,3.2527,3.2527,9376198
1991-12-01,3.2294,3.88,3.2294,3.88,3.88,9409616
1992-01-01,3.8556,4.0425,3.7271,3.7621,3.7621,9851782
1992-02-01,3.7388,3.8089,3.5869,3.5869,3.5869,8077745
1992-03-01,3.6058,3.9229,3.594,3.8876,3.8876,11882407
1992-04-01,3.8641,3.8759,3.641,3.7702,3.7702,10195487
1992-05-01,3.7584,3.8172,3.6058,3.8172,3.8172,9468690
1992-06-01,3.826,3.9913,3.7197,3.8142,3.8142,8257356
1992-07-01,3.8023,4.0267,3.6843,4.0031,4.0031,6195104
1992-08-01,3.9913,4.1212,3.9086,4.0031,4.0031,6705295
1992-09-01,4.0241,4.2022,4.0241,4.1666,4.1666,7906486
1992-10-01,4.1784,4.3565,3.9648,4.2615,4.2615,8145172
1992-11-01,4.2615,4.3327,4.0953,4.2259,4.2259,7292467
1992-12-01,4.2475,4.5458,4.2236,4.3788,4.3788,7654077
1993-01-01,4.3907,4.51,4.3072,4.343,4.343,7021558
1993-02-01,4.331,4.5697,4.2952,4.5219,4.5219,11575097
1993-03-01,4.5313,4.795,4.3995,4.5913,4.5913,9319511
1993-04-01,4.6032,4.7351,4.4594,4.4714,4.4714,7157013
1993-05-01,4.4834,4.6032,4.4834,4.5793,4.5793,7218475
1993-06-01,4.4801,4.6247,4.432,4.5163,4.5163,5371042
1993-07-01,4.5163,4.6728,4.3958,4.5163,4.5163,5994012
1993-08-01,4.5404,5.1064,4.5404,5.0462,5.0462,6671285
1993-09-01,5.0688,5.5285,5.0446,5.2745,5.2745,12091853
1993-10-01,5.2866,5.6253,5.0204,5.5648,5.5648,12702889
1993-11-01,5.5527,5.9035,5.4922,5.7342,5.7342,10696732
1993-12-01,5.7685,6.0114,5.72,5.9021,5.9021,7946466
1994-01-01,5.89,5.9264,5.6835,5.7928,5.7928,13007216
1994-02-01,5.7807,6.145,5.7807,5.9507,5.9507,7466707
1994-03-01,5.9611,6.5218,5.6197,5.8392,5.8392,15863694
1994-04-01,5.8392,6.0952,5.3028,5.3637,5.3637,11302993
1994-05-01,5.3759,5.4856,5.1321,5.1809,5.1809,10283206
1994-06-01,5.1906,5.8394,4.9825,5.766,5.766,15235950
1994-07-01,5.7782,5.9374,5.6313,5.766,5.766,10239649
1994-08-01,5.7537,5.7905,5.4967,5.668,5.668,9397680
1994-09-01,5.682,5.682,5.3745,5.5959,5.5959,8617773
1994-10-01,5.6205,5.6451,5.3376,5.4606,5.4606,8009719
1994-11-01,5.4606,5.5344,4.8949,5.0302,5.0302,8784257
1994-12-01,5.0675,5.2899,4.9315,5.1045,5.1045,15228789
1995-01-01,5.1045,5.8337,5.1045,5.6236,5.6236,12672457
1995-02-01,5.636,6.0562,5.5866,5.8832,5.8832,8892262
1995-03-01,5.9085,6.5291,5.8092,6.4298,6.4298,16955687
1995-04-01,6.4298,6.6036,6.256,6.4546,6.4546,9179283
1995-05-01,6.4795,6.7774,6.4174,6.5167,6.5167,14002537
1995-06-01,6.5299,7.29,6.4551,7.2526,7.2526,14230484
1995-07-01,7.2277,7.9131,7.2028,7.8882,7.8882,11368036
1995-08-01,7.9006,8.3119,7.7137,7.9505,7.9505,14006714
1995-09-01,7.9803,8.2055,7.2048,7.6551,7.6551,14963844
1995-10-01,7.7051,8.1554,7.2048,7.9053,7.9053,13435654
1995-11-01,7.9053,7.9553,7.5801,7.7802,7.7802,9767049
1995-12-01,7.81,7.81,7.0566,7.4082,7.4082,18992873
1996-01-01,7.4082,9.1912,7.358,9.1661,9.1661,18566816
1996-02-01,9.141,9.8693,8.915,8.9401,8.9401,13975089
1996-03-01,9.019,9.9763,8.6663,9.2205,9.2205,14505568
1996-04-01,9.1953,10.7069,8.8426,10.3794,10.3794,16535000
1996-05-01,10.329,10.4297,9.4724,9.5732,9.5732,15159568
1996-06-01,9.5278,9.8058,9.0981,9.3003,9.3003,11356401
1996-07-01,9.3509,9.553,8.2894,8.6685,8.6685,14156788
1996-08-01,8.5927,9.5025,8.5927,8.8707,8.8707,14811685
1996-09-01,8.8279,9.8426,8.4981,9.6903,9.6903,24238306
1996-10-01,9.7157,10.8065,9.5889,10.426,10.426,16577666
1996-11-01,10.426,11.187,10.2992,10.8319,10.8319,12077829
1996-12-01,10.7892,10.9673,9.7459,10.2803,10.2803,13378969
1997-01-01,10.2294,10.5093,9.8222,10.0767,10.0767,22086844
1997-02-01,10.0258,10.6111,9.8986,10.1022,10.1022,11587328
1997-03-01,10.1106,11.2085,10.0085,10.7233,10.7233,15780157
1997-04-01,10.7233,11.3872,10.5702,10.8255,10.8255,23532689
1997-05-01,10.8255,11.8212,10.8255,11.7191,11.7191,19297793
1997-06-01,11.7288,13.1117,11.652,12.6251,12.6251,15113326
1997-07-01,12.5995,15.0324,12.5867,14.6226,14.6226,14930132
1997-08-01,14.6354,14.8019,13.8032,14.1489,14.1489,13422831
1997-09-01,14.2384,14.4567,13.4039,13.9431,13.9431,15598751
1997-10-01,13.9431,14.8419,13.4809,13.8661,13.8661,17492730
1997-11-01,14.0715,14.3283,13.3782,13.7762,13.7762,10142082
1997-12-01,13.854,14.9613,13.6737,14.884,14.884,11227062
1998-01-01,14.781,15.0128,13.3905,14.0342,14.0342,12685135
1998-02-01,14.3175,16.1458,14.266,15.9141,15.9141,10609758
1998-03-01,15.9293,16.394,15.0515,15.6969,15.6969,13492047
1998-04-01,15.5937,16.4973,14.7675,16.3165,16.3165,18363486
1998-05-01,16.3165,16.4456,15.1289,15.4904,15.4904,10836959
1998-06-01,15.529,15.6843,13.769,14.1831,14.1831,19046578
1998-07-01,14.3384,14.6231,12.0091,12.0349,12.0349,21890825
1998-08-01,12.0608,12.9667,10.9738,11.2844,11.2844,23186445
1998-09-01,11.2972,13.0112,10.5959,12.8294,12.8294,17209737
1998-10-01,12.6476,13.5046,11.1673,13.193,13.193,19853338
1998-11-01,13.7124,15.0629,13.4267,14.8032,14.8032,12225070
1998-12-01,14.8468,15.3937,13.4402,15.2635,15.2635,15476425
1999-01-01,15.2375,15.7063,12.216,12.9453,12.9453,19469350
1999-02-01,12.8411,14.3519,12.5286,14.1695,14.1695,16057628
1999-03-01,14.1091,14.9452,13.5865,13.7433,13.7433,20263730
1999-04-01,13.691,16.4345,13.3775,15.4416,15.4416,17835245
1999-05-01,15.3894,16.5651,14.9713,15.7551,15.7551,12193145
1999-06-01,15.7471,17.1357,14.6728,14.6728,14.6728,17246885
1999-07-01,15.1444,17.9742,15.1444,16.5593,16.5593,14968920
1999-08-01,16.4807,17.555,15.8781,16.2187,16.2187,13636453
1999-09-01,16.502,17.5268,16.2261,17.1852,17.1852,14149629
1999-10-01,17.2115,18.2626,15.6611,17.8947,17.8947,14924761
1999-11-01,17.9473,19.3137,17.5531,18.2889,18.2889,13198613
1999-12-01,18.7594,20.2085,18.5486,19.1283,19.1283,18142105
2000-01-01,18.8648,19.8133,16.8097,16.9941,16.9941,19113262
2000-02-01,16.9941,17.3893,15.2025,16.2564,16.2564,18509384
2000-03-01,16.3057,20.6134,15.83,20.2434,20.2434,23252977
2000-04-01,20.2698,22.9919,19.8206,21.4855,21.4855,22558550
2000-05-01,21.5384,22.6483,19.5299,19.662,19.662,14740673
2000-06-01,19.7605,21.4028,17.0587,17.1911,17.1911,22422794
2000-07-01,17.2441,20.3168,17.2441,19.4162,19.4162,15460312
2000-08-01,19.4692,21.4028,18.8599,20.7208,20.7208,11858390
2000-09-01,20.82,21.9088,19.0407,19.9436,19.9436,15506710
2000-10-01,20.0498,20.1826,14.4996,18.0316,18.0316,30766825
2000-11-01,18.5361,18.9876,17.0756,17.3942,17.3942,17043403
2000-12-01,17.4174,18.9088,15.3401,17.2843,17.2843,24083457
2001-01-01,17.2843,18.1099,15.6064,17.6411,17.6411,26673652
2001-02-01,17.5772,17.8968,16.1284,16.3458,16.3458,18652596
2001-03-01,16.3302,17.9547,14.4535,15.3213,15.3213,26339344
2001-04-01,15.5393,17.0398,14.2782,16.7021,16.7021,26476885
2001-05-01,16.6295,18.6173,15.9027,18.1214,18.1214,21561288
2001-06-01,18.0711,18.6499,15.7559,16.1418,16.1418,21751044
2001-07-01,16.1847,16.6777,14.9628,15.4987,15.4987,20299383
2001-08-01,15.563,16.5491,15.3272,15.4001,15.4001,20203313
2001-09-01,15.4559,15.4559,11.3596,12.9559,12.9559,20010870
2001-10-01,12.8656,15.486,12.3535,14.178,14.178,24642878
2001-11-01,14.1134,16.7812,13.937,15.8604,15.8604,18401676
2001-12-01,15.7834,16.8414,15.5027,16.0079,16.0079,15496120
2002-01-01,16.0209,16.837,14.8333,16.4916,16.4916,20318926
2002-02-01,16.4527,17.2775,15.7186,17.0875,17.0875,21486251
2002-03-01,17.1589,18.8705,17.1546,17.7655,17.7655,20850602
2002-04-01,17.7005,17.8479,15.924,16.145,16.145,25329400
2002-05-01,16.0366,17.1112,15.105,15.4213,15.4213,18138526
2002-06-01,15.4784,15.5697,14.2563,15.2218,15.2218,18617540
2002-07-01,15.2,15.2218,12.0252,12.7645,12.7645,31648770
2002-08-01,12.7428,12.9559,11.4381,12.4949,12.4949,20013556
2002-09-01,12.5398,12.7845,10.661,11.0892,11.0892,27209352
2002-10-01,11.1416,12.4087,10.2853,10.9581,10.9581,36796789
2002-11-01,10.9581,13.7239,10.7397,13.5753,13.5753,26750330
2002-12-01,13.8456,14.1308,12.3535,12.7967,12.7967,19444289
2003-01-01,12.8494,13.7929,10.3568,11.4846,11.4846,30747134
2003-02-01,11.489,11.6382,10.6508,11.1994,11.1994,19226935
2003-03-01,11.4087,11.4836,10.0807,10.6851,10.6851,26069179
2003-04-01,10.7381,12.7675,10.4866,12.6792,12.6792,31665327
2003-05-01,12.613,13.3851,12.4189,13.3719,13.3719,25596579
2003-06-01,13.494,15.3774,13.1616,13.2769,13.2769,34963380
2003-07-01,13.2769,16.4853,12.9268,16.2238,16.2238,32011575
2003-08-01,16.1972,17.1899,15.3464,16.8487,16.8487,24930047
2003-09-01,16.9833,17.2235,15.4883,15.7374,15.7374,24319011
2003-10-01,15.7464,17.753,15.6707,17.3615,17.3615,29939034
2003-11-01,17.4549,17.9977,16.4405,17.0812,17.0812,24418365
2003-12-01,17.2705,17.7976,16.6093,17.7574,17.7574,28696816
2004-01-01,17.7574,19.7141,17.5742,18.4588,18.4588,40585937
2004-02-01,18.6285,18.6777,17.3196,17.5072,17.5072,25572565
2004-03-01,17.6957,18.6329,16.3279,17.3862,17.3862,27586330
2004-04-01,17.4221,19.198,17.3548,17.9513,17.9513,25028058
2004-05-01,17.9602,18.2293,15.9198,17.4714,17.4714,26541480
2004-06-01,17.3827,19.089,17.1711,18.954,18.954,29025460
2004-07-01,19.026,19.0755,17.1711,17.8645,17.8645,29794179
2004-08-01,17.7519,17.8825,16.5093,16.9866,16.9866,22671776
2004-09-01,17.3327,17.8389,16.7542,17.5678,17.5678,23249099
2004-10-01,17.6582,18.2728,15.8729,17.7486,17.7486,37032793
2004-11-01,17.7486,18.9056,17.6084,18.2819,18.2819,22662976
2004-12-01,18.2858,19.3839,18.059,19.03,19.03,21570986
2005-01-01,19.0254,19.1071,16.7159,17.3784,17.3784,32381241
2005-02-01,17.4646,17.7504,16.852,17.5462,17.5462,30165038
2005-03-01,17.5799,18.5231,17.0422,17.2199,17.2199,26786132
2005-04-01,17.2563,17.7074,15.543,16.5683,16.5683,35824443
2005-05-01,16.5819,17.4067,16.4498,17.2563,17.2563,27524272
2005-06-01,17.3408,17.6017,16.3294,16.6497,16.6497,24770278
2005-07-01,16.8602,19.2218,16.3614,18.8831,18.8831,35232498
2005-08-01,18.9472,19.2218,17.9724,18.6268,18.6268,21606493
2005-09-01,18.6562,19.1342,18.0909,18.7481,18.7481,22713549
2005-10-01,18.7482,19.2216,17.0246,17.9162,17.9162,26557740
2005-11-01,17.8565,19.1296,17.6634,18.5919,18.5919,20059057
2005-12-01,18.7376,19.3976,18.4284,18.6869,18.6869,20937123
2006-01-01,18.733,21.6452,18.5992,21.1975,21.1975,29260565
2006-02-01,21.2483,22.5083,20.5422,22.1252,22.1252,28239585
2006-03-01,22.1573,22.9493,21.5413,22.4908,22.4908,26784494
2006-04-01,22.6482,23.2735,21.5413,23.0419,23.0419,25697575
2006-05-01,23.1948,24.047,21.9303,22.6204,22.6204,34612214
2006-06-01,22.6813,22.988,20.5526,22.9741,22.9741,32835043
2006-07-01,23.0298,23.3459,20.9709,21.9097,21.9097,30129831
2006-08-01,21.775,22.6301,21.0824,22.5976,22.5976,24731940
2006-09-01,22.8583,22.8909,21.5705,22.135,22.135,26284891
2006-10-01,22.2517,24.0294,21.8504,22.163,22.163,49213108
2006-11-01,22.233,23.9407,21.9764,23.4695,23.4695,31626547
2006-12-01,23.1451,23.6041,22.6159,22.9578,22.9578,20457363
2007-01-01,23.0187,23.4168,22.068,23.2294,23.2294,32084674
2007-02-01,23.3184,23.8476,22.0727,22.3818,22.3818,34056672
2007-03-01,22.2356,23.3121,21.6574,22.9454,22.9454,43531328
2007-04-01,23.0018,23.7258,22.2873,22.6211,22.6211,37201661
2007-05-01,22.748,23.7775,22.4283,23.5284,23.5284,53091911
2007-06-01,23.6596,25.3631,23.0226,24.1362,24.1362,54133182
2007-07-01,24.2542,25.7595,22.8811,24.0655,24.0655,55424772
2007-08-01,23.9428,25.1036,22.1025,23.3105,23.3105,55457294
2007-09-01,23.4943,24.5605,21.9826,24.1435,24.1435,34700378
2007-10-01,24.1198,24.442,21.3714,21.7978,21.7978,50051345
2007-11-01,21.7126,22.5418,21.0112,21.9305,21.9305,51420956
2007-12-01,22.0319,22.7458,21.2133,21.9367,21.9367,25854808
2008-01-01,21.813,21.9653,15.9635,19.1762,19.1762,71605175
2008-02-01,19.3808,20.8325,19.1191,19.7568,19.7568,43262656
2008-03-01,19.7913,20.5468,18.8445,19.9778,19.9778,53052377
2008-04-01,20.3508,24.0135,20.1882,23.6549,23.6549,59804817
2008-05-01,23.7123,26.0935,23.6262,25.8592,25.8592,64098039
2008-06-01,25.9388,26.0252,22.8092,23.2172,23.2172,52343630
2008-07-01,23.0012,24.9548,21.4125,23.822,23.822,63650503
2008-08-01,23.9804,24.2396,22.838,23.702,23.702,38149394
2008-09-01,24.3131,24.7522,18.1757,19.5653,19.5653,60654689
2008-10-01,19.5412,19.5412,12.1638,15.329,15.329,78587498
2008-11-01,15.0395,16.0624,11.2857,14.393,14.393,50800073
2008-12-01,13.9645,16.1897,12.6304,16.029,16.029,56142174
2009-01-01,16.068,17.6017,13.6724,13.7698,13.7698,62090238
2009-02-01,13.5896,15.4252,12.0948,12.1435,12.1435,57303083
2009-03-01,11.9014,13.6417,10.7118,12.9682,12.9682,69855303
2009-04-01,12.7912,16.0947,12.6978,15.1312,15.1312,86699103
2009-05-01,14.9935,16.7731,14.8018,15.4556,15.4556,48999333
2009-06-01,15.8507,18.1101,15.7367,16.3957,16.3957,60998698
2009-07-01,16.4552,18.2191,15.0133,16.8516,16.8516,52944371
2009-08-01,16.9308,17.9714,16.3362,17.1389,17.1389,38903643
2009-09-01,17.2652,19.8607,16.7211,19.3466,19.3466,51654721
2009-10-01,19.2967,20.7242,18.2285,18.8075,18.8075,57650226
2009-11-01,18.8475,21.5129,18.6229,20.4048,20.4048,38680027
2009-12-01,20.6732,21.4718,20.2011,20.8992,20.8992,29617251
2010-01-01,21.055,23.3453,20.9093,21.5371,21.5371,48825988
2010-02-01,21.6878,23.2147,20.3417,22.7325,22.7325,57868471
2010-03-01,22.9961,24.0267,22.8951,23.6175,23.6175,43873692
2010-04-01,23.7438,28.0379,23.5418,26.3809,26.3809,47193971
2010-05-01,26.5577,27.0579,21.3189,22.6779,22.6779,59527045
2010-06-01,22.519,23.9674,21.0502,21.2383,21.2383,53725026
2010-07-01,21.2129,24.8212,20.5827,24.379,24.379,48406050
2010-08-01,24.8923,25.2633,21.9701,22.7477,22.7477,39455604
2010-09-01,23.3601,27.1034,23.2578,26.6994,26.6994,46628880
2010-10-01,26.9704,28.1108,26.2801,27.1545,27.1545,62532257
2010-11-01,27.2313,28.9904,27.129,28.029,28.029,46002775
2010-12-01,28.7465,30.4217,28.7054,30.0363,30.0363,37929955
2011-01-01,30.4114,33.4022,29.0394,32.9397,32.9397,51772572
2011-02-01,33.1401,34.9798,32.3231,33.0168,33.0168,40303094
2011-03-01,33.212,34.4559,31.1888,33.9294,33.9294,49327380
2011-04-01,34.3475,35.741,32.6753,35.1165,35.1165,38849047
2011-05-01,35.3126,35.4262,31.8753,34.6984,34.6984,43129590
2011-06-01,34.5897,35.3672,31.3966,35.1443,35.1443,44302731
2011-07-01,35.2014,36.3625,30.8679,31.3448,31.3448,45785423
2011-08-01,31.7906,31.9513,25.871,29.8157,29.8157,77665422
2011-09-01,30.0467,30.4482,23.6808,24.296,24.296,76023558
2011-10-01,24.0561,30.7036,22.7527,28.9518,28.9518,66022449
2011-11-01,27.7944,29.8434,26.1416,28.6599,28.6599,58596320
2011-12-01,28.699,31.0967,28.657,30.4566,30.4566,47466818
2012-01-01,31.2541,33.5678,29.806,33.2688,33.2688,45944446
2012-02-01,33.6832,35.2572,33.3422,33.5888,33.5888,28200200
2012-03-01,33.8298,34.2146,31.9741,33.1813,33.1813,48804358
