Date,Open,High,Low,Close,Adj Close,Volume
,DXCM,DXCM,DXCM,DXCM,,DXCM
2005-04-01,3.02,3.05,2.4025,2.5,2.5,10663200
2005-05-01,2.47,3.685,2.4675,3.5,3.5,9444800
2005-06-01,3.5625,3.9975,2.8775,3.1,3.1,4383200
2005-07-01,3.1,3.1375,2.5975,2.755,2.755,3162800
2005-08-01,2.7975,3.35,2.4625,3.11,3.11,4294400
2005-09-01,3.1175,3.1975,2.875,2.905,2.905,4035600
2005-10-01,2.8875,3.285,2.5,3.2525,3.2525,16498800
2005-11-01,3.2875,3.9125,3.125,3.505,3.505,10454400
2005-12-01,3.5625,4.0425,3.4525,3.73,3.73,4220400
2006-01-01,3.7475,4.8575,3.5775,4.75,4.75,8488800
2006-02-01,4.75,4.75,4.07,4.3625,4.3625,10363600
2006-03-01,4.36,5.925,4.2975,5.0675,5.0675,48723600
2006-04-01,5.1025,6.675,4.75,6.29,6.29,39318000
2006-05-01,6.29,6.5,4.6875,4.865,4.865,43300400
2006-06-01,4.865,5.405,2.925,3.395,3.395,65810000
2006-07-01,3.3675,3.4875,2.5875,2.9725,2.9725,28585200
2006-08-01,2.9625,3.6,2.715,3.21,3.21,30112000
2006-09-01,3.2125,3.2125,2.5125,2.7825,2.7825,26625200
2006-10-01,2.775,3.0425,2.1175,2.2,2.2,52241600
2006-11-01,2.21,2.9925,2.0875,2.815,2.815,32447200
2006-12-01,2.815,3.0375,2.43,2.465,2.465,22986800
2007-01-01,2.49,2.5275,2.0075,2.225,2.225,43814800
2007-02-01,2.2475,2.3475,2.0,2.0225,2.0225,20857600
2007-03-01,2.0,2.0825,1.5425,1.965,1.965,30522000
2007-04-01,1.97,2.285,1.8875,1.9925,1.9925,19677200
2007-05-01,1.9925,1.9925,1.595,1.64,1.64,19899200
2007-06-01,1.775,2.0875,1.6,2.0475,2.0475,31022400
2007-07-01,2.0475,2.44,1.95,2.0075,2.0075,27207600
2007-08-01,2.0,2.5125,1.7625,2.3,2.3,39354800
2007-09-01,2.2825,2.5,2.235,2.5,2.5,11526800
2007-10-01,2.5,2.7275,2.03,2.325,2.325,20786000
2007-11-01,2.285,2.495,2.0375,2.1625,2.1625,9629200
2007-12-01,2.1575,2.4125,1.8875,2.2075,2.2075,8903200
2008-01-01,2.2625,2.505,1.9675,2.1025,2.1025,18994800
2008-02-01,2.0725,2.255,1.815,1.8425,1.8425,10642400
2008-03-01,1.8275,1.93,0.9225,1.035,1.035,35726800
2008-04-01,1.025,2.05,0.985,1.925,1.925,30995600
2008-05-01,1.9325,2.0675,1.58,1.9725,1.9725,15526400
2008-06-01,1.98,2.0,1.51,1.51,1.51,22650800
2008-07-01,1.505,1.9725,1.335,1.68,1.68,13342800
2008-08-01,1.68,1.875,1.415,1.72,1.72,21310000
2008-09-01,1.755,1.975,1.49,1.5475,1.5475,22332400
2008-10-01,1.5375,1.6175,0.905,1.13,1.13,19757200
2008-11-01,1.125,1.1775,0.34,0.5,0.5,20831200
2008-12-01,0.5725,0.9575,0.4575,0.69,0.69,24401200
2009-01-01,0.69,1.18,0.655,0.8075,0.8075,13272000
2009-02-01,0.8125,1.1,0.775,1.0125,1.0125,19535200
2009-03-01,0.9975,1.17,0.795,1.035,1.035,24852000
2009-04-01,1.0175,1.2225,0.9725,1.12,1.12,15762000
2009-05-01,1.1125,1.39,0.8825,1.39,1.39,22012800
2009-06-01,1.38,1.7625,1.265,1.5475,1.5475,40496000
2009-07-01,1.5675,1.74,1.3125,1.615,1.615,30128400
2009-08-01,1.6225,2.24,1.5925,1.9525,1.9525,33244000
2009-09-01,1.9325,2.135,1.8775,1.9825,1.9825,20721600
2009-10-01,1.9775,2.065,1.6325,1.715,1.715,18256000
2009-11-01,1.735,1.9225,1.65,1.8125,1.8125,14138400
2009-12-01,1.82,2.06,1.7625,2.0175,2.0175,24254000
2010-01-01,2.0525,2.55,2.0525,2.265,2.265,45038400
2010-02-01,2.2975,2.465,2.165,2.26,2.26,18656000
2010-03-01,2.2525,2.7375,2.25,2.435,2.435,27761200
2010-04-01,2.445,2.845,2.34,2.7375,2.7375,24952000
2010-05-01,2.7375,2.8475,2.2875,2.6325,2.6325,26988800
2010-06-01,2.585,3.005,2.23,2.89,2.89,37586000
2010-07-01,2.8875,3.015,2.67,2.79,2.79,31420800
2010-08-01,2.8325,3.3275,2.8225,3.0575,3.0575,34186400
2010-09-01,3.1175,3.545,3.1175,3.305,3.305,28785600
2010-10-01,3.34,3.6175,3.25,3.4475,3.4475,23199200
2010-11-01,3.4525,3.5875,2.4775,2.82,2.82,70794000
2010-12-01,2.88,3.5125,2.88,3.4125,3.4125,25516800
2011-01-01,3.435,4.015,3.285,3.5275,3.5275,41120000
2011-02-01,3.535,3.76,3.4425,3.6575,3.6575,19775600
2011-03-01,3.6775,3.9725,3.25,3.88,3.88,35471200
2011-04-01,3.9075,4.2125,3.84,4.1625,4.1625,28173200
2011-05-01,4.1725,4.2275,3.615,3.9425,3.9425,44274800
2011-06-01,3.9325,3.9375,3.225,3.6225,3.6225,45357600
2011-07-01,3.6275,3.9425,3.48,3.545,3.545,40932400
2011-08-01,3.6025,3.635,2.4575,3.0075,3.0075,63300000
2011-09-01,2.9925,3.4225,2.7475,3.0,3.0,40522000
2011-10-01,2.955,3.1075,2.2825,2.4475,2.4475,54685600
2011-11-01,2.355,2.525,1.6875,2.005,2.005,81704800
2011-12-01,2.0025,2.3925,1.975,2.3275,2.3275,43116800
2012-01-01,2.38,2.8075,2.16,2.7425,2.7425,47291200
2012-02-01,2.765,2.975,2.565,2.6975,2.6975,34228800
2012-03-01,2.71,2.8,2.5175,2.6075,2.6075,29208800
2012-04-01,2.5875,2.71,2.34,2.445,2.445,38084400
2012-05-01,2.445,2.84,2.4075,2.69,2.69,42849200
2012-06-01,2.6125,3.3,2.575,3.24,3.24,46897200
2012-07-01,3.24,3.3025,2.7475,2.7525,2.7525,42050000
2012-08-01,2.7675,3.325,2.6625,3.325,3.325,35078000
2012-09-01,3.3375,3.77,3.2575,3.7575,3.7575,36105200
2012-10-01,3.79,3.87,3.2175,3.275,3.275,22882800
2012-11-01,3.2875,3.375,3.0075,3.27,3.27,46224400
2012-12-01,3.2525,3.62,3.2525,3.3975,3.3975,37498000
