Date,Open,High,Low,Close,Adj Close,Volume
,D,D,D,D,,D
1985-01-01,1.2112,1.2691,1.1901,1.2217,1.2217,9971100
1985-02-01,1.2112,1.2217,1.1427,1.1585,1.1585,11457300
1985-03-01,1.1813,1.273,1.1597,1.273,1.273,13957800
1985-04-01,1.2676,1.3269,1.2568,1.3054,1.3054,9651000
1985-05-01,1.3108,1.4456,1.2892,1.3431,1.3431,19874100
1985-06-01,1.3777,1.4824,1.3667,1.4548,1.4548,11043900
1985-07-01,1.4603,1.5044,1.262,1.3281,1.3281,16529700
1985-08-01,1.3336,1.3832,1.2895,1.3667,1.3667,14565300
1985-09-01,1.3974,1.4031,1.2791,1.3073,1.3073,7448100
1985-10-01,1.3073,1.4538,1.3016,1.4425,1.4425,8296200
1985-11-01,1.4425,1.5101,1.42,1.4594,1.4594,12366300
1985-12-01,1.4914,1.6929,1.4856,1.6353,1.6353,10014000
1986-01-01,1.6296,1.716,1.5547,1.7044,1.7044,12374100
1986-02-01,1.7044,1.8772,1.6987,1.8139,1.8139,14400000
1986-03-01,1.8461,1.8989,1.7817,1.8813,1.8813,11398800
1986-04-01,1.8813,1.9633,1.7582,1.7934,1.7934,12083100
1986-05-01,1.7817,1.8696,1.7699,1.852,1.852,25372200
1986-06-01,1.8917,2.029,1.85,2.0051,2.0051,12052800
1986-07-01,1.9992,2.3512,1.9992,2.2558,2.2558,15953700
1986-08-01,2.2558,2.4885,2.2438,2.3751,2.3751,23954100
1986-09-01,2.4084,2.4144,2.0816,2.1482,2.1482,12596400
1986-10-01,2.1482,2.3358,2.13,2.2934,2.2934,10538100
1986-11-01,2.3055,2.3418,2.2511,2.2934,2.2934,23146200
1986-12-01,2.3108,2.36,2.1633,2.1756,2.1756,11725200
1987-01-01,2.1817,2.4522,2.1817,2.3968,2.3968,10371600
1987-02-01,2.3968,2.4276,2.194,2.2248,2.2248,19120500
1987-03-01,2.273,2.3542,2.1731,2.2605,2.2605,13122600
1987-04-01,2.2543,2.2668,2.0045,2.1731,2.1731,17981400
1987-05-01,2.1731,2.1856,2.042,2.0795,2.0795,25646100
1987-06-01,2.1297,2.2314,2.0852,2.1996,2.1996,13314600
1987-07-01,2.1933,2.2632,2.0089,2.1233,2.1233,12996900
1987-08-01,2.1106,2.3204,2.0788,2.1742,2.1742,24303000
1987-09-01,2.2171,2.2365,2.1072,2.1589,2.1589,9469200
1987-10-01,2.1589,2.3658,1.8939,2.1848,2.1848,24322800
1987-11-01,2.1719,2.3011,2.0361,2.0814,2.0814,28599900
1987-12-01,2.1453,2.2309,2.1058,2.1782,2.1782,8319900
1988-01-01,2.1782,2.4875,2.165,2.4809,2.4809,9537600
1988-02-01,2.4743,2.4743,2.2572,2.2703,2.2703,54157200
1988-03-01,2.3235,2.3637,2.223,2.2498,2.2498,13162800
1988-04-01,2.2498,2.3302,2.1896,2.2565,2.2565,7693500
1988-05-01,2.2565,2.3302,2.2163,2.3302,2.3302,16250400
1988-06-01,2.3597,2.4279,2.3187,2.3597,2.3597,11983500
1988-07-01,2.3597,2.3869,2.2574,2.3392,2.3392,5730000
1988-08-01,2.3392,2.346,2.2574,2.2915,2.2915,14773200
1988-09-01,2.3339,2.4381,2.32,2.3894,2.3894,8722200
1988-10-01,2.4033,2.5006,2.3894,2.4797,2.4797,8355300
1988-11-01,2.4797,2.4936,2.3547,2.3755,2.3755,15029400
1988-12-01,2.4201,2.4908,2.3776,2.3847,2.3847,6178800
1989-01-01,2.3917,2.413,2.3634,2.3988,2.3988,12684600
1989-02-01,2.3917,2.4059,2.2856,2.321,2.321,31407300
1989-03-01,2.3663,2.4024,2.3303,2.3591,2.3591,7347300
1989-04-01,2.3663,2.4385,2.3519,2.4313,2.4313,6332700
1989-05-01,2.424,2.5828,2.4168,2.5467,2.5467,14845200
1989-06-01,2.5861,2.6155,2.5494,2.5934,2.5934,8317500
1989-07-01,2.5861,2.711,2.5714,2.7036,2.7036,7987500
1989-08-01,2.711,2.711,2.5567,2.5641,2.5641,12606900
1989-09-01,2.6105,2.6553,2.5731,2.603,2.603,8092800
1989-10-01,2.603,2.6628,2.5357,2.6553,2.6553,13350000
1989-11-01,2.6628,2.775,2.6628,2.6853,2.6853,15411900
1989-12-01,2.7422,2.9174,2.7422,2.8946,2.8946,11328600
1990-01-01,2.8717,2.9631,2.6737,2.727,2.727,9491700
1990-02-01,2.727,2.8336,2.6889,2.7194,2.7194,38993400
1990-03-01,2.7623,2.8011,2.7235,2.77,2.77,8623500
1990-04-01,2.7545,2.7933,2.5683,2.5916,2.5916,7331700
1990-05-01,2.5916,2.8709,2.5916,2.7002,2.7002,12158400
1990-06-01,2.7587,2.8536,2.7587,2.8061,2.8061,8133300
1990-07-01,2.814,2.8852,2.7271,2.8536,2.8536,8865600
1990-08-01,2.8536,2.901,2.6164,2.648,2.648,17059800
1990-09-01,2.6935,2.8064,2.6774,2.75,2.75,7249500
1990-10-01,2.758,3.0564,2.75,3.0403,3.0403,12219900
1990-11-01,3.0322,3.1451,2.9516,3.0242,3.0242,13077600
1990-12-01,3.0804,3.2118,3.0557,3.0804,3.0804,7348800
1991-01-01,3.0722,3.1132,2.9572,3.0065,3.0065,8766600
1991-02-01,3.0065,3.179,2.9654,3.105,3.105,16834200
1991-03-01,3.1532,3.2284,2.9943,3.2201,3.2201,9837900
1991-04-01,3.2033,3.2452,3.1113,3.2284,3.2284,7351200
1991-05-01,3.2117,3.2619,3.1364,3.1699,3.1699,9951300
1991-06-01,3.2102,3.2443,3.1506,3.2273,3.2273,8488500
1991-07-01,3.2358,3.355,3.2102,3.3209,3.3209,6874800
1991-08-01,3.3209,3.5423,3.2954,3.372,3.372,13565100
1991-09-01,3.4206,3.6544,3.3773,3.6544,3.6544,9356400
1991-10-01,3.6544,3.767,3.5678,3.767,3.767,8838000
1991-11-01,3.7843,3.9316,3.7584,3.9056,3.9056,9131700
1991-12-01,3.9508,4.03,3.8892,4.0124,4.0124,8633400
1992-01-01,4.0124,4.0652,3.7748,3.9068,3.9068,10823900
1992-02-01,3.9068,3.9596,3.7484,3.7484,3.7484,9187600
1992-03-01,3.8109,3.8646,3.6768,3.7975,3.7975,9479800
1992-04-01,3.7841,3.9854,3.6633,3.9451,3.9451,7499600
1992-05-01,3.972,4.1598,3.9183,3.9585,3.9585,7836000
1992-06-01,4.0215,4.1851,3.9943,4.1715,4.1715,4881200
1992-07-01,4.1442,4.4578,4.1442,4.4169,4.4169,7445000
1992-08-01,4.3896,4.4714,4.3078,4.3351,4.3351,7094600
1992-09-01,4.3851,4.4404,4.1914,4.3159,4.3159,8597800
1992-10-01,4.3159,4.3712,4.1499,4.3574,4.3574,6838400
1992-11-01,4.3989,4.4266,4.2329,4.2606,4.2606,8965200
1992-12-01,4.3271,4.58,4.3271,4.4395,4.4395,7189800
1993-01-01,4.4535,4.594,4.299,4.594,4.594,11903000
1993-02-01,4.594,4.9734,4.5519,4.7767,4.7767,9073400
1993-03-01,4.8735,5.0017,4.8307,5.0017,5.0017,8669200
1993-04-01,4.9732,5.1585,4.9305,4.9875,4.9875,6155600
1993-05-01,5.0017,5.0872,4.7737,4.8877,4.8877,8355600
1993-06-01,4.9729,5.1464,4.9151,5.1464,5.1464,4732400
1993-07-01,5.1464,5.3777,5.103,5.3777,5.3777,5429600
1993-08-01,5.3777,5.5367,5.3487,5.5367,5.5367,6156000
1993-09-01,5.5947,5.7265,5.5654,5.6679,5.6679,5654800
1993-10-01,5.6532,5.7997,5.5654,5.6532,5.6532,5802600
1993-11-01,5.6239,5.6239,5.1846,5.1846,5.1846,14356600
1993-12-01,5.2736,5.5113,5.2142,5.3925,5.3925,6664200
1994-01-01,5.3479,5.3925,4.9171,5.1399,5.1399,7598200
1994-02-01,5.1399,5.1399,4.724,4.9023,4.9023,12637000
1994-03-01,4.9645,5.04,4.7834,4.8287,4.8287,9862600
1994-04-01,4.8136,5.1305,4.7382,5.1003,5.1003,9278400
1994-05-01,5.1003,5.1003,4.6024,4.7834,4.7834,14032200
1994-06-01,4.8606,4.9373,4.4006,4.4619,4.4619,9636400
1994-07-01,4.4926,4.5079,4.3699,4.4619,4.4619,7118800
1994-08-01,4.4466,4.7073,4.4313,4.6153,4.6153,12679000
1994-09-01,4.6781,4.6781,4.3507,4.6469,4.6469,9441800
1994-10-01,4.6625,4.7561,4.569,4.6313,4.6313,9249800
1994-11-01,4.6002,4.6469,4.3818,4.6313,4.6313,16295200
1994-12-01,4.6979,4.7773,4.5392,4.5709,4.5709,14104200
1995-01-01,4.5392,4.8566,4.5075,4.8408,4.8408,11295000
1995-02-01,4.8249,4.9836,4.7614,4.8249,4.8249,11664600
1995-03-01,4.8902,4.9063,4.5835,4.6481,4.6481,12206600
1995-04-01,4.6319,4.8095,4.6319,4.7126,4.7126,6574400
1995-05-01,4.7126,4.874,4.6158,4.7933,4.7933,14702000
1995-06-01,4.8781,5.0752,4.7959,4.7959,4.7959,11297600
1995-07-01,4.7959,4.8288,4.5824,4.681,4.681,13079000
1995-08-01,4.6645,4.8945,4.6645,4.7467,4.7467,15315600
1995-09-01,4.8142,5.0649,4.7139,5.0315,5.0315,10901600
1995-10-01,5.0482,5.4159,5.0315,5.3156,5.3156,10537800
1995-11-01,5.2989,5.3825,5.2321,5.2989,5.2989,11636400
1995-12-01,5.4025,5.6573,5.3855,5.6064,5.6064,9286600
1996-01-01,5.5724,5.8272,5.5724,5.8272,5.8272,8810200
1996-02-01,5.7932,6.0311,5.3685,5.3685,5.3685,14595200
1996-03-01,5.5053,5.6951,5.1947,5.4535,5.4535,16561200
1996-04-01,5.488,5.5398,5.2119,5.3155,5.3155,8442400
1996-05-01,5.2982,5.5571,5.1947,5.2292,5.2292,16983200
1996-06-01,5.2803,5.6136,5.1926,5.6136,5.6136,11331600
1996-07-01,5.5961,5.6136,5.1751,5.2803,5.2803,9840000
1996-08-01,5.2628,5.4909,5.2277,5.2453,5.2453,9238800
1996-09-01,5.2987,5.5127,5.263,5.3879,5.3879,9804000
1996-10-01,5.3879,5.5306,5.2987,5.3879,5.3879,8930000
1996-11-01,5.4414,5.8517,5.3879,5.4414,5.4414,17119800
1996-12-01,5.5141,5.6411,5.4144,5.5867,5.5867,14271600
1997-01-01,5.5867,5.9132,5.4416,5.75,5.75,15137000
1997-02-01,5.7137,6.0039,5.7137,5.8406,5.8406,16798000
1997-03-01,5.917,5.9539,5.235,5.364,5.364,16582800
1997-04-01,5.3456,5.364,4.9032,5.0691,5.0691,15661200
1997-05-01,5.0322,5.3272,4.9954,5.106,5.106,14888400
1997-06-01,5.2203,5.5207,5.1076,5.5019,5.5019,16306200
1997-07-01,5.4832,5.624,5.3048,5.5207,5.5207,11122400
1997-08-01,5.4832,5.624,5.3987,5.408,5.408,16739200
1997-09-01,5.5414,5.8471,5.5223,5.7898,5.7898,11913800
1997-10-01,5.7898,5.9522,5.3312,5.6847,5.6847,16549000
1997-11-01,5.7229,6.0,5.5605,5.9427,5.9427,15948600
1997-12-01,6.062,6.6644,5.9552,6.6158,6.6158,19337200
1998-01-01,6.5963,6.6741,6.1203,6.2078,6.2078,22082600
1998-02-01,6.2175,6.4118,6.1495,6.198,6.198,20950600
1998-03-01,6.2775,6.7118,6.2578,6.6032,6.6032,25661600
1998-04-01,6.6328,6.6427,6.0801,6.2479,6.2479,21883800
1998-05-01,6.2874,6.3071,5.9715,6.2676,6.2676,24399200
