Date,Open,High,Low,Close,Adj Close,Volume
,EA,EA,EA,EA,,EA
1989-09-01,0.0,0.5176,0.4415,0.4415,0.4415,28960000
1989-10-01,0.0,0.5024,0.4262,0.4567,0.4567,13020800
1989-11-01,0.0,0.5556,0.4567,0.51,0.51,18931200
1989-12-01,0.0,0.5709,0.4948,0.5556,0.5556,13300800
1990-01-01,0.0,0.5556,0.4643,0.51,0.51,9756800
1990-02-01,0.0,0.6089,0.4795,0.5937,0.5937,16460800
1990-03-01,0.0,0.5937,0.51,0.5176,0.5176,28593600
1990-04-01,0.5328,0.8753,0.5252,0.8677,0.8677,54520000
1990-05-01,0.8829,1.0276,0.8525,1.0123,1.0123,48907200
1990-06-01,1.0123,1.0199,0.7992,1.0199,1.0199,33508800
1990-07-01,1.0199,1.0199,0.7079,0.7535,0.7535,31006400
1990-08-01,0.7535,0.7992,0.5709,0.7535,0.7535,22889600
1990-09-01,0.7383,0.7383,0.4719,0.51,0.51,24612800
1990-10-01,0.5556,0.5861,0.373,0.4643,0.4643,41420800
1990-11-01,0.4719,0.6013,0.4186,0.5024,0.5024,24081600
1990-12-01,0.4948,0.5861,0.4871,0.5709,0.5709,29268800
1991-01-01,0.5785,0.822,0.5404,0.784,0.784,61846400
1991-02-01,0.784,1.058,0.784,0.9438,0.9438,98363200
1991-03-01,0.9362,1.1722,0.9362,1.1493,1.1493,50161600
1991-04-01,1.1417,1.4538,1.0808,1.2331,1.2331,48760000
1991-05-01,1.2178,1.431,1.1722,1.332,1.332,36880000
1991-06-01,1.2559,1.3092,0.9895,1.0428,1.0428,45177600
1991-07-01,1.0352,1.2102,0.9971,1.1722,1.1722,42120000
1991-08-01,1.1493,1.6593,1.1493,1.6593,1.6593,49848000
1991-09-01,1.6669,1.7278,1.4843,1.5375,1.5375,46363200
1991-10-01,1.5528,1.9866,1.5528,1.9638,1.9638,58092800
1991-11-01,1.9638,2.1312,1.7354,2.0551,2.0551,53545600
1991-12-01,2.0094,2.3444,1.979,2.3291,2.3291,47086400
1992-01-01,2.2987,2.8315,2.2378,2.4357,2.4357,51363200
1992-02-01,2.4661,3.1512,2.4205,2.8467,2.8467,70704000
1992-03-01,2.8772,3.1055,2.527,2.8924,2.8924,38252800
1992-04-01,2.8011,3.0751,2.253,2.6793,2.6793,49948800
1992-05-01,2.6488,2.9533,2.3748,2.6184,2.6184,38500000
1992-06-01,2.6184,2.9228,2.3748,2.8924,2.8924,39799200
1992-07-01,2.8315,3.5622,2.4661,3.547,3.547,65245600
1992-08-01,3.4404,3.5927,3.0751,3.273,3.273,35620800
1992-09-01,3.2273,4.2016,3.1055,3.7753,3.7753,73092800
1992-10-01,3.8058,4.2929,3.3491,3.958,3.958,88940800
1992-11-01,3.8058,4.1102,3.41,4.0493,4.0493,56638400
1992-12-01,4.0493,5.2976,3.8971,5.0236,5.0236,66084800
1993-01-01,5.0541,6.211,4.8105,6.1806,6.1806,93300800
1993-02-01,6.0588,6.5155,4.8257,6.0283,6.0283,82275200
1993-03-01,5.9675,7.5507,5.7848,7.1244,7.1244,71036000
1993-04-01,7.1853,7.7942,6.5155,7.0635,7.0635,50050800
1993-05-01,7.0026,9.3774,6.8808,8.4032,8.4032,74819600
1993-06-01,8.464,9.0121,6.0892,7.368,7.368,107867600
1993-07-01,7.3071,7.4898,6.3328,7.0635,7.0635,73318800
1993-08-01,7.1244,8.8903,7.0026,8.4336,8.4336,67080800
1993-09-01,8.4031,9.0121,6.8808,8.3423,8.3423,84400800
1993-10-01,8.4032,10.2299,7.9769,9.4992,9.4992,69704000
1993-11-01,9.5601,9.621,7.9769,8.4945,8.4945,64930000
1993-12-01,8.5858,8.8294,7.0331,7.3071,7.3071,87590800
1994-01-01,7.368,8.1596,6.4546,6.9722,6.9722,135538000
1994-02-01,7.0026,7.4898,5.9066,6.3328,6.3328,126184800
1994-03-01,6.3328,7.1853,5.7848,6.3937,6.3937,118348400
1994-04-01,6.1197,6.3937,4.7496,5.2976,5.2976,112165600
1994-05-01,5.3585,5.6021,4.2016,4.9475,4.9475,127366000
1994-06-01,4.9932,5.2976,3.1055,3.41,3.41,122955600
1994-07-01,3.41,4.0189,3.2273,3.4709,3.4709,100280800
1994-08-01,3.5318,4.6887,3.41,4.3234,4.3234,98037200
1994-09-01,4.2625,4.6278,4.0189,4.506,4.506,79531200
1994-10-01,4.506,5.7239,4.4451,5.4803,5.4803,120530400
1994-11-01,5.4194,5.5412,4.4756,4.8409,4.8409,81298000
1994-12-01,4.8714,5.5108,4.1407,4.6887,4.6887,88434000
1995-01-01,4.6278,4.7192,3.7449,4.3538,4.3538,103823600
1995-02-01,4.3843,5.7543,4.3538,5.2367,5.2367,96823600
1995-03-01,5.2672,6.3328,5.2063,5.5108,5.5108,98293600
1995-04-01,5.4803,5.663,4.8409,5.6021,5.6021,112102800
1995-05-01,5.6325,7.1244,5.6325,6.2719,6.2719,110860400
1995-06-01,6.3024,7.7029,6.1501,6.6068,6.6068,70249200
1995-07-01,6.6068,9.5297,6.5459,8.799,8.799,118404800
1995-08-01,8.8903,9.7123,8.2509,9.2556,9.2556,124273200
1995-09-01,9.1948,10.2908,8.19,8.9512,8.9512,99448000
1995-10-01,8.9512,9.5906,7.4898,8.9207,8.9207,120577200
1995-11-01,8.9512,9.2556,7.3071,8.3118,8.3118,84272400
1995-12-01,8.2814,8.3118,5.4499,6.3633,6.3633,130388000
1996-01-01,6.4241,6.7895,5.1454,5.8457,5.8457,141841600
1996-02-01,5.8152,7.0331,5.6934,6.0892,6.0892,69935600
1996-03-01,6.0892,6.6373,5.663,6.4546,6.4546,50150400
1996-04-01,6.485,7.3071,6.0892,6.5155,6.5155,75567200
1996-05-01,6.4546,8.6467,6.1197,7.7029,7.7029,164880000
1996-06-01,7.7638,7.7942,6.1501,6.5155,6.5155,107520400
1996-07-01,6.5459,7.5811,5.9675,7.3071,7.3071,92793200
1996-08-01,7.3071,8.2814,7.0635,7.5202,7.5202,61092800
1996-09-01,7.5202,9.7123,7.2766,9.1034,9.1034,122784800
1996-10-01,9.1034,9.3774,7.7029,9.1339,9.1339,123821600
1996-11-01,9.1339,9.2556,7.5507,7.8247,7.8247,86972000
1996-12-01,7.8856,8.5554,6.7286,7.2919,7.2919,101897600
1997-01-01,7.3375,8.9816,7.2157,7.7638,7.7638,125898400
1997-02-01,7.7333,8.464,7.094,7.6115,7.6115,80993600
1997-03-01,7.5202,7.8247,6.1501,6.485,6.485,100310000
1997-04-01,6.4546,6.485,4.6887,5.8761,5.8761,108752000
1997-05-01,5.8761,8.3118,5.7848,7.7942,7.7942,95604400
1997-06-01,7.7942,8.7381,7.2462,8.19,8.19,76716400
1997-07-01,8.1596,8.8903,7.6724,8.1596,8.1596,77198800
1997-08-01,8.0682,8.4488,7.2614,7.505,7.505,57778000
1997-09-01,7.4898,9.5601,7.4898,9.4079,9.4079,81426800
1997-10-01,9.3774,9.8037,7.4898,8.2509,8.2509,136119200
1997-11-01,8.4336,8.9512,7.2919,8.1596,8.1596,74017600
1997-12-01,8.1596,9.4535,7.6724,9.21,9.21,101770800
1998-01-01,9.2252,9.6514,8.5858,8.7533,8.7533,118079600
1998-02-01,8.8294,11.0976,8.2814,10.7475,10.7475,146889600
1998-03-01,10.7475,11.6304,10.1081,11.4325,11.4325,81720800
1998-04-01,11.326,11.5543,9.9255,11.2651,11.2651,72213600
1998-05-01,11.2955,11.9654,10.169,10.5953,10.5953,78366400
1998-06-01,10.4735,13.3963,10.3213,13.1528,13.1528,81927200
1998-07-01,13.1528,13.9139,11.5087,12.3383,12.3383,89164400
1998-08-01,12.3612,13.2137,9.2556,9.2861,9.2861,79418000
1998-09-01,9.3774,12.4525,9.1034,10.6866,10.6866,127736800
1998-10-01,10.4735,10.8693,8.0987,10.0168,10.0168,110098800
1998-11-01,10.032,11.874,10.0168,10.2604,10.2604,62655600
1998-12-01,10.2147,13.6703,10.1081,13.6703,13.6703,67961600
1999-01-01,13.4268,13.4572,10.169,10.268,10.268,74732800
1999-02-01,10.2756,10.5953,9.2709,9.7123,9.7123,63085200
1999-03-01,9.7123,12.3916,9.2556,11.5696,11.5696,83885600
1999-04-01,11.6913,13.0919,11.0824,12.3764,12.3764,64368800
1999-05-01,12.3003,12.9092,11.0824,11.9197,11.9197,58638800
1999-06-01,11.9349,13.4268,11.1053,13.2137,13.2137,55913200
1999-07-01,13.3354,14.6446,12.5438,13.8682,13.8682,60282800
1999-08-01,13.9444,17.0955,13.305,16.715,16.715,66336400
1999-09-01,16.7454,18.7396,16.6084,17.6284,17.6284,78429200
1999-10-01,17.5522,19.9727,15.6493,19.6835,19.6835,89830800
1999-11-01,19.6378,29.2892,18.7853,25.5444,25.5444,115301600
1999-12-01,26.0315,30.3092,19.0593,20.4598,20.4598,157842400
2000-01-01,20.7034,28.0257,16.5323,19.9118,19.9118,140837600
2000-02-01,19.9423,24.905,18.2677,24.357,24.357,70948000
2000-03-01,23.1391,25.453,16.6236,17.3391,17.3391,138755600
2000-04-01,17.537,17.5675,12.3459,14.736,14.736,115839200
2000-05-01,14.6142,16.5323,11.9349,15.558,15.558,135958000
2000-06-01,15.6646,19.6682,14.6294,17.7654,17.7654,82729600
2000-07-01,17.7501,23.2,17.7349,21.5407,21.5407,67705600
2000-08-01,21.2819,26.4235,18.9984,26.2903,26.2903,73921600
2000-09-01,26.7889,26.7927,20.2163,24.0525,24.0525,75545200
2000-10-01,24.0525,28.2236,19.4551,24.357,24.357,75112200
2000-11-01,24.1134,24.357,16.8368,17.3848,17.3848,76111600
2000-12-01,17.7806,22.1648,16.4409,20.7643,20.7643,85536600
2001-01-01,21.2819,23.5349,16.8063,22.3171,22.3171,120848800
2001-02-01,22.5911,26.5795,21.6777,24.357,24.357,96240000
2001-03-01,24.0221,27.6756,22.1953,26.4273,26.4273,131676200
2001-04-01,26.3055,30.0565,22.0735,27.5818,27.5818,168538000
2001-05-01,27.5721,31.0551,24.9659,28.6876,28.6876,140770800
2001-06-01,28.7461,30.5777,25.3897,28.2054,28.2054,97134800
2001-07-01,27.9374,29.7545,24.6249,27.728,27.728,122646600
2001-08-01,28.0982,29.2771,26.7391,28.1128,28.1128,77812400
2001-09-01,28.1225,29.4232,19.9678,22.2476,22.2476,141659400
2001-10-01,21.9846,28.1323,20.0701,25.0682,25.0682,160399800
2001-11-01,25.4141,29.6181,24.2498,29.4524,29.4524,136764800
2001-12-01,29.1553,32.5994,28.5025,29.204,29.204,117912400
2002-01-01,29.4671,31.0308,25.4628,25.8525,25.8525,154359600
2002-02-01,25.794,27.7182,24.6005,26.2178,26.2178,115497800
2002-03-01,26.2666,30.4949,26.2325,29.6181,29.6181,90211200
2002-04-01,29.3989,31.172,27.5234,28.7656,28.7656,113038200
2002-05-01,28.751,31.6592,26.0571,31.1769,31.1769,170329000
2002-06-01,31.1282,32.6237,28.824,32.1756,32.1756,122640800
2002-07-01,32.1902,32.195,25.5505,29.316,29.316,256077400
2002-08-01,29.204,33.0037,26.7147,30.8164,30.8164,188876400
2002-09-01,30.3926,33.6126,28.5756,32.1317,32.1317,155028600
2002-10-01,31.781,35.2884,29.6278,31.7225,31.7225,326665200
2002-11-01,31.6543,33.6662,30.6216,33.0573,33.0573,156465200
2002-12-01,33.4616,33.8367,24.0988,24.2449,24.2449,259668600
2003-01-01,24.3472,26.7342,23.144,25.2192,25.2192,257699600
2003-02-01,25.2679,26.1448,23.334,25.7209,25.7209,117298000
2003-03-01,25.8184,29.4476,25.0925,28.5658,28.5658,134542800
2003-04-01,28.4294,30.1393,27.3724,28.8094,28.8094,119154200
2003-05-01,28.7997,33.5152,28.4197,33.3934,33.3934,171040400
2003-06-01,33.5152,38.6789,32.3509,35.9996,35.9996,159603400
2003-07-01,35.8242,41.363,35.6099,40.9197,40.9197,154193200
2003-08-01,40.8076,44.0666,39.6434,43.8279,43.8279,92956800
2003-09-01,43.7451,47.2525,42.6247,44.9045,44.9045,119154600
2003-10-01,44.9435,51.5247,44.7778,48.1976,48.1976,145192000
2003-11-01,47.082,50.3702,41.212,43.0923,43.0923,127833800
2003-12-01,43.5795,47.0187,39.5557,46.4536,46.4536,116698100
2004-01-01,47.0284,48.6457,44.6902,45.6547,45.6547,104894000
2004-02-01,45.4403,46.3951,42.3129,45.947,45.947,88743800
2004-03-01,46.4341,53.3223,43.9887,52.3577,52.3577,95183300
2004-04-01,52.0849,54.4719,47.7007,49.318,49.318,77690800
2004-05-01,49.6687,51.1009,46.2003,49.5226,49.5226,81982400
2004-06-01,49.4446,53.2443,48.9477,53.1469,53.1469,53474400
2004-07-01,53.5853,53.595,46.8433,48.8406,48.8406,88883500
2004-08-01,48.6652,50.7697,45.2552,48.4996,48.4996,69558400
2004-09-01,47.6227,48.5093,43.7451,44.8071,44.8071,92085900
2004-10-01,45.4988,46.6387,42.2642,43.7646,43.7646,112606100
2004-11-01,43.9789,48.7529,43.5503,47.6422,47.6422,89223800
2004-12-01,47.5643,62.0713,46.8141,60.0935,60.0935,140578500
2005-01-01,60.0058,62.8897,55.1734,62.6851,62.6851,101127900
2005-02-01,62.5974,68.0436,60.2883,62.8312,62.8312,80791500
2005-03-01,62.6558,69.3297,50.4092,50.4481,50.4481,132641300
2005-04-01,50.9548,52.3285,47.4181,52.0167,52.0167,107158500
2005-05-01,51.8803,53.5561,46.2295,51.1886,51.1886,112043100
2005-06-01,51.2568,58.2911,50.6138,55.1539,55.1539,84411000
2005-07-01,55.4949,61.4965,53.7997,56.1184,56.1184,104789600
2005-08-01,56.4205,59.6843,54.3647,55.8067,55.8067,52177500
2005-09-01,55.7774,60.9411,53.8191,55.4267,55.4267,74770000
2005-10-01,54.8908,56.2646,49.7272,55.417,55.417,81219400
2005-11-01,55.0273,60.376,53.4781,54.9103,54.9103,80085800
2005-12-01,55.4852,56.7322,50.7794,50.9645,50.9645,75656200
2006-01-01,51.0912,57.083,49.659,53.1761,53.1761,62928600
2006-02-01,52.9033,53.7802,49.2011,50.6333,50.6333,68827000
2006-03-01,50.6235,53.8191,48.8503,53.3125,53.3125,81469800
2006-04-01,53.5171,56.3133,52.2603,55.339,55.339,50907000
2006-05-01,55.3,55.7287,40.569,40.9879,40.9879,133066000
2006-06-01,40.9684,43.1118,38.9614,41.9329,41.9329,84526300
2006-07-01,41.9329,47.3889,40.3059,45.8983,45.8983,67112400
2006-08-01,45.1091,50.8379,44.9532,49.7174,49.7174,81388000
2006-09-01,50.3312,56.2548,48.6555,54.4037,54.4037,73884700
2006-10-01,54.657,55.982,51.2373,51.5296,51.5296,68095300
2006-11-01,51.5296,58.3106,51.0327,54.4524,54.4524,83600100
2006-12-01,54.2381,55.2221,48.9185,49.0647,49.0647,77615300
2007-01-01,49.4544,53.03,46.7264,48.7139,48.7139,92181500
2007-02-01,49.5128,52.991,47.876,49.1231,49.1231,80886900
2007-03-01,48.4703,50.8963,47.1746,49.0647,49.0647,68550900
2007-04-01,49.279,53.2638,49.0159,49.1134,49.1134,62802300
2007-05-01,49.0549,51.5783,45.0799,47.613,47.613,101264400
2007-06-01,47.5935,49.2205,45.7911,46.1029,46.1029,76494100
2007-07-01,46.7167,51.247,46.4633,47.3889,47.3889,90320100
2007-08-01,47.2817,53.9263,46.3172,51.5783,51.5783,92930200
2007-09-01,51.2178,55.6118,49.4934,54.5499,54.5499,49857100
2007-10-01,54.1017,60.035,54.0627,59.5479,59.5479,77317600
2007-11-01,59.4407,59.9181,51.9096,54.7447,54.7447,80875600
2007-12-01,54.8032,58.7977,52.5721,56.9076,56.9076,59747500
2008-01-01,56.5374,56.8492,43.0923,46.1516,46.1516,115129200
2008-02-01,45.4111,48.8698,42.498,46.0736,46.0736,122854900
2008-03-01,45.8593,49.7661,43.5308,48.636,48.636,73174400
2008-04-01,49.6882,51.6368,48.295,50.1461,50.1461,64349700
2008-05-01,50.0,53.4002,46.5802,48.9088,48.9088,92559200
2008-06-01,48.7139,48.8113,42.3421,43.2872,43.2872,81650200
2008-07-01,42.9852,48.0904,41.3776,42.0693,42.0693,114755300
2008-08-01,42.3519,48.334,40.111,47.5545,47.5545,89495500
2008-09-01,48.3827,48.8795,34.1972,36.0386,36.0386,130377200
2008-10-01,35.717,35.8145,21.3464,22.1941,22.1941,192363000
2008-11-01,22.3987,24.2595,16.1341,18.5697,18.5697,140308400
2008-12-01,18.1118,21.4828,14.4096,15.6274,15.6274,204613700
2009-01-01,15.6372,20.0701,15.0039,15.0429,15.0429,164745500
2009-02-01,14.809,18.9497,13.8737,15.8905,15.8905,204329500
2009-03-01,15.4326,19.2712,14.3706,17.7221,17.7221,140270500
2009-04-01,17.196,20.6742,17.0304,19.8266,19.8266,165845200
2009-05-01,19.8266,22.6325,18.8718,22.3987,22.3987,165412100
2009-06-01,23.0709,23.1489,19.3394,21.1613,21.1613,150839200
2009-07-01,21.4146,21.8433,19.4466,20.9178,20.9178,137169000
2009-08-01,21.0347,21.5705,17.5662,17.7513,17.7513,199124900
2009-09-01,17.6539,19.8071,17.2252,18.56,18.56,211768400
2009-10-01,18.5405,20.5086,17.6539,17.7708,17.7708,160959800
2009-11-01,17.7806,19.1738,16.3094,16.4556,16.4556,183440800
2009-12-01,16.514,17.8098,15.4521,17.2934,17.2934,136134400
2010-01-01,17.5273,18.3846,15.8418,15.8613,15.8613,178537100
2010-02-01,16.0951,17.4006,15.2962,16.1535,16.1535,192776000
2010-03-01,16.2997,18.5015,16.2023,18.18,18.18,134294000
2010-04-01,18.1606,19.7194,18.1118,18.8718,18.8718,91903600
2010-05-01,18.9302,19.2323,15.4228,16.0853,16.0853,204009000
2010-06-01,15.8125,16.3581,14.0004,14.0296,14.0296,145242300
2010-07-01,13.9712,16.1633,13.6984,15.5203,15.5203,93954300
2010-08-01,15.7151,17.0791,14.2927,14.8383,14.8383,124613400
2010-09-01,15.0818,16.4361,15.0818,16.0269,16.0269,77656700
2010-10-01,16.173,17.5955,14.9065,15.4228,15.4228,131260500
2010-11-01,15.4131,16.2412,14.2927,14.5265,14.5265,125558300
2010-12-01,14.6726,16.2315,14.5168,15.9587,15.9587,89297900
2011-01-01,16.0756,16.1243,14.4193,15.189,15.189,110720900
2011-02-01,15.1793,19.6804,14.8772,18.3164,18.3164,178645500
2011-03-01,18.3846,19.4758,17.6052,19.0277,19.0277,116783500
2011-04-01,19.1933,20.187,19.0471,19.6609,19.6609,91544300
2011-05-01,19.622,23.8698,18.9984,23.7821,23.7821,122469200
2011-06-01,23.8114,24.1524,20.9178,22.993,22.993,118124000
2011-07-01,22.9637,24.4057,21.4828,21.6777,21.6777,144208000
2011-08-01,21.8238,22.4084,17.0694,21.9992,21.9992,199119200
2011-09-01,21.9505,22.9637,19.5538,19.924,19.924,187725300
2011-10-01,19.8558,24.6298,18.5015,22.7494,22.7494,162702600
2011-11-01,21.9602,25.4579,20.2845,22.5935,22.5935,141152200
2011-12-01,22.5058,23.1878,19.2615,20.0701,20.0701,114461100
2012-01-01,20.5086,20.8983,16.4166,18.1021,18.1021,185263900
2012-02-01,18.219,20.1091,15.8613,15.9197,15.9197,183202100
2012-03-01,15.91,17.2447,15.6372,16.0658,16.0658,157953600
2012-04-01,16.0561,16.4361,14.1075,14.9844,14.9844,122263500
2012-05-01,14.9552,15.6469,13.2599,13.2697,13.2697,162041500
2012-06-01,13.0456,13.5327,11.3698,12.0323,12.0323,115198100
2012-07-01,12.0421,12.2759,10.493,10.7365,10.7365,96398500
2012-08-01,11.2042,14.0199,10.532,12.9871,12.9871,147542500
2012-09-01,12.88,14.2634,11.818,12.3636,12.3636,118382000
2012-10-01,12.4026,13.6204,11.4965,12.0323,12.0323,109291000
2012-11-01,12.0323,14.9259,11.9641,14.4291,14.4291,108151800
2012-12-01,14.4875,15.1013,13.0651,14.1465,14.1465,109295100
2013-01-01,14.3901,15.7638,12.9482,15.3254,15.3254,103782700
2013-02-01,15.2182,17.7319,15.0429,17.0791,17.0791,110453100
2013-03-01,17.0791,19.0082,16.4945,17.2447,17.2447,112865200
2013-04-01,17.157,17.6539,16.2217,17.157,17.157,70189900
2013-05-01,17.1376,22.993,16.7089,22.3987,22.3987,140557300
2013-06-01,22.4182,23.0514,20.4111,22.3987,22.3987,85806200
2013-07-01,22.3012,26.286,22.2817,25.4482,25.4482,92108400
2013-08-01,25.6528,27.4065,25.3702,25.9548,25.9548,69161200
2013-09-01,26.3348,27.2798,24.5128,24.8928,24.8928,72565200
