Date,Open,High,Low,Close,Adj Close,Volume
,ED,ED,ED,ED,,ED
1985-01-01,1.8359,1.8359,1.761,1.7685,1.7685,15024400
1985-02-01,1.7966,1.8883,1.7966,1.8654,1.8654,16224200
1985-03-01,1.8654,1.9724,1.8578,1.9724,1.9724,7580000
1985-04-01,1.9648,2.0565,1.9419,2.0107,2.0107,5651800
1985-05-01,2.003,2.1712,1.9571,2.1712,2.1712,11660400
1985-06-01,2.2276,2.3522,2.2198,2.3133,2.3133,6741800
1985-07-01,2.3055,2.3678,2.0407,2.1186,2.1186,10673800
1985-08-01,2.103,2.1809,2.0563,2.1731,2.1731,7162800
1985-09-01,2.2042,2.2042,2.0377,2.1408,2.1408,6659400
1985-10-01,2.1408,2.2994,2.1249,2.2439,2.2439,15709000
1985-11-01,2.2819,2.3625,2.2093,2.3545,2.3545,5115800
1985-12-01,2.3545,2.556,2.3303,2.548,2.548,7097600
1986-01-01,2.556,2.6367,2.427,2.6044,2.6044,9646800
1986-02-01,2.6044,2.7334,2.5641,2.685,2.685,12666000
1986-03-01,2.7134,2.7954,2.6232,2.7872,2.7872,10504000
1986-04-01,2.7872,2.9675,2.6888,2.7708,2.7708,8532400
1986-05-01,2.7626,2.8692,2.7544,2.8446,2.8446,14740200
1986-06-01,2.8896,2.9479,2.6647,2.9395,2.9395,8724800
1986-07-01,2.9395,3.3642,2.8646,3.306,3.306,10688800
1986-08-01,3.3143,3.5225,3.2143,3.4642,3.4642,8967000
1986-09-01,3.5122,3.5291,2.9719,3.0225,3.0225,8907200
1986-10-01,3.0225,3.1745,3.0056,3.1576,3.1576,8800000
1986-11-01,3.166,3.3602,3.166,3.3349,3.3349,13946200
1986-12-01,3.3559,3.3816,3.1847,3.2275,3.2275,9620600
1987-01-01,3.2275,3.5614,3.2275,3.3559,3.3559,13895000
1987-02-01,3.3645,3.4244,3.0563,3.082,3.082,18728000
1987-03-01,3.1387,3.2256,2.9735,2.9735,2.9735,14348200
1987-04-01,2.9474,3.1039,2.7996,3.0343,3.0343,12313600
1987-05-01,3.0169,3.043,2.7822,2.9474,2.9474,15111400
1987-06-01,3.0159,3.2105,2.9806,3.1751,3.1751,9705000
1987-07-01,3.1486,3.1663,2.9717,3.0513,3.0513,7201600
1987-08-01,3.0602,3.2547,3.0425,3.1309,3.1309,18107200
1987-09-01,3.192,3.192,3.0751,3.165,3.165,10781800
1987-10-01,3.183,3.3178,2.6974,3.111,3.111,16769800
1987-11-01,3.129,3.2819,2.9762,3.0211,3.0211,35726800
1987-12-01,3.0991,3.2088,3.0351,3.0534,3.0534,7793200
1988-01-01,3.0716,3.4556,3.0716,3.4556,3.4556,10643000
1988-02-01,3.4647,3.4739,3.2362,3.3185,3.3185,66366600
1988-03-01,3.3002,3.3367,3.1356,3.1448,3.1448,8738200
1988-04-01,3.1539,3.2453,3.0716,3.1448,3.1448,5399400
1988-05-01,3.1448,3.2179,2.9894,3.2088,3.2088,55721600
1988-06-01,3.2897,3.3829,3.2338,3.2804,3.2804,8493400
1988-07-01,3.2804,3.3083,3.2058,3.2897,3.2897,4609000
1988-08-01,3.2804,3.3643,3.1406,3.1872,3.1872,87971200
1988-09-01,3.2561,3.4079,3.2181,3.389,3.389,5289000
1988-10-01,3.389,3.4934,3.3795,3.4934,3.4934,5102200
1988-11-01,3.4934,3.5503,3.3415,3.4174,3.4174,12642600
1988-12-01,3.4871,3.603,3.4388,3.5933,3.5933,4950200
1989-01-01,3.6127,3.6513,3.5547,3.6416,3.6416,6378400
1989-02-01,3.632,3.6513,3.4291,3.4581,3.4581,10582000
1989-03-01,3.5233,3.6118,3.5134,3.602,3.602,4914600
1989-04-01,3.6118,3.7201,3.5823,3.7201,3.7201,4659200
1989-05-01,3.7201,3.9366,3.6414,3.8677,3.8677,12509400
1989-06-01,3.9298,4.1704,3.9298,4.0701,4.0701,6451200
