Date,Open,High,Low,Close,Adj Close,Volume
,EFX,EFX,EFX,EFX,,EFX
1985-01-01,0.0,1.0089,0.8576,1.0022,1.0022,1615200
1985-02-01,0.0,1.0089,0.9686,0.9887,0.9887,877200
1985-03-01,0.0,1.0543,0.9887,1.0291,1.0291,856400
1985-04-01,0.0,1.1502,1.019,1.0695,1.0695,1312800
1985-05-01,0.0,1.3065,1.0493,1.2309,1.2309,1468800
1985-06-01,0.0,1.2864,1.2258,1.2511,1.2511,844800
1985-07-01,0.0,1.4125,1.2107,1.3671,1.3671,1413600
1985-08-01,0.0,1.3923,1.3217,1.3519,1.3519,993600
1985-09-01,0.0,1.3519,1.1855,1.2309,1.2309,825600
1985-10-01,0.0,1.3419,1.2057,1.3318,1.3318,1041600
1985-11-01,0.0,1.4528,1.3166,1.4528,1.4528,767200
1985-12-01,0.0,1.6344,1.4629,1.5991,1.5991,1595200
1986-01-01,0.0,1.6698,1.5336,1.6042,1.6042,1936800
1986-02-01,0.0,1.7051,1.579,1.6748,1.6748,1356800
1986-03-01,0.0,2.0077,1.6244,1.9775,1.9775,1895200
1986-04-01,1.9775,2.0885,1.816,2.0077,2.0077,2416800
1986-05-01,2.0077,2.0582,1.7152,2.038,2.038,1785200
1986-06-01,2.038,2.1793,2.0279,2.1692,2.1692,1449200
1986-07-01,2.1692,2.2902,1.8867,1.9169,1.9169,1458800
1986-08-01,1.8968,2.038,1.7757,1.9169,1.9169,1615600
1986-09-01,1.9169,1.9472,1.6344,1.7555,1.7555,1720400
1986-10-01,1.7555,1.7858,1.5638,1.7858,1.7858,1780800
1986-11-01,1.7858,1.9775,1.6445,1.7757,1.7757,2129200
1986-12-01,1.7757,1.806,1.6445,1.7555,1.7555,3773600
1987-01-01,1.7555,1.9472,1.7252,1.806,1.806,1978800
1987-02-01,1.816,1.9472,1.7252,1.8665,1.8665,2171600
1987-03-01,1.8665,2.149,1.8362,2.038,2.038,2414400
1987-04-01,2.0077,2.0077,1.695,1.7252,1.7252,2164000
1987-05-01,1.7252,1.8161,1.6748,1.8161,1.8161,2368800
1987-06-01,1.816,2.038,1.7858,2.038,2.038,2197600
