Date,Open,High,Low,Close,Adj Close,Volume
,EIX,EIX,EIX,EIX,,EIX
1985-01-01,2.1327,2.226,2.0628,2.1327,2.1327,20612800
1985-02-01,2.1327,2.156,2.0628,2.0978,2.0978,18105800
1985-03-01,2.0978,2.3891,2.0628,2.2376,2.2376,25648600
1985-04-01,2.2854,2.4164,2.2497,2.3926,2.3926,13245400
1985-05-01,2.3926,2.583,2.2973,2.5116,2.5116,13566000
1985-06-01,2.5354,2.6544,2.5116,2.5473,2.5473,22835600
1985-07-01,2.5619,2.6833,2.2341,2.3312,2.3312,17261600
1985-08-01,2.3312,2.5255,2.2705,2.4891,2.4891,14813400
1985-09-01,2.4648,2.4891,2.2098,2.2584,2.2584,21588800
1985-10-01,2.3106,2.5094,2.2609,2.4721,2.4721,12511600
1985-11-01,2.4721,2.5218,2.3852,2.4721,2.4721,17586800
1985-12-01,2.4721,2.8324,2.4473,2.646,2.646,14253400
1986-01-01,2.712,2.8133,2.5092,2.8133,2.8133,25298200
1986-02-01,2.8007,3.0161,2.712,2.9654,2.9654,13440000
1986-03-01,2.9654,3.2315,2.9147,3.1682,3.1682,28402600
1986-04-01,3.1935,3.2062,2.8767,2.9401,2.9401,13657000
1986-05-01,2.9401,3.1808,2.8894,3.0414,3.0414,16317800
1986-06-01,3.0288,3.2569,2.9401,3.1808,3.1808,28932400
1986-07-01,3.2383,3.7028,3.1351,3.5995,3.5995,24808800
1986-08-01,3.6124,3.9995,3.5737,3.935,3.935,18975200
1986-09-01,3.935,3.935,3.2125,3.3544,3.3544,27768000
1986-10-01,3.412,3.6876,3.3464,3.6745,3.6745,20844200
1986-11-01,3.6745,3.7532,3.4645,3.7008,3.7008,12741800
1986-12-01,3.6876,3.7795,3.5302,3.5564,3.5564,35228400
1987-01-01,3.6286,3.9488,3.6286,3.8954,3.8954,18907200
1987-02-01,3.8954,3.9488,3.6153,3.642,3.642,14920000
1987-03-01,3.6553,3.8154,3.3885,3.4152,3.4152,22497000
1987-04-01,3.4056,3.5277,3.0528,3.4056,3.4056,25799800
1987-05-01,3.392,3.4463,3.1206,3.3242,3.3242,17074200
1987-06-01,3.3241,3.5412,3.2292,3.3377,3.3377,34311200
1987-07-01,3.4,3.5244,3.3032,3.4276,3.4276,18139800
1987-08-01,3.4,3.6902,3.3861,3.552,3.552,21121600
1987-09-01,3.5658,3.6211,3.4414,3.4691,3.4691,43490000
1987-10-01,3.5481,3.8015,3.1116,3.6185,3.6185,25762600
1987-11-01,3.6467,3.7875,3.4355,3.534,3.534,17275400
1987-12-01,3.5481,3.5481,3.3369,3.4355,3.4355,88036600
1988-01-01,3.5604,3.9049,3.345,3.9049,3.9049,14875400
1988-02-01,3.8475,3.8762,3.6896,3.8188,3.8188,11874800
1988-03-01,3.8188,3.8475,3.4743,3.5317,3.5317,32252800
1988-04-01,3.5859,3.7469,3.5127,3.6151,3.6151,9768000
1988-05-01,3.6298,3.9371,3.5712,3.9079,3.9079,13266800
1988-06-01,3.9079,4.3616,3.8054,3.8347,3.8347,233469600
1988-07-01,3.8493,3.8493,3.6005,3.7176,3.7176,12035600
1988-08-01,3.7176,3.8347,3.6591,3.7615,3.7615,14261200
1988-09-01,3.7176,3.9371,3.6883,3.8347,3.8347,25416000
1988-10-01,3.8918,4.0558,3.8471,4.0558,4.0558,10315200
1988-11-01,4.0558,4.1155,3.8173,3.9365,3.9365,11960200
1988-12-01,3.9067,3.9365,3.7874,3.862,3.862,26284600
1989-01-01,3.9517,4.0885,3.8453,4.0429,4.0429,12012200
1989-02-01,4.0429,4.0581,3.8605,3.9061,3.9061,9432600
1989-03-01,3.9213,3.9517,3.7693,3.8757,3.8757,20175800
1989-04-01,3.9368,4.0763,3.8748,4.0763,4.0763,11495000
1989-05-01,4.0763,4.3553,4.0608,4.2778,4.2778,11189600
1989-06-01,4.2778,4.4948,4.2623,4.3088,4.3088,18768600
1989-07-01,4.3865,4.7652,4.3549,4.7652,4.7652,12440800
1989-08-01,4.7494,4.781,4.4654,4.5285,4.5285,10952200
1989-09-01,4.5285,4.6547,4.4969,4.5127,4.5127,16232400
1989-10-01,4.5772,4.7378,4.3845,4.7378,4.7378,11531400
