Date,Open,High,Low,Close,Adj Close,Volume
,EMR,EMR,EMR,EMR,,EMR
1985-01-01,1.8948,2.1129,1.8437,2.0754,2.0754,41346000
1985-02-01,2.0754,2.1334,2.0311,2.0652,2.0652,15868800
1985-03-01,2.0791,2.1135,1.9245,1.9314,1.9314,26331600
1985-04-01,1.9279,1.9898,1.8833,1.8936,1.8936,21951600
1985-05-01,1.9004,1.9623,1.8351,1.952,1.952,49117200
1985-06-01,1.9915,2.0366,1.9187,2.0366,2.0366,36098400
1985-07-01,2.0366,2.0991,1.9568,2.0783,2.0783,35571600
1985-08-01,2.0818,2.0887,1.9673,1.9811,1.9811,24592800
1985-09-01,2.0026,2.0061,1.9046,1.9326,1.9326,23434800
1985-10-01,1.9326,1.9851,1.8836,1.9186,1.9186,33100800
1985-11-01,1.9186,2.1391,1.9186,2.1356,2.1356,42571200
1985-12-01,2.1524,2.3326,2.1135,2.2973,2.2973,41648400
1986-01-01,2.2902,2.3574,2.2089,2.2902,2.2902,38256000
1986-02-01,2.2973,2.5235,2.2937,2.4952,2.4952,34671600
1986-03-01,2.5123,2.6157,2.4125,2.6121,2.6121,37599600
1986-04-01,2.6085,2.6228,2.4803,2.5373,2.5373,29468400
1986-05-01,2.5373,2.5907,2.3627,2.5052,2.5052,37176000
1986-06-01,2.526,2.5619,2.429,2.5008,2.5008,36870000
1986-07-01,2.5008,2.5152,2.2565,2.3032,2.3032,40570800
1986-08-01,2.2996,2.5404,2.2709,2.526,2.526,31663200
1986-09-01,2.5467,2.5539,2.3003,2.3329,2.3329,33238800
1986-10-01,2.3402,2.4054,2.3039,2.4018,2.4018,27319200
1986-11-01,2.3981,2.5467,2.38,2.5467,2.5467,37203600
1986-12-01,2.561,2.7072,2.4478,2.4478,2.4478,53413200
1987-01-01,2.4405,3.0542,2.4405,2.9154,2.9154,65071200
1987-02-01,2.93,3.1127,2.8935,3.0652,3.0652,48452400
1987-03-01,3.0616,3.215,2.9885,3.0396,3.0396,45982800
1987-04-01,3.025,3.2223,2.835,3.036,3.036,49621200
1987-05-01,3.0396,3.1273,2.8497,3.0104,3.0104,38186400
1987-06-01,3.0535,3.2816,2.899,3.1933,3.1933,40689600
1987-07-01,3.1823,3.2889,3.1675,3.2632,3.2632,28183200
1987-08-01,3.2522,3.701,3.2227,3.495,3.495,46017600
1987-09-01,3.5273,3.6754,3.3311,3.5976,3.5976,39200400
1987-10-01,3.5754,3.6754,2.3762,2.6649,2.6649,65391200
1987-11-01,2.6427,2.8648,2.4317,2.6205,2.6205,38070800
1987-12-01,2.6544,3.1584,2.4528,3.1024,3.1024,37984000
1988-01-01,3.1136,3.2256,2.7328,3.0128,3.0128,29502000
1988-02-01,3.0352,3.1808,2.744,3.08,3.08,22648000
1988-03-01,3.0925,3.1828,2.7426,2.7426,2.7426,28814800
1988-04-01,2.7426,2.957,2.5846,2.7539,2.7539,34204800
1988-05-01,2.7539,2.7877,2.5394,2.6862,2.6862,25107200
1988-06-01,2.7426,2.9816,2.7198,2.9474,2.9474,32624400
1988-07-01,2.9702,2.9702,2.6288,2.7654,2.7654,30953600
1988-08-01,2.754,2.7767,2.4809,2.6174,2.6174,49862000
1988-09-01,2.6179,2.7787,2.5835,2.7557,2.7557,24978800
1988-10-01,2.7672,2.8705,2.6868,2.8131,2.8131,25166400
1988-11-01,2.8016,2.8476,2.595,2.7672,2.7672,20569600
1988-12-01,2.7704,2.9675,2.6893,2.8168,2.8168,27084400
1989-01-01,2.8052,3.0486,2.7588,3.037,3.037,36072800
1989-02-01,3.0138,3.037,2.7356,2.7704,2.7704,26684800
1989-03-01,2.8074,2.8776,2.7723,2.8776,2.8776,28732800
1989-04-01,2.8425,3.0764,2.8191,3.0062,3.0062,25627600
1989-05-01,2.9945,3.439,2.9828,3.3104,3.3104,35116800
1989-06-01,3.3608,3.3726,3.1486,3.1957,3.1957,29744800
