Date,Open,High,Low,Close,Adj Close,Volume
,ENPH,ENPH,ENPH,ENPH,,ENPH
2012-03-01,7.5,8.24,7.06,7.34,7.34,5048600
2012-04-01,7.65,8.2,6.62,7.28,7.28,2458400
2012-05-01,7.5,9.57,6.85,6.9,6.9,1853400
2012-06-01,7.43,7.92,4.9,6.22,6.22,3472400
2012-07-01,6.22,6.6,5.4,5.81,5.81,1690000
2012-08-01,5.87,6.89,4.66,4.96,4.96,2585100
2012-09-01,4.98,5.39,4.05,4.14,4.14,3225900
2012-10-01,4.2,4.29,3.08,3.67,3.67,2768500
2012-11-01,3.74,3.79,1.92,2.79,2.79,4172500
2012-12-01,2.85,3.97,2.51,3.65,3.65,2994500
2013-01-01,3.87,3.98,3.5,3.77,3.77,2683000
2013-02-01,3.84,5.48,3.51,4.93,4.93,6090900
2013-03-01,5.03,6.7,4.56,6.2,6.2,6574000
2013-04-01,6.13,7.58,5.17,7.04,7.04,5905500
2013-05-01,6.92,10.0,6.56,7.72,7.72,7758300
2013-06-01,7.71,8.04,6.14,7.73,7.73,7758600
2013-07-01,7.85,8.38,6.15,6.35,6.35,6616000
2013-08-01,6.43,7.33,5.5,6.29,6.29,6536300
2013-09-01,6.82,8.73,6.49,8.12,8.12,8118800
2013-10-01,8.14,9.37,7.47,7.55,7.55,7343500
2013-11-01,7.82,8.35,6.67,7.25,7.25,6650200
2013-12-01,7.29,7.35,4.54,6.34,6.34,10006900
2014-01-01,6.36,8.39,6.26,7.4,7.4,8111300
2014-02-01,7.4,8.34,6.35,8.07,8.07,6086800
2014-03-01,7.9,8.75,7.13,7.36,7.36,7161900
2014-04-01,7.52,8.57,6.82,7.55,7.55,4956200
2014-05-01,7.56,9.0,6.94,8.45,8.45,8082600
2014-06-01,8.43,8.99,8.15,8.55,8.55,5370500
2014-07-01,8.49,12.19,8.49,10.3,10.3,11565000
2014-08-01,10.23,15.49,9.5,14.08,14.08,17953600
2014-09-01,14.09,17.97,13.91,14.99,14.99,19851900
2014-10-01,15.0,15.14,9.95,15.02,15.02,19760400
2014-11-01,15.0,15.82,9.86,10.51,10.51,18188300
2014-12-01,10.5,14.94,10.09,14.29,14.29,13007500
2015-01-01,14.3,14.71,10.2,12.39,12.39,18132300
2015-02-01,12.4,15.2,12.24,13.78,13.78,14494200
2015-03-01,13.86,15.25,11.72,13.19,13.19,19370900
2015-04-01,13.21,14.17,12.31,12.57,12.57,10927400
2015-05-01,12.39,13.14,9.31,9.47,9.47,23329100
2015-06-01,9.52,10.03,7.54,7.61,7.61,16504100
2015-07-01,7.7,7.86,5.42,5.91,5.91,20959400
2015-08-01,5.97,7.1,3.9,4.6,4.6,21298600
2015-09-01,4.57,4.82,3.42,3.7,3.7,15425600
2015-10-01,3.76,5.37,3.36,3.6,3.6,17756700
2015-11-01,3.61,3.76,1.63,1.67,1.67,28981500
2015-12-01,1.67,4.5,1.67,3.51,3.51,36706400
2016-01-01,3.43,3.73,1.97,2.43,2.43,14683200
2016-02-01,2.44,2.59,1.76,2.33,2.33,11817000
2016-03-01,2.45,3.43,2.01,2.33,2.33,12466100
2016-04-01,2.35,2.8,2.23,2.51,2.51,6513300
2016-05-01,2.51,2.59,1.73,2.09,2.09,8685500
2016-06-01,2.06,2.38,1.89,1.99,1.99,9140500
2016-07-01,1.95,2.14,1.76,1.8,1.8,6215600
2016-08-01,1.77,2.0,1.75,1.82,1.82,5380400
2016-09-01,1.83,1.86,1.16,1.18,1.18,19253100
2016-10-01,1.19,1.22,0.98,1.0,1.0,16525500
2016-11-01,0.99,1.24,0.99,1.12,1.12,11551700
2016-12-01,1.12,1.5,0.95,1.01,1.01,19041700
2017-01-01,1.02,1.99,1.01,1.49,1.49,25328500
2017-02-01,1.5,2.03,1.38,1.79,1.79,18262900
2017-03-01,1.55,1.68,1.14,1.37,1.37,20391600
2017-04-01,1.39,1.41,1.16,1.19,1.19,7411700
2017-05-01,1.19,1.25,0.65,0.76,0.76,29401700
2017-06-01,0.76,0.92,0.75,0.87,0.87,14548700
2017-07-01,0.87,1.07,0.78,0.94,0.94,14540300
2017-08-01,0.93,1.12,0.76,0.92,0.92,16011300
