Date,Open,High,Low,Close,Adj Close,Volume
,EOG,EOG,EOG,EOG,,EOG
1989-10-01,1.5923,1.693,1.5318,1.6124,1.6124,49173600
1989-11-01,1.6225,1.9047,1.6023,1.8644,1.8644,7278400
1989-12-01,1.8644,2.0357,1.8543,2.0357,2.0357,5426400
1990-01-01,2.0155,2.0155,1.6628,1.8442,1.8442,6087200
1990-02-01,1.8584,2.02,1.7372,1.8079,1.8079,4242400
1990-03-01,1.8079,1.8988,1.6968,1.8887,1.8887,7839200
1990-04-01,1.8887,1.9594,1.6766,1.7574,1.7574,5945600
1990-05-01,1.7614,1.9436,1.7411,1.9233,1.9233,14355200
1990-06-01,1.9233,2.0043,1.812,1.9233,1.9233,3932000
1990-07-01,1.9132,1.9841,1.7816,1.9436,1.9436,8556000
1990-08-01,1.9683,2.1204,1.8769,1.8972,1.8972,6543200
1990-09-01,1.9074,2.4451,1.9074,2.1712,2.1712,9141600
1990-10-01,2.161,2.2422,1.9885,2.1915,2.1915,3556000
1990-11-01,2.1958,2.3076,1.7993,1.8298,1.8298,3692800
1990-12-01,1.8196,1.84,1.6163,1.7281,1.7281,7594400
1991-01-01,1.7078,1.7078,1.3215,1.413,1.413,9194400
1991-02-01,1.4069,1.8147,1.4069,1.6924,1.6924,10592000
1991-03-01,1.6924,1.8147,1.6414,1.6414,1.6414,4989600
1991-04-01,1.6516,1.723,1.5089,1.5497,1.5497,7399200
1991-05-01,1.5536,1.7172,1.4923,1.7172,1.7172,8267200
1991-06-01,1.7376,1.7581,1.4719,1.4719,1.4719,4651200
1991-07-01,1.4719,1.7478,1.4412,1.6559,1.6559,7780800
1991-08-01,1.6604,1.9679,1.6604,1.9166,1.9166,6719200
1991-09-01,1.8961,2.0191,1.8039,1.9576,1.9576,4270400
1991-10-01,1.9576,2.0191,1.8039,1.8654,1.8654,6720800
1991-11-01,1.8796,2.0645,1.7153,1.7461,1.7461,3395200
1991-12-01,1.7461,1.7666,1.5817,1.6023,1.6023,6508800
1992-01-01,1.592,1.6742,1.3866,1.479,1.479,12247200
1992-02-01,1.4893,1.5407,1.3661,1.4688,1.4688,6790400
1992-03-01,1.479,1.7974,1.4688,1.7461,1.7461,8728800
1992-04-01,1.7461,2.085,1.6742,2.0029,2.0029,8622400
1992-05-01,1.9973,2.1415,1.7708,2.0385,2.0385,10916800
1992-06-01,2.0282,2.2444,2.0282,2.1003,2.1003,20593600
1992-07-01,2.1209,2.4092,2.1106,2.3989,2.3989,10363200
1992-08-01,2.3931,2.6303,2.0939,2.5581,2.5581,28948800
1992-09-01,2.5581,2.9604,2.5478,2.7438,2.7438,16194400
1992-10-01,2.7335,2.8469,2.455,2.5169,2.5169,9503200
1992-11-01,2.5311,2.5621,2.2935,2.3452,2.3452,13816800
1992-12-01,2.3452,2.4485,2.2625,2.4278,2.4278,14051200
1993-01-01,2.4382,2.6448,2.2109,2.6241,2.6241,14211200
1993-02-01,2.6505,3.0543,2.6505,2.9197,2.9197,20369600
1993-03-01,2.9404,3.3649,2.9301,3.3235,3.3235,15286400
1993-04-01,3.3338,3.3546,2.9611,3.2614,3.2614,9439200
1993-05-01,3.2871,3.536,3.1731,3.5256,3.5256,10763200
1993-06-01,3.5464,3.733,3.3079,3.3805,3.3805,12481600
1993-07-01,3.3701,3.5464,3.2975,3.536,3.536,9697600
1993-08-01,3.5411,4.455,3.5307,4.1746,4.1746,13799200
1993-09-01,4.1746,4.403,3.915,4.403,4.403,8352000
1993-10-01,4.3823,4.4861,3.323,3.5515,3.5515,17476000
1993-11-01,3.566,3.8155,3.1813,3.2125,3.2125,11559200
1993-12-01,3.2333,3.2957,2.8383,3.2437,3.2437,9153600
1994-01-01,3.2437,3.7739,3.2125,3.67,3.67,25031200
1994-02-01,3.6959,3.9561,3.5501,3.5814,3.5814,8416000
1994-03-01,3.6022,3.8729,3.2794,3.5605,3.5605,12719200
1994-04-01,3.5397,4.0082,3.4772,3.9561,3.9561,13441600
1994-05-01,3.9409,4.1077,3.6698,3.6698,3.6698,9928000
1994-06-01,3.6698,3.9826,3.5655,3.8366,3.8366,6578800
1994-07-01,3.8366,3.8366,3.2736,3.3153,3.3153,3260400
1994-08-01,3.299,3.4242,3.0902,3.2155,3.2155,13588000
1994-09-01,3.1946,3.633,3.1946,3.4034,3.4034,10965600
1994-10-01,3.4034,3.8001,3.3198,3.6957,3.6957,5965200
1994-11-01,3.7012,3.7221,2.9902,3.032,3.032,9787200
1994-12-01,3.032,3.3248,2.9066,3.1366,3.1366,8508400
1995-01-01,3.1784,3.2202,2.8647,2.9693,2.9693,5821600
1995-02-01,2.9742,3.4978,2.9742,3.4978,3.4978,5550800
1995-03-01,3.4769,4.168,3.435,4.1262,4.1262,8335200
1995-04-01,4.1262,4.1471,3.7073,3.8329,3.8329,10608000
1995-05-01,3.8589,4.1106,3.775,4.0687,4.0687,6585200
1995-06-01,4.0687,4.0896,3.3975,3.6492,3.6492,10372000
1995-07-01,3.6282,3.6702,3.3556,3.6282,3.6282,7202800
1995-08-01,3.6125,3.9276,3.4445,3.9066,3.9066,9137200
1995-09-01,3.9276,4.2636,3.6545,3.6545,3.6545,7002000
1995-10-01,3.6755,3.8225,3.1505,3.3605,3.3605,11187600
1995-11-01,3.3652,3.6597,3.2811,3.5335,3.5335,10563600
1995-12-01,3.5335,4.1855,3.4493,4.0382,4.0382,47517600
1996-01-01,4.0803,4.1434,3.7648,4.1013,4.1013,22244000
1996-02-01,4.1276,4.8014,4.0644,4.2118,4.2118,30524800
1996-03-01,4.2118,4.4856,4.0433,4.4434,4.4434,24096800
1996-04-01,4.4434,4.8225,4.3803,4.4645,4.4645,22156000
1996-05-01,4.4693,4.5537,4.1109,4.2585,4.2585,20066000
1996-06-01,4.2585,4.7012,4.0266,4.7012,4.7012,31608000
1996-07-01,4.7012,5.165,4.132,4.2164,4.2164,37516400
1996-08-01,4.2205,4.6426,4.2205,4.3683,4.3683,12938400
1996-09-01,4.3894,4.4949,3.8618,4.1994,4.1994,26941600
1996-10-01,4.2205,4.4105,3.9251,4.3472,4.3472,33596400
1996-11-01,4.3523,4.796,4.0565,4.5002,4.5002,28322000
1996-12-01,4.5214,4.5636,4.1622,4.2678,4.2678,21973600
1997-01-01,4.2256,4.5636,3.803,3.9298,3.9298,48589600
1997-02-01,3.9765,3.9765,3.3631,3.4266,3.4266,48270000
1997-03-01,3.3843,3.6592,3.3843,3.5112,3.5112,19774000
