Date,Open,High,Low,Close,Adj Close,Volume
,EPAM,EPAM,EPAM,EPAM,,EPAM
2012-02-01,13.75,15.05,13.25,14.13,14.13,6037600
2012-03-01,14.15,21.25,14.1,20.52,20.52,6937500
2012-04-01,20.39,23.62,19.08,20.64,20.64,3145900
2012-05-01,20.61,22.1,14.72,17.5,17.5,3525000
2012-06-01,17.16,18.27,16.21,16.99,16.99,1837100
2012-07-01,16.99,17.38,13.94,16.04,16.04,1071100
2012-08-01,16.1,18.79,15.32,17.5,17.5,6359400
2012-09-01,17.62,19.64,17.27,18.94,18.94,3472700
2012-10-01,18.95,19.63,17.32,17.98,17.98,1632700
2012-11-01,18.02,20.95,17.7,20.57,20.57,4787600
2012-12-01,20.57,20.99,18.1,18.1,18.1,3373100
2013-01-01,18.52,21.1,18.44,20.72,20.72,2600600
2013-02-01,20.71,22.22,19.62,20.98,20.98,2573000
2013-03-01,20.85,23.8,20.81,23.23,23.23,4612700
2013-04-01,23.17,23.73,20.5,21.5,21.5,3935000
2013-05-01,21.4,24.08,21.3,23.16,23.16,3307000
2013-06-01,23.16,27.7,22.86,27.18,27.18,8350100
2013-07-01,27.26,29.42,25.1,28.95,28.95,5529100
2013-08-01,29.2,32.5,28.45,31.98,31.98,11465100
2013-09-01,32.29,35.34,31.5,34.5,34.5,8329900
2013-10-01,34.51,39.76,33.02,37.47,37.47,6952200
2013-11-01,37.33,37.4,33.0,35.47,35.47,10387500
2013-12-01,35.46,36.23,32.36,34.94,34.94,6122000
2014-01-01,34.78,42.39,34.66,40.9,40.9,6193700
2014-02-01,40.87,46.7,39.43,41.93,41.93,8009900
2014-03-01,40.22,40.22,31.34,32.9,32.9,19515400
2014-04-01,33.06,36.58,29.44,31.13,31.13,14592000
2014-05-01,32.22,42.96,31.3,42.07,42.07,11808000
2014-06-01,42.1,45.99,41.43,43.75,43.75,8560900
2014-07-01,43.87,44.0,37.47,38.66,38.66,6404000
2014-08-01,38.57,41.75,37.0,37.65,37.65,10294900
2014-09-01,37.77,44.36,36.81,43.79,43.79,6866900
2014-10-01,43.82,48.99,40.42,47.74,47.74,9859500
2014-11-01,47.96,52.29,42.78,51.03,51.03,8055700
2014-12-01,51.03,52.89,46.18,47.75,47.75,8779900
2015-01-01,47.77,50.45,45.27,48.93,48.93,5944400
2015-02-01,49.07,63.5,45.74,61.68,61.68,7851100
2015-03-01,61.68,62.93,58.23,61.29,61.29,7551000
2015-04-01,61.23,70.49,59.51,64.71,64.71,9822400
2015-05-01,64.99,73.11,57.58,71.91,71.91,10528100
2015-06-01,72.63,74.49,68.75,71.23,71.23,8586300
2015-07-01,72.17,75.89,70.51,74.11,74.11,7030900
2015-08-01,74.0,76.69,63.37,70.61,70.61,10834900
2015-09-01,69.62,75.83,68.53,74.52,74.52,6982600
2015-10-01,74.24,81.95,73.22,77.35,77.35,9961400
2015-11-01,77.6,79.81,67.29,78.73,78.73,9126400
2015-12-01,78.75,84.41,77.68,78.62,78.62,7444000
2016-01-01,77.97,78.04,64.82,74.9,74.9,9201200
2016-02-01,74.36,76.77,54.88,68.38,68.38,14896500
2016-03-01,68.93,75.25,67.12,74.67,74.67,9032000
2016-04-01,74.19,78.4,72.11,72.93,72.93,8408300
2016-05-01,73.22,76.68,69.46,76.51,76.51,9877200
2016-06-01,76.06,76.65,61.32,64.31,64.31,11610000
2016-07-01,64.39,71.09,61.47,70.24,70.24,8571300
2016-08-01,70.17,71.79,62.82,68.21,68.21,9315700
2016-09-01,68.2,71.32,66.43,69.31,69.31,6789700
2016-10-01,69.2,69.2,62.95,64.37,64.37,6154300
2016-11-01,64.31,68.13,54.53,65.9,65.9,11939300
2016-12-01,65.82,65.86,61.34,64.31,64.31,7550500
2017-01-01,64.68,67.57,63.32,64.36,64.36,7961200
2017-02-01,64.69,74.4,63.52,73.63,73.63,10371000
2017-03-01,74.23,76.16,71.58,75.52,75.52,8311100
2017-04-01,75.32,78.49,73.49,77.0,77.0,7469400
2017-05-01,76.95,85.58,73.86,83.88,83.88,8089500
2017-06-01,83.97,86.98,79.7,84.09,84.09,6526800
2017-07-01,84.7,87.93,81.57,85.93,85.93,3727600
2017-08-01,85.92,86.3,77.96,81.33,81.33,5470000
2017-09-01,81.5,88.18,80.58,87.93,87.93,6882600
2017-10-01,87.94,91.97,86.53,91.15,91.15,5927900
