Date,Open,High,Low,Close,Adj Close,Volume
,EQIX,EQIX,EQIX,EQIX,,EQIX
2000-08-01,306.8969,397.1607,287.3398,389.6388,389.6388,1377402
2000-09-01,388.1343,391.1431,207.6067,213.6243,213.6243,424834
2000-10-01,225.6595,246.721,97.7858,234.6859,234.6859,402591
2000-11-01,234.3097,252.7386,102.299,105.3077,105.3077,227035
2000-12-01,105.3077,183.5364,78.2286,105.3077,105.3077,178217
2001-01-01,106.436,180.5275,78.2286,142.9176,142.9176,175221
2001-02-01,142.9176,168.4924,87.255,90.2638,90.2638,139501
2001-03-01,89.5116,102.299,25.5747,30.0879,30.0879,292311
2001-04-01,33.0967,44.5301,12.0352,31.7728,31.7728,573532
2001-05-01,32.495,45.9744,24.0703,31.2914,31.2914,230705
2001-06-01,33.2171,37.5497,24.311,25.7553,25.7553,267637
2001-07-01,26.4774,37.309,24.0703,33.6985,33.6985,133811
2001-08-01,31.0507,33.4578,17.3306,17.5714,17.5714,108852
2001-09-01,18.0528,18.7749,7.9432,10.8317,10.8317,332318
2001-10-01,10.5909,18.2935,8.4246,12.998,12.998,354551
2001-11-01,12.998,49.8256,11.5538,39.7161,39.7161,414008
2001-12-01,40.9196,83.7648,30.5693,69.804,69.804,435831
2002-01-01,68.1191,84.9683,47.4186,55.1211,55.1211,392557
2002-02-01,56.0839,56.3246,29.1251,30.0879,30.0879,267922
2002-03-01,30.81,35.3834,23.8296,29.1251,29.1251,339534
2002-04-01,29.8472,30.0879,11.7945,13.7201,13.7201,526563
2002-05-01,14.2015,14.9236,8.1839,11.0724,11.0724,449467
2002-06-01,11.5538,12.2759,7.4618,8.4246,8.4246,167088
2002-07-01,8.6653,15.405,7.4618,11.5538,11.5538,185174
2002-08-01,11.5538,12.7573,6.7397,7.4618,7.4618,239441
2002-09-01,7.2211,9.6281,4.5734,8.1839,8.1839,221159
2002-10-01,7.7025,11.0724,5.0548,6.7397,6.7397,427021
2002-11-01,6.499,9.6281,6.0176,8.4246,8.4246,640902
2002-12-01,8.6653,8.906,4.2123,4.2875,4.2875,350928
2003-01-01,4.3327,5.98,1.5044,2.6327,2.6327,1015500
2003-02-01,2.3469,3.3774,2.2566,2.5951,2.5951,609900
2003-03-01,2.5725,3.2946,2.1438,2.219,2.219,919400
2003-04-01,2.2867,2.58,2.1438,2.4446,2.4446,774000
2003-05-01,2.4823,6.7698,2.4823,6.2583,6.2583,2483900
2003-06-01,6.2508,8.026,5.5362,5.9048,5.9048,1388200
2003-07-01,5.7242,15.232,5.6415,14.3294,14.3294,1954500
2003-08-01,13.3515,14.1037,9.0264,13.9458,13.9458,2300200
2003-09-01,13.5396,17.7895,13.1635,14.021,14.021,2635200
2003-10-01,13.8028,15.6081,13.2387,13.69,13.69,1230000
2003-11-01,13.69,20.9111,12.6369,20.0912,20.0912,6041500
2003-12-01,19.9709,21.9266,18.0979,21.2195,21.2195,2756400
2004-01-01,21.2947,28.2375,21.212,24.7548,24.7548,4435700
2004-02-01,24.4464,25.2739,18.2333,21.4301,21.4301,6216400
2004-03-01,21.7235,27.8238,20.8735,27.2521,27.2521,5145400
2004-04-01,27.1544,27.5605,21.3098,21.9567,21.9567,4580000
2004-05-01,22.0695,24.4464,20.5124,23.7319,23.7319,2674300
2004-06-01,23.8146,25.5973,22.5659,25.5296,25.5296,3073500
2004-07-01,25.5371,26.1389,19.9333,24.4464,24.4464,4037400
2004-08-01,24.3562,25.0256,21.4527,23.9124,23.9124,2531100
2004-09-01,23.7695,24.4088,22.2726,23.1451,23.1451,1284600
2004-10-01,23.0398,29.3357,22.6412,28.3503,28.3503,3660300
2004-11-01,28.2074,31.126,26.7858,29.2455,29.2455,3607900
2004-12-01,29.1176,32.9839,27.8614,32.149,32.149,3071300
2005-01-01,32.3445,32.6604,30.1932,31.5472,31.5472,2049800
2005-02-01,31.1636,33.8489,31.0507,32.9388,32.9388,2154800
2005-03-01,32.4874,34.8945,30.3963,31.8481,31.8481,3796300
2005-04-01,30.5844,31.4419,26.011,26.3119,26.3119,2854100
