Date,Open,High,Low,Close,Adj Close,Volume
,EQR,EQR,EQR,EQR,,EQR
1993-08-01,2.7904,2.7904,2.634,2.7663,2.7663,18079400
1993-09-01,2.7784,3.1031,2.7543,2.9949,2.9949,4713200
1993-10-01,3.0159,3.5609,2.9311,3.355,3.355,4714600
1993-11-01,3.3429,3.5367,2.9795,3.1491,3.1491,3072200
1993-12-01,3.1249,3.1249,2.8221,3.0886,3.0886,2896000
1994-01-01,3.1106,3.1106,2.7909,2.8647,2.8647,4376400
1994-02-01,2.8524,3.295,2.8032,3.2335,3.2335,3413800
1994-03-01,3.2212,3.2827,2.9261,2.963,2.963,2676000
1994-04-01,2.9821,3.344,2.8449,3.2691,3.2691,2358200
1994-05-01,3.2691,3.5062,3.1943,3.3689,3.3689,1930600
1994-06-01,3.4431,3.5444,3.0127,3.0127,3.0127,1575800
1994-07-01,3.0834,3.4046,2.9935,3.3661,3.3661,11230000
1994-08-01,3.3661,3.4432,3.2119,3.3918,3.3918,2490800
1994-09-01,3.3404,3.4046,3.2119,3.2633,3.2633,2354000
1994-10-01,3.3137,3.3658,3.0266,3.118,3.118,6389800
1994-11-01,3.118,3.118,2.6875,2.831,2.831,4210400
1994-12-01,2.8049,3.1962,2.7266,3.131,3.131,4009800
1995-01-01,3.1865,3.1865,2.8147,2.828,2.828,2774800
1995-02-01,2.8546,2.9475,2.6554,2.8811,2.8811,7173600
1995-03-01,2.8811,2.9077,2.7218,2.7616,2.7616,3865200
1995-04-01,2.8296,2.9244,2.6942,2.8973,2.8973,2650400
1995-05-01,2.9109,3.2087,2.8567,3.1004,3.1004,4813800
1995-06-01,3.0869,3.2358,2.9109,3.0192,3.0192,4308600
1995-07-01,3.0895,3.3102,3.0619,3.255,3.255,2060000
1995-08-01,3.255,3.2964,3.0895,3.255,3.255,3522600
1995-09-01,3.255,3.4481,3.2137,3.324,3.324,2451000
1995-10-01,3.3797,3.4077,3.1413,3.1553,3.1553,2496600
1995-11-01,3.1553,3.4779,3.1133,3.4779,3.4779,1976800
1995-12-01,3.4638,3.576,3.3797,3.4358,3.4358,3560000
1996-01-01,3.5022,3.5308,3.2306,3.5165,3.5165,8944000
1996-02-01,3.5022,3.7166,3.445,3.6308,3.6308,3385400
1996-03-01,3.6594,3.8738,3.4879,3.5737,3.5737,5128400
1996-04-01,3.6686,3.8724,3.6104,3.7559,3.7559,2353000
1996-05-01,3.7559,3.8578,3.5958,3.6104,3.6104,3728800
1996-06-01,3.6104,3.9015,3.5958,3.8287,3.8287,4147800
1996-07-01,3.8976,4.0606,3.8976,4.0014,4.0014,2899200
1996-08-01,4.0162,4.2237,4.0162,4.194,4.194,2586000
1996-09-01,4.1792,4.2829,4.1496,4.2237,4.2237,4317600
1996-10-01,4.3249,4.5359,4.2948,4.4304,4.4304,4456800
1996-11-01,4.4455,4.9126,4.4304,4.8373,4.8373,4535600
1996-12-01,4.8222,5.2442,4.8222,4.9729,4.9729,10180600
1997-01-01,5.0163,5.3222,4.8634,5.261,5.261,9472200
1997-02-01,5.261,5.5975,5.1693,5.5363,5.5363,5106200
1997-03-01,5.5363,5.9798,5.3834,5.4369,5.4369,5033200
1997-04-01,5.5026,5.7041,5.1151,5.4251,5.4251,4198400
1997-05-01,5.4251,5.8591,5.3011,5.8591,5.8591,4732800
1997-06-01,5.8591,5.8901,5.6111,5.8901,5.8901,8232400
1997-07-01,5.9858,6.5514,5.9229,6.3393,6.3393,4550000
1997-08-01,6.3471,6.6613,6.0643,6.1193,6.1193,7073600
1997-09-01,6.1115,6.8577,6.1115,6.8577,6.8577,9507000
1997-10-01,6.9422,6.9978,6.0277,6.4253,6.4253,5666400
1997-11-01,6.4253,6.473,6.1947,6.3617,6.3617,4909600
1997-12-01,6.3458,6.6002,6.1867,6.4332,6.4332,6959200
1998-01-01,6.496,6.7286,6.4158,6.5602,6.5602,9378400
1998-02-01,6.6003,6.6003,6.1512,6.1592,6.1592,11489800
1998-03-01,6.1512,6.5442,6.0229,6.4479,6.4479,16166400
1998-04-01,6.5357,6.8365,6.2593,6.3894,6.3894,9843800
1998-05-01,6.3894,6.4382,6.2106,6.365,6.365,5822800
1998-06-01,6.3406,6.4869,5.7878,6.1618,6.1618,11723600
1998-07-01,6.2036,6.2696,5.4942,5.5436,5.5436,13805800
1998-08-01,5.5436,5.6756,5.2714,5.2714,5.2714,10753600
1998-09-01,5.2632,5.9066,4.5785,5.5684,5.5684,14206400
1998-10-01,5.674,5.7412,5.2117,5.6488,5.6488,10507400
1998-11-01,5.6488,5.8337,5.5815,5.7076,5.7076,7878600
1998-12-01,5.674,5.7833,5.363,5.4218,5.4218,9843200
