Date,Open,High,Low,Close,Adj Close,Volume
,EQT,EQT,EQT,EQT,,EQT
1985-01-01,0.0,0.9522,0.8772,0.9359,0.9359,9374212
1985-02-01,0.0,1.0892,0.9196,1.037,1.037,13206560
1985-03-01,0.0,1.0501,0.9783,1.0501,1.0501,5832845
1985-04-01,0.0,1.2001,1.0435,1.1349,1.1349,12532014
1985-05-01,0.0,1.2914,1.1381,1.2196,1.2196,20469508
1985-06-01,0.0,1.249,1.0762,1.2327,1.2327,19654430
1985-07-01,0.0,1.3175,1.2066,1.2327,1.2327,20044608
1985-08-01,0.0,1.2457,1.0696,1.2131,1.2131,15061563
1985-09-01,0.0,1.262,1.0696,1.0892,1.0892,9276668
1985-10-01,0.0,1.1544,1.0762,1.1218,1.1218,10458776
1985-11-01,0.0,1.1675,1.0957,1.1186,1.1186,4779693
1985-12-01,0.0,1.1283,0.9718,1.0109,1.0109,9637087
1986-01-01,0.0,1.0435,0.9262,0.9392,0.9392,7686194
1986-02-01,0.0,0.9783,0.8642,0.9718,0.9718,9562688
1986-03-01,0.0,0.9979,0.9066,0.9588,0.9588,8372313
1986-04-01,0.0,1.1186,0.949,1.1022,1.1022,9529622
1986-05-01,0.0,1.2033,1.0892,1.1968,1.1968,8638495
1986-06-01,0.0,1.2131,1.1609,1.1642,1.1642,10700159
1986-07-01,0.0,1.174,1.1088,1.1088,1.1088,6905836
1986-08-01,0.0,1.1675,1.0957,1.1609,1.1609,3453743
1986-09-01,0.0,1.2066,1.1349,1.187,1.187,12036026
1986-10-01,0.0,1.2229,1.1642,1.2131,1.2131,6680988
1986-11-01,0.0,1.4088,1.2066,1.3827,1.3827,15797283
1986-12-01,0.0,1.4512,1.3762,1.4284,1.4284,10390992
1987-01-01,0.0,1.5914,1.4218,1.5523,1.5523,10071905
1987-02-01,0.0,1.6697,1.5392,1.6273,1.6273,6874422
1987-03-01,0.0,1.8138,1.6167,1.7974,1.7974,4796224
1987-04-01,0.0,1.8483,1.4885,1.6561,1.6561,6213101
1987-05-01,0.0,1.7941,1.5871,1.735,1.735,7876322
1987-06-01,0.0,1.7771,1.6629,1.6877,1.6877,4949980
1987-07-01,0.0,1.7076,1.6381,1.6729,1.6729,8697460
1987-08-01,0.0,1.7423,1.6232,1.6679,1.6679,7963395
1987-09-01,0.0,1.6996,1.3996,1.5646,1.5646,7239253
1987-10-01,0.0,1.6896,1.0997,1.2697,1.2697,10767391
1987-11-01,0.0,1.2647,1.1297,1.2297,1.2297,6996765
1987-12-01,1.2313,1.3272,1.1001,1.2767,1.2767,7125723
1988-01-01,1.2868,1.4635,1.2717,1.2919,1.2919,7113600
1988-02-01,1.302,1.3676,1.2717,1.3575,1.3575,4959901
1988-03-01,1.3804,1.4568,1.3346,1.3957,1.3957,6235145
1988-04-01,1.3906,1.4874,1.3448,1.3906,1.3906,4437456
1988-05-01,1.3804,1.3855,1.2072,1.2276,1.2276,4858498
1988-06-01,1.2541,1.434,1.2541,1.434,1.434,5350076
1988-07-01,1.434,1.4391,1.3158,1.3569,1.3569,5259699
1988-08-01,1.3569,1.3672,1.2438,1.3569,1.3569,6500773
1988-09-01,1.3603,1.4019,1.298,1.4019,1.4019,4234652
1988-10-01,1.3967,1.4019,1.3084,1.3344,1.3344,10307773
1988-11-01,1.324,1.433,1.324,1.3967,1.3967,5190260
1988-12-01,1.4107,1.4789,1.374,1.4212,1.4212,5179240
1989-01-01,1.416,1.4789,1.3635,1.4475,1.4475,6466607
1989-02-01,1.4422,1.4579,1.3426,1.3845,1.3845,4237958
1989-03-01,1.3975,1.461,1.3975,1.4398,1.4398,7392455
1989-04-01,1.4345,1.5669,1.4134,1.5404,1.5404,6422519
1989-05-01,1.5404,1.6939,1.5245,1.6886,1.6886,4556494
1989-06-01,1.7086,1.7834,1.6446,1.7353,1.7353,4945570
1989-07-01,1.73,1.8795,1.698,1.7941,1.7941,6230736
1989-08-01,1.7941,1.8528,1.6766,1.6873,1.6873,5398577
1989-09-01,1.7108,1.7215,1.6032,1.6946,1.6946,4749380
1989-10-01,1.7054,1.7054,1.5655,1.657,1.657,3779443
1989-11-01,1.6462,1.657,1.5279,1.6247,1.6247,4111206
1989-12-01,1.6336,1.8344,1.6173,1.8019,1.8019,9627717
1990-01-01,1.8019,1.8019,1.6282,1.639,1.639,5102083
1990-02-01,1.6336,1.7367,1.6173,1.6499,1.6499,3908401
1990-03-01,1.6537,1.6702,1.5114,1.6154,1.6154,6182240
1990-04-01,1.6099,1.6318,1.5004,1.5004,1.5004,5585947
1990-05-01,1.5114,1.6975,1.5114,1.6482,1.6482,5109802
1990-06-01,1.6642,1.6753,1.5758,1.6145,1.6145,3696777
1990-07-01,1.6034,1.6587,1.5481,1.5979,1.5979,9313589
1990-08-01,1.5979,1.7472,1.5979,1.6366,1.6366,7255782
1990-09-01,1.6397,1.8404,1.6397,1.6731,1.6731,5475729
1990-10-01,1.6843,1.8014,1.6285,1.7401,1.7401,6383940
1990-11-01,1.7345,1.7679,1.6675,1.7401,1.7401,9006077
1990-12-01,1.756,1.8123,1.6716,1.711,1.711,3200790
1991-01-01,1.6998,1.711,1.5365,1.5872,1.5872,6382840
1991-02-01,1.5928,1.6885,1.5703,1.621,1.621,5223328
1991-03-01,1.6488,1.7341,1.6261,1.7114,1.7114,7591956
1991-04-01,1.6829,1.808,1.6545,1.717,1.717,4651286
1991-05-01,1.7284,1.7739,1.6772,1.7455,1.7455,7188550
1991-06-01,1.7506,1.7735,1.5841,1.6415,1.6415,6288052
1991-07-01,1.653,1.7448,1.63,1.6874,1.6874,4779137
1991-08-01,1.6702,1.762,1.6128,1.762,1.762,3713310
1991-09-01,1.7851,1.8199,1.7039,1.7329,1.7329,6338752
1991-10-01,1.7271,1.8778,1.7213,1.8488,1.8488,3885256
1991-11-01,1.8604,1.9126,1.7851,1.8546,1.8546,12320391
1991-12-01,1.8746,1.9332,1.7868,1.9157,1.9157,8000872
1992-01-01,1.9157,1.9508,1.8278,1.8629,1.8629,11694341
1992-02-01,1.8395,1.8571,1.7282,1.7516,1.7516,7531334
1992-03-01,1.7628,1.7865,1.6682,1.6859,1.6859,8187141
1992-04-01,1.68,1.8102,1.6623,1.7983,1.7983,5049178
1992-05-01,1.8102,1.9226,1.7865,1.893,1.893,6778527
1992-06-01,1.9001,1.9898,1.8523,1.9599,1.9599,5283947
1992-07-01,1.9539,2.1033,1.948,2.1033,2.1033,5304886
1992-08-01,2.0854,2.2826,2.0854,2.2587,2.2587,7685639
1992-09-01,2.2907,2.3871,2.2002,2.3148,2.3148,10487431
1992-10-01,2.3208,2.4112,2.2786,2.3268,2.3268,6652880
1992-11-01,2.3268,2.363,2.2424,2.3087,2.3087,5790959
1992-12-01,2.3347,2.4928,2.3347,2.4563,2.4563,6853479
1993-01-01,2.4442,2.6266,2.4077,2.6266,2.6266,4287557
1993-02-01,2.6266,2.7178,2.4807,2.5263,2.5263,4574128
1993-03-01,2.5448,3.0501,2.5448,2.8296,2.8296,9754472
1993-04-01,2.8296,2.9858,2.7102,2.7378,2.7378,8942516
1993-05-01,2.7469,2.995,2.7286,2.9307,2.9307,3235324
1993-06-01,2.9411,2.9966,2.8116,2.8116,2.8116,4142805
1993-07-01,2.8209,2.8486,2.6081,2.7376,2.7376,5364040
1993-08-01,2.7376,3.2741,2.7191,3.1631,3.1631,10448855
1993-09-01,3.185,3.2036,2.8683,3.0732,3.0732,17647692
1993-10-01,3.0732,3.185,2.859,2.9149,2.9149,12475433
1993-11-01,2.9149,3.0267,2.7007,2.7007,2.7007,5533043
1993-12-01,2.7388,2.7857,2.645,2.7482,2.7482,7824884
1994-01-01,2.7294,2.8513,2.5512,2.8513,2.8513,10255604
1994-02-01,2.8513,2.9076,2.6825,2.7107,2.7107,6192159
1994-03-01,2.7216,2.7877,2.5893,2.6271,2.6271,5821085
1994-04-01,2.6082,2.7877,2.5326,2.7405,2.7405,3519691
1994-05-01,2.7594,2.7972,2.4381,2.5987,2.5987,6263436
1994-06-01,2.6199,2.7628,2.6008,2.6199,2.6199,5100248
1994-07-01,2.6294,2.7152,2.5532,2.5723,2.5723,5015744
1994-08-01,2.5532,2.6104,2.4103,2.4579,2.4579,12149919
1994-09-01,2.4692,2.498,2.229,2.3058,2.3058,9069637
1994-10-01,2.3635,2.3923,2.2002,2.3443,2.3443,12382849
1994-11-01,2.3443,2.3539,2.0753,2.0753,2.0753,11718591
1994-12-01,2.0955,2.1343,1.9791,2.1052,2.1052,10603164
1995-01-01,2.0955,2.2605,2.0955,2.2217,2.2217,16534468
1995-02-01,2.2217,2.2993,2.1149,2.1537,2.1537,13934748
1995-03-01,2.166,2.2542,2.1072,2.1856,2.1856,10354068
1995-04-01,2.166,2.3424,2.166,2.2444,2.2444,5874725
1995-05-01,2.2444,2.4502,2.2052,2.3424,2.3424,7291417
1995-06-01,2.366,2.3956,2.2175,2.2868,2.2868,9010854
1995-07-01,2.3066,2.3462,2.1977,2.1977,2.1977,11859668
1995-08-01,2.2076,2.2274,2.0492,2.2076,2.2076,11376909
1995-09-01,2.2523,2.4625,2.2423,2.3624,2.3624,12219724
1995-10-01,2.3424,2.3825,2.3024,2.3424,2.3424,7846195
1995-11-01,2.3324,2.4625,2.3024,2.4625,2.4625,12441635
1995-12-01,2.4676,2.5384,2.3665,2.5283,2.5283,8087944
1996-01-01,2.5182,2.5485,2.2451,2.2957,2.2957,12552588
1996-02-01,2.3058,2.4069,2.3058,2.3159,2.3159,18378084
1996-03-01,2.3395,2.4212,2.3089,2.3906,2.3906,16463928
1996-04-01,2.3804,2.503,2.3702,2.4723,2.4723,9919801
1996-05-01,2.4621,2.4928,2.4315,2.4315,2.4315,6742523
1996-06-01,2.4554,2.4657,2.2903,2.3316,2.3316,7548599
1996-07-01,2.3522,2.3935,2.084,2.0943,2.0943,5304520
1996-08-01,2.1046,2.4451,2.084,2.3625,2.3625,14815038
1996-09-01,2.41,2.4935,2.3474,2.3787,2.3787,7530965
1996-10-01,2.3474,2.4204,2.2952,2.3996,2.3996,9338573
1996-11-01,2.3996,2.5978,2.3787,2.5456,2.5456,8469306
1996-12-01,2.5711,2.5817,2.3815,2.5079,2.5079,7156953
1997-01-01,2.4552,2.7397,2.3393,2.7397,2.7397,18394248
1997-02-01,2.7397,2.7608,2.4447,2.4974,2.4974,14099341
1997-03-01,2.51,2.6908,2.4781,2.6057,2.6057,9868364
1997-04-01,2.6163,2.6376,2.4781,2.5206,2.5206,8702235
1997-05-01,2.5206,2.627,2.4993,2.5206,2.5206,9085802
1997-06-01,2.5456,2.5671,2.4114,2.4382,2.4382,19336996
1997-07-01,2.4382,2.5779,2.3523,2.5618,2.5618,19950554
1997-08-01,2.5832,2.6584,2.4329,2.6262,2.6262,10381988
1997-09-01,2.6686,2.7553,2.5655,2.7336,2.7336,14669549
1997-10-01,2.7336,2.815,2.5709,2.7608,2.7608,9747123
1997-11-01,2.7716,2.9072,2.6686,2.8096,2.8096,9800761
1997-12-01,2.8358,3.1095,2.7701,3.0985,3.0985,7929961
1998-01-01,3.0821,3.0876,2.7755,2.8796,2.8796,10847852
1998-02-01,2.885,2.9617,2.7153,2.7591,2.7591,16783566
1998-03-01,2.7837,2.9826,2.618,2.9384,2.9384,16593253
1998-04-01,2.9494,3.093,2.7395,2.8721,2.8721,11371029
1998-05-01,2.8666,2.9384,2.4744,2.5186,2.5186,12049250
1998-06-01,2.5199,2.7206,2.4028,2.7206,2.7206,13457862
1998-07-01,2.6983,2.6983,2.1965,2.1965,2.1965,8201103
1998-08-01,2.1965,2.2467,1.9178,1.9512,1.9512,15899602
