Date,Open,High,Low,Close,Adj Close,Volume
,EVRG,EVRG,EVRG,EVRG,,EVRG
1985-01-01,0.0,2.2575,2.107,2.2337,2.2337,1011400
1985-02-01,0.0,2.2337,2.107,2.1149,2.1149,1624600
1985-03-01,0.0,2.2495,2.0515,2.2337,2.2337,1226600
1985-04-01,0.0,2.3604,2.1782,2.3208,2.3208,1101000
1985-05-01,0.0,2.5188,2.305,2.4555,2.4555,1209400
1985-06-01,0.0,2.4951,2.4396,2.4872,2.4872,1115200
1985-07-01,0.0,2.6218,2.1862,2.2337,2.2337,1190600
1985-08-01,0.0,2.4159,2.2337,2.2971,2.2971,1350200
1985-09-01,0.0,2.3446,2.1466,2.2178,2.2178,814600
1985-10-01,0.0,2.4159,2.2178,2.4079,2.4079,614600
1985-11-01,0.0,2.4872,2.3525,2.4872,2.4872,1121000
1985-12-01,0.0,2.6218,2.4079,2.5188,2.5188,1221000
1986-01-01,0.0,2.6377,2.5109,2.6297,2.6297,1382400
1986-02-01,0.0,2.8911,2.606,2.8198,2.8198,1153600
1986-03-01,0.0,3.0099,2.8278,3.002,3.002,1582600
1986-04-01,0.0,3.1763,2.9466,3.0733,3.0733,1666200
1986-05-01,0.0,3.1763,3.0495,3.1525,3.1525,1898000
1986-06-01,0.0,3.3268,3.1208,3.3109,3.3109,1184800
1986-07-01,0.0,3.8733,3.3268,3.8099,3.8099,1860600
1986-08-01,0.0,4.1189,3.802,3.8416,3.8416,1936600
1986-09-01,0.0,3.9129,3.1684,3.3664,3.3664,2037200
1986-10-01,0.0,3.6674,3.3822,3.6594,3.6594,1254000
1986-11-01,0.0,3.802,3.6119,3.6515,3.6515,1101400
1986-12-01,0.0,3.6674,3.406,3.4456,3.4456,2557000
1987-01-01,0.0,3.9512,3.4935,3.7746,3.7746,1074800
1987-02-01,0.0,3.887,3.5336,3.5818,3.5818,3812600
1987-03-01,0.0,3.6354,3.4234,3.4642,3.4642,1455400
1987-04-01,0.0,3.5131,3.0485,3.3745,3.3745,1649200
1987-05-01,0.0,3.4724,3.13,3.3908,3.3908,957200
1987-06-01,0.0,3.4561,3.1626,3.3419,3.3419,1259500
1987-07-01,0.0,3.4621,3.1971,3.2799,3.2799,1379700
1987-08-01,0.0,3.6278,3.1971,3.4456,3.4456,3360200
1987-09-01,3.5005,3.7361,3.1976,3.3322,3.3322,655500
1987-10-01,3.3491,3.4837,2.6927,3.2144,3.2144,1410900
1987-11-01,3.2144,3.3827,3.0461,3.0966,3.0966,1148500
1987-12-01,3.063,3.2144,2.9956,3.0461,3.0461,1218200
1988-01-01,3.0845,3.7015,3.0845,3.5986,3.5986,594600
1988-02-01,3.6158,3.6329,3.4273,3.4444,3.4444,505000
1988-03-01,3.4849,3.5023,3.2758,3.2932,3.2932,722500
1988-04-01,3.2758,3.5023,3.2235,3.3629,3.3629,462900
1988-05-01,3.3455,3.4326,3.2932,3.3978,3.3978,5346500
1988-06-01,3.4598,3.5662,3.4065,3.4598,3.4598,677700
1988-07-01,3.5485,3.5662,3.3711,3.3888,3.3888,510500
1988-08-01,3.4065,3.4953,3.3001,3.3356,3.3356,804400
1988-09-01,3.3609,3.4513,3.2887,3.4513,3.4513,451800
1988-10-01,3.4152,3.5236,3.379,3.4513,3.4513,822600
1988-11-01,3.4513,3.4874,3.2887,3.3067,3.3067,746900
1988-12-01,3.3871,3.4607,3.2767,3.3687,3.3687,1284900
1989-01-01,3.3503,3.516,3.3135,3.3319,3.3319,810500
1989-02-01,3.3135,3.4423,3.2398,3.2398,3.2398,2034100
1989-03-01,3.3232,3.4171,3.2481,3.3045,3.3045,837000
1989-04-01,3.3045,3.4171,3.2669,3.3796,3.3796,975100
1989-05-01,3.3796,3.6236,3.342,3.5298,3.5298,1746400
1989-06-01,3.5574,3.6531,3.5383,3.5766,3.5766,762100
1989-07-01,3.5766,3.787,3.5574,3.7487,3.7487,820500
1989-08-01,3.7678,3.8826,3.6339,3.6722,3.6722,2140900
1989-09-01,3.7394,3.8173,3.6614,3.7004,3.7004,928800
1989-10-01,3.7394,3.8173,3.6225,3.7394,3.7394,620500
1989-11-01,3.7004,3.8562,3.6809,3.7394,3.7394,1881600
1989-12-01,3.8077,3.9466,3.8077,3.9267,3.9267,705800
1990-01-01,3.9267,3.9862,3.5698,3.6491,3.6491,1248900
1990-02-01,3.6292,3.7879,3.5103,3.5499,3.5499,1935600
1990-03-01,3.6009,3.7223,3.6009,3.7223,3.7223,605100
1990-04-01,3.7223,3.7628,3.4391,3.4795,3.4795,697500
1990-05-01,3.4998,3.7628,3.4593,3.5402,3.5402,970800
1990-06-01,3.653,3.8181,3.591,3.6736,3.6736,909500
1990-07-01,3.6736,3.8387,3.591,3.8387,3.8387,788800
1990-08-01,3.8181,3.8593,3.3847,3.4878,3.4878,1096000
1990-09-01,3.5611,3.6875,3.4347,3.519,3.519,400700
1990-10-01,3.519,3.814,3.3293,3.4347,3.4347,1094500
1990-11-01,3.4136,3.6665,3.4136,3.4979,3.4979,1103400
1990-12-01,3.5736,3.6597,3.4875,3.6381,3.6381,993300
1991-01-01,3.6597,3.7888,3.5736,3.7458,3.7458,1149200
1991-02-01,3.7767,4.124,3.7333,4.0588,4.0588,2232400
1991-03-01,4.1408,4.2515,3.9858,4.2294,4.2294,1302200
1991-04-01,4.2294,4.4729,4.1629,4.2736,4.2736,1264700
1991-05-01,4.2736,4.3844,4.2072,4.2294,4.2294,1736800
1991-06-01,4.3108,4.3333,4.2205,4.3108,4.3108,1201500
1991-07-01,4.3108,4.4462,4.1979,4.4462,4.4462,1861300
1991-08-01,4.4462,4.7621,4.3108,4.6267,4.6267,1881200
1991-09-01,4.6876,4.8484,4.5038,4.7795,4.7795,1446800
1991-10-01,4.8025,4.9863,4.7106,4.7565,4.7565,1654500
1991-11-01,4.7565,5.0782,4.6876,4.8944,4.8944,2285200
1991-12-01,4.8944,5.2391,4.8025,5.2161,5.2161,2365300
1992-01-01,5.1931,5.354,5.0093,5.1472,5.1472,1814400
1992-02-01,5.1701,5.4229,4.8944,4.8944,4.8944,1420700
1992-03-01,4.9804,5.1675,4.6998,4.7934,4.7934,2101100
1992-04-01,4.77,4.8869,4.7232,4.8869,4.8869,3620000
1992-05-01,4.8635,5.0272,4.8401,4.8635,4.8635,2883900
1992-06-01,4.9514,5.0229,4.9038,5.0229,5.0229,3545000
1992-07-01,5.0229,5.6656,5.0229,5.618,5.618,3788200
1992-08-01,5.618,5.8084,5.4275,5.6894,5.6894,3073200
1992-09-01,5.7798,5.804,5.6347,5.7314,5.7314,1816000
1992-10-01,5.7072,5.804,5.5138,5.7556,5.7556,2399500
1992-11-01,5.7072,6.07,5.7072,5.9249,5.9249,3385300
1992-12-01,5.9918,6.4092,5.9181,6.1882,6.1882,2470400
1993-01-01,6.1391,6.4583,5.9672,6.4338,6.4338,3033400
1993-02-01,6.4829,7.0231,6.4583,6.8512,6.8512,2591200
1993-03-01,6.9461,7.1204,6.6474,6.9212,6.9212,1648700
1993-04-01,6.8964,7.1702,6.8715,6.9212,6.9212,1134800
1993-05-01,6.9461,7.1951,6.5229,6.8217,6.8217,2717500
1993-06-01,6.9442,7.1209,6.7169,7.0452,7.0452,2388700
1993-07-01,7.0704,7.3229,7.0704,7.2977,7.2977,1321800
1993-08-01,7.2725,7.525,7.2472,7.424,7.424,3308000
1993-09-01,7.5219,7.5731,7.3172,7.3172,7.3172,1898100
1993-10-01,7.3172,7.5986,7.1125,7.5219,7.5219,2474500
1993-11-01,7.5219,7.5475,6.7032,6.9334,6.9334,1995400
1993-12-01,7.0053,7.3685,6.8756,7.2388,7.2388,1170900
1994-01-01,7.1869,7.2388,6.4864,6.9274,6.9274,2172700
1994-02-01,6.8756,6.9274,6.2788,6.3307,6.3307,2675500
1994-03-01,6.4611,6.6193,5.96,6.0391,6.0391,2387800
1994-04-01,5.9864,6.2765,5.8809,6.2237,6.2237,1889100
1994-05-01,6.1974,6.2765,5.5117,5.9073,5.9073,2502800
1994-06-01,6.0654,6.2532,5.6091,5.7701,5.7701,1715800
1994-07-01,5.7433,6.119,5.7433,6.0385,6.0385,2353200
1994-08-01,6.0654,6.3606,6.0385,6.1727,6.1727,3487500
1994-09-01,6.2785,6.2785,5.869,6.1966,6.1966,1655600
1994-10-01,6.1966,6.415,6.1147,6.3058,6.3058,1884900
1994-11-01,6.2785,6.3877,5.9782,6.142,6.142,3289500
1994-12-01,6.2784,6.4451,6.2228,6.3617,6.3617,3239400
1995-01-01,6.3895,7.1673,6.3617,7.084,7.084,4286900
1995-02-01,7.084,7.4174,7.0284,7.0562,7.0562,2766900
1995-03-01,7.1667,7.1667,6.9128,7.0539,7.0539,2180000
1995-04-01,7.0256,7.336,6.8564,6.8564,6.8564,1826000
1995-05-01,6.8281,7.1949,6.8281,7.1103,7.1103,2265600
1995-06-01,7.2835,7.4555,6.9967,7.0828,7.0828,1823400
1995-07-01,7.0828,7.1401,6.8247,6.9967,6.9967,1603600
1995-08-01,6.9967,7.0828,6.8534,6.9394,6.9394,2343700
1995-09-01,7.1141,7.668,7.0557,7.6097,7.6097,1737700
1995-10-01,7.6389,7.9304,7.5805,7.8429,7.8429,1815300
1995-11-01,7.8721,7.8721,7.5514,7.7263,7.7263,2429400
1995-12-01,7.289,7.9013,7.2307,7.7846,7.7846,4109600
1996-01-01,7.8459,8.2604,7.8163,7.994,7.994,3189300
1996-02-01,8.0236,8.1716,7.5795,7.5795,7.5795,3740100
1996-03-01,7.7306,7.7306,7.0388,7.3396,7.3396,8329300
1996-04-01,7.3396,7.3697,6.738,7.1591,7.1591,4128200
1996-05-01,7.1892,7.3998,6.9486,6.9786,6.9786,3116600
1996-06-01,7.1333,7.3476,7.0108,7.3169,7.3169,4579600
1996-07-01,7.3476,7.5312,6.9189,7.0108,7.0108,3190200
1996-08-01,7.0108,7.3782,6.9496,7.1945,7.1945,4375900
1996-09-01,7.2584,7.3207,7.0715,7.2584,7.2584,2192400
1996-10-01,7.2584,7.5699,7.1338,7.5076,7.5076,3689800
1996-11-01,7.4764,7.9437,7.4764,7.8814,7.8814,3919100
1996-12-01,7.6945,7.9126,7.3518,7.6945,7.6945,5443900
1997-01-01,7.8219,7.9802,7.6952,7.7585,7.7585,3214100
1997-02-01,7.7585,7.9485,7.6635,7.6635,7.6635,4579100
1997-03-01,7.7628,8.0849,7.7306,7.7306,7.7306,2575800
1997-04-01,7.795,7.8916,7.6662,7.7628,7.7628,1791800
1997-05-01,7.7306,8.407,7.6984,8.407,8.407,1826300
1997-06-01,8.3748,8.4392,8.1171,8.3587,8.3587,2441300
1997-07-01,8.4801,9.1022,8.4474,9.0695,9.0695,3040700
1997-08-01,9.0531,9.135,8.6602,8.7748,8.7748,3572100
1997-09-01,8.6275,9.1677,8.6111,9.004,9.004,2611500
1997-10-01,9.164,9.929,8.9478,9.9124,9.9124,4892500
1997-11-01,9.9623,10.4779,9.5798,10.3947,10.3947,4010700
1997-12-01,10.4113,11.5589,10.1452,11.4425,11.4425,3144000
1998-01-01,11.5319,11.5488,10.7901,10.9924,10.9924,1967300
1998-02-01,11.0262,11.3971,10.9587,11.0599,11.0599,3970200
1998-03-01,11.0767,11.9197,10.9924,11.5319,11.5319,6595300
1998-04-01,11.6657,11.6657,10.2139,10.6751,10.6751,2720400
1998-05-01,10.6238,10.8459,10.0773,10.4872,10.4872,4149700
1998-06-01,10.4872,10.7775,10.4018,10.6067,10.6067,2234100
1998-07-01,10.7894,11.205,10.7894,10.8067,10.8067,2790000
1998-08-01,10.8413,11.5341,10.443,11.1704,11.1704,2400900
1998-09-01,11.1704,11.5341,10.6508,11.4648,11.4648,3018300
1998-10-01,11.6927,12.1492,9.6561,9.8317,9.8317,4902200
1998-11-01,9.7615,10.3584,9.7088,9.8141,9.8141,2696300
1998-12-01,9.7966,10.1653,9.147,9.3401,9.3401,3446200
1999-01-01,9.4476,9.6615,8.9663,8.9663,8.9663,2899100
1999-02-01,8.9129,8.9485,7.9859,8.0394,8.0394,3940400
1999-03-01,8.0929,8.4137,7.6116,7.6116,7.6116,7314400
1999-04-01,7.6849,7.9937,6.9037,7.9029,7.9029,6080900
1999-05-01,7.921,8.5387,7.8847,8.4479,8.4479,2449800
1999-06-01,8.4116,8.4116,7.7394,7.7394,7.7394,5438600
1999-07-01,7.9251,8.0362,7.4992,7.74,7.74,4736000
1999-08-01,7.7955,7.9251,6.7401,7.0734,7.0734,6161700
1999-09-01,7.0363,7.1104,6.0364,6.3327,6.3327,8035700
1999-10-01,6.4806,7.2196,6.2532,6.9922,6.9922,3991400
1999-11-01,7.0301,7.0491,5.59,5.6658,5.6658,5634300
1999-12-01,5.7416,5.9311,5.0973,5.1352,5.1352,14811700
2000-01-01,5.1851,5.5944,4.7757,4.9901,4.9901,5768200
2000-02-01,4.9706,5.3605,4.7952,4.8147,4.8147,3926300
2000-03-01,4.8537,5.7114,4.7757,4.9317,4.9317,16656500
2000-04-01,5.0001,5.2622,4.738,5.0807,5.0807,5894700
2000-05-01,5.0606,5.4436,4.7985,5.0404,5.0404,8919000
2000-06-01,5.0001,5.7461,4.9799,5.0001,5.0001,17029700
2000-07-01,5.3011,5.6915,5.0545,5.1984,5.1984,6986700
2000-08-01,5.1984,6.6161,5.1984,6.575,6.575,14235700
2000-09-01,6.575,7.2171,6.4517,7.1144,7.1144,10013800
2000-10-01,7.1546,7.4049,6.8208,7.1337,7.1337,8177800
2000-11-01,7.1337,7.8429,6.8834,7.6343,7.6343,13741100
2000-12-01,7.5717,8.6355,7.5717,8.2809,8.2809,14343100
2001-01-01,8.3038,8.7475,7.6699,8.1812,8.1812,7612600
2001-02-01,8.1948,8.4585,8.0021,8.3638,8.3638,3555500
2001-03-01,8.3131,8.4517,7.3699,8.0629,8.0629,11423700
2001-04-01,8.0431,8.7207,7.7693,8.4777,8.4777,8187500
2001-05-01,8.5462,8.8371,6.8452,7.1874,7.1874,8316600
2001-06-01,7.1703,7.783,7.0163,7.3586,7.3586,19190700
2001-07-01,7.3234,7.9481,5.6296,6.4522,6.4522,16774900
2001-08-01,6.421,6.473,5.883,6.3168,6.3168,5462200
2001-09-01,6.2474,6.5077,5.4214,5.7442,5.7442,23819500
2001-10-01,5.7864,6.0898,5.6453,5.7793,5.7793,5050000
2001-11-01,5.7511,6.2804,5.6911,6.0863,6.0863,3755300
2001-12-01,6.0545,6.1851,5.9134,6.0687,6.0687,13870100
2002-01-01,6.1568,6.4619,5.8875,5.9414,5.9414,5703600
2002-02-01,5.9414,6.1029,5.6686,6.1029,6.1029,2928800
2002-03-01,6.1209,6.4619,6.0168,6.1568,6.1568,7232800
2002-04-01,6.2278,6.4981,6.1,6.352,6.352,3791100
2002-05-01,6.352,6.5018,6.1256,6.184,6.184,5429400
2002-06-01,6.1548,6.1548,5.2051,5.6069,5.6069,15335800
2002-07-01,5.7284,5.9515,3.7941,4.3595,4.3595,7200300
2002-08-01,4.393,4.6868,3.9838,4.5381,4.5381,7264000
2002-09-01,4.5381,4.5381,3.5114,3.742,3.742,17359800
2002-10-01,3.8918,4.2657,3.5484,4.1398,4.1398,6426700
2002-11-01,4.0063,4.4641,3.2432,4.3993,4.3993,8613900
2002-12-01,4.4641,4.5862,3.7621,3.7773,3.7773,9973000
2003-01-01,3.9355,4.5346,3.8219,4.3702,4.3702,11998100
2003-02-01,4.3858,5.1063,4.1195,4.8753,4.8753,9691100
2003-03-01,4.8596,5.0163,4.6638,4.7461,4.7461,8085000
2003-04-01,4.8334,5.6927,4.8334,5.5932,5.5932,6403100
2003-05-01,5.5773,6.4326,5.3904,6.3332,6.3332,6010600
2003-06-01,6.3252,6.7986,6.2258,6.4565,6.4565,7404000
2003-07-01,6.542,6.8399,6.2199,6.7674,6.7674,5172100
2003-08-01,6.703,7.1901,6.4937,7.0734,7.0734,4583300
2003-09-01,7.0895,7.5082,7.0573,7.4277,7.4277,9995500
2003-10-01,7.5192,8.158,7.4867,8.1295,8.1295,6952000
2003-11-01,8.1173,8.337,7.7715,8.0807,8.0807,7299500
2003-12-01,8.1173,8.3289,7.8691,8.2394,8.2394,7250600
2004-01-01,8.303,8.3728,7.9291,8.0441,8.0441,6752600
2004-02-01,8.0195,8.0606,7.4197,7.9085,7.9085,6955300
2004-03-01,7.9907,8.6275,7.8757,8.6111,8.6111,17859600
2004-04-01,8.6463,8.9034,8.273,8.4638,8.4638,9210800
2004-05-01,8.4596,8.638,7.5639,8.1777,8.1777,8386200
2004-06-01,8.1072,8.2606,7.8376,8.2565,8.2565,14331600
2004-07-01,8.3258,8.7195,8.2002,8.4473,8.4473,7429800
2004-08-01,8.3677,8.7949,8.3552,8.7949,8.7949,7208200
2004-09-01,8.774,8.841,8.3594,8.4599,8.4599,8997800
2004-10-01,8.5456,8.871,8.4737,8.8541,8.8541,8109900
2004-11-01,8.8499,9.636,8.7611,9.3613,9.3613,9074300
2004-12-01,9.3824,9.6867,9.2979,9.6656,9.6656,8804400
2005-01-01,9.7617,10.0136,9.4115,9.9496,9.9496,6528000
2005-02-01,9.9795,10.1631,9.672,9.8129,9.8129,4730700
2005-03-01,9.8087,9.9411,8.9973,9.2407,9.2407,9329400
2005-04-01,9.3944,10.0026,9.1011,9.8775,9.8775,10393200
2005-05-01,9.8775,10.0587,9.2909,9.9508,9.9508,7887500
2005-06-01,9.9552,10.4771,9.9293,10.3649,10.3649,6983300
2005-07-01,10.5076,10.66,10.1939,10.599,10.599,6193400
2005-08-01,10.6208,10.8778,9.9761,10.464,10.464,6930100
2005-09-01,10.4509,10.7994,10.1503,10.5119,10.5119,7065900
2005-10-01,10.6302,10.9072,9.3503,9.7198,9.7198,6171800
2005-11-01,9.6978,10.1464,9.4427,9.9485,9.9485,5884000
2005-12-01,10.032,10.3135,9.3855,9.4559,9.4559,7574600
2006-01-01,9.6416,9.6683,9.0462,9.1529,9.1529,8569200
2006-02-01,9.1751,9.7971,8.9263,9.5616,9.5616,8938300
2006-03-01,9.6105,9.7038,9.184,9.2462,9.2462,9372100
2006-04-01,9.4416,9.7563,9.2302,9.4146,9.4146,9721300
2006-05-01,9.4551,9.6619,9.1718,9.5809,9.5809,9195100
2006-06-01,9.5989,10.0665,9.464,9.464,9.464,14953200
2006-07-01,9.7791,10.7524,9.7791,10.5068,10.5068,12850600
2006-08-01,10.4431,11.1891,10.4159,11.0936,11.0936,10764400
2006-09-01,11.0981,11.18,10.4659,10.6933,10.6933,8318900
2006-10-01,10.8056,11.7064,10.6631,11.6375,11.6375,9566600
2006-11-01,11.6972,12.3775,11.1273,12.2212,12.2212,10188000
2006-12-01,12.2166,12.52,11.8903,11.9316,11.9316,8532400
2007-01-01,12.1036,12.4561,11.7603,12.3216,12.3216,8315800
2007-02-01,12.3819,13.2401,11.7046,12.4654,12.4654,8104400
2007-03-01,12.187,12.9989,11.853,12.7669,12.7669,14118100
2007-04-01,12.9354,13.3572,12.7526,12.7573,12.7573,10169800
2007-05-01,12.7573,13.39,12.2089,12.4245,12.4245,12467600
2007-06-01,12.4901,12.612,11.1591,11.3794,11.3794,19969500
2007-07-01,11.567,12.1825,10.8142,10.8994,10.8994,17749600
2007-08-01,10.89,12.5187,10.8189,11.5007,11.5007,27584400
2007-09-01,11.4392,12.0405,11.1267,11.6286,11.6286,10171000
2007-10-01,11.7904,12.8053,11.6277,12.7431,12.7431,16064900
2007-11-01,12.5707,12.8101,11.8575,12.4032,12.4032,30716200
2007-12-01,12.3984,12.8436,12.1016,12.4176,12.4176,15743700
2008-01-01,12.4904,12.5387,10.8892,11.7647,11.7647,26666000
2008-02-01,11.8373,12.3452,10.9085,10.9956,10.9956,22670600
2008-03-01,11.0681,11.5954,10.5215,11.0149,11.0149,25086800
2008-04-01,11.282,11.7229,11.086,11.3604,11.3604,19985800
2008-05-01,11.4142,12.0756,11.2428,11.7572,11.7572,28051600
2008-06-01,11.7474,11.8013,10.3855,10.5374,10.5374,27485100
2008-07-01,10.5781,11.1533,10.3251,10.95,10.95,23281900
2008-08-01,10.955,11.5501,10.3599,11.2327,11.2327,22118400
2008-09-01,11.317,12.3832,10.5632,11.4261,11.4261,34236700
2008-10-01,11.5573,12.0095,8.0248,9.7936,9.7936,52287400
2008-11-01,9.7684,10.6528,8.6027,10.1654,10.1654,34004600
2008-12-01,9.8539,10.3865,8.9594,10.3061,10.3061,28844800
2009-01-01,10.5134,10.7686,9.656,10.248,10.248,22800300
2009-02-01,10.1255,10.6359,8.2934,8.6251,8.6251,26648200
2009-03-01,8.4924,9.2426,7.584,8.9466,8.9466,34608800
2009-04-01,9.0287,9.5228,8.8415,9.1171,9.1171,17802500
2009-05-01,9.0859,9.6164,8.6335,9.2836,9.2836,19124800
2009-06-01,9.3824,10.0481,9.0651,9.762,9.762,38303200
2009-07-01,10.0127,10.6154,9.4682,10.3987,10.3987,17861300
2009-08-01,10.4621,11.033,10.3088,10.848,10.848,14927000
2009-09-01,10.8269,11.3978,10.129,10.3141,10.3141,22061100
2009-10-01,10.4152,11.0162,10.2596,10.2757,10.2757,22221900
2009-11-01,10.2811,11.2308,10.1469,11.0484,11.0484,14494800
2009-12-01,11.1289,11.9659,11.043,11.6547,11.6547,15269300
2010-01-01,11.9297,12.3978,11.4617,11.6086,11.6086,13369200
2010-02-01,11.6685,12.1529,11.1896,11.6467,11.6467,13207800
2010-03-01,11.6957,12.3543,11.6413,12.1366,12.1366,17948600
2010-04-01,12.3806,13.1533,12.353,13.0761,13.0761,15483600
2010-05-01,13.0871,13.2085,11.6465,12.1432,12.1432,29447500
2010-06-01,12.0991,12.7283,11.6354,11.928,11.928,19571300
2010-07-01,12.1682,13.7585,11.8826,13.3721,13.3721,15845700
2010-08-01,13.5513,13.7921,13.0138,13.4225,13.4225,20785800
2010-09-01,13.5681,13.7977,13.1929,13.5681,13.5681,15454600
2010-10-01,13.8561,14.6275,13.7313,14.3495,14.3495,14017000
2010-11-01,14.4063,14.6898,13.9752,14.1283,14.1283,27872800
2010-12-01,14.2928,14.4743,13.8958,14.2701,14.2701,17246400
2011-01-01,14.5903,14.9693,14.3836,14.642,14.642,14768400
2011-02-01,14.7569,15.1301,14.5387,14.9291,14.9291,19000900
2011-03-01,14.9291,15.2736,14.4296,15.1703,15.1703,24230400
2011-04-01,15.4363,15.8317,14.8724,15.82,15.82,17431200
2011-05-01,15.7852,16.2677,15.5003,15.8084,15.8084,19484500
2011-06-01,15.8142,15.8607,15.1165,15.6456,15.6456,20166000
2011-07-01,15.92,16.0612,15.0431,15.1902,15.1902,13566300
2011-08-01,15.3197,15.7317,13.3186,15.6846,15.6846,41435100
2011-09-01,15.7317,15.8906,14.5663,15.5492,15.5492,35396600
2011-10-01,15.7339,16.5265,14.9114,16.2464,16.2464,24664800
2011-11-01,16.02,16.5921,15.3703,16.461,16.461,27351400
2011-12-01,16.461,17.3132,15.871,17.1523,17.1523,15522500
2012-01-01,17.5535,17.5656,16.7817,17.1495,17.1495,18241800
2012-02-01,17.2159,17.4269,16.5767,16.5948,16.5948,20601700
2012-03-01,16.643,16.9988,16.3536,16.842,16.842,20827700
2012-04-01,17.0882,17.5398,16.3559,17.5093,17.5093,18619300
2012-05-01,17.5093,17.6741,16.6915,17.4666,17.4666,21208500
2012-06-01,17.253,18.4126,17.2286,18.2783,18.2783,17199800
2012-07-01,18.5752,19.1493,18.4579,18.8653,18.8653,11283500
2012-08-01,18.9271,20.3963,17.8776,17.9764,17.9764,11957900
2012-09-01,18.0073,18.6246,17.9085,18.3097,18.3097,9805800
2012-10-01,18.5731,18.9102,18.2359,18.5418,18.5418,9651300
2012-11-01,18.6105,18.879,17.0622,17.9175,17.9175,14163900
2012-12-01,17.955,18.2359,17.4493,17.8676,17.8676,12541500
2013-01-01,18.3041,19.0936,18.0577,18.9925,18.9925,13441600
2013-02-01,19.1062,20.0031,18.9988,19.5926,19.5926,13585100
2013-03-01,19.7441,21.0642,19.5862,20.9568,20.9568,14414900
2013-04-01,21.2,22.3171,20.9702,22.3171,22.3171,14767800
2013-05-01,22.2086,22.2916,19.9552,20.2488,20.2488,19354800
2013-06-01,20.2041,20.5808,19.2338,20.402,20.402,19600900
2013-07-01,20.7358,21.962,19.8387,21.678,21.678,12965700
