Date,Open,High,Low,Close,Adj Close,Volume
,EW,EW,EW,EW,,EW
2000-03-01,1.2708,1.3854,1.1302,1.1302,1.1302,45016800
2000-04-01,1.1667,1.375,1.0312,1.25,1.25,355447200
2000-05-01,1.25,1.7188,1.1719,1.6927,1.6927,141146400
2000-06-01,1.6719,1.75,1.401,1.543,1.543,117705600
2000-07-01,1.5729,2.125,1.5729,1.8177,1.8177,74328000
2000-08-01,1.8125,2.1979,1.7708,2.1875,2.1875,49453200
2000-09-01,2.1146,2.1354,1.6146,1.8177,1.8177,74563200
2000-10-01,1.8021,2.0417,1.1146,1.1198,1.1198,109208400
2000-11-01,1.125,1.3646,1.0,1.3385,1.3385,147717600
2000-12-01,1.3333,1.5104,1.2292,1.4792,1.4792,71568000
2001-01-01,1.4792,1.5573,1.3958,1.5208,1.5208,58766400
2001-02-01,1.5125,1.8958,1.4283,1.7458,1.7458,39090000
2001-03-01,1.7583,1.7875,1.45,1.6333,1.6333,55964400
2001-04-01,1.6167,1.9333,1.4833,1.8042,1.8042,72573600
2001-05-01,1.825,2.0333,1.825,1.9308,1.9308,76825200
2001-06-01,1.9808,2.2042,1.9383,2.1967,2.1967,69663600
2001-07-01,2.1967,2.3333,1.7917,2.065,2.065,70972800
2001-08-01,2.0792,2.2167,1.9583,2.1908,2.1908,48476400
2001-09-01,2.1875,2.1967,1.7,1.8667,1.8667,45102000
2001-10-01,1.8833,2.25,1.8833,2.1167,2.1167,70459200
2001-11-01,2.1175,2.2,1.9208,2.1042,2.1042,50809200
2001-12-01,2.1008,2.4292,1.9917,2.3025,2.3025,71196000
2002-01-01,2.3042,2.3325,2.0917,2.2442,2.2442,66080400
2002-02-01,2.2542,2.4667,2.0833,2.3775,2.3775,84602400
2002-03-01,2.375,2.3892,2.225,2.3292,2.3292,57086400
2002-04-01,2.325,2.3375,1.9925,2.0933,2.0933,98380800
2002-05-01,2.075,2.2075,1.925,1.985,1.985,92498400
2002-06-01,1.975,2.1167,1.8483,1.9333,1.9333,117322800
2002-07-01,1.9292,2.0817,1.5333,2.0283,2.0283,147097200
2002-08-01,2.0292,2.145,1.9167,2.0517,2.0517,84606000
2002-09-01,2.0458,2.1458,1.9708,2.1325,2.1325,59611200
2002-10-01,2.125,2.2017,1.9842,2.1408,2.1408,103372800
2002-11-01,2.125,2.2917,2.0717,2.1933,2.1933,68032800
2002-12-01,2.1833,2.1958,2.0742,2.1225,2.1225,61132800
2003-01-01,2.1083,2.2175,2.0333,2.1258,2.1258,79496400
2003-02-01,2.1375,2.225,2.0358,2.2175,2.2175,78350400
2003-03-01,2.2217,2.3033,2.1075,2.2833,2.2833,69661200
2003-04-01,2.2833,2.4167,2.2458,2.4058,2.4058,93031200
2003-05-01,2.4,2.5717,2.365,2.5267,2.5267,158214000
2003-06-01,2.5333,2.8,2.4833,2.6783,2.6783,104556000
2003-07-01,2.6708,2.7208,2.1908,2.3533,2.3533,168690000
2003-08-01,2.3375,2.45,2.1475,2.37,2.37,137440800
2003-09-01,2.3708,2.4108,2.2258,2.2567,2.2567,124438800
2003-10-01,2.2583,2.4917,2.2417,2.4167,2.4167,183769200
2003-11-01,2.4208,2.5275,2.3542,2.51,2.51,73054800
2003-12-01,2.525,2.63,2.3917,2.5067,2.5067,92523600
2004-01-01,2.5075,2.9025,2.4558,2.9025,2.9025,121927200
2004-02-01,2.9,2.9992,2.6283,2.6833,2.6833,140492400
2004-03-01,2.6833,2.75,2.5033,2.6625,2.6625,154737600
2004-04-01,2.6583,2.9717,2.6475,2.8717,2.8717,131358000
2004-05-01,2.8767,3.0325,2.7883,3.0208,3.0208,102040800
2004-06-01,3.0333,3.0642,2.8417,2.9042,2.9042,122731200
2004-07-01,2.9108,2.96,2.7142,2.9308,2.9308,137556000
2004-08-01,2.935,2.9733,2.7525,2.9425,2.9425,72610800
2004-09-01,2.9317,3.045,2.7583,2.7917,2.7917,111093600
2004-10-01,2.7983,2.915,2.7158,2.8483,2.8483,120500400
2004-11-01,2.8542,3.135,2.8242,3.1342,3.1342,63136800
2004-12-01,3.1458,3.525,2.9975,3.4383,3.4383,136268400
2005-01-01,3.4383,3.4967,3.2125,3.3917,3.3917,125792400
2005-02-01,3.3958,3.585,3.3208,3.5842,3.5842,96595200
2005-03-01,3.6,3.72,3.5492,3.6017,3.6017,86775600
2005-04-01,3.5917,3.6933,3.4683,3.67,3.67,130639200
2005-05-01,3.6667,3.8908,3.6667,3.8092,3.8092,92679600
2005-06-01,3.7833,3.9075,3.4608,3.585,3.585,138792000
2005-07-01,3.585,3.87,3.35,3.8225,3.8225,147489600
2005-08-01,3.8225,3.8358,3.5333,3.6667,3.6667,87622800
