Date,Open,High,Low,Close,Adj Close,Volume
,EXPD,EXPD,EXPD,EXPD,,EXPD
1985-01-01,0.0,0.1655,0.1162,0.1615,0.1615,8654400
1985-02-01,0.0,0.1989,0.1595,0.1851,0.1851,14620800
1985-03-01,0.0,0.1891,0.1615,0.1615,0.1615,6523200
1985-04-01,0.0,0.1674,0.1438,0.1477,0.1477,7680000
1985-05-01,0.0,0.1674,0.1398,0.1536,0.1536,7718400
1985-06-01,0.0,0.1674,0.1418,0.1595,0.1595,9748800
1985-07-01,0.0,0.1812,0.1655,0.1773,0.1773,6403200
1985-08-01,0.0,0.1812,0.1655,0.1733,0.1733,9849600
1985-09-01,0.0,0.1812,0.1655,0.1655,0.1655,8692800
1985-10-01,0.0,0.1733,0.1576,0.1595,0.1595,3388800
1985-11-01,0.0,0.1832,0.1595,0.1812,0.1812,10036800
1985-12-01,0.0,0.2009,0.1733,0.1989,0.1989,10176000
1986-01-01,0.0,0.2108,0.1851,0.2068,0.2068,18859200
1986-02-01,0.0,0.2383,0.2088,0.2305,0.2305,12052800
1986-03-01,0.0,0.2501,0.2305,0.2442,0.2442,15523200
1986-04-01,0.0,0.258,0.2403,0.2501,0.2501,7843200
1986-05-01,0.0,0.2895,0.2403,0.2797,0.2797,43473600
1986-06-01,0.0,0.323,0.2738,0.323,0.323,17088000
1986-07-01,0.0,0.323,0.2915,0.3112,0.3112,11760000
1986-08-01,0.0,0.3348,0.2718,0.2836,0.2836,18192000
1986-09-01,0.0,0.2876,0.2403,0.2659,0.2659,21108800
1986-10-01,0.0,0.322,0.26,0.2955,0.2955,18995200
1986-11-01,0.0,0.3161,0.2955,0.3132,0.3132,11059200
1986-12-01,0.0,0.3132,0.2866,0.3073,0.3073,37347200
1987-01-01,0.0,0.3959,0.3043,0.3782,0.3782,29907200
1987-02-01,0.0,0.3959,0.3605,0.3841,0.3841,9382400
1987-03-01,0.0,0.3841,0.3605,0.3723,0.3723,10518400
1987-04-01,0.0,0.3723,0.325,0.3398,0.3398,23619200
1987-05-01,0.0,0.4018,0.3368,0.39,0.39,13916800
1987-06-01,0.0,0.4136,0.3782,0.4136,0.4136,24748800
1987-07-01,0.0,0.4373,0.4048,0.4195,0.4195,6652800
1987-08-01,0.0,0.4668,0.4136,0.4609,0.4609,13235200
1987-09-01,0.0,0.4668,0.3841,0.4314,0.4314,5635200
1987-10-01,0.0,0.455,0.2836,0.3191,0.3191,28313600
1987-11-01,0.0,0.3309,0.2807,0.2895,0.2895,14131200
1987-12-01,0.0,0.3486,0.2748,0.3427,0.3427,15376000
1988-01-01,0.0,0.3841,0.3427,0.3545,0.3545,4982400
1988-02-01,0.0,0.3664,0.3132,0.3664,0.3664,11952000
1988-03-01,0.0,0.455,0.3664,0.3959,0.3959,17843200
1988-04-01,0.0,0.4077,0.3841,0.3959,0.3959,12467200
1988-05-01,0.0,0.4018,0.3339,0.3545,0.3545,25059200
1988-06-01,0.0,0.4136,0.3368,0.4077,0.4077,28643200
1988-07-01,0.0,0.4077,0.3723,0.3841,0.3841,11123200
1988-08-01,0.0,0.4018,0.3605,0.3782,0.3782,18531200
1988-09-01,0.0,0.4077,0.3782,0.3959,0.3959,5417600
1988-10-01,0.0,0.4195,0.3545,0.3664,0.3664,17174400
1988-11-01,0.0,0.3782,0.3605,0.3782,0.3782,29971200
1988-12-01,0.0,0.4077,0.3664,0.3723,0.3723,9792000
1989-01-01,0.0,0.39,0.3693,0.3841,0.3841,12444800
1989-02-01,0.0,0.4195,0.3811,0.4136,0.4136,13382400
1989-03-01,0.0,0.4136,0.3841,0.3959,0.3959,25555200
1989-04-01,0.0,0.4786,0.3959,0.4786,0.4786,14057600
1989-05-01,0.0,0.5614,0.4668,0.5436,0.5436,29049600
1989-06-01,0.0,0.5554,0.4668,0.4727,0.4727,26409600
1989-07-01,0.0,0.5495,0.4668,0.5318,0.5318,13155200
1989-08-01,0.0,0.6677,0.5141,0.6382,0.6382,17961600
1989-09-01,0.0,0.6441,0.5968,0.6323,0.6323,11193600
1989-10-01,0.0,0.6441,0.5732,0.6441,0.6441,14236800
1989-11-01,0.0,0.6736,0.6264,0.65,0.65,14352000
1989-12-01,0.0,0.6559,0.6086,0.6204,0.6204,10086400
1990-01-01,0.0,0.65,0.5909,0.6145,0.6145,12835200
1990-02-01,0.0,0.6323,0.5791,0.6175,0.6175,6764800
1990-03-01,0.0,0.6323,0.5673,0.5791,0.5791,11372800
1990-04-01,0.585,0.5909,0.5554,0.5554,0.5554,24486400
1990-05-01,0.5673,0.6086,0.5554,0.5909,0.5909,15568000
1990-06-01,0.5909,0.6382,0.5732,0.6086,0.6086,14028800
1990-07-01,0.6086,0.6677,0.5673,0.5879,0.5879,11958400
1990-08-01,0.5968,0.5968,0.3811,0.3841,0.3841,26236800
1990-09-01,0.3959,0.455,0.3545,0.3723,0.3723,8387200
1990-10-01,0.39,0.4136,0.3545,0.3664,0.3664,6204800
1990-11-01,0.3664,0.39,0.3309,0.3841,0.3841,8489600
