Date,Open,High,Low,Close,Adj Close,Volume
,FANG,FANG,FANG,FANG,,FANG
2012-10-01,13.9747,14.3355,12.7435,13.3552,13.3552,8972600
2012-11-01,13.4101,14.4923,12.273,14.1159,14.1159,2732900
2012-12-01,14.1237,15.5981,13.4885,14.9942,14.9942,3752400
2013-01-01,15.2609,17.9586,14.5864,17.5821,17.5821,3337600
2013-02-01,17.6919,18.2801,15.3471,17.8096,17.8096,2803800
2013-03-01,17.6449,21.3385,17.1194,21.0484,21.0484,2455200
2013-04-01,21.119,21.9345,18.6879,20.5935,20.5935,4500000
2013-05-01,20.468,28.1612,20.3504,26.483,26.483,12001200
2013-06-01,26.3967,28.1298,24.1225,26.1301,26.1301,10577600
2013-07-01,26.2634,31.3687,26.2085,29.9414,29.9414,5011100
2013-08-01,30.804,34.5918,29.8786,31.5569,31.5569,11478100
2013-09-01,32.0039,37.0307,32.0039,33.439,33.439,9180500
2013-10-01,33.4155,44.0416,33.0782,40.5048,40.5048,15996300
2013-11-01,40.3244,46.0413,37.7914,39.0069,39.0069,18723500
2013-12-01,39.1481,42.2144,34.0899,41.4694,41.4694,15707800
2014-01-01,41.2733,42.0183,34.5212,40.7636,40.7636,17881600
2014-02-01,40.7636,53.3267,38.8501,50.4486,50.4486,21207500
2014-03-01,50.1036,55.6715,47.3745,52.7856,52.7856,16999900
2014-04-01,52.7778,60.1651,50.2291,56.4165,56.4165,20392500
2014-05-01,56.4949,59.9925,53.0444,59.1926,59.1926,21329000
2014-06-01,60.3768,73.1909,59.0907,69.6384,69.6384,28810100
2014-07-01,70.5795,70.9559,63.5372,64.4861,64.4861,26017300
2014-08-01,64.5645,68.0857,58.5418,67.7171,67.7171,22510300
2014-09-01,67.8269,68.0073,55.4127,58.6437,58.6437,26482100
2014-10-01,59.0515,60.3376,44.1827,53.6718,53.6718,37773800
2014-11-01,53.6718,56.1028,42.7241,44.2298,44.2298,27516600
2014-12-01,44.0651,49.4919,40.5361,46.8805,46.8805,32367100
2015-01-01,47.0922,55.546,43.5475,54.1031,54.1031,30154100
2015-02-01,54.6834,60.3298,51.4054,55.8441,55.8441,23303300
2015-03-01,55.5931,61.757,52.9503,60.2592,60.2592,23724800
2015-04-01,60.8552,67.3015,59.969,64.7528,64.7528,19936800
2015-05-01,64.792,66.4702,58.2281,61.0199,61.0199,25209700
2015-06-01,61.5767,64.69,57.5301,59.1142,59.1142,24837300
2015-07-01,59.922,60.667,48.8018,52.7778,52.7778,28220100
2015-08-01,52.3857,58.181,47.2726,53.5541,53.5541,30679800
2015-09-01,52.0641,56.1813,48.7077,50.6604,50.6604,21352000
2015-10-01,51.8288,61.1532,49.6879,57.9065,57.9065,25327600
2015-11-01,57.8987,64.4547,57.4752,61.1846,61.1846,22287800
2015-12-01,61.4277,62.7373,48.2371,52.4641,52.4641,27959900
2016-01-01,52.1112,59.3338,43.5083,59.2475,59.2475,38748600
2016-02-01,58.3535,60.2749,50.0016,55.8754,55.8754,33087900
2016-03-01,56.2754,62.6354,54.0796,60.5258,60.5258,29691200
2016-04-01,59.6004,69.9678,57.3419,67.8974,67.8974,20563700
2016-05-01,68.2895,73.6536,64.4547,71.3245,71.3245,24127400
2016-06-01,70.7912,75.2926,64.9331,71.5284,71.5284,23179800
2016-07-01,71.9832,72.791,66.031,68.8464,68.8464,25229200
2016-08-01,68.7287,77.5904,65.7958,74.6966,74.6966,21559700
2016-09-01,74.6809,78.1785,68.1719,75.7083,75.7083,22053000
2016-10-01,74.6182,83.7857,70.9794,71.5911,71.5911,30243600
2016-11-01,72.3596,85.0953,69.5914,84.5777,84.5777,31340500
2016-12-01,87.1892,88.7968,75.6769,79.2529,79.2529,36088100
2017-01-01,80.3822,85.0875,77.7393,82.476,82.476,23658300
2017-02-01,83.1818,89.4007,75.324,79.0961,79.0961,31808900
2017-03-01,80.4449,83.8484,76.0533,81.339,81.339,37501800
2017-04-01,81.1664,84.8287,77.5825,78.2962,78.2962,26095700
2017-05-01,78.3197,82.3427,71.5205,72.7439,72.7439,34080400
2017-06-01,73.4654,74.3672,65.2625,69.6463,69.6463,36446900
2017-07-01,70.2266,76.7199,64.9096,75.1907,75.1907,22191400
2017-08-01,75.4338,76.8454,67.2309,71.199,71.199,34209300
2017-09-01,71.4186,77.1355,68.8856,76.8218,76.8218,23565100
2017-10-01,76.0533,84.3503,75.0417,84.0366,84.0366,20370900
2017-11-01,84.8757,90.13,82.9623,85.7227,85.7227,22825100
2017-12-01,86.3893,99.9484,83.1034,99.0073,99.0073,21850200
2018-01-01,98.027,105.4928,97.7133,98.4191,98.4191,25106100
2018-02-01,98.474,101.2815,82.8603,97.7447,97.7447,29327900
2018-03-01,98.0506,105.5555,95.6587,99.2191,99.2191,27727300
2018-04-01,98.7015,102.4971,88.6635,100.7326,100.7326,39088800
2018-05-01,99.9405,108.3316,92.5846,94.702,94.702,43876900
2018-06-01,94.4279,104.2788,84.6005,103.2741,103.2741,43977000
2018-07-01,102.7246,108.5175,100.5504,103.5724,103.5724,19103600
2018-08-01,103.1956,106.9476,90.4875,95.0401,95.0401,45821500
2018-09-01,95.9796,108.308,87.462,106.2258,106.2258,35911600
2018-10-01,106.4301,110.6181,83.2347,88.2871,88.2871,37203800
2018-11-01,88.6328,93.9366,81.3332,86.7313,86.7313,83361100
2018-12-01,89.5419,91.2252,67.0128,72.9204,72.9204,66652000
2019-01-01,71.3,85.6953,70.6864,81.1171,81.1171,41213700
2019-02-01,81.3373,85.1446,74.6195,80.9676,80.9676,37278000
2019-03-01,81.2848,83.7657,73.1414,79.9617,79.9617,33971500
2019-04-01,81.0407,88.9715,77.8117,83.7893,83.7893,39593900
2019-05-01,83.238,89.8929,75.4647,77.2288,77.2288,43524200
2019-06-01,77.8815,86.9707,74.5204,85.9766,85.9766,31127000
2019-07-01,87.6177,88.241,78.0472,81.6056,81.6056,25770300
2019-08-01,78.6626,80.1222,68.3899,77.3844,77.3844,43930700
2019-09-01,75.3302,83.7573,70.0415,71.0771,71.0771,39434600
2019-10-01,70.3182,70.7451,63.8358,67.7964,67.7964,36587900
2019-11-01,68.413,73.3539,57.8515,61.1401,61.1401,56541800
2019-12-01,61.4878,73.7949,60.4021,73.5889,73.5889,40855100
2020-01-01,73.9772,76.8063,58.2862,58.9598,58.9598,43798600
2020-02-01,58.8013,64.6577,45.1708,49.1332,49.1332,52599300
2020-03-01,49.7275,50.9083,11.5305,20.7627,20.7627,143915500
2020-04-01,20.0838,35.5991,18.8959,34.7141,34.7141,121178500
2020-05-01,33.574,36.819,28.5511,33.9487,33.9487,57483000
2020-06-01,34.0378,48.1921,32.0583,33.6516,33.6516,67445900
2020-07-01,34.0861,34.7057,29.6121,32.0744,32.0744,51898700
2020-08-01,32.0825,37.7796,31.2456,31.3502,31.3502,39682800
2020-09-01,31.4871,31.7873,23.4043,24.4431,24.4431,65062400
2020-10-01,24.3538,26.3177,19.1763,21.0671,21.0671,71942400
2020-11-01,21.4648,38.3445,19.9391,32.4285,32.4285,104628400
2020-12-01,34.089,42.3074,32.2663,39.7376,39.7376,81141600
2021-01-01,40.2302,53.2846,39.048,46.5439,46.5439,64485600
2021-02-01,47.9233,61.4702,46.2648,56.8806,56.8806,49943500
2021-03-01,58.26,72.866,57.0859,60.3372,60.3372,79271900
2021-04-01,61.2487,72.3293,59.7294,67.4826,67.4826,45934100
2021-05-01,68.9275,71.9825,61.5955,66.1119,66.1119,51543400
2021-06-01,68.7768,80.1953,68.3785,77.9133,77.9133,54104900
2021-07-01,80.4941,85.0831,59.2088,64.0052,64.0052,53249000
2021-08-01,64.4285,68.2872,54.7111,64.0135,64.0135,50096700
2021-09-01,64.4011,81.5364,61.146,79.0157,79.0157,57725600
2021-10-01,79.5165,95.7587,79.1326,89.4655,89.4655,54522200
2021-11-01,91.6689,98.2459,84.1154,89.0815,89.0815,69940600
2021-12-01,91.8153,97.9682,79.652,90.407,90.407,52214200
2022-01-01,90.1807,112.378,90.1555,105.7557,105.7557,59471600
2022-02-01,104.6324,116.0747,102.3355,115.7645,115.7645,55729100
2022-03-01,117.0806,124.055,100.1141,114.9095,114.9095,69734100
2022-04-01,115.5004,122.9013,100.8334,106.2809,106.2809,38016300
2022-05-01,104.4034,134.453,102.5763,127.9951,127.9951,66421700
2022-06-01,132.7813,139.886,101.1983,104.4575,104.4575,77057700
2022-07-01,105.0524,110.9414,89.4205,110.3809,110.3809,48856000
2022-08-01,108.4841,122.2364,98.6031,114.9162,114.9162,61634300
2022-09-01,115.1575,124.5378,97.9236,106.2979,106.2979,49518700
2022-10-01,111.5395,140.2009,110.8512,138.639,138.639,47744700
2022-11-01,141.1892,149.087,125.429,130.6177,130.6177,56066900
2022-12-01,133.4648,134.091,115.8335,122.3547,122.3547,62239700
2023-01-01,120.7356,136.6762,114.5722,130.7096,130.7096,38742400
2023-02-01,129.7078,134.8335,119.2417,125.7539,125.7539,49064900
2023-03-01,125.4945,131.3895,106.4588,120.9145,120.9145,61650800
2023-04-01,130.6646,135.5956,123.7154,129.8518,129.8518,34398000
2023-05-01,127.7972,129.9797,113.9902,116.1087,116.1087,43733300
2023-06-01,117.1599,124.3825,113.4016,120.7069,120.7069,38709200
2023-07-01,120.9183,135.538,115.5335,135.3726,135.3726,39403900
2023-08-01,134.3434,139.7098,132.5424,139.4709,139.4709,42208100
2023-09-01,141.2956,146.8217,138.7635,143.1253,143.1253,38756100
2023-10-01,143.3748,158.3915,132.2209,148.1524,148.1524,47532200
2023-11-01,149.6495,151.5901,137.3866,142.691,142.691,36504400
2023-12-01,145.6738,151.0457,137.5545,146.4102,146.4102,37509400
2024-01-01,147.8168,152.5845,140.0186,145.1451,145.1451,34904400
2024-02-01,145.8626,173.6756,139.6599,172.3161,172.3161,48504100
2024-03-01,173.0903,187.4311,168.2471,187.0912,187.0912,28590300
2024-04-01,191.3887,203.4951,189.6798,193.0976,193.0976,31434700
2024-05-01,194.8929,197.5235,183.8329,191.3022,191.3022,32585200
2024-06-01,192.4126,196.6981,179.4687,194.0996,194.0996,27854300
2024-07-01,195.6801,207.9743,190.5122,196.1552,196.1552,24794800
2024-08-01,195.2147,197.561,174.1458,189.1742,189.1742,28938600
2024-09-01,187.8436,187.8436,164.6956,169.1702,169.1702,51255800
2024-10-01,167.7179,196.7143,166.8053,173.4583,173.4583,55876000
2024-11-01,174.0765,182.5841,170.4654,174.2629,174.2629,41742800
2024-12-01,175.3053,175.8082,149.8926,161.5586,161.5586,50135700
2025-01-01,163.8464,178.4018,161.6671,162.0812,162.0812,38688000
2025-02-01,162.8899,165.2664,148.9065,156.7561,156.7561,50688000
2025-03-01,157.7423,162.8406,135.1893,157.6634,157.6634,61064300
2025-04-01,159.1335,160.6629,113.2128,131.0984,131.0984,61150100
2025-05-01,131.31,147.75,127.75,137.98,137.98,41934037
