Date,Open,High,Low,Close,Adj Close,Volume
,FDS,FDS,FDS,FDS,,FDS
1996-06-01,3.2178,3.5657,3.1961,3.4787,3.4787,7850250
1996-07-01,3.4352,3.6092,2.696,3.4787,3.4787,6559650
1996-08-01,3.4787,3.5439,3.1743,3.5222,3.5222,1816650
1996-09-01,3.4787,3.4787,3.3265,3.3265,3.3265,1499400
1996-10-01,3.3265,4.1962,3.2395,4.1744,4.1744,2410200
1996-11-01,4.1962,4.2614,4.0223,4.0875,4.0875,732150
1996-12-01,3.8266,3.8266,3.5874,3.6526,3.6526,1318050
1997-01-01,3.6526,3.6526,3.4352,3.5874,3.5874,1220850
1997-02-01,3.6092,3.6092,3.1091,3.1526,3.1526,1083600
1997-03-01,3.1526,3.4787,2.9569,3.37,3.37,3877200
1997-04-01,3.37,3.5657,3.1091,3.5222,3.5222,813150
1997-05-01,3.5439,3.8483,3.3483,3.3917,3.3917,707400
1997-06-01,3.3917,4.2832,3.3917,4.2614,4.2614,896850
1997-07-01,4.2614,5.0224,3.957,4.7723,4.7723,1310850
1997-08-01,4.7941,5.0006,4.631,4.7723,4.7723,713700
1997-09-01,4.7723,5.8486,4.7723,5.2181,5.2181,961650
1997-10-01,5.2072,5.8377,4.4788,4.6419,4.6419,870300
1997-11-01,4.6419,4.8267,4.3484,4.3919,4.3919,344250
1997-12-01,4.4245,5.4681,4.0657,5.3485,5.3485,2086200
1998-01-01,5.3376,5.3376,4.7397,4.8702,4.8702,588600
1998-02-01,4.8702,5.5659,4.805,5.1963,5.1963,1939500
1998-03-01,5.1963,6.2291,5.142,6.2182,6.2182,1647900
1998-04-01,6.2182,6.4356,5.9247,6.0877,6.0877,1277550
1998-05-01,6.0877,6.316,5.6312,5.642,5.642,1054350
1998-06-01,5.5985,5.7399,5.3376,5.6529,5.6529,1689750
1998-07-01,5.6746,7.0879,5.6311,6.3921,6.3921,1406700
1998-08-01,6.3704,6.827,5.6094,5.6094,5.6094,1116000
1998-09-01,5.6529,5.7942,5.1637,5.5116,5.5116,1746000
1998-10-01,5.4463,5.4463,4.5223,5.2181,5.2181,1574100
1998-11-01,5.2615,7.4792,5.2615,7.0661,7.0661,2191500
1998-12-01,7.0226,11.0449,7.0226,10.7405,10.7405,4576050
1999-01-01,10.784,13.3495,10.1426,12.8712,12.8712,6804000
1999-02-01,12.9147,14.0887,9.2784,10.8764,10.8764,3769050
1999-03-01,10.906,11.5917,9.5836,11.2979,11.2979,4166400
1999-04-01,11.2979,13.3876,11.2652,12.1795,12.1795,2972700
1999-05-01,12.1142,13.1754,11.1673,11.1673,11.1673,1291500
1999-06-01,11.1792,15.5267,11.0321,14.8076,14.8076,2978100
1999-07-01,14.8076,14.8076,11.7349,13.0424,13.0424,1910100
1999-08-01,13.0751,13.2386,11.2119,12.1108,12.1108,1911300
1999-09-01,12.1404,15.1182,12.0913,14.8891,14.8891,1388400
1999-10-01,14.8892,17.6052,13.6457,17.4089,17.4089,1815000
1999-11-01,17.6379,19.3723,15.8218,16.2308,16.2308,2656500
1999-12-01,16.1783,21.8768,15.7362,20.8615,20.8615,1585800
2000-01-01,20.927,20.927,16.2438,17.5538,17.5538,2213100
2000-02-01,17.4228,17.6193,14.0823,15.7853,15.7853,2819100
2000-03-01,15.9249,18.6118,12.5171,14.1883,14.1883,3529800
2000-04-01,14.1883,15.9577,13.2708,15.073,15.073,2888850
2000-05-01,15.204,16.1215,9.437,13.5001,13.5001,5575500
2000-06-01,13.55,16.2731,13.55,14.8295,14.8295,1977900
2000-07-01,14.8951,18.7009,14.6983,17.1261,17.1261,1489200
2000-08-01,17.2574,18.8322,17.0933,17.9463,17.9463,1444800
2000-09-01,18.0609,20.9848,17.4698,19.7553,19.7553,2147850
2000-10-01,19.7028,20.9638,18.1266,19.8972,19.8972,1869450
2000-11-01,19.9392,20.2019,16.7762,16.8656,16.8656,1769700
2000-12-01,17.0109,23.321,16.9583,19.4929,19.4929,3162450
2001-01-01,19.4929,21.2965,15.7752,19.6874,19.6874,2748450
2001-02-01,19.6874,20.0608,15.7226,16.4062,16.4062,1492200
2001-03-01,16.5539,17.1856,14.2801,15.896,15.896,2087400
2001-04-01,15.7802,18.6857,15.2117,18.6857,18.6857,2020950
2001-05-01,18.6857,22.8913,18.4752,21.1122,21.1122,3870750
2001-06-01,21.1374,25.0203,15.99,18.8087,18.8087,9043950
2001-07-01,18.756,19.4093,16.754,17.4652,17.4652,2663400
2001-08-01,17.4125,17.4125,11.9332,13.3558,13.3558,7382250
2001-09-01,13.3501,13.6984,9.3926,12.8013,12.8013,6118050
2001-10-01,12.8013,15.2497,11.8462,13.0599,13.0599,4845000
2001-11-01,13.0599,16.648,12.9016,15.8196,15.8196,4303200
2001-12-01,15.7451,18.8096,15.5602,18.4662,18.4662,4864050
2002-01-01,18.4662,20.7117,18.4398,20.4475,20.4475,4212150
2002-02-01,20.289,20.3683,16.9075,18.1069,18.1069,3080700
2002-03-01,18.3039,21.7425,18.3039,21.3457,21.3457,5945100
2002-04-01,21.3193,21.9277,18.1452,18.4256,18.4256,4533000
2002-05-01,18.4256,18.7271,15.6377,17.2459,17.2459,7090950
2002-06-01,17.3411,17.3411,14.1198,15.7729,15.7729,12459000
2002-07-01,15.8418,15.9477,11.7886,13.8125,13.8125,10457400
2002-08-01,13.8125,14.0192,11.2058,13.1396,13.1396,10158300
2002-09-01,13.1398,14.7591,11.8975,14.0954,14.0954,13322700
2002-10-01,14.1751,16.3464,11.6904,14.5201,14.5201,12106800
2002-11-01,14.4936,16.5907,14.3184,16.4048,16.4048,6566250
2002-12-01,16.5915,17.9688,14.0815,15.0333,15.0333,11511900
2003-01-01,15.0972,16.166,13.7464,14.459,14.459,7203450
2003-02-01,14.5069,14.576,12.9116,13.6082,13.6082,7311300
2003-03-01,13.7201,17.6363,12.9742,17.29,17.29,12477600
2003-04-01,17.3113,18.8245,16.5707,18.5421,18.5421,10339050
2003-05-01,18.5155,20.5455,17.8495,20.5136,20.5136,8906850
2003-06-01,21.075,23.5887,19.426,23.5086,23.5086,16608750
2003-07-01,23.5086,25.9796,22.5373,24.5493,24.5493,12818400
2003-08-01,24.592,26.4118,23.3218,25.9102,25.9102,7068300
2003-09-01,26.076,28.3683,23.1371,23.6982,23.6982,14082450
2003-10-01,23.805,25.4455,22.7684,23.3188,23.3188,9080850
2003-11-01,23.1852,24.4035,21.1066,22.1486,22.1486,9540750
2003-12-01,22.2667,22.9838,18.7135,20.4473,20.4473,15757350
2004-01-01,20.4473,21.0787,18.9061,20.3617,20.3617,10624200
2004-02-01,20.3349,21.3516,19.1576,19.7088,19.7088,9834450
2004-03-01,19.7413,22.8823,19.5751,22.8126,22.8126,13391100
2004-04-01,22.6465,23.0217,21.1188,21.3118,21.3118,7811550
2004-05-01,21.3064,24.2813,21.3064,23.429,23.429,8854500
2004-06-01,23.4713,27.648,23.0579,25.3771,25.3771,17763150
2004-07-01,25.5113,25.5113,22.3868,23.1653,23.1653,11321400
2004-08-01,23.0847,24.7544,21.5279,23.9061,23.9061,6042150
2004-09-01,23.8084,27.2012,23.6471,25.9161,25.9161,9826800
2004-10-01,26.0506,27.5561,25.5935,26.7979,26.7979,8270700
2004-11-01,26.884,29.3412,26.185,27.7711,27.7711,6889500
2004-12-01,27.9429,31.9001,26.4246,31.464,31.464,9237750
2005-01-01,31.4055,31.6427,27.6961,28.7906,28.7906,8375400
2005-02-01,28.6181,29.9228,25.216,26.6798,26.6798,8558350
2005-03-01,26.7706,27.289,24.4621,26.7382,26.7382,9816700
2005-04-01,26.8435,27.37,21.9187,22.4857,22.4857,9338800
2005-05-01,22.2912,26.6896,21.9591,25.9281,25.9281,9061200
2005-06-01,25.9934,29.5144,24.8333,29.0763,29.0763,7995600
2005-07-01,29.3684,30.4149,28.5003,29.7578,29.7578,3886700
2005-08-01,29.7497,30.7313,27.3239,28.3948,28.3948,5355600
2005-09-01,28.4361,31.9216,25.7063,28.6311,28.6311,9389100
2005-10-01,28.7774,28.9724,26.4212,28.493,28.493,6060600
2005-11-01,28.3305,31.6129,28.1274,31.4585,31.4585,3687900
2005-12-01,31.7037,34.4127,30.9633,33.4853,33.4853,5694700
2006-01-01,33.4365,34.0466,31.1016,32.444,32.444,7143400
2006-02-01,32.2813,33.0297,30.4264,31.8501,31.8501,4132300
2006-03-01,32.0124,36.2889,31.5644,36.126,36.126,5846900
2006-04-01,36.0038,37.413,34.5865,35.955,35.955,3643500
2006-05-01,36.0364,38.6267,33.9918,36.5822,36.5822,7163600
2006-06-01,36.6636,38.9474,33.6049,38.5804,38.5804,10671100
2006-07-01,38.3194,38.8496,34.5429,35.8072,35.8072,6780000
2006-08-01,35.7256,37.4303,34.5021,35.9703,35.9703,4079500
2006-09-01,36.1422,40.5855,35.2438,39.6707,39.6707,7522100
2006-10-01,39.7523,42.8234,39.3195,41.5737,41.5737,5031100
2006-11-01,41.778,43.9343,41.1245,43.191,43.191,3826000
