Date,Open,High,Low,Close,Adj Close,Volume
,FDX,FDX,FDX,FDX,,FDX
1985-01-01,7.0055,7.5404,6.3941,6.8272,6.8272,32430800
1985-02-01,7.1329,7.9226,7.1329,7.5404,7.5404,32429600
1985-03-01,7.5404,7.5659,6.8017,7.3112,7.3112,22634800
1985-04-01,7.3876,8.1009,7.0055,7.5659,7.5659,23456000
1985-05-01,7.5659,8.9925,7.5404,8.8651,8.8651,27976800
1985-06-01,8.8906,9.2218,8.4575,9.0434,9.0434,14854400
1985-07-01,8.9415,10.6483,8.8396,10.1898,10.1898,36491600
1985-08-01,10.2153,10.2917,9.4765,9.8586,9.8586,16480000
1985-09-01,9.8077,9.9605,8.7632,8.9415,8.9415,16723200
1985-10-01,8.9925,9.7312,8.3556,9.4256,9.4256,18427600
1985-11-01,9.3746,11.5654,9.3491,11.1833,11.1833,15532400
1985-12-01,11.2088,12.4315,10.954,12.3551,12.3551,23743600
1986-01-01,12.3042,13.425,11.3107,13.2212,13.2212,26851600
1986-02-01,13.1703,14.8007,12.7627,14.5714,14.5714,14938400
1986-03-01,14.5205,15.0299,12.2277,13.8836,13.8836,38298000
1986-04-01,13.8581,13.9091,12.2787,12.4061,12.4061,30180400
1986-05-01,12.457,13.1703,11.6164,12.7372,12.7372,20039200
1986-06-01,12.6863,12.6863,11.2597,11.6673,11.6673,18816000
1986-07-01,11.9221,12.1004,10.3936,11.0304,11.0304,27340400
1986-08-01,11.0305,12.941,10.6993,12.2787,12.2787,25157600
1986-09-01,12.2023,13.6034,10.4955,13.2977,13.2977,36568800
1986-10-01,13.3741,14.2402,13.1194,13.6543,13.6543,27962000
1986-11-01,13.6034,14.0619,13.0429,13.96,13.96,13953200
1986-12-01,13.5779,14.495,12.8137,12.8646,12.8646,20946800
1987-01-01,12.9156,13.7562,12.3296,12.8137,12.8137,31485200
1987-02-01,12.7118,13.3741,11.9475,12.5844,12.5844,37350400
1987-03-01,12.6353,13.2213,11.8456,12.5844,12.5844,37403600
1987-04-01,12.457,13.7562,12.4061,12.7882,12.7882,22756400
1987-05-01,12.7882,13.8581,12.457,13.1958,13.1958,18328400
1987-06-01,13.3486,14.928,13.2213,13.7053,13.7053,24090800
1987-07-01,13.5524,15.0299,12.6863,13.2467,13.2467,31000800
1987-08-01,13.0939,13.9855,12.992,13.2212,13.2212,22646400
1987-09-01,13.2213,14.6733,12.6099,14.0874,14.0874,30252400
1987-10-01,14.2657,15.3866,9.2727,11.1069,11.1069,43337600
1987-11-01,10.2917,11.005,8.6613,8.967,8.967,21760000
1987-12-01,9.0689,9.4256,7.1838,8.1264,8.1264,26535200
1988-01-01,8.2283,9.0944,7.2093,7.9226,7.9226,19412400
1988-02-01,8.0245,9.2218,7.8461,9.1708,9.1708,15632000
1988-03-01,9.2218,9.8331,8.8142,9.451,9.451,21941200
1988-04-01,9.4256,10.1898,9.1708,9.3491,9.3491,12953600
1988-05-01,9.3746,9.502,7.9226,8.3556,8.3556,13219600
1988-06-01,8.3047,9.3237,8.2792,9.1963,9.1963,24282400
1988-07-01,9.2218,9.2727,8.4575,8.5849,8.5849,12228000
1988-08-01,8.5594,9.1708,8.4066,8.8906,8.8906,13808800
1988-09-01,8.7887,10.0879,8.5849,9.8586,9.8586,14742800
1988-10-01,9.8077,10.3936,9.3746,9.5529,9.5529,13063200
1988-11-01,9.5275,9.7567,8.8142,9.7313,9.7313,7980400
1988-12-01,9.7312,10.3936,9.2982,10.3172,10.3172,12182800
1989-01-01,10.1388,11.489,10.1134,11.1833,11.1833,18775200
1989-02-01,11.1578,11.2597,10.0879,10.3426,10.3426,10053600
1989-03-01,10.3936,10.6993,9.0944,9.1963,9.1963,16931600
1989-04-01,9.1708,9.7567,8.7632,8.8651,8.8651,15644000
1989-05-01,8.8396,9.7822,8.6104,9.6039,9.6039,13464000
1989-06-01,9.5529,9.8331,8.5849,8.7632,8.7632,12547600
1989-07-01,8.7632,10.4445,8.5849,10.4445,10.4445,14909200
1989-08-01,10.3936,11.7183,10.1134,11.2597,11.2597,26230400
1989-09-01,11.2342,11.2597,10.4445,10.9031,10.9031,12837600
1989-10-01,10.954,11.7947,10.1388,10.1643,10.1643,22882400
1989-11-01,10.1643,10.1643,9.4765,9.6548,9.6548,16325200
1989-12-01,9.5784,9.6548,8.8651,9.3237,9.3237,16781600
1990-01-01,9.4765,9.9605,8.9415,9.1708,9.1708,16249200
1990-02-01,9.1708,10.521,9.0689,10.1898,10.1898,15643200
1990-03-01,10.1388,11.8202,10.1388,11.3616,11.3616,22444800
1990-04-01,11.1069,11.8202,10.9031,11.1578,11.1578,11916800
1990-05-01,11.3616,11.5145,9.2982,9.4256,9.4256,32574400
1990-06-01,9.4256,10.1643,8.9925,9.2218,9.2218,15768800
1990-07-01,9.1963,9.6803,8.4575,8.483,8.483,21840400
1990-08-01,8.483,8.483,6.8526,7.999,7.999,19466400
1990-09-01,7.948,7.999,7.1329,7.3876,7.3876,9172000
1990-10-01,7.3876,8.4066,6.6998,6.7253,6.7253,18687200
1990-11-01,6.7507,7.1583,6.012,6.0884,6.0884,18103600
1990-12-01,6.2667,7.1838,6.1648,6.9036,6.9036,19235600
1991-01-01,6.8781,8.8142,6.5469,8.7123,8.7123,19535200
1991-02-01,8.7123,9.0689,8.1264,8.4066,8.4066,12709200
1991-03-01,8.3556,8.3556,7.0819,7.3876,7.3876,13372400
1991-04-01,7.3621,7.3876,6.3941,7.1838,7.1838,19315200
1991-05-01,7.1838,8.5339,7.1329,8.1773,8.1773,22851600
1991-06-01,8.1773,8.9415,7.6933,7.8461,7.8461,12079200
1991-07-01,8.0499,8.7377,7.8461,8.5085,8.5085,14225600
1991-08-01,8.4575,8.4575,7.7442,8.0754,8.0754,9141200
1991-09-01,8.1264,8.1264,7.0564,7.1329,7.1329,7758800
1991-10-01,7.1329,8.3302,7.0819,7.8461,7.8461,12630800
1991-11-01,7.8716,7.9735,7.0564,7.1074,7.1074,7531600
1991-12-01,7.0819,7.948,6.5215,7.8971,7.8971,11926000
1992-01-01,7.8461,9.3237,7.4385,8.9161,8.9161,20515200
1992-02-01,8.8142,11.1578,8.6104,10.4445,10.4445,31495600
1992-03-01,10.4191,11.438,9.3237,9.5529,9.5529,37819200
1992-04-01,9.4765,9.8841,8.5339,8.8651,8.8651,18562400
1992-05-01,8.8142,8.9925,8.0754,8.3047,8.3047,15434000
1992-06-01,8.3302,9.4256,8.1009,9.1963,9.1963,11728800
1992-07-01,9.1708,9.8332,8.4066,8.7123,8.7123,15029200
1992-08-01,8.6868,9.0689,7.5659,7.8207,7.8207,14463200
1992-09-01,7.8461,8.483,7.031,7.3621,7.3621,11711600
1992-10-01,7.3876,9.3237,7.031,9.1963,9.1963,20779200
1992-11-01,9.1453,10.2407,9.1453,9.9605,9.9605,11333600
1992-12-01,9.9605,11.438,9.8331,11.1069,11.1069,22190000
1993-01-01,11.1578,11.6928,10.9285,11.5399,11.5399,21221200
1993-02-01,11.5399,12.3806,11.3107,11.489,11.489,10482000
1993-03-01,11.438,11.9221,10.9031,11.489,11.489,12898000
1993-04-01,11.4635,11.489,9.7822,9.8586,9.8586,17172400
1993-05-01,9.8331,10.6229,9.7567,9.986,9.986,12638000
1993-06-01,10.0115,10.3172,9.0434,9.502,9.502,22530000
1993-07-01,9.5275,11.1323,9.2218,10.7502,10.7502,16120400
1993-08-01,10.7757,12.2787,10.6483,12.1768,12.1768,15268000
1993-09-01,12.1768,12.941,11.1578,12.6099,12.6099,22270400
1993-10-01,12.4825,13.8581,12.4825,13.7562,13.7562,19448400
1993-11-01,13.7562,14.5714,13.0939,14.5714,14.5714,11796000
1993-12-01,14.5714,14.7752,13.7562,14.444,14.444,22228000
1994-01-01,14.444,15.5904,14.0874,15.4885,15.4885,22011200
1994-02-01,15.4121,15.8706,15.2337,15.2592,15.2592,14656000
1994-03-01,15.1573,15.1828,13.3486,13.6288,13.6288,19622000
1994-04-01,13.3996,15.6158,12.8646,15.5394,15.5394,20825200
1994-05-01,15.5394,15.8451,14.5714,15.5904,15.5904,12114400
1994-06-01,15.5394,16.4565,15.0045,15.2337,15.2337,18138800
1994-07-01,15.4885,15.5904,13.5524,13.5524,13.5524,16080800
1994-08-01,13.5015,14.5714,12.8901,14.444,14.444,20758400
1994-09-01,14.444,14.6988,12.1259,12.6099,12.6099,39301600
1994-10-01,12.6608,13.425,11.6928,12.3806,12.3806,24370800
