Date,Open,High,Low,Close,Adj Close,Volume
,FE,FE,FE,FE,,FE
1997-11-01,7.4311,7.864,7.2508,7.7919,7.7919,9168300
1997-12-01,7.7919,8.3691,7.7558,8.3691,8.3691,12968300
1998-01-01,8.2969,8.5134,8.0444,8.3691,8.3691,13238300
1998-02-01,8.5134,8.6216,8.2248,8.351,8.351,10923500
1998-03-01,8.4588,9.2444,8.3857,9.0069,9.0069,9110500
1998-04-01,9.0434,9.3174,8.5684,8.8424,8.8424,8235000
1998-05-01,8.879,8.9703,8.3309,8.678,8.678,10982900
1998-06-01,8.8418,9.3412,8.8233,9.1007,9.1007,10346600
1998-07-01,9.1192,9.1562,8.1389,8.1574,8.1574,11894200
1998-08-01,8.2128,8.8787,8.0094,8.5458,8.5458,8898400
1998-09-01,8.7009,9.3947,8.2884,9.3197,9.3197,13368400
1998-10-01,9.3385,10.2198,8.7572,9.0009,9.0009,17772800
1998-11-01,9.0197,9.676,9.0197,9.2822,9.2822,13935700
1998-12-01,9.4915,9.9091,9.3586,9.8901,9.8901,10243200
1999-01-01,9.9661,10.08,9.3206,9.4345,9.4345,10800900
1999-02-01,9.3396,9.4156,8.6942,8.884,8.884,16500600
1999-03-01,8.9189,9.4571,8.5921,8.6113,8.6113,9192200
1999-04-01,8.5729,9.4379,8.5537,9.1303,9.1303,7924900
1999-05-01,9.0342,9.88,9.0342,9.7839,9.7839,13528900
1999-06-01,9.9069,9.9459,9.5761,9.6539,9.6539,10724400
1999-07-01,9.615,9.7512,8.817,8.8948,8.8948,7737500
1999-08-01,8.9727,9.1284,8.6418,8.8948,8.8948,9611200
1999-09-01,8.9717,9.1097,7.8083,7.9858,7.9858,10500300
1999-10-01,7.9858,8.321,7.4731,8.2224,8.2224,12289600
1999-11-01,8.3604,8.3801,6.9802,7.3548,7.3548,12329800
1999-12-01,7.3614,7.6814,7.1613,7.2614,7.2614,11714400
2000-01-01,7.1813,7.5414,7.0013,7.2814,7.2814,13179500
2000-02-01,7.3014,7.4014,5.9211,5.9211,5.9211,16467800
2000-03-01,6.4265,6.7926,5.8571,6.7113,6.7113,13437700
2000-04-01,6.7112,8.745,6.6909,8.2772,8.2772,14281500
2000-05-01,8.2975,8.3586,7.5857,8.1755,8.1755,13721600
2000-06-01,8.3823,8.5062,7.6803,7.7216,7.7216,9824600
2000-07-01,7.7836,8.5062,7.7836,8.4236,8.4236,8291800
2000-08-01,8.4442,8.981,7.5771,8.181,8.181,21869400
2000-09-01,8.2915,9.3384,8.2287,9.0296,9.0296,11624300
2000-10-01,9.0453,9.3175,8.145,8.6684,8.6684,9693700
