Date,Open,High,Low,Close,Adj Close,Volume
,FFIV,FFIV,FFIV,FFIV,,FFIV
1999-06-01,5.125,22.5625,5.0625,20.5,20.5,23000800
1999-07-01,21.875,42.5,17.0,25.0,25.0,22025400
1999-08-01,23.8125,35.0625,13.875,33.9062,33.9062,24102800
1999-09-01,34.1875,41.75,29.75,34.0,34.0,21112000
1999-10-01,33.5,73.875,33.4688,69.375,69.375,32366800
1999-11-01,69.5,80.25,56.5,56.5625,56.5625,28924000
1999-12-01,57.5,75.0,50.0,57.0,57.0,28143200
2000-01-01,60.625,71.0625,42.875,47.0,47.0,34797200
2000-02-01,47.9688,53.375,44.5,45.0,45.0,36682800
2000-03-01,45.7812,59.5,31.0625,33.875,33.875,51601800
2000-04-01,33.75,38.25,18.5,23.3438,23.3438,51885200
2000-05-01,23.8438,24.125,14.1875,16.125,16.125,63274000
2000-06-01,16.5312,28.875,16.4375,27.2812,27.2812,45113600
2000-07-01,27.25,28.25,19.125,22.5938,22.5938,45046200
2000-08-01,22.75,30.0,20.25,29.0,29.0,29644600
2000-09-01,30.625,30.75,16.5,17.0,17.0,50446600
2000-10-01,17.4062,17.5,11.1875,15.5,15.5,48292400
2000-11-01,15.6562,20.4688,11.5625,12.4375,12.4375,32491000
2000-12-01,12.75,15.3438,4.75,4.75,4.75,53062600
2001-01-01,4.7188,8.9062,4.7188,8.5,8.5,49911600
2001-02-01,8.125,8.4375,3.3438,3.4844,3.4844,15767000
2001-03-01,3.3125,4.0938,2.5,2.6719,2.6719,16687800
2001-04-01,2.8438,4.585,1.875,3.745,3.745,14019400
2001-05-01,3.605,7.1,3.575,5.615,5.615,20418800
2001-06-01,5.55,9.6,5.15,8.785,8.785,37086600
2001-07-01,9.075,9.25,6.385,7.305,7.305,29745600
2001-08-01,7.33,8.75,5.675,7.91,7.91,17162000
2001-09-01,7.775,7.875,4.255,4.64,4.64,13839800
2001-10-01,4.505,8.74,3.5,7.545,7.545,30666200
2001-11-01,7.525,12.17,7.525,11.165,11.165,37325400
2001-12-01,10.88,14.365,9.92,10.77,10.77,47633400
2002-01-01,10.645,12.78,8.89,11.69,11.69,66519000
2002-02-01,11.575,12.905,9.205,10.925,10.925,54626200
2002-03-01,11.07,13.615,10.365,11.62,11.62,68069200
2002-04-01,11.43,11.93,5.63,6.51,6.51,80547800
2002-05-01,6.545,7.085,5.325,5.905,5.905,26624800
2002-06-01,5.825,6.39,3.655,4.89,4.89,18186400
2002-07-01,4.935,6.49,3.565,6.26,6.26,24424800
2002-08-01,6.195,7.74,4.995,6.25,6.25,19122000
2002-09-01,6.125,6.15,3.66,3.775,3.775,17717200
2002-10-01,3.875,5.36,3.2,4.695,4.695,20630400
2002-11-01,4.59,7.315,4.53,7.01,7.01,26794800
2002-12-01,7.12,7.575,5.13,5.37,5.37,19068200
2003-01-01,5.375,7.345,5.35,6.48,6.48,17420200
2003-02-01,6.505,7.22,6.31,6.985,6.985,13465400
2003-03-01,7.05,7.75,5.695,6.315,6.315,26583600
2003-04-01,6.495,7.16,6.075,6.89,6.89,20305800
2003-05-01,6.855,8.86,6.65,8.66,8.66,22597600
2003-06-01,8.725,9.43,7.93,8.31,8.31,24492600
2003-07-01,8.425,9.62,8.1,9.375,9.375,25243200
2003-08-01,9.375,10.125,8.3,9.805,9.805,16573800
2003-09-01,10.005,10.925,9.02,9.62,9.62,28015400
2003-10-01,9.64,13.725,9.625,12.505,12.505,33188400
2003-11-01,12.565,13.275,11.65,12.91,12.91,30228400
2003-12-01,13.065,13.375,10.895,12.55,12.55,22005600
2004-01-01,12.575,19.605,12.565,17.0,17.0,51398400
2004-02-01,16.25,19.125,15.075,16.5,16.5,48017600
2004-03-01,16.7,17.71,13.57,16.91,16.91,66111000
2004-04-01,17.065,17.8,12.625,12.745,12.745,38435000
2004-05-01,12.755,15.145,12.53,14.84,14.84,32081000
2004-06-01,14.85,15.375,10.925,13.24,13.24,58515200
2004-07-01,13.145,13.595,10.7,13.095,13.095,50346200
2004-08-01,13.025,13.075,10.81,12.285,12.285,33852400
2004-09-01,12.25,15.64,12.15,15.23,15.23,36979200
2004-10-01,15.355,20.6,15.235,19.975,19.975,54281400
2004-11-01,19.76,22.25,19.06,21.525,21.525,54343600
2004-12-01,21.9,24.895,20.515,24.36,24.36,45631600
2005-01-01,24.435,25.495,20.625,23.97,23.97,67340600
2005-02-01,23.88,28.28,23.07,27.545,27.545,56213000
2005-03-01,27.615,29.56,24.38,25.245,25.245,65807000
2005-04-01,25.385,26.04,20.65,21.39,21.39,61937000
2005-05-01,21.285,26.245,20.775,25.605,25.605,44136400
2005-06-01,25.5,27.005,21.91,23.635,23.635,61049800
2005-07-01,23.22,25.625,20.105,21.09,21.09,72047200
2005-08-01,21.195,21.32,17.67,20.645,20.645,56946000
2005-09-01,20.6,22.925,20.56,21.735,21.735,35765000
2005-10-01,21.47,26.69,19.75,26.015,26.015,57084800
2005-11-01,25.85,28.49,25.75,26.49,26.49,39797800
2005-12-01,26.655,29.25,25.56,28.595,28.595,33398400
2006-01-01,28.855,32.9,28.1,32.305,32.305,66151600
2006-02-01,31.835,34.675,29.3,33.9,33.9,31871800
2006-03-01,33.9,37.0,31.5,36.245,36.245,43860400
2006-04-01,35.805,36.465,28.02,29.28,29.28,84203000
2006-05-01,29.03,29.925,22.15,24.26,24.26,65791800
2006-06-01,24.13,26.875,21.11,26.74,26.74,48781400
2006-07-01,26.38,30.425,20.275,23.17,23.17,56844400
2006-08-01,22.815,25.625,20.3,25.045,25.045,45196400
2006-09-01,25.2,27.945,23.86,26.86,26.86,36347000
2006-10-01,26.485,33.675,26.15,33.095,33.095,44667400
2006-11-01,33.035,38.25,31.64,37.405,37.405,42844200
2006-12-01,36.895,39.275,35.83,37.105,37.105,30413000
2007-01-01,36.71,40.425,35.2,35.705,35.705,53065600
2007-02-01,35.705,39.345,35.25,36.31,36.31,32493200
2007-03-01,35.61,37.585,33.275,33.34,33.34,43025000
2007-04-01,33.03,40.25,32.215,38.39,38.39,76957400
2007-05-01,38.37,40.745,36.84,40.63,40.63,39759000
2007-06-01,40.68,43.24,38.305,40.3,40.3,36010000
2007-07-01,40.0,46.935,39.935,43.345,43.345,48511400
2007-08-01,43.295,44.415,31.42,34.97,34.97,82443600
2007-09-01,34.93,41.4,34.78,37.19,37.19,32136400
2007-10-01,37.07,44.55,32.94,36.03,36.03,55673500
2007-11-01,36.75,38.81,25.91,26.42,26.42,47225000
2007-12-01,26.8,30.84,26.28,28.52,28.52,33110900
2008-01-01,28.02,28.21,18.11,23.53,23.53,74327600
2008-02-01,23.96,25.21,20.37,22.16,22.16,44448000
2008-03-01,21.96,22.0,18.11,18.17,18.17,45400900
2008-04-01,18.52,24.42,17.7,22.63,22.63,77734000
2008-05-01,22.56,30.15,22.04,30.05,30.05,68477700
2008-06-01,30.0,32.6,28.26,28.42,28.42,53149600
2008-07-01,28.01,34.0,27.67,29.15,29.15,69069500
2008-08-01,28.9,35.85,27.98,34.11,34.11,38844900
2008-09-01,34.64,34.94,21.0,23.38,23.38,75093500
2008-10-01,23.96,26.12,17.75,24.82,24.82,72336600
2008-11-01,23.3,25.92,20.26,24.9,24.9,46252100
2008-12-01,24.16,24.82,20.49,22.86,22.86,44585500
2009-01-01,22.85,24.55,21.1,22.17,22.17,57242800
2009-02-01,21.39,23.92,19.14,20.0,20.0,32134300
2009-03-01,19.8,22.59,18.41,20.95,20.95,45829200
2009-04-01,20.86,28.49,20.51,27.27,27.27,46931600
2009-05-01,26.9,31.8,25.62,31.76,31.76,41727300
2009-06-01,31.81,36.28,31.47,34.61,34.61,46869600
2009-07-01,34.84,38.8,32.47,37.12,37.12,47885700
2009-08-01,36.31,38.59,33.43,34.5,34.5,32152600
2009-09-01,34.46,40.17,33.61,39.63,39.63,28461100
2009-10-01,39.62,49.0,37.93,44.89,44.89,42835600
2009-11-01,43.5,50.61,43.5,47.03,47.03,24325300
2009-12-01,47.44,53.59,47.39,52.97,52.97,23542100
2010-01-01,53.35,56.19,49.27,49.43,49.43,25152500
2010-02-01,49.53,56.16,47.11,55.8,55.8,22742900
2010-03-01,56.11,65.1,56.0,61.63,61.63,29664100
2010-04-01,61.69,72.6,61.44,68.43,68.43,28116000
2010-05-01,67.33,74.0,60.5,70.33,70.33,37102500
2010-06-01,70.02,77.1,64.39,68.57,68.57,35986400
2010-07-01,68.51,88.34,66.79,87.83,87.83,38195300
2010-08-01,87.96,92.7,80.0,87.43,87.43,34030800
2010-09-01,89.84,107.3,89.21,103.81,103.81,33841500
2010-10-01,104.82,119.88,89.05,117.7,117.7,80796600
2010-11-01,117.98,136.0,112.1,131.88,131.88,47880600
2010-12-01,134.11,143.75,129.14,130.16,130.16,60741800
2011-01-01,132.89,145.76,102.66,108.38,108.38,87962800
2011-02-01,109.56,129.92,107.81,118.01,118.01,68220500
2011-03-01,118.58,118.6,91.1,102.57,102.57,98350100
2011-04-01,100.58,111.63,92.03,101.36,101.36,78153500
2011-05-01,100.42,114.54,97.26,113.58,113.58,46942900
2011-06-01,112.1,114.9,96.21,110.25,110.25,52344600
2011-07-01,110.83,119.69,92.3,93.48,93.48,56845800
2011-08-01,95.52,96.39,69.01,81.57,81.57,78452000
2011-09-01,81.5,86.16,70.83,71.05,71.05,51222500
2011-10-01,70.61,107.95,69.6,103.95,103.95,53739800
2011-11-01,100.28,113.6,97.59,113.03,113.03,37152900
2011-12-01,111.5,117.3,99.59,106.12,106.12,33709600
2012-01-01,108.48,124.29,99.6,119.74,119.74,39350000
2012-02-01,121.17,130.27,119.5,124.96,124.96,23278700
2012-03-01,125.74,136.46,119.5,134.96,134.96,24101800
2012-04-01,135.05,139.46,120.01,133.93,133.93,37457300
2012-05-01,132.94,138.67,99.47,103.48,103.48,42919400
2012-06-01,100.0,107.19,92.09,99.56,99.56,37280700
2012-07-01,98.45,103.13,88.3,93.38,93.38,52880000
2012-08-01,94.44,104.88,90.29,97.49,97.49,33260600
2012-09-01,97.27,111.58,93.62,104.64,104.64,35869900
2012-10-01,105.72,108.37,81.07,82.59,82.59,44838200
2012-11-01,82.32,95.2,81.57,93.68,93.68,41149900
2012-12-01,94.18,99.39,89.61,97.15,97.15,25884000
2013-01-01,100.03,107.37,93.2,104.88,104.88,34408400
2013-02-01,106.35,107.99,92.01,94.43,94.43,28870300
2013-03-01,94.22,95.67,86.33,89.08,89.08,27150300
2013-04-01,88.84,92.57,70.6,76.43,76.43,52858500
2013-05-01,76.1,86.22,73.0,83.21,83.21,32098400
2013-06-01,80.6,80.95,67.53,68.8,68.8,33724000
2013-07-01,70.0,92.79,68.22,87.8,87.8,48216100
2013-08-01,88.26,94.33,82.27,83.38,83.38,30067400
2013-09-01,84.22,94.66,84.11,85.81,85.81,25459300
2013-10-01,86.1,93.25,81.07,81.54,81.54,49333700
2013-11-01,81.47,85.49,78.14,82.26,82.26,38600800
2013-12-01,82.11,91.28,81.2,90.86,90.86,30911900
2014-01-01,90.42,110.9,87.47,107.02,107.02,53658000
2014-02-01,104.58,114.86,102.24,112.34,112.34,31905500
2014-03-01,110.3,116.71,103.14,106.63,106.63,32978000
2014-04-01,107.05,112.84,99.26,105.17,105.17,34217800
2014-05-01,104.65,110.75,99.93,108.55,108.55,24998300
2014-06-01,108.93,114.14,106.57,111.44,111.44,20078300
2014-07-01,112.0,117.77,108.03,112.59,112.59,25345400
2014-08-01,109.01,124.8,109.01,124.19,124.19,20166100
2014-09-01,124.5,128.3,117.6,118.74,118.74,16527900
2014-10-01,118.5,124.0,106.82,122.98,122.98,29819200
2014-11-01,122.0,130.86,122.0,129.19,129.19,16675900
2014-12-01,129.61,136.11,126.47,130.47,130.47,16934100
2015-01-01,131.72,132.99,108.6,111.62,111.62,32611900
2015-02-01,110.29,120.66,109.19,118.12,118.12,18150600
2015-03-01,118.56,119.97,111.07,114.94,114.94,21477500
2015-04-01,114.61,126.18,111.33,122.02,122.02,29690700
2015-05-01,122.28,128.08,121.28,125.69,125.69,15168400
2015-06-01,124.4,128.0,118.56,120.35,120.35,17195600
2015-07-01,121.08,135.2,114.51,134.14,134.14,24651500
2015-08-01,130.99,134.28,112.43,121.41,121.41,18816800
2015-09-01,118.76,123.22,111.43,115.8,115.8,18326400
2015-10-01,115.97,123.25,108.0,110.2,110.2,28134000
2015-11-01,109.0,113.8,100.32,103.0,103.0,25325000
2015-12-01,103.07,105.65,94.51,96.96,96.96,26410400
2016-01-01,95.6,97.7,88.75,93.78,93.78,37263500
2016-02-01,93.12,97.72,86.03,96.17,96.17,19213200
2016-03-01,96.73,106.86,96.29,105.85,105.85,15594500
2016-04-01,104.94,107.08,93.64,104.75,104.75,23541300
2016-05-01,103.12,110.28,99.29,110.2,110.2,18841500
2016-06-01,110.02,124.91,107.19,113.84,113.84,21622000
2016-07-01,113.91,125.87,110.86,123.42,123.42,16393800
2016-08-01,123.56,127.13,121.33,122.73,122.73,13633800
2016-09-01,122.42,125.0,115.63,124.64,124.64,12427300
2016-10-01,124.16,138.55,114.45,138.21,138.21,19771600
2016-11-01,137.47,144.28,134.01,140.75,140.75,17539800
2016-12-01,141.12,148.34,136.97,144.72,144.72,11766600
2017-01-01,145.65,146.98,132.51,134.03,134.03,15366800
2017-02-01,134.07,145.55,130.61,143.27,143.27,13817500
2017-03-01,144.01,149.5,140.4,142.57,142.57,13706700
2017-04-01,142.73,142.92,125.3,129.13,129.13,20459900
2017-05-01,128.91,131.93,124.27,128.13,128.13,20318500
2017-06-01,128.85,132.2,125.96,127.06,127.06,14290400
2017-07-01,127.75,130.0,115.63,120.75,120.75,19022500
2017-08-01,121.08,121.43,115.67,119.38,119.38,14468900
2017-09-01,119.91,123.14,114.76,120.56,120.56,14480900
2017-10-01,120.81,127.48,114.63,121.27,121.27,20013200
2017-11-01,120.94,134.5,119.4,134.2,134.2,16228900
2017-12-01,134.19,136.35,129.7,131.22,131.22,13783800
2018-01-01,131.64,144.61,131.31,144.54,144.54,17867500
2018-02-01,144.57,153.08,133.14,148.52,148.52,16482600
2018-03-01,148.81,153.91,142.07,144.61,144.61,13848400
2018-04-01,143.93,163.48,138.67,163.09,163.09,16552400
2018-05-01,160.7,176.33,160.21,173.11,173.11,16372100
2018-06-01,174.57,183.27,168.03,172.45,172.45,13718100
2018-07-01,171.3,180.11,169.0,171.38,171.38,14138500
2018-08-01,171.86,191.16,168.77,189.12,189.12,12231900
2018-09-01,188.76,199.71,187.02,199.42,199.42,9346700
2018-10-01,193.68,195.41,161.25,175.28,175.28,22014400
2018-11-01,175.13,190.08,164.97,171.97,171.97,13816500
2018-12-01,175.35,176.7,149.87,162.03,162.03,13899400
2019-01-01,158.19,167.32,151.0,160.95,160.95,18128800
2019-02-01,160.79,173.44,157.88,168.14,168.14,9984700
2019-03-01,167.6,168.33,148.91,156.93,156.93,14908400
2019-04-01,163.8,168.94,156.0,156.9,156.9,12610800
2019-05-01,157.0,157.0,131.53,132.08,132.08,14860600
2019-06-01,132.13,146.09,132.13,145.63,145.63,14923700
2019-07-01,147.88,153.99,138.78,146.72,146.72,16344500
2019-08-01,146.71,149.72,121.36,128.73,128.73,14763300
2019-09-01,127.7,142.99,126.51,140.42,140.42,10873300
2019-10-01,140.7,153.0,128.51,144.08,144.08,14688700
2019-11-01,143.55,149.75,141.62,145.71,145.71,10921100
2019-12-01,145.7,146.71,132.5,139.65,139.65,15334200
2020-01-01,140.42,141.31,121.88,122.12,122.12,16321800
2020-02-01,121.19,133.43,117.82,119.95,119.95,13574200
2020-03-01,119.89,122.56,79.78,106.63,106.63,24109900
2020-04-01,103.78,153.56,101.42,139.26,139.26,23530500
2020-05-01,134.43,149.38,132.06,144.92,144.92,16329800
2020-06-01,144.74,147.83,132.1,139.48,139.48,16627600
2020-07-01,139.76,156.36,132.94,135.9,135.9,23075000
2020-08-01,135.3,141.86,127.9,132.33,132.33,14298300
2020-09-01,131.24,133.7,116.79,122.77,122.77,13098100
2020-10-01,123.38,139.79,121.77,132.94,132.94,19273500
2020-11-01,132.39,167.0,129.43,162.81,162.81,17168800
2020-12-01,165.31,178.09,161.02,175.94,175.94,12065300
2021-01-01,176.0,211.01,173.41,195.95,195.95,17523200
2021-02-01,195.57,213.8,182.41,189.98,189.98,14690800
2021-03-01,193.04,215.91,183.01,208.62,208.62,14063600
2021-04-01,210.44,216.15,184.0,186.76,186.76,15019400
2021-05-01,183.24,188.35,174.34,185.43,185.43,10340400
2021-06-01,177.92,196.8,176.74,186.66,186.66,10875500
2021-07-01,187.84,211.95,181.98,206.51,206.51,10652000
2021-08-01,205.4,215.56,195.74,203.57,203.57,8122500
2021-09-01,203.68,210.47,197.12,198.78,198.78,8768700
2021-10-01,199.87,225.07,193.5,211.15,211.15,8459000
2021-11-01,210.56,239.12,209.43,227.58,227.58,9524000
2021-12-01,230.92,249.0,221.51,244.71,244.71,9454700
2022-01-01,244.74,245.59,188.5,207.62,207.62,18449500
2022-02-01,206.75,211.52,189.84,200.85,200.85,11924300
2022-03-01,198.95,217.41,188.58,208.95,208.95,10655700
2022-04-01,209.94,215.28,166.81,167.41,167.41,12625800
2022-05-01,166.41,178.32,151.66,163.04,163.04,13113300
