Date,Open,High,Low,Close,Adj Close,Volume
,FICO,FICO,FICO,FICO,,FICO
1987-07-01,0.0,1.2422,1.1768,1.1768,1.1768,4105350
1987-08-01,0.0,1.373,1.1115,1.2749,1.2749,1127250
1987-09-01,0.0,1.4384,1.2422,1.3076,1.3076,1249425
1987-10-01,0.0,1.373,0.4903,0.7846,0.7846,646650
1987-11-01,0.0,0.8499,0.523,0.5557,0.5557,957150
1987-12-01,0.0,0.7519,0.5557,0.6211,0.6211,1017225
1988-01-01,0.0,0.8499,0.6211,0.6538,0.6538,911925
1988-02-01,0.0,0.7519,0.6211,0.6211,0.6211,581850
1988-03-01,0.6211,0.8336,0.6211,0.8172,0.8172,941625
1988-04-01,0.0,0.8172,0.6538,0.7519,0.7519,199800
1988-05-01,0.0,0.7519,0.5884,0.6701,0.6701,566325
1988-06-01,0.0,0.7519,0.6538,0.6865,0.6865,335475
1988-07-01,0.0,0.7519,0.6211,0.6538,0.6538,710775
1988-08-01,0.0,0.8499,0.6865,0.8172,0.8172,1836675
1988-09-01,0.8172,0.9807,0.7192,0.9807,0.9807,2290275
1988-10-01,0.9807,1.0788,0.8826,0.9644,0.9644,286200
1988-11-01,0.9644,1.0788,0.948,0.9644,0.9644,166050
1988-12-01,0.9644,0.9807,0.8172,0.8499,0.8499,1495800
1989-01-01,0.0,0.8826,0.8009,0.8826,0.8826,700650
1989-02-01,0.0,1.1768,0.8826,1.1441,1.1441,3222450
1989-03-01,0.0,1.185,1.004,1.1192,1.1192,229500
1989-04-01,0.0,1.1521,0.9546,1.0204,1.0204,633150
1989-05-01,0.0,1.0204,0.6583,0.6913,0.6913,404325
1989-06-01,0.0,0.79,0.7077,0.7242,0.7242,897750
1989-07-01,0.7242,0.9875,0.7242,0.9546,0.9546,243000
1989-08-01,0.0,0.9875,0.8229,0.9217,0.9217,293625
1989-09-01,0.0,0.961,0.8616,0.8616,0.8616,267300
1989-10-01,0.0,0.8947,0.7622,0.8947,0.8947,271350
1989-11-01,0.0,0.8947,0.7953,0.8947,0.8947,60750
1989-12-01,0.8947,0.8947,0.7953,0.8616,0.8616,1898775
1990-01-01,0.0,0.8947,0.5965,0.6462,0.6462,220725
1990-02-01,0.0,0.7622,0.6296,0.7622,0.7622,473175
1990-03-01,0.7699,0.7699,0.7029,0.7029,0.7029,92475
1990-04-01,0.7029,0.7364,0.6695,0.6695,0.6695,56700
1990-05-01,0.0,0.7364,0.6695,0.6695,0.6695,308475
