Date,Open,High,Low,Close,Adj Close,Volume
,FRT,FRT,FRT,FRT,,FRT
1985-01-01,2.0151,2.1388,1.9781,2.1264,2.1264,716700
1985-02-01,2.1264,2.2748,2.1264,2.1388,2.1388,295650
1985-03-01,2.1388,2.2006,2.0646,2.1759,2.1759,296550
1985-04-01,2.1759,2.2253,2.0151,2.1017,2.1017,403050
1985-05-01,2.1017,2.2006,2.0646,2.1017,2.1017,252600
1985-06-01,2.1141,2.2006,2.0893,2.1264,2.1264,313500
1985-07-01,2.1264,2.213,2.1017,2.2006,2.2006,318150
1985-08-01,2.2006,2.2748,2.1759,2.2624,2.2624,355050
1985-09-01,2.2624,2.4726,2.2006,2.2377,2.2377,148650
1985-10-01,2.2377,2.4478,2.2253,2.4355,2.4355,155250
1985-11-01,2.4355,2.4478,2.2995,2.4293,2.4293,148600
1985-12-01,2.4293,2.5406,2.2624,2.5035,2.5035,174500
1986-01-01,2.5035,2.5962,2.3922,2.5777,2.5777,223300
1986-02-01,2.5777,2.6889,2.4849,2.6518,2.6518,124800
1986-03-01,2.6518,2.93,2.5777,2.8929,2.8929,163100
1986-04-01,2.8929,2.9115,2.5406,2.7816,2.7816,261900
1986-05-01,2.7631,2.7816,2.6147,2.7446,2.7446,165600
1986-06-01,2.7446,2.9671,2.7075,2.9671,2.9671,174700
1986-07-01,2.9856,3.0784,2.8187,3.0784,3.0784,256800
1986-08-01,3.0598,3.4492,2.93,3.2823,3.2823,396000
1986-09-01,3.3009,3.3751,2.7631,2.9115,2.9115,290000
1986-10-01,2.9115,3.1154,2.8744,2.9671,2.9671,246600
1986-11-01,2.9671,2.9671,2.726,2.8558,2.8558,228500
1986-12-01,2.8558,3.0413,2.7816,2.9485,2.9485,396100
1987-01-01,2.9485,3.4307,2.9485,3.3936,3.3936,563800
1987-02-01,3.3936,3.6161,3.3936,3.542,3.542,373800
1987-03-01,3.542,3.6161,3.3565,3.4863,3.4863,573700
1987-04-01,3.4863,3.8201,3.2082,3.4492,3.4492,387000
1987-05-01,3.4492,3.7089,3.1896,3.2453,3.2453,295300
1987-06-01,3.2638,3.542,3.2638,3.4492,3.4492,312100
1987-07-01,3.4492,3.4863,3.2082,3.2823,3.2823,299000
1987-08-01,3.2823,3.338,3.1711,3.2638,3.2638,563300
1987-09-01,3.2453,3.3565,3.2082,3.3009,3.3009,317200
1987-10-01,3.3009,3.3009,3.3009,3.3009,3.3009,0
1987-11-01,3.3009,3.3009,2.7075,2.726,2.726,279100
