Date,Open,High,Low,Close,Adj Close,Volume
,FSLR,FSLR,FSLR,FSLR,,FSLR
2006-11-01,24.5,28.95,23.5,28.3,28.3,24996400
2006-12-01,28.3,30.0,26.4,29.84,29.84,10819600
2007-01-01,30.17,33.89,27.54,32.37,32.37,7595000
2007-02-01,32.53,52.7,31.14,47.75,47.75,21926900
2007-03-01,46.15,59.88,42.6,52.01,52.01,35374100
2007-04-01,52.1,65.6,52.08,59.99,59.99,30722200
2007-05-01,58.99,72.48,54.2,68.04,68.04,52934900
2007-06-01,68.55,91.1,67.22,89.29,89.29,40049300
2007-07-01,89.35,123.21,88.6,112.57,112.57,59251900
2007-08-01,102.87,112.8,74.77,103.74,103.74,68413200
2007-09-01,103.5,121.49,93.69,117.74,117.74,53128000
2007-10-01,120.0,159.78,119.91,158.81,158.81,65411400
2007-11-01,157.29,252.39,141.49,237.15,237.15,109669100
2007-12-01,237.89,283.0,211.0,267.14,267.14,81447300
2008-01-01,269.46,272.79,143.31,181.77,181.77,145592100
2008-02-01,182.3,236.57,157.66,205.15,205.15,132229100
2008-03-01,204.5,237.35,176.01,231.14,231.14,95433600
2008-04-01,237.32,308.24,232.2,291.99,291.99,113818200
2008-05-01,285.0,317.0,251.81,267.54,267.54,90136600
2008-06-01,259.87,292.88,233.97,272.82,272.82,78784300
2008-07-01,265.9,301.3,234.0,285.03,285.03,60758200
2008-08-01,286.64,290.4,243.03,276.65,276.65,43482800
2008-09-01,270.4,271.48,175.48,188.91,188.91,68274900
2008-10-01,198.0,202.93,95.32,143.7,143.7,121171100
2008-11-01,146.84,179.6,85.28,124.84,124.84,112919300
2008-12-01,118.72,149.0,109.75,137.96,137.96,91730200
2009-01-01,137.0,165.2,128.89,142.8,142.8,80358900
2009-02-01,140.23,154.92,101.1,105.74,105.74,85786700
2009-03-01,103.53,158.49,100.9,132.7,132.7,101544100
2009-04-01,130.0,190.63,129.88,187.29,187.29,70816100
2009-05-01,187.92,207.51,176.26,190.29,190.29,69841100
2009-06-01,194.48,196.25,155.73,162.2,162.2,69452700
2009-07-01,163.82,176.05,139.9,154.39,154.39,80538500
2009-08-01,156.25,158.5,118.85,121.58,121.58,75569300
2009-09-01,121.15,163.32,112.09,152.86,152.86,74435800
2009-10-01,147.6,162.2,121.32,121.93,121.93,89708400
2009-11-01,121.24,127.99,115.09,119.11,119.11,46920300
2009-12-01,121.09,142.66,119.11,135.4,135.4,50034700
2010-01-01,136.0,142.46,109.77,113.3,113.3,57238900
2010-02-01,114.89,127.0,98.71,105.75,105.75,58287900
2010-03-01,107.59,123.4,104.36,122.65,122.65,47160500
2010-04-01,122.33,152.53,118.88,143.98,143.98,47180000
2010-05-01,145.75,148.11,103.7,112.36,112.36,54793700
2010-06-01,112.22,126.49,100.19,113.83,113.83,50654800
2010-07-01,113.61,140.0,112.06,125.45,125.45,39912400
2010-08-01,126.34,132.0,121.72,127.85,127.85,26952900
2010-09-01,129.3,151.39,127.71,147.35,147.35,29118700
2010-10-01,148.96,153.3,136.2,137.68,137.68,38537500
2010-11-01,137.84,142.42,120.9,122.85,122.85,44339400
2010-12-01,124.99,140.73,124.56,130.14,130.14,29625100
2011-01-01,131.85,158.71,130.24,154.58,154.58,31614000
2011-02-01,155.9,175.45,146.79,147.39,147.39,36134500
2011-03-01,148.3,161.01,137.1,160.84,160.84,44598400
2011-04-01,163.0,163.0,132.17,139.57,139.57,33306700
2011-05-01,140.84,140.87,114.4,124.25,124.25,44185500
2011-06-01,125.83,142.22,111.4,132.27,132.27,39912100
2011-07-01,130.66,134.21,115.62,118.23,118.23,23793400
2011-08-01,121.35,123.86,87.29,99.98,99.98,51323800
2011-09-01,99.5,99.5,61.55,63.21,63.21,67697500
2011-10-01,61.83,67.72,42.5,49.77,49.77,115942500
2011-11-01,47.5,52.7,40.05,47.86,47.86,66853600
2011-12-01,47.63,51.89,29.87,33.76,33.76,99366800
2012-01-01,35.0,47.1,33.5,42.28,42.28,89373600
2012-02-01,43.49,50.2,31.86,32.3,32.3,110332700
2012-03-01,32.46,32.55,24.5,25.05,25.05,136783300
2012-04-01,25.14,25.16,17.81,18.4,18.4,145729000
2012-05-01,19.17,19.48,12.19,12.56,12.56,133657300
2012-06-01,12.13,16.42,11.43,15.06,15.06,157435400
2012-07-01,15.19,16.19,13.81,15.54,15.54,69338800
2012-08-01,15.6,26.31,14.59,19.99,19.99,219640300
2012-09-01,19.8,24.93,18.3,22.15,22.15,153937900
2012-10-01,22.43,25.94,19.68,24.3,24.3,115687500
2012-11-01,24.5,27.75,22.2,26.99,26.99,94949700
2012-12-01,27.23,33.38,26.92,30.86,30.86,90973700
2013-01-01,32.02,35.6,27.67,28.18,28.18,80737400
2013-02-01,28.41,36.98,25.5,25.84,25.84,132689900
2013-03-01,25.48,29.71,24.46,26.96,26.96,91384300
2013-04-01,27.27,47.46,25.66,46.56,46.56,199864900
2013-05-01,46.7,59.0,42.61,54.39,54.39,166858000
2013-06-01,54.24,56.7,40.46,44.81,44.81,153512700
2013-07-01,45.38,51.6,44.17,49.22,49.22,94275700
2013-08-01,49.64,49.9,36.6,36.72,36.72,103041600
2013-09-01,37.15,41.92,35.59,40.21,40.21,73094400
2013-10-01,40.31,56.25,40.0,50.31,50.31,141424400
2013-11-01,55.64,65.99,54.77,59.82,59.82,117602300
2013-12-01,59.77,61.85,53.07,54.64,54.64,67799700
2014-01-01,54.28,58.3,47.75,50.58,50.58,88341300
2014-02-01,50.41,58.85,47.04,57.07,57.07,89680600
2014-03-01,55.71,74.84,52.42,69.79,69.79,139517400
2014-04-01,70.04,74.18,63.31,67.49,67.49,82968200
2014-05-01,66.96,70.0,57.8,61.78,61.78,63850100
2014-06-01,62.29,72.68,61.12,71.06,71.06,66401000
2014-07-01,71.52,71.8,60.75,63.11,63.11,50951900
2014-08-01,62.49,71.75,60.15,69.68,69.68,52394500
2014-09-01,69.71,73.78,64.93,65.81,65.81,37839000
2014-10-01,65.82,65.87,50.13,58.9,58.9,62668600
2014-11-01,58.78,59.78,45.94,48.8,48.8,57852500
2014-12-01,48.29,48.78,40.54,44.6,44.6,50714400
2015-01-01,44.72,45.34,39.18,42.32,42.32,46972800
2015-02-01,42.68,60.21,42.59,59.75,59.75,100778700
2015-03-01,59.41,63.1,58.61,59.79,59.79,50132000
2015-04-01,59.84,65.5,59.01,59.67,59.67,34395100
2015-05-01,57.5,59.97,49.7,49.71,49.71,41420500
2015-06-01,49.76,53.67,46.84,46.98,46.98,48638400
2015-07-01,47.32,47.75,41.56,44.3,44.3,44352500
2015-08-01,44.7,53.63,40.25,47.84,47.84,60215900
2015-09-01,46.93,50.46,40.51,42.75,42.75,35740000
2015-10-01,42.56,58.43,41.9,57.07,57.07,40055400
2015-11-01,56.65,59.85,52.16,56.51,56.51,35463000
2015-12-01,56.6,67.8,52.51,65.99,65.99,61801400
2016-01-01,64.71,72.12,57.2,68.66,68.66,52622400
2016-02-01,68.1,73.71,58.08,71.87,71.87,54956500
2016-03-01,71.36,74.29,66.58,68.47,68.47,37692800
2016-04-01,67.88,69.01,55.19,55.84,55.84,49353200
2016-05-01,56.26,56.32,46.67,49.65,49.65,43970700
2016-06-01,49.78,51.3,43.7,48.48,48.48,36547100
2016-07-01,48.39,49.25,44.06,46.68,46.68,47039500
2016-08-01,46.91,49.5,36.75,37.82,37.82,98283600
2016-09-01,37.82,40.33,33.74,39.49,39.49,67558400
2016-10-01,39.65,42.9,37.23,40.49,40.49,48973600
2016-11-01,40.57,41.25,28.6,30.32,30.32,112372800
2016-12-01,30.47,35.52,29.65,32.09,32.09,50208600
2017-01-01,32.61,36.41,30.34,31.19,31.19,37656300
2017-02-01,31.4,38.5,30.8,36.19,36.19,62061900
2017-03-01,36.54,36.88,27.08,27.1,27.1,81855200
2017-04-01,27.17,30.5,25.56,29.55,29.55,65761400
2017-05-01,29.99,39.92,29.23,38.51,38.51,93961000
2017-06-01,38.61,41.17,35.33,39.88,39.88,50985800
2017-07-01,39.92,49.75,38.36,49.31,49.31,54727800
2017-08-01,49.85,50.21,45.76,46.96,46.96,35458000
2017-09-01,47.01,53.0,45.26,45.88,45.88,53647200
2017-10-01,46.3,61.47,45.27,54.82,54.82,60060100
2017-11-01,55.36,63.1,54.71,62.1,62.1,40971900
2017-12-01,61.68,71.8,56.13,67.52,67.52,47052300
2018-01-01,67.84,76.61,66.04,67.17,67.17,49836900
2018-02-01,66.65,68.37,58.8,62.85,62.85,38328600
2018-03-01,63.3,74.68,61.14,70.98,70.98,30953900
2018-04-01,70.73,81.72,67.01,70.91,70.91,33635700
2018-05-01,71.0,75.75,65.05,67.61,67.61,35700300
2018-06-01,68.06,68.4,50.23,52.66,52.66,92378500
2018-07-01,52.28,55.75,48.0,52.35,52.35,39279600
2018-08-01,53.15,55.24,49.97,52.08,52.08,25304700
2018-09-01,51.96,52.22,47.34,48.42,48.42,21213100
2018-10-01,48.49,50.06,36.51,41.8,41.8,40984700
2018-11-01,41.49,46.09,40.33,44.45,44.45,33044600
2018-12-01,45.9,47.79,38.45,42.46,42.46,37475100
2019-01-01,41.63,51.43,41.41,50.59,50.59,31040200
2019-02-01,50.78,55.38,47.16,52.55,52.55,34563200
2019-03-01,53.08,56.04,49.06,52.84,52.84,28003700
2019-04-01,53.29,62.66,53.18,61.53,61.53,27241400
2019-05-01,62.09,63.82,56.54,58.04,58.04,30741700
2019-06-01,58.0,66.05,57.4,65.68,65.68,21739500
2019-07-01,66.3,67.99,64.09,64.49,64.49,18025000
2019-08-01,65.52,69.24,58.57,62.07,62.07,28563300
2019-09-01,61.29,68.55,55.95,58.01,58.01,26903300
2019-10-01,58.4,62.89,50.22,51.79,51.79,40291000
2019-11-01,52.26,55.8,51.43,55.24,55.24,16364000
2019-12-01,55.52,59.0,52.25,55.96,55.96,22549000
2020-01-01,56.4,59.1,49.25,49.58,49.58,34490800
2020-02-01,49.88,59.9,42.5,45.77,45.77,44593900
2020-03-01,45.88,46.22,28.47,36.06,36.06,44899300
2020-04-01,34.75,45.68,33.0,44.01,44.01,28379900
