Date,Open,High,Low,Close,Adj Close,Volume
,FTNT,FTNT,FTNT,FTNT,,FTNT
2009-11-01,1.7,1.768,1.606,1.699,1.699,197160000
2009-12-01,1.7,1.878,1.615,1.757,1.757,101846000
2010-01-01,1.788,2.059,1.612,1.723,1.723,86050000
2010-02-01,1.729,1.775,1.518,1.718,1.718,53865000
2010-03-01,1.732,1.825,1.604,1.758,1.758,67648000
2010-04-01,1.775,1.921,1.586,1.778,1.778,77125000
2010-05-01,1.781,1.914,1.51,1.632,1.632,173115000
2010-06-01,1.612,1.774,1.478,1.644,1.644,216803000
2010-07-01,1.655,1.817,1.472,1.801,1.801,135446000
2010-08-01,1.81,2.17,1.684,2.038,2.038,184489000
2010-09-01,2.052,2.563,2.035,2.5,2.5,246724000
2010-10-01,2.523,3.165,2.356,3.0,3.0,194181000
2010-11-01,3.672,3.677,2.91,3.187,3.187,254972000
2010-12-01,3.23,3.4,3.062,3.235,3.235,99922000
2011-01-01,3.265,3.978,3.247,3.845,3.845,203733000
2011-02-01,3.852,4.202,3.804,4.084,4.084,165191000
2011-03-01,4.1,4.435,3.872,4.415,4.415,162301000
2011-04-01,4.453,4.9,3.758,4.87,4.87,238990000
2011-05-01,4.871,4.946,4.3,4.849,4.849,160706000
2011-06-01,4.857,5.468,4.45,5.458,5.458,293964500
2011-07-01,5.426,5.712,3.78,4.064,4.064,338715000
2011-08-01,4.12,4.358,3.39,3.826,3.826,289662500
2011-09-01,3.824,3.92,3.156,3.36,3.36,242853500
2011-10-01,3.324,4.666,3.16,4.612,4.612,327942500
2011-11-01,4.378,5.24,4.366,4.798,4.798,200133500
2011-12-01,4.76,5.32,3.63,4.362,4.362,212601500
2012-01-01,4.442,4.638,3.922,4.562,4.562,245909000
2012-02-01,5.018,5.532,4.906,5.41,5.41,259540000
2012-03-01,5.424,5.62,5.106,5.53,5.53,187564500
2012-04-01,5.5,5.764,5.096,5.224,5.224,201467000
2012-05-01,5.228,5.396,4.174,4.25,4.25,271486000
2012-06-01,4.156,4.66,3.988,4.644,4.644,196057000
2012-07-01,4.68,5.346,4.07,4.802,4.802,245600500
2012-08-01,4.83,5.326,4.604,5.302,5.302,183187500
2012-09-01,5.306,5.646,4.764,4.824,4.824,224194000
2012-10-01,4.802,5.02,3.8,3.874,3.874,440872500
2012-11-01,3.9,4.092,3.506,3.996,3.996,274549500
2012-12-01,4.002,4.378,3.706,4.204,4.204,195470000
2013-01-01,4.26,4.848,3.76,4.718,4.718,376151000
2013-02-01,4.73,5.07,4.502,4.836,4.836,255472500
2013-03-01,4.818,5.036,4.518,4.736,4.736,180482000
2013-04-01,4.702,4.708,3.452,3.592,3.592,417349000
2013-05-01,3.618,3.908,3.546,3.852,3.852,263255000
2013-06-01,3.86,3.864,3.294,3.5,3.5,208445500
2013-07-01,3.502,4.418,3.41,4.25,4.25,306701500
2013-08-01,4.3,4.324,3.938,3.96,3.96,133285500
2013-09-01,4.01,4.288,3.886,4.052,4.052,158937500
2013-10-01,4.062,4.49,3.928,4.026,4.026,280966000
2013-11-01,4.044,4.102,3.38,3.42,3.42,175351500
2013-12-01,3.422,3.842,3.258,3.826,3.826,293399500
2014-01-01,3.832,4.54,3.786,4.24,4.24,548681000
2014-02-01,4.21,4.786,4.018,4.63,4.63,210915000
2014-03-01,4.58,4.784,4.284,4.406,4.406,186956000
2014-04-01,4.426,4.666,4.008,4.396,4.396,296386000
2014-05-01,4.406,4.576,4.054,4.494,4.494,182197500
2014-06-01,4.506,5.026,4.388,5.026,5.026,140182500
2014-07-01,5.036,5.246,4.614,4.91,4.91,228050500
2014-08-01,4.898,5.27,4.794,5.162,5.162,121368000
2014-09-01,5.174,5.368,4.962,5.054,5.054,167777000
2014-10-01,5.052,5.336,4.616,5.21,5.21,276300000
2014-11-01,5.218,5.54,5.198,5.512,5.512,127580500
2014-12-01,5.486,6.298,5.374,6.132,6.132,159204500
2015-01-01,6.18,6.594,5.714,5.98,5.98,216556500
2015-02-01,5.948,6.948,5.788,6.722,6.722,197030500
2015-03-01,6.716,7.138,6.534,6.99,6.99,143821500
2015-04-01,6.994,7.798,6.68,7.548,7.548,225305500
2015-05-01,7.63,8.076,7.486,8.012,8.012,140944000
2015-06-01,8.05,8.824,7.846,8.266,8.266,168675500
2015-07-01,8.368,9.718,7.808,9.548,9.548,203919500
2015-08-01,9.528,10.062,7.0,8.428,8.428,168964000
2015-09-01,8.204,9.3,8.102,8.496,8.496,149096500
2015-10-01,8.498,8.932,6.582,6.872,6.872,296515500
2015-11-01,6.892,7.452,6.456,7.204,7.204,224893000
2015-12-01,7.25,7.266,5.966,6.234,6.234,194163000
2016-01-01,6.108,6.198,4.728,5.628,5.628,344329500
2016-02-01,5.596,5.84,4.632,5.68,5.68,284995000
2016-03-01,5.75,6.2,5.416,6.126,6.126,215943000
2016-04-01,6.05,6.868,5.616,6.502,6.502,239886000
2016-05-01,6.504,6.928,6.216,6.842,6.842,162618000
2016-06-01,6.8,6.986,5.976,6.318,6.318,174357000
2016-07-01,6.3,7.462,6.184,6.938,6.938,169322000
2016-08-01,6.962,7.328,6.486,7.228,7.228,168180500
2016-09-01,7.222,7.46,7.012,7.386,7.386,134285000
2016-10-01,7.38,7.496,5.8,6.412,6.412,373351000
2016-11-01,6.4,6.7,5.92,6.02,6.02,247833000
2016-12-01,6.036,6.188,5.702,6.024,6.024,280764000
2017-01-01,6.112,6.678,5.98,6.652,6.652,240557500
2017-02-01,6.652,7.666,6.544,7.47,7.47,240618000
2017-03-01,7.354,7.712,7.166,7.67,7.67,185842500
2017-04-01,7.71,8.128,7.386,7.8,7.8,173039000
2017-05-01,7.86,8.266,7.708,7.868,7.868,164404500
2017-06-01,7.962,7.974,7.154,7.488,7.488,190600500
2017-07-01,7.534,8.312,7.36,7.382,7.382,182841500
2017-08-01,7.428,7.684,7.174,7.64,7.64,130081000
2017-09-01,7.682,7.902,7.088,7.168,7.168,132020500
2017-10-01,7.182,8.112,7.182,7.882,7.882,169662000
2017-11-01,7.884,8.462,7.624,8.412,8.412,166591500
2017-12-01,8.396,9.128,8.1,8.738,8.738,144613500
2018-01-01,8.752,9.286,8.696,9.208,9.208,159257500
2018-02-01,9.15,10.2,8.734,10.094,10.094,211026500
2018-03-01,10.144,11.068,9.85,10.716,10.716,157084000
2018-04-01,10.622,11.596,10.406,11.072,11.072,140314000
2018-05-01,11.002,12.426,10.68,12.236,12.236,190272000
2018-06-01,12.312,13.264,12.166,12.486,12.486,171705500
2018-07-01,12.434,13.766,12.38,12.582,12.582,124919000
2018-08-01,12.646,16.824,12.618,16.752,16.752,170320000
2018-09-01,17.02,18.476,16.312,18.454,18.454,190892500
2018-10-01,18.6,18.874,15.204,16.436,16.436,439329500
2018-11-01,16.44,16.8,12.93,14.768,14.768,250403000
2018-12-01,15.246,15.436,12.882,14.086,14.086,211339000
2019-01-01,13.716,15.514,13.012,15.314,15.314,222984500
2019-02-01,15.338,17.72,15.272,17.358,17.358,188348500
2019-03-01,17.482,17.668,15.932,16.794,16.794,161632500
2019-04-01,16.918,19.392,16.488,18.684,18.684,190913000
2019-05-01,18.728,18.728,14.448,14.496,14.496,196964000
2019-06-01,14.464,15.864,13.774,15.366,15.366,154058000
2019-07-01,15.622,17.73,15.376,16.062,16.062,151837000
2019-08-01,16.088,18.558,15.422,15.836,15.836,190541500
2019-09-01,15.702,16.282,15.112,15.352,15.352,119267000
2019-10-01,15.516,16.694,14.91,16.312,16.312,128483000
2019-11-01,17.732,21.2,17.45,21.022,21.022,170180500
2019-12-01,21.044,22.056,19.956,21.352,21.352,112939500
2020-01-01,21.52,24.088,21.476,23.072,23.072,117975000
2020-02-01,23.17,24.364,19.618,20.412,20.412,156654500
2020-03-01,20.724,22.096,14.04,20.234,20.234,341949500
2020-04-01,19.388,22.996,19.202,21.548,21.548,215025000
2020-05-01,21.128,29.938,20.752,27.84,27.84,195625000
2020-06-01,27.962,29.326,25.376,27.454,27.454,170715500
2020-07-01,27.454,30.39,24.848,27.66,27.66,171925000
2020-08-01,28.0,28.278,24.612,26.402,26.402,148152500
2020-09-01,26.548,26.88,22.522,23.562,23.562,133225000
2020-10-01,23.728,26.988,21.35,22.074,22.074,148580000
2020-11-01,22.196,24.822,21.854,24.646,24.646,114657000
2020-12-01,24.862,30.666,24.074,29.706,29.706,113164500
2021-01-01,29.914,31.062,27.462,28.95,28.95,97133500
2021-02-01,29.276,34.482,29.106,33.77,33.77,127134500
2021-03-01,34.302,38.768,32.226,36.884,36.884,173611500
2021-04-01,37.354,41.878,37.094,40.846,40.846,109092000
2021-05-01,41.062,44.2,39.192,43.708,43.708,103612000
2021-06-01,44.024,49.466,42.334,47.638,47.638,90200000
2021-07-01,47.572,55.4,47.272,54.448,54.448,96000000
2021-08-01,54.854,64.38,54.028,63.028,63.028,106993500
2021-09-01,63.508,64.4,56.828,58.408,58.408,106036000
2021-10-01,58.234,69.05,56.954,67.268,67.268,82893500
2021-11-01,67.268,71.07,63.654,66.422,66.422,99441000
2021-12-01,67.52,74.354,57.848,71.88,71.88,182841000
2022-01-01,72.424,72.424,52.568,59.448,59.448,176511000
2022-02-01,59.568,69.09,55.188,68.904,68.904,133420000
2022-03-01,69.21,70.596,53.054,68.348,68.348,168491000
2022-04-01,68.202,71.516,57.528,57.802,57.802,93489000
2022-05-01,57.712,61.92,48.726,58.828,58.828,196086000
2022-06-01,59.252,62.406,52.336,56.58,56.58,112099300
2022-07-01,56.4,63.56,55.21,59.65,59.65,87870700
2022-08-01,59.03,63.16,48.31,48.69,48.69,139620600
2022-09-01,48.04,55.94,47.37,49.13,49.13,110369300
2022-10-01,49.58,57.34,45.74,57.16,57.16,106849500
2022-11-01,57.86,58.29,42.61,53.16,53.16,134079800
2022-12-01,53.63,56.71,47.04,48.89,48.89,93352100
2023-01-01,49.53,54.57,45.88,52.34,52.34,105936200
2023-02-01,52.15,63.02,51.42,59.44,59.44,118195200
2023-03-01,59.54,66.57,57.63,66.46,66.46,98941100
2023-04-01,65.82,69.07,61.73,63.05,63.05,72386000
2023-05-01,62.3,71.29,60.33,68.33,68.33,118579500
2023-06-01,67.64,76.27,66.84,75.59,75.59,122890000
2023-07-01,75.3,81.24,72.45,77.72,77.72,95089100
2023-08-01,77.64,78.58,56.1,60.21,60.21,185208600
2023-09-01,60.5,65.68,57.19,58.68,58.68,93440000
2023-10-01,58.79,60.6,55.46,57.17,57.17,129840400
2023-11-01,57.43,58.19,44.12,52.56,52.56,203650600
2023-12-01,52.05,59.87,50.65,58.53,58.53,121011400
2024-01-01,58.1,67.36,56.94,64.49,64.49,136294700
2024-02-01,64.71,73.91,61.0,69.11,69.11,149690100
2024-03-01,69.09,73.5,66.19,68.31,68.31,94454000
2024-04-01,68.73,73.63,62.61,63.18,63.18,96664900
2024-05-01,63.51,65.26,57.71,59.32,59.32,152402100
2024-06-01,59.61,61.48,57.0,60.27,60.27,104084200
2024-07-01,60.43,61.48,56.42,58.04,58.04,104020100
2024-08-01,58.03,77.18,54.57,76.71,76.71,132981200
2024-09-01,76.62,78.18,73.29,77.55,77.55,93662800
2024-10-01,78.21,83.77,76.0,78.66,78.66,83117400
2024-11-01,78.18,100.59,77.72,95.05,95.05,120500000
2024-12-01,95.36,100.4,92.83,94.48,94.48,82966500
2025-01-01,95.36,102.87,90.8,100.88,100.88,81597300
2025-02-01,98.87,114.82,98.12,108.01,108.01,100382800
2025-03-01,108.82,110.67,93.26,96.26,96.26,96703600
2025-04-01,95.22,104.54,81.7,103.76,103.76,117166500
2025-05-01,104.88,109.33,93.25,101.35,101.35,102197899
