Date,Open,High,Low,Close,Adj Close,Volume
,GD,GD,GD,GD,,GD
1985-01-01,2.608,2.9497,2.5518,2.8655,2.8655,34755200
1985-02-01,2.8662,3.1575,2.8098,2.979,2.979,18347200
1985-03-01,2.979,3.1011,2.6689,2.744,2.744,30593600
1985-04-01,2.7299,2.7769,2.4715,2.5044,2.5044,31909600
1985-05-01,2.5375,2.7639,2.5281,2.7073,2.7073,28500000
1985-06-01,2.7403,2.8677,2.7214,2.8063,2.8063,13410400
1985-07-01,2.8205,3.0469,2.7922,2.8677,2.8677,19655200
1985-08-01,2.9243,3.0284,2.8391,2.9432,2.9432,14612800
1985-09-01,2.929,3.0284,2.612,2.6356,2.6356,19324800
1985-10-01,2.6356,2.7113,2.347,2.3612,2.3612,22064000
1985-11-01,2.37,2.6692,2.37,2.5979,2.5979,24065600
1985-12-01,2.5979,2.6359,2.4507,2.6122,2.6122,24216000
1986-01-01,2.6122,2.8496,2.4412,2.6597,2.6597,24869600
1986-02-01,2.6318,2.9273,2.6127,2.9226,2.9226,34617600
1986-03-01,2.9274,3.3183,2.9178,3.242,3.242,30254400
1986-04-01,3.242,3.4041,3.0036,3.0275,3.0275,19636000
1986-05-01,3.0314,3.2514,2.8736,3.0314,3.0314,21482400
1986-06-01,3.041,3.1175,2.8306,2.9262,2.9262,14105600
1986-07-01,2.9645,3.0219,2.6872,2.6967,2.6967,14013600
1986-08-01,2.7058,2.9265,2.701,2.8785,2.8785,15632000
1986-09-01,2.8881,2.9169,2.6147,2.7394,2.7394,16500000
1986-10-01,2.749,2.8498,2.7058,2.7922,2.7922,17959200
1986-11-01,2.8114,2.9173,2.7488,2.8499,2.8499,16245600
1986-12-01,2.8547,2.9028,2.5899,2.6092,2.6092,22647200
1987-01-01,2.6188,2.9654,2.6188,2.8499,2.8499,18405600
1987-02-01,2.8693,3.0528,2.7968,3.0432,3.0432,16381600
1987-03-01,3.0335,3.048,2.7292,2.7775,2.7775,21697600
1987-04-01,2.7678,2.8016,2.4587,2.4732,2.4732,23280800
1987-05-01,2.4918,2.5985,2.3561,2.4918,2.4918,17060000
1987-06-01,2.5112,2.647,2.4724,2.5888,2.5888,15700000
1987-07-01,2.5936,2.7245,2.55,2.6324,2.6324,17653600
1987-08-01,2.6373,2.8757,2.6081,2.7541,2.7541,22045600
1987-09-01,2.7638,2.793,2.5983,2.7054,2.7054,12875200
1987-10-01,2.7141,2.758,1.8906,1.9491,1.9491,28232800
1987-11-01,1.9563,2.0639,1.6677,1.6922,1.6922,16636800
1987-12-01,1.7215,1.9514,1.6824,1.9074,1.9074,24396000
1988-01-01,1.9074,2.0443,1.8291,2.0443,2.0443,9427200
1988-02-01,2.0745,2.1334,2.04,2.0646,2.0646,10698400
1988-03-01,2.0646,2.3202,2.045,2.0843,2.0843,21540000
1988-04-01,2.0843,2.1924,2.0548,2.158,2.158,13247200
1988-05-01,2.1926,2.2469,2.079,2.1383,2.1383,8338400
1988-06-01,2.1185,2.1926,2.0741,2.0938,2.0938,13380800
1988-07-01,2.079,2.1284,2.0444,2.0889,2.0889,15298400
1988-08-01,2.0989,2.1187,1.95,1.9649,1.9649,13196800
1988-09-01,1.9599,2.0592,1.945,2.0046,2.0046,12166400
1988-10-01,2.0095,2.1286,1.9798,2.1237,2.1237,16719200
1988-11-01,2.144,2.1739,1.9645,2.0143,2.0143,17847200
1988-12-01,2.0193,2.0442,1.9695,2.0243,2.0243,18908800
1989-01-01,2.0143,2.0792,1.9844,2.0442,2.0442,19056000
1989-02-01,2.0541,2.0742,1.984,2.0341,2.0341,20993600
1989-03-01,2.0391,2.1744,1.999,2.1744,2.1744,13131200
1989-04-01,2.1694,2.2796,2.1142,2.2395,2.2395,11304800
1989-05-01,2.2497,2.3604,2.2447,2.3101,2.3101,11936000
1989-06-01,2.3001,2.3453,2.2648,2.3453,2.3453,12932000
1989-07-01,2.3403,2.4359,2.285,2.3504,2.3504,10682400
1989-08-01,2.3603,2.4057,2.3047,2.3451,2.3451,12904800
1989-09-01,2.3451,2.3653,2.2642,2.3502,2.3502,12965600
1989-10-01,2.34,2.3855,2.1025,2.1227,2.1227,9855200
1989-11-01,2.1318,2.1623,1.7258,1.7715,1.7715,15488000
1989-12-01,1.7765,1.8984,1.7512,1.8222,1.8222,19602400
1990-01-01,1.8121,1.873,1.5532,1.6496,1.6496,20960000
1990-02-01,1.6639,1.6639,1.4649,1.521,1.521,15712000
1990-03-01,1.5312,1.5925,1.5006,1.5312,1.5312,14600800
1990-04-01,1.521,1.5618,1.4138,1.4189,1.4189,14032000
1990-05-01,1.4335,1.4746,1.3616,1.4592,1.4592,23932800
1990-06-01,1.4438,1.4849,1.2999,1.3153,1.3153,12261600
1990-07-01,1.3256,1.377,1.0738,1.0995,1.0995,12558400
1990-08-01,1.108,1.253,1.0303,1.0303,1.0303,18415200
1990-09-01,1.0355,1.108,0.963,0.9786,0.9786,9700800
1990-10-01,0.9579,1.0614,0.787,0.9889,0.9889,15190400
1990-11-01,0.9781,1.0252,0.9311,0.9781,0.9781,11877600
1990-12-01,0.9834,1.0984,0.952,1.0566,1.0566,9963200
1991-01-01,1.0671,1.3077,0.8474,1.2031,1.2031,30897600
1991-02-01,1.2176,1.2229,1.0324,1.0588,1.0588,21040800
1991-03-01,1.0694,1.4347,1.0006,1.4188,1.4188,36712000
1991-04-01,1.4294,1.6412,1.2918,1.5935,1.5935,46769600
1991-05-01,1.6428,1.7229,1.6108,1.6375,1.6375,22658400
1991-06-01,1.6642,1.7869,1.6215,1.7869,1.7869,23500000
1991-07-01,1.7922,1.9522,1.7655,1.9202,1.9202,19640000
1991-08-01,1.9098,2.0278,1.7167,1.824,1.824,24912000
1991-09-01,1.824,2.1297,1.6791,1.9903,1.9903,23900800
1991-10-01,1.9795,2.2478,1.9634,2.237,2.237,32728800
1991-11-01,2.2544,2.3407,2.0225,2.1034,2.1034,27226400
1991-12-01,2.0818,2.3461,2.0657,2.3191,2.3191,26136000
1992-01-01,2.3191,2.6535,2.303,2.5079,2.5079,45323200
1992-02-01,2.5299,2.6328,2.4432,2.5516,2.5516,21796800
1992-03-01,2.5732,2.8278,2.5732,2.8062,2.8062,21418400
1992-04-01,2.7953,2.8603,2.6653,2.8333,2.8333,18900000
1992-05-01,2.8565,2.9219,2.7202,2.8184,2.8184,17582400
1992-06-01,2.8347,3.1345,2.8129,3.1127,3.1127,58456000
1992-07-01,3.1357,3.5139,3.1192,3.4646,3.4646,39720000
1992-08-01,3.4865,3.5249,3.355,3.355,3.355,18836800
1992-09-01,3.3549,3.7496,3.2672,3.7332,3.7332,26720000
1992-10-01,3.7332,4.5062,3.7332,4.4733,4.4733,20630400
1992-11-01,4.5147,4.5368,4.1183,4.2725,4.2725,15256000
1992-12-01,4.2835,4.7515,4.2174,4.5643,4.5643,27705600
1993-01-01,4.5973,5.0763,4.5533,5.0213,5.0213,18336000
1993-02-01,5.0573,5.2839,4.7699,5.2065,5.2065,16128800
1993-03-01,5.1512,5.306,4.2172,4.3443,4.3443,23021600
1993-04-01,4.4458,4.508,4.3046,4.3102,4.3102,16824000
1993-05-01,4.3394,4.4017,4.2656,4.277,4.277,9476000
