Date,Open,High,Low,Close,Adj Close,Volume
,GEN,GEN,GEN,GEN,,GEN
1989-06-01,0.0,0.2832,0.2492,0.2548,0.2548,38923200
1989-07-01,0.0,0.3002,0.2548,0.2888,0.2888,13872000
1989-08-01,0.0,0.3341,0.2775,0.3285,0.3285,14096000
1989-09-01,0.0,0.3681,0.3171,0.3624,0.3624,7081600
1989-10-01,0.0,0.4078,0.3511,0.3624,0.3624,22526400
1989-11-01,0.3624,0.3851,0.3511,0.3624,0.3624,12424000
1989-12-01,0.0,0.3624,0.3398,0.3511,0.3511,13372800
1990-01-01,0.0,0.4134,0.3398,0.3738,0.3738,28099200
1990-02-01,0.0,0.4134,0.3738,0.4021,0.4021,12515200
1990-03-01,0.0,0.4701,0.4049,0.4531,0.4531,15686400
1990-04-01,0.4474,0.4587,0.4191,0.4587,0.4587,8009600
1990-05-01,0.4531,0.5663,0.4531,0.538,0.538,10428800
1990-06-01,0.5437,0.589,0.5097,0.5833,0.5833,7251200
1990-07-01,0.589,0.6258,0.521,0.555,0.555,13041600
1990-08-01,0.555,0.555,0.4191,0.4984,0.4984,9592000
1990-09-01,0.4984,0.572,0.487,0.538,0.538,9694400
1990-10-01,0.555,0.5607,0.4021,0.4417,0.4417,21174400
1990-11-01,0.4474,0.5154,0.4417,0.5069,0.5069,22776000
1990-12-01,0.5097,0.6683,0.5097,0.606,0.606,22499200
1991-01-01,0.606,0.8608,0.589,0.8325,0.8325,49756800
1991-02-01,0.8438,1.0307,0.8325,0.9882,0.9882,36019200
1991-03-01,0.9854,1.127,0.9146,1.093,1.093,51763200
1991-04-01,1.093,1.2657,1.0024,1.042,1.042,30465600
1991-05-01,1.042,1.1157,0.9005,0.9967,0.9967,32339200
1991-06-01,1.0194,1.0392,0.8835,0.9684,0.9684,26931200
1991-07-01,0.9797,1.1553,0.9628,1.1157,1.1157,28216000
1991-08-01,1.11,1.3535,1.11,1.3535,1.3535,35520000
1991-09-01,1.3535,1.5517,1.2346,1.4328,1.4328,29628800
1991-10-01,1.4328,1.597,1.3818,1.4441,1.4441,27484000
1991-11-01,1.4385,1.4611,1.2233,1.3818,1.3818,50822400
1991-12-01,1.3592,2.0274,1.3365,2.0161,2.0161,46056000
1992-01-01,2.0161,2.3106,1.8689,2.0388,2.0388,55105600
1992-02-01,2.0048,2.2087,1.8462,1.9935,1.9935,48535200
1992-03-01,1.9708,2.2087,1.8122,1.9368,1.9368,37671200
1992-04-01,1.9029,2.152,1.631,1.9368,1.9368,56232000
1992-05-01,1.9368,1.9935,1.6084,1.9198,1.9198,49217600
1992-06-01,1.9142,2.0048,1.5687,1.7216,1.7216,57383200
1992-07-01,1.699,1.8122,0.8155,0.9514,0.9514,191046400
1992-08-01,0.9628,0.9684,0.7022,0.7702,0.7702,83214400
1992-09-01,0.7815,0.7929,0.4361,0.4701,0.4701,163478400
1992-10-01,0.4757,0.6286,0.2662,0.572,0.572,212548000
1992-11-01,0.5777,0.6116,0.5097,0.5323,0.5323,65480800
1992-12-01,0.5323,0.6683,0.521,0.6173,0.6173,72801600
1993-01-01,0.6116,0.6343,0.4531,0.4814,0.4814,58541600
1993-02-01,0.4814,0.6003,0.4701,0.4814,0.4814,53650400
1993-03-01,0.4757,0.606,0.4191,0.5833,0.5833,61392000
1993-04-01,0.589,0.6513,0.5607,0.6003,0.6003,48385600
1993-05-01,0.6003,0.8438,0.6003,0.7759,0.7759,108444800
1993-06-01,0.7645,0.8098,0.555,0.606,0.606,66336800
1993-07-01,0.6116,0.6513,0.4927,0.606,0.606,76442400
1993-08-01,0.606,0.8042,0.6003,0.7532,0.7532,90255200
1993-09-01,0.7532,0.9288,0.6966,0.8778,0.8778,113245600
1993-10-01,0.8778,0.9231,0.7815,0.9174,0.9174,54377600
1993-11-01,0.9118,0.9174,0.7362,0.7476,0.7476,25532800
1993-12-01,0.7476,0.8325,0.6909,0.8268,0.8268,31970400
1994-01-01,0.8155,0.8212,0.6399,0.6456,0.6456,96080800
1994-02-01,0.6399,0.7249,0.606,0.6286,0.6286,75071200
1994-03-01,0.6683,0.8325,0.6456,0.7079,0.7079,97796000
1994-04-01,0.6853,0.7645,0.6569,0.7192,0.7192,36892800
1994-05-01,0.7136,0.7362,0.589,0.6145,0.6145,36757600
1994-06-01,0.6173,0.6739,0.4474,0.487,0.487,57898400
1994-07-01,0.487,0.5946,0.4757,0.521,0.521,62346400
1994-08-01,0.5323,0.6513,0.504,0.6286,0.6286,70029600
1994-09-01,0.6116,0.7306,0.5267,0.6768,0.6768,66109600
1994-10-01,0.6683,0.8268,0.6626,0.8042,0.8042,103434400
1994-11-01,0.7985,0.8891,0.7476,0.8325,0.8325,87768800
