Date,Open,High,Low,Close,Adj Close,Volume
,GEV,GEV,GEV,GEV,,GEV
2024-04-01,140.7967,162.8533,118.82,153.4775,153.4775,153502200
2024-05-01,153.9568,182.5036,149.195,175.634,175.634,67800200
2024-06-01,178.6594,185.2194,155.2648,171.2506,171.2506,71454000
2024-07-01,170.7414,184.0522,156.1734,177.9704,177.9704,63731600
2024-08-01,181.6249,201.0654,149.7831,200.696,200.696,57813200
2024-09-01,199.6975,258.2488,187.2643,254.5943,254.5943,66051700
2024-10-01,255.6128,303.2497,248.1242,301.2038,301.2038,54051300
2024-11-01,304.5387,356.5499,292.0976,333.6147,333.6147,57293000
2024-12-01,335.2222,354.1535,313.7148,328.4325,328.4325,61477500
2025-01-01,332.5365,447.1591,317.458,372.5959,372.5959,86793200
2025-02-01,350.0731,389.593,297.773,334.9247,334.9247,67358100
2025-03-01,334.445,349.3536,266.267,305.0474,305.0474,92436800
2025-04-01,307.3657,379.6725,252.0578,370.5375,370.5375,88254900
2025-05-01,383.34,488.75,378.47,474.583,474.583,61163642
