Date,Open,High,Low,Close,Adj Close,Volume
,GE,GE,GE,GE,,GE
1962-01-01,0.6226,0.633,0.5728,0.6226,0.6226,8004612
1962-02-01,0.6226,0.6475,0.6101,0.6195,0.6195,5710998
1962-03-01,0.6226,0.6516,0.6226,0.6382,0.6382,5795131
1962-04-01,0.6412,0.6412,0.5639,0.5723,0.5723,6900872
1962-05-01,0.5723,0.6036,0.5013,0.5493,0.5493,12167169
1962-06-01,0.5493,0.5545,0.4532,0.4971,0.4971,10081885
1962-07-01,0.501,0.5609,0.4978,0.5588,0.5588,6993017
1962-08-01,0.5588,0.5883,0.542,0.5767,0.5767,6512260
1962-09-01,0.5767,0.5778,0.522,0.5378,0.5378,5478631
1962-10-01,0.5418,0.581,0.5343,0.5746,0.5746,7129235
1962-11-01,0.5746,0.6404,0.5693,0.634,0.634,7397654
1962-12-01,0.634,0.6584,0.6287,0.651,0.651,5847212
1963-01-01,0.6552,0.6776,0.6456,0.668,0.668,7567924
1963-02-01,0.668,0.6755,0.62,0.6211,0.6211,4897719
1963-03-01,0.6221,0.6413,0.6125,0.6371,0.6371,5001881
1963-04-01,0.6414,0.6875,0.6252,0.6768,0.6768,7790274
1963-05-01,0.679,0.7241,0.679,0.7219,0.7219,7686109
1963-06-01,0.7219,0.7251,0.6682,0.679,0.679,4743474
1963-07-01,0.6822,0.6995,0.6584,0.6757,0.6757,4815587
1963-08-01,0.6757,0.7103,0.6735,0.7049,0.7049,4322811
1963-09-01,0.7049,0.7243,0.6843,0.6865,0.6865,6063555
1963-10-01,0.6907,0.7418,0.6744,0.7288,0.7288,7191332
1963-11-01,0.7288,0.732,0.6526,0.7179,0.7179,4953805
1963-12-01,0.7179,0.7614,0.7124,0.7581,0.7581,7379628
1964-01-01,0.7632,0.7709,0.7402,0.7698,0.7698,5953382
1964-02-01,0.7709,0.7862,0.7402,0.7501,0.7501,5616852
1964-03-01,0.7523,0.7982,0.7424,0.7643,0.7643,8781836
1964-04-01,0.7702,0.7857,0.7251,0.7262,0.7262,6644469
1964-05-01,0.7273,0.7438,0.7096,0.714,0.714,7375618
1964-06-01,0.714,0.7151,0.6942,0.703,0.703,8317103
1964-07-01,0.709,0.7611,0.709,0.74,0.74,9889582
1964-08-01,0.74,0.7511,0.719,0.7456,0.7456,7287482
1964-09-01,0.7456,0.7977,0.7411,0.7933,0.7933,7161282
1964-10-01,0.7983,0.8039,0.7536,0.7815,0.7815,6055538
1964-11-01,0.7815,0.8362,0.7782,0.8273,0.8273,7177308
1964-12-01,0.8262,0.8329,0.7972,0.8329,0.8329,6636456
1965-01-01,0.8334,0.8951,0.8176,0.8929,0.8929,7890433
1965-02-01,0.8918,0.903,0.8502,0.8974,0.8974,7990592
1965-03-01,0.8974,0.9378,0.8828,0.894,0.894,7415686
1965-04-01,0.9024,0.9419,0.9001,0.9419,0.9419,5430555
1965-05-01,0.9453,0.9645,0.908,0.934,0.934,4975840
1965-06-01,0.934,0.9385,0.8267,0.8662,0.8662,9168444
1965-07-01,0.8713,0.9224,0.8701,0.9144,0.9144,5626867
1965-08-01,0.9144,0.9689,0.9065,0.9508,0.9508,5767086
1965-09-01,0.9508,1.0928,0.936,1.0632,1.0632,8417265
1965-10-01,1.0694,1.0922,1.0511,1.0808,1.0808,7285481
1965-11-01,1.0808,1.0831,1.0282,1.0397,1.0397,5865241
1965-12-01,1.0397,1.0934,1.0237,1.0785,1.0785,7587955
1966-01-01,1.0836,1.1031,1.0502,1.0548,1.0548,6207780
1966-02-01,1.0537,1.056,0.9985,1.002,1.002,7451740
1966-03-01,0.9997,1.0261,0.9755,1.0066,1.0066,9408824
1966-04-01,1.0127,1.0971,0.9954,1.0625,1.0625,7185322
1966-05-01,1.0601,1.0601,0.9457,0.963,0.963,6876836
1966-06-01,0.963,1.0659,0.9619,0.9815,0.9815,6185749
1966-07-01,0.9888,1.0307,0.8841,0.8888,0.8888,6522274
1966-08-01,0.8713,0.9027,0.7771,0.791,0.791,11696429
1966-09-01,0.791,0.8445,0.7445,0.791,0.791,12299378
1966-10-01,0.7972,0.9051,0.7761,0.8945,0.8945,9314676
