Date,Open,High,Low,Close,Adj Close,Volume
,GIS,GIS,GIS,GIS,,GIS
1985-01-01,0.7668,0.8348,0.7215,0.8329,0.8329,102185119
1985-02-01,0.8403,0.9091,0.8384,0.8422,0.8422,68216333
1985-03-01,0.8422,0.9263,0.8346,0.8881,0.8881,53770840
1985-04-01,0.8881,0.8976,0.804,0.806,0.806,62302238
1985-05-01,0.8176,0.9352,0.8022,0.9256,0.9256,94997219
1985-06-01,0.9294,0.9873,0.8793,0.9815,0.9815,55209194
1985-07-01,0.9776,0.9815,0.86,0.8754,0.8754,52216334
1985-08-01,0.8796,0.8893,0.8582,0.8854,0.8854,23658317
1985-09-01,0.8854,0.9613,0.8698,0.9574,0.9574,53389476
1985-10-01,0.9574,1.0158,0.9457,0.9613,0.9613,101745672
1985-11-01,0.9659,1.0877,0.9345,0.9345,0.9345,55879006
1985-12-01,0.9385,0.9875,0.8933,0.9601,0.9601,44707077
1986-01-01,0.9581,0.9954,0.8874,0.9699,0.9699,46058320
1986-02-01,0.9809,1.1117,0.9532,1.0978,1.0978,54765881
1986-03-01,1.0979,1.2722,1.0899,1.1771,1.1771,99732365
1986-04-01,1.1732,1.1969,1.0899,1.1078,1.1078,56115184
1986-05-01,1.1126,1.2444,1.1026,1.2384,1.2384,53772777
1986-06-01,1.2424,1.3383,1.1845,1.3263,1.3263,46203509
1986-07-01,1.3283,1.4222,1.2724,1.3823,1.3823,57214761
1986-08-01,1.3997,1.46,1.3675,1.3956,1.3956,45603390
1986-09-01,1.3916,1.4037,1.2026,1.273,1.273,81995887
1986-10-01,1.269,1.4359,1.2448,1.4198,1.4198,78522929
1986-11-01,1.4314,1.5368,1.2651,1.4476,1.4476,57452874
1986-12-01,1.4436,1.4517,1.3219,1.399,1.399,49121837
1987-01-01,1.3949,1.6179,1.3949,1.5612,1.5612,57744221
1987-02-01,1.5726,1.6951,1.5358,1.6502,1.6502,33146037
1987-03-01,1.6625,1.7768,1.6257,1.6665,1.6665,46852026
1987-04-01,1.642,1.7237,1.4051,1.4827,1.4827,51116757
1987-05-01,1.4837,1.8413,1.4672,1.7755,1.7755,95703811
1987-06-01,1.8002,1.9358,1.7385,1.8289,1.8289,59362614
1987-07-01,1.8248,1.907,1.718,1.8824,1.8824,45956685
1987-08-01,1.8877,2.0574,1.8132,1.9374,1.9374,57393830
1987-09-01,1.9374,1.9622,1.7676,1.9208,1.9208,44620932
1987-10-01,1.9208,1.9622,1.3495,1.6227,1.6227,88504296
1987-11-01,1.6227,1.631,1.424,1.4572,1.4572,41278644
1987-12-01,1.4654,1.6641,1.3744,1.6434,1.6434,64337809
1988-01-01,1.6352,1.7469,1.5648,1.6641,1.6641,49484813
1988-02-01,1.6818,1.711,1.59,1.6777,1.6777,38200604
1988-03-01,1.686,1.7152,1.5358,1.5858,1.5858,64462674
1988-04-01,1.5692,1.6443,1.5191,1.5525,1.5525,48724018
1988-05-01,1.5656,1.5867,1.452,1.5867,1.5867,46088325
1988-06-01,1.5951,1.6498,1.5362,1.5783,1.5783,52022748
1988-07-01,1.553,1.6119,1.5109,1.5993,1.5993,39684454
1988-08-01,1.6283,1.7388,1.6198,1.692,1.692,53023594
1988-09-01,1.692,1.7558,1.6538,1.7516,1.7516,33234117
1988-10-01,1.7346,1.9726,1.726,1.8323,1.8323,62807502
1988-11-01,1.8492,1.8878,1.6819,1.7934,1.7934,27306475
1988-12-01,1.7977,1.8192,1.7205,1.7806,1.7806,28025649
1989-01-01,1.7806,1.9179,1.7291,1.9179,1.9179,45627588
1989-02-01,1.9356,1.9919,1.8577,1.9097,1.9097,35792378
1989-03-01,1.9227,2.0699,1.9053,2.0526,2.0526,39009798
1989-04-01,2.0569,2.2215,2.0396,2.1522,2.1522,38390320
1989-05-01,2.1694,2.3658,2.1432,2.2872,2.2872,32460736
1989-06-01,2.2785,2.4269,2.2392,2.2654,2.2654,32465578
1989-07-01,2.2392,2.4924,2.2392,2.4836,2.4836,26572777
1989-08-01,2.5093,2.5269,2.3508,2.4345,2.4345,40061947
1989-09-01,2.4212,2.5005,2.3464,2.4741,2.4741,23005928
1989-10-01,2.4741,2.5973,2.342,2.5005,2.5005,31976770
1989-11-01,2.5202,2.6489,2.4714,2.6489,2.6489,20594797
1989-12-01,2.6755,2.7288,2.4803,2.569,2.569,29701150
1990-01-01,2.5601,2.6223,2.3294,2.4315,2.4315,44617060
1990-02-01,2.4633,2.4633,2.2443,2.2979,2.2979,35234847
1990-03-01,2.2934,2.6377,2.2934,2.6332,2.6332,33998788
1990-04-01,2.6287,2.745,2.5617,2.593,2.593,25081186
1990-05-01,2.6212,2.9049,2.6212,2.9049,2.9049,34530188
1990-06-01,2.9094,3.2517,2.8689,3.2382,3.2382,37051662
1990-07-01,3.2427,3.4228,3.1436,3.3237,3.3237,40626258
1990-08-01,3.3386,3.384,2.7534,3.1572,3.1572,44867754
1990-09-01,3.1844,3.1844,2.885,2.9576,2.9576,28882274
1990-10-01,2.9848,3.2887,2.8668,3.0165,3.0165,43650089
1990-11-01,3.0482,3.4641,3.0162,3.4641,3.4641,26394674
1990-12-01,3.4458,3.8023,3.3818,3.5829,3.5829,23783667
1991-01-01,3.5281,3.5372,3.1808,3.4458,3.4458,35520386
1991-02-01,3.4608,4.0958,3.3779,3.967,3.967,32994071
1991-03-01,3.9302,4.4824,3.8381,4.2523,4.2523,29401573
1991-04-01,4.2431,4.4088,4.0682,4.1142,4.1142,22886388
1991-05-01,4.1461,4.4145,4.1183,4.3497,4.3497,19535874
1991-06-01,4.3682,4.3682,4.0165,4.1831,4.1831,24634966
1991-07-01,4.2201,4.6643,4.2016,4.6643,4.6643,21594192
1991-08-01,4.7225,4.797,4.471,4.797,4.797,18155112
1991-09-01,4.7784,4.8063,4.4431,4.5455,4.5455,22203510
1991-10-01,4.5269,4.7877,4.3685,4.6107,4.6107,24288927
1991-11-01,4.6398,5.1459,4.5741,4.8835,4.8835,24531396
1991-12-01,4.8178,5.5208,4.8085,5.5208,5.5208,23029641
1992-01-01,5.5021,5.6896,4.9116,5.2303,5.2303,33819240
1992-02-01,5.2559,5.3689,4.9733,5.1994,5.1994,20618993
1992-03-01,5.1805,5.2182,4.7849,4.9168,4.9168,27728012
1992-04-01,4.9168,5.1617,4.6907,4.8226,4.8226,31541684
1992-05-01,4.8312,4.907,4.4523,4.8122,4.8122,40895342
1992-06-01,4.7933,5.1627,4.6986,5.0869,5.0869,31468604
1992-07-01,5.0775,5.3427,5.0017,5.2953,5.2953,20349908
1992-08-01,5.319,5.4239,5.2046,5.3,5.3,14530674
1992-09-01,5.2809,5.6336,4.9854,5.0617,5.0617,32379431
1992-10-01,5.0617,5.3286,4.9187,5.1284,5.1284,23631699
1992-11-01,5.1419,5.4201,5.0363,5.3721,5.3721,19801574
1992-12-01,5.3913,5.5639,5.1323,5.257,5.257,28093889
1993-01-01,5.2953,5.3337,5.1227,5.1802,5.1802,26004112
1993-02-01,5.2122,5.357,5.0191,5.3377,5.3377,27128371
1993-03-01,5.3377,5.7238,5.328,5.4728,5.4728,28703207
1993-04-01,5.4824,5.5114,4.9516,5.1253,5.1253,33886024
1993-05-01,5.1557,5.4275,5.01,5.0683,5.0683,27769630
1993-06-01,5.1071,5.2916,4.8255,5.2819,5.2819,26788628
1993-07-01,5.3304,5.3401,4.5634,4.7187,4.7187,33360918
1993-08-01,4.7415,4.9957,4.4482,4.8881,4.8881,42484693
1993-09-01,4.8881,4.9468,4.6731,4.7122,4.7122,23332605
1993-10-01,4.7122,5.2987,4.6633,5.0055,5.0055,33157652
1993-11-01,5.0249,5.0446,4.7588,4.7884,4.7884,28447673
1993-12-01,4.7884,4.9657,4.68,4.7884,4.7884,30696188
1994-01-01,4.7884,4.9066,4.5716,4.68,4.68,51424076
1994-02-01,4.7059,4.7853,4.4081,4.418,4.418,44823229
1994-03-01,4.4279,4.5272,4.2591,4.418,4.418,50686994
