Date,Open,High,Low,Close,Adj Close,Volume
,GLW,GLW,GLW,GLW,,GLW
1985-01-01,1.1575,1.2711,1.1491,1.2648,1.2648,24616800
1985-02-01,1.2606,1.3469,1.2374,1.2753,1.2753,13161600
1985-03-01,1.2964,1.3132,1.1659,1.1996,1.1996,12115200
1985-04-01,1.2096,1.2945,1.1799,1.2818,1.2818,24495600
1985-05-01,1.2818,1.3836,1.2648,1.3794,1.3794,25404000
1985-06-01,1.4006,1.511,1.3285,1.5025,1.5025,23370000
1985-07-01,1.5057,1.6554,1.48,1.587,1.587,27649200
1985-08-01,1.5955,1.6511,1.5057,1.6126,1.6126,19194000
1985-09-01,1.5955,1.6725,1.4929,1.5741,1.5741,23175600
1985-10-01,1.5849,1.8089,1.4385,1.8046,1.8046,36394800
1985-11-01,1.7959,2.1663,1.7916,2.119,2.119,36752400
1985-12-01,2.0759,2.1448,2.0027,2.1276,2.1276,27567600
1986-01-01,2.1401,2.4174,2.0448,2.3914,2.3914,31909200
1986-02-01,2.387,2.4953,2.3134,2.4087,2.4087,21986400
1986-03-01,2.4,2.6513,2.2874,2.621,2.621,27105600
1986-04-01,2.6343,2.8389,2.4775,2.569,2.569,53960400
1986-05-01,2.569,2.6125,2.4035,2.5211,2.5211,40580400
1986-06-01,2.4906,2.5864,2.3077,2.5385,2.5385,28063200
1986-07-01,2.5555,2.573,2.0436,2.0742,2.0742,36627600
1986-08-01,2.0742,2.2492,1.9517,2.0567,2.0567,49999200
1986-09-01,1.9429,2.0742,1.6322,1.6804,1.6804,78914400
1986-10-01,1.708,1.9369,1.6904,1.9017,1.9017,54316800
1986-11-01,1.9105,1.9942,1.8489,1.9369,1.9369,25987200
1986-12-01,1.9413,2.0778,1.8929,1.9325,1.9325,39132000
1987-01-01,1.9533,2.1527,1.8913,1.9843,1.9843,60544800
1987-02-01,1.9755,2.1438,1.9445,2.0995,2.0995,44485200
1987-03-01,2.1084,2.3697,2.0508,2.197,2.197,76417200
1987-04-01,2.1744,2.3794,2.121,2.2502,2.2502,46130400
1987-05-01,2.2413,2.3125,2.0675,2.1566,2.1566,30207600
1987-06-01,2.1922,2.4061,2.1388,2.2814,2.2814,30210000
1987-07-01,2.3079,2.4872,2.2093,2.4379,2.4379,40717200
1987-08-01,2.402,2.7605,2.3572,2.6306,2.6306,73383600
1987-09-01,2.6341,2.6386,2.3864,2.5666,2.5666,39710400
1987-10-01,2.5711,2.6161,1.4949,1.738,1.738,63494400
1987-11-01,1.675,1.8191,1.621,1.711,1.711,34569600
1987-12-01,1.729,1.9587,1.648,1.684,1.684,44442000
1988-01-01,1.7065,1.9061,1.6248,1.888,1.888,27375600
1988-02-01,1.8971,2.1195,1.8562,2.1058,2.1058,28016400
1988-03-01,2.1058,2.1104,1.829,1.8517,1.8517,21304800
1988-04-01,1.8824,2.0286,1.8184,1.8732,1.8732,23499600
1988-05-01,1.8778,1.8915,1.8001,1.8778,1.8778,20311200
1988-06-01,1.8778,2.1154,1.8732,2.1108,2.1108,38360400
1988-07-01,2.1253,2.2035,2.0977,2.1483,2.1483,32806800
1988-08-01,2.1529,2.2357,2.0701,2.1253,2.1253,30319200
1988-09-01,2.1253,2.2679,2.0931,2.2265,2.2265,29188800
1988-10-01,2.2269,2.5371,2.2037,2.5093,2.5093,34629600
1988-11-01,2.5093,2.5834,2.3519,2.4815,2.4815,36981600
1988-12-01,2.4722,2.588,2.4491,2.5695,2.5695,43766400
1989-01-01,2.5705,2.7148,2.5332,2.6916,2.6916,35103600
1989-02-01,2.6729,2.6962,2.4215,2.5146,2.5146,17260800
1989-03-01,2.5239,2.5984,2.4215,2.5332,2.5332,21825600
1989-04-01,2.5574,2.6229,2.4356,2.5012,2.5012,37509000
1989-05-01,2.4824,2.9602,2.3981,2.8946,2.8946,52760400
1989-06-01,2.9133,3.0257,2.7447,2.7916,2.7916,25772400
1989-07-01,2.806,3.1827,2.7966,3.1074,3.1074,16404600
1989-08-01,3.1356,3.2674,3.032,3.1639,3.1639,19204200
1989-09-01,3.1356,3.1921,2.8625,3.0132,3.0132,18321000
1989-10-01,3.0086,3.2356,2.7626,2.9234,2.9234,25338600
1989-11-01,2.9423,3.1883,2.7626,3.018,3.018,23052000
1989-12-01,3.0369,3.2735,3.0369,3.2545,3.2545,17406600
1990-01-01,3.2896,3.4617,3.0983,3.2513,3.2513,28941600
1990-02-01,3.2513,3.4713,3.1748,3.4521,3.4521,19157400
1990-03-01,3.4139,3.6243,3.3183,3.5765,3.5765,19206600
1990-04-01,3.5754,3.7003,3.4216,3.585,3.585,18546000
1990-05-01,3.5754,3.979,3.5561,3.8253,3.8253,22575600
1990-06-01,3.8445,3.8445,3.3063,3.3639,3.3639,26950200
1990-07-01,3.3986,3.5531,3.2635,3.3793,3.3793,27207600
