Date,Open,High,Low,Close,Adj Close,Volume
,GL,GL,GL,GL,,GL
1985-01-01,0.0,2.5338,2.0877,2.5249,2.5249,8060175
1985-02-01,0.0,3.203,2.516,3.1316,3.1316,11633625
1985-03-01,0.0,3.1762,2.7836,3.1048,3.1048,11917800
1985-04-01,0.0,3.4439,3.1048,3.3725,3.3725,10221525
1985-05-01,0.0,3.774,3.3189,3.3636,3.3636,7836075
1985-06-01,0.0,3.4885,3.1405,3.4349,3.4349,7086150
1985-07-01,0.0,3.6223,3.3011,3.3992,3.3992,6753375
1985-08-01,0.0,3.3903,2.9978,3.2565,3.2565,8700075
1985-09-01,0.0,3.3189,1.3026,1.3561,1.3561,10824975
1985-10-01,0.0,1.6684,1.3204,1.6327,1.6327,26958150
1985-11-01,0.0,1.9093,1.5792,1.7219,1.7219,26648325
1985-12-01,0.0,1.8022,1.5346,1.5703,1.5703,23722200
1986-01-01,0.0,1.7844,1.5167,1.5524,1.5524,30198825
1986-02-01,0.0,2.2126,1.5346,2.2126,2.2126,32484375
1986-03-01,0.0,2.4892,2.0788,2.3732,2.3732,21409650
1986-04-01,0.0,2.5606,2.1145,2.2751,2.2751,20695500
1986-05-01,0.0,2.4446,2.2126,2.4357,2.4357,12006900
1986-06-01,0.0,2.7479,2.1859,2.6587,2.6587,13401450
1986-07-01,0.0,2.7123,1.9985,2.1859,2.1859,29572425
1986-08-01,0.0,2.284,2.052,2.1769,2.1769,21619575
1986-09-01,0.0,2.2394,1.8201,1.9271,1.9271,18814275
1986-10-01,0.0,2.1591,1.8825,2.1323,2.1323,13913775
1986-11-01,0.0,2.1413,1.9807,2.0163,2.0163,12214800
1986-12-01,0.0,2.0877,1.8201,1.8558,1.8558,15886800
1987-01-01,0.0,2.1859,1.8379,1.9807,1.9807,20450475
1987-02-01,0.0,2.3756,1.9167,2.3576,2.3576,26286525
1987-03-01,0.0,2.3756,2.1056,2.1326,2.1326,22787325
1987-04-01,0.0,2.2136,1.9167,1.9977,1.9977,20249325
1987-05-01,0.0,2.0329,1.7243,1.924,1.924,17034300
1987-06-01,0.0,2.0601,1.8968,2.0601,2.0601,18141300
1987-07-01,0.0,2.2235,2.0057,2.1962,2.1962,31648725
1987-08-01,0.0,2.692,2.106,2.4081,2.4081,28672650
1987-09-01,0.0,2.4265,2.1518,2.2433,2.2433,12967425
1987-10-01,0.0,2.4539,1.7947,2.0694,2.0694,29548125
1987-11-01,0.0,2.0956,1.7079,1.7263,1.7263,14273550
1987-12-01,0.0,1.8741,1.6063,1.8094,1.8094,15824700
1988-01-01,1.8187,2.1048,1.754,2.0679,2.0679,9524925
1988-02-01,2.1067,2.2279,2.0695,2.2186,2.2186,7797600
1988-03-01,2.2186,2.3118,2.172,2.172,2.172,7972425
1988-04-01,2.1627,2.3305,2.1533,2.2559,2.2559,6010200
1988-05-01,2.2566,2.3412,2.2096,2.3036,2.3036,8203950
1988-06-01,2.313,2.5105,2.313,2.4729,2.4729,10535400
1988-07-01,2.4541,2.5199,2.3224,2.3318,2.3318,6713550
1988-08-01,2.3537,2.5151,2.3537,2.4107,2.4107,6496875
1988-09-01,2.3917,2.4486,2.3727,2.4012,2.4012,5224500
1988-10-01,2.3917,2.4297,2.3253,2.3727,2.3727,6677100
1988-11-01,2.3764,2.4147,2.2518,2.3572,2.3572,6973425
1988-12-01,2.3476,2.3668,2.3189,2.338,2.338,4306500
1989-01-01,2.338,2.4818,2.2997,2.4722,2.4722,5541075
1989-02-01,2.4967,2.5354,2.4387,2.458,2.458,6574500
1989-03-01,2.458,2.6032,2.4484,2.5548,2.5548,5870475
1989-04-01,2.5548,2.7871,2.5258,2.7871,2.7871,14379525
1989-05-01,2.8124,3.0956,2.7734,3.0761,3.0761,15340725
1989-06-01,3.0566,3.2226,2.9687,3.0468,3.0468,7938000
1989-07-01,3.0468,3.6816,2.9589,3.6718,3.6718,8394975
1989-08-01,3.7201,3.8579,3.4249,3.5036,3.5036,9146250
1989-09-01,3.4938,3.7201,3.4249,3.6808,3.6808,7250175
1989-10-01,3.7004,3.9957,3.5134,3.7398,3.7398,12508425
1989-11-01,3.7763,4.262,3.6475,4.2224,4.2224,10479375
1989-12-01,4.2422,4.6585,4.0638,4.4206,4.4206,9470250
1990-01-01,4.4404,4.5495,3.7268,3.9448,3.9448,8910000
1990-02-01,3.9594,3.9594,3.5904,3.8796,3.8796,9659250
1990-03-01,3.8696,4.0691,3.5405,3.6103,3.6103,13900275
1990-04-01,3.6502,3.7599,3.4109,3.4807,3.4807,11510100
1990-05-01,3.5278,3.8393,3.4876,3.8293,3.8293,14150025
1990-06-01,3.8393,3.9197,3.6182,3.8393,3.8393,9868500
1990-07-01,3.8494,4.0806,3.7087,4.0806,4.0806,6557625
1990-08-01,4.1005,4.1511,3.4323,3.6854,3.6854,10044675
1990-09-01,3.6651,3.7056,3.2399,3.3209,3.3209,7009200
1990-10-01,3.3209,3.5133,3.0779,3.412,3.412,10430775
1990-11-01,3.4505,4.0631,3.4403,3.8181,3.8181,9914400
1990-12-01,3.8385,4.0018,3.8079,3.9916,3.9916,6982200
1991-01-01,3.9712,4.1958,3.7874,4.1958,4.1958,11362275
1991-02-01,4.2366,4.5862,4.072,4.5656,4.5656,13433850
1991-03-01,4.5656,4.6787,4.3188,4.6582,4.6582,9910350
1991-04-01,4.6376,4.8124,4.3908,4.4011,4.4011,9064575
1991-05-01,4.4178,4.5212,4.1177,4.5109,4.5109,9184725
1991-06-01,4.4902,4.5936,3.9625,3.9936,3.9936,8511750
1991-07-01,3.9936,4.1798,3.8487,4.1591,4.1591,8812800
1991-08-01,4.1939,4.2773,3.9852,4.1939,4.1939,8012925
1991-09-01,4.2043,4.3608,4.1,4.1626,4.1626,7156350
1991-10-01,4.173,4.4651,4.1104,4.4234,4.4234,6145200
1991-11-01,4.4583,4.6581,4.29,4.4162,4.4162,8013600
1991-12-01,4.3952,4.984,4.3426,4.8683,4.8683,6506325
1992-01-01,4.8263,5.1733,4.7527,4.8894,4.8894,10380825
1992-02-01,4.9341,4.987,4.6164,4.8917,4.8917,8278875
1992-03-01,4.9023,5.0929,4.7858,4.8282,4.8282,7379775
1992-04-01,4.8388,5.167,4.5741,4.8176,4.8176,18722475
1992-05-01,4.8524,5.1084,4.7351,4.9057,4.9057,6161400
1992-06-01,4.8844,5.7909,4.8311,5.7909,5.7909,16384275
1992-07-01,5.7802,6.1535,5.5563,6.1322,6.1322,13355550
1992-08-01,6.1696,6.5022,5.9711,6.0354,6.0354,10643175
1992-09-01,6.0515,6.8724,6.0193,6.4539,6.4539,9213750
1992-10-01,6.5022,6.9528,6.3573,6.6148,6.6148,7220250
1992-11-01,6.6981,7.054,6.4878,6.6658,6.6658,8556750
1992-12-01,6.7143,7.5556,6.5849,7.3938,7.3938,10010700
1993-01-01,7.3453,8.0248,7.1835,7.8468,7.8468,6742350
1993-02-01,7.8512,8.4201,7.2497,7.8349,7.8349,11582550
1993-03-01,7.8349,8.095,7.6724,7.7861,7.7861,8232300
1993-04-01,7.8024,8.0462,6.8271,7.1034,7.1034,12295350
1993-05-01,7.1194,7.348,6.5152,6.9234,6.9234,13360950
1993-06-01,6.9234,7.2827,6.7275,6.9398,6.9398,11255850
1993-07-01,6.9071,7.495,6.7438,7.4296,7.4296,7308000
1993-08-01,7.4674,7.7299,7.4509,7.5822,7.5822,5888250
1993-09-01,7.5658,7.8448,7.3525,7.4181,7.4181,6936750
1993-10-01,7.4181,7.4345,5.9082,6.0888,6.0888,18115650
1993-11-01,6.1196,6.1361,5.4268,5.8062,5.8062,13598550
1993-12-01,5.7897,6.0536,5.6742,5.9381,5.9381,12281850
1994-01-01,5.8886,6.367,5.8886,6.2845,6.2845,12649950
1994-02-01,6.3239,6.5728,5.6433,5.7097,5.7097,13849650
1994-03-01,5.7097,5.8093,5.245,5.3446,5.3446,11782800
1994-04-01,5.2616,5.3612,4.913,4.9628,4.9628,14873850
1994-05-01,4.9976,5.6494,4.914,5.5993,5.5993,10630350
1994-06-01,5.5826,5.7163,5.1313,5.2149,5.2149,10035900
1994-07-01,5.2316,5.265,5.0812,5.1982,5.1982,11386350
1994-08-01,5.2357,5.825,5.2357,5.7408,5.7408,8647200
1994-09-01,5.7071,5.9428,5.4546,5.9092,5.9092,14420700
1994-10-01,5.8586,5.9933,4.9495,4.9664,4.9664,13208850
1994-11-01,4.9813,5.1338,4.3883,4.49,4.49,16445250
1994-12-01,4.49,4.8627,4.473,4.7272,4.7272,13625100
1995-01-01,4.7312,5.3802,4.6799,5.3289,5.3289,12126600
1995-02-01,5.3631,5.8413,5.346,5.7218,5.7218,13820400
1995-03-01,5.7389,5.773,5.4827,5.6705,5.6705,10549800
1995-04-01,5.6193,5.7389,5.2265,5.3289,5.3289,9462600
1995-05-01,5.3823,5.6059,5.2276,5.4855,5.4855,10576350
1995-06-01,5.4855,5.5543,5.1416,5.1932,5.1932,13914450
1995-07-01,5.1588,5.3995,5.0556,5.2964,5.2964,10291950
1995-08-01,5.3533,5.6651,5.3013,5.5438,5.5438,10272600
1995-09-01,5.5438,5.8557,5.5438,5.8384,5.8384,10455300
1995-10-01,5.8384,6.2022,5.7344,5.7517,5.7517,13744350
1995-11-01,5.7736,5.9654,5.7038,5.9306,5.9306,14679000
1995-12-01,5.9654,6.3143,5.9131,6.3143,6.3143,10174050
1996-01-01,6.2794,6.6108,5.9306,6.5759,6.5759,15806700
1996-02-01,6.8117,7.0048,6.4782,6.5133,6.5133,9223650
1996-03-01,6.5484,6.7415,6.1797,6.3201,6.3201,13808250
