Date,Open,High,Low,Close,Adj Close,Volume
,GPC,GPC,GPC,GPC,,GPC
1985-01-01,2.6144,2.9643,2.5423,2.9231,2.9231,6647743
1985-02-01,2.9128,2.9643,2.8099,2.8408,2.8408,5112792
1985-03-01,2.8202,2.9128,2.5526,2.6658,2.6658,4213354
1985-04-01,2.699,2.7509,2.5745,2.5848,2.5848,3461405
1985-05-01,2.5745,2.8132,2.5433,2.7302,2.7302,3706095
1985-06-01,2.7302,2.8444,2.616,2.7821,2.7821,4995004
1985-07-01,2.7973,2.8287,2.5563,2.6925,2.6925,6843493
1985-08-01,2.7135,2.7449,2.5249,2.5877,2.5877,5038205
1985-09-01,2.5982,2.6506,2.5563,2.6192,2.6192,3818817
1985-10-01,2.6656,2.7079,2.581,2.6339,2.6339,3957192
1985-11-01,2.6233,2.8983,2.6021,2.8666,2.8666,6358166
1985-12-01,2.8454,3.2368,2.7925,3.2262,3.2262,7304180
1986-01-01,3.2438,3.2545,3.0197,3.1264,3.1264,4306844
1986-02-01,3.1157,3.4785,3.0837,3.3291,3.3291,5493492
1986-03-01,3.3291,3.8413,3.1904,3.6919,3.6919,5827279
1986-04-01,3.7228,3.8734,3.5183,3.8089,3.8089,5805342
1986-05-01,3.7981,4.1639,3.7013,4.0886,4.0886,4562667
1986-06-01,4.0886,4.1424,3.8304,3.9487,3.9487,4249806
1986-07-01,3.9595,4.1101,3.7443,3.9165,3.9165,4908944
1986-08-01,3.8842,3.981,3.7551,3.981,3.981,4227531
1986-09-01,3.8842,3.981,3.443,3.5721,3.5721,5082418
1986-10-01,3.6187,3.8787,3.597,3.7704,3.7704,3198154
1986-11-01,3.7921,4.0954,3.6512,3.9004,3.9004,4012878
1986-12-01,3.9437,4.0738,3.7054,3.7379,3.7379,5789480
1987-01-01,3.775,4.4514,3.775,4.4514,4.4514,5695656
1987-02-01,4.4296,4.6151,4.1132,4.4405,4.4405,4308868
1987-03-01,4.4514,4.7351,4.3423,4.4296,4.4296,5332505
1987-04-01,4.4265,4.7451,4.3496,4.4814,4.4814,6171531
1987-05-01,4.4924,4.6956,4.1629,4.5638,4.5638,5066668
1987-06-01,4.432,5.2064,4.2673,4.8933,4.8933,5019300
1987-07-01,4.9606,5.4417,4.8113,5.392,5.392,4210200
1987-08-01,5.4086,5.8897,5.1431,5.5745,5.5745,5331375
1987-09-01,5.1763,5.6076,5.0436,5.3588,5.3588,5532075
1987-10-01,5.3549,5.6218,3.6367,4.4041,4.4041,10808325
1987-11-01,4.4041,5.088,4.0204,4.4374,4.4374,4980825
1987-12-01,4.4374,4.9379,4.1371,4.6876,4.6876,5301225
1988-01-01,4.7875,5.241,4.7035,4.8715,4.8715,9595575
1988-02-01,4.9051,5.241,4.7371,5.2242,5.2242,5832225
1988-03-01,5.1906,5.493,5.1235,5.1235,5.1235,6425775
1988-04-01,5.1241,5.5131,4.9381,5.0903,5.0903,3879900
1988-05-01,5.0903,5.141,4.6844,4.9043,4.9043,4101750
1988-06-01,4.974,5.3488,4.8889,5.1955,5.1955,5787000
1988-07-01,5.1784,5.2466,4.5482,4.8207,4.8207,5966775
1988-08-01,4.7867,4.8207,4.4289,4.7355,4.7355,6972975
1988-09-01,4.7543,5.1319,4.72,5.0805,5.0805,4068450
1988-10-01,5.0805,5.3379,4.9946,5.1834,5.1834,5244075
1988-11-01,5.1491,5.2006,4.7029,4.9088,4.9088,4705875
1988-12-01,4.9088,4.9946,4.7887,4.8745,4.8745,3489975
1989-01-01,4.9103,5.308,4.8239,5.2734,5.2734,5976900
1989-02-01,5.2561,5.3599,4.9276,5.0141,5.0141,4289850
1989-03-01,5.0314,5.2215,4.893,5.1005,5.1005,4564350
1989-04-01,5.1419,5.6823,5.0548,5.63,5.63,5791275
1989-05-01,5.63,6.0657,5.4034,5.9089,5.9089,7635825
1989-06-01,5.8914,6.0657,5.3685,5.4382,5.4382,8968275
1989-07-01,5.4768,6.021,5.3188,6.021,6.021,7808400
1989-08-01,6.0385,6.0561,5.547,5.9332,5.9332,5933925
1989-09-01,5.9156,6.0034,5.4417,5.5294,5.5294,4833000
1989-10-01,5.5685,5.6746,5.215,5.3564,5.3564,8395875
1989-11-01,5.3917,5.4448,5.1619,5.3387,5.3387,5177250
1989-12-01,5.3034,5.9928,5.3034,5.9398,5.9398,5149800
1990-01-01,5.9517,6.0943,5.3458,5.4349,5.4349,5669100
1990-02-01,5.4349,5.6666,5.328,5.4171,5.4171,3710925
1990-03-01,5.4528,5.7022,5.3458,5.3815,5.3815,5735700
1990-04-01,5.377,5.8446,5.359,5.6827,5.6827,4639050
1990-05-01,5.7187,5.9704,5.6827,5.9525,5.9525,5610150
1990-06-01,5.9345,6.0963,5.5568,5.7187,5.7187,5991975
1990-07-01,5.7839,5.7839,5.1312,5.3306,5.3306,9165600
1990-08-01,5.3125,5.3487,4.8048,5.2037,5.2037,10348650
1990-09-01,5.0949,5.2218,4.9499,5.1493,5.1493,6623100
1990-10-01,5.1993,5.419,5.0162,5.1627,5.1627,5052375
1990-11-01,5.1444,5.5471,5.1078,5.4373,5.4373,3940425
1990-12-01,5.4556,5.7302,5.3091,5.5654,5.5654,3582900
1991-01-01,5.618,5.6919,5.156,5.5626,5.5626,3899925
1991-02-01,5.5441,6.117,5.4886,6.0615,6.0615,6395175
1991-03-01,6.08,6.2463,5.7289,5.7658,5.7658,5617575
1991-04-01,5.779,5.9841,5.5926,5.7604,5.7604,7615800
1991-05-01,5.779,6.2637,5.779,6.2637,6.2637,7841250
1991-06-01,6.1891,6.6925,6.1332,6.3942,6.3942,6274350
1991-07-01,6.4651,6.8034,6.3148,6.4275,6.4275,5031900
1991-08-01,6.4651,6.4839,5.8825,6.2208,6.2208,6274125
1991-09-01,6.202,6.7282,6.0892,6.6531,6.6531,5463450
1991-10-01,6.7118,6.9393,6.5222,6.7118,6.7118,5656275
1991-11-01,6.7118,6.9772,6.4463,6.5222,6.5222,3502125
1991-12-01,6.4653,7.4891,6.2757,7.3943,7.3943,5020425
1992-01-01,7.4176,7.475,6.9397,7.0353,7.0353,5239125
1992-02-01,7.0162,7.2838,6.7676,7.2073,7.2073,4118850
1992-03-01,7.2264,7.7235,7.0735,7.3029,7.3029,6888150
1992-04-01,7.3413,7.6592,7.0137,7.6303,7.6303,5312700
1992-05-01,7.6014,7.7459,7.2257,7.5147,7.5147,4267350
1992-06-01,7.5725,7.6592,7.2257,7.3991,7.3991,3668850
1992-07-01,7.486,7.5734,6.9326,7.1656,7.1656,4001250
1992-08-01,7.1656,7.253,6.8743,7.0491,7.0491,4665000
1992-09-01,6.9909,7.3113,6.9035,6.9909,6.9909,4881900
1992-10-01,7.1079,7.4897,6.8141,7.2547,7.2547,4100250
1992-11-01,7.2253,7.8715,7.196,7.7834,7.7834,2706600
1992-12-01,7.8128,8.1652,7.7834,7.989,7.989,4584150
1993-01-01,8.0793,8.4641,7.9314,8.4049,8.4049,4095600
1993-02-01,8.3753,8.8192,8.0201,8.3457,8.3457,4104000
1993-03-01,8.3161,8.612,7.7834,8.4049,8.4049,4796250
1993-04-01,8.5005,8.5005,7.9934,8.1724,8.1724,3746550
1993-05-01,8.2022,8.7987,8.0232,8.7391,8.7391,5546550
1993-06-01,8.6496,8.918,8.1724,8.2619,8.2619,4042350
1993-07-01,8.3514,9.1625,8.2913,8.742,8.742,4461450
1993-08-01,8.802,9.0123,8.4716,8.9522,8.9522,5214450
1993-09-01,8.9854,9.2577,8.9551,9.0762,9.0762,4235400
1993-10-01,9.0459,9.1972,8.7131,9.1669,9.1669,2815050
1993-11-01,9.1367,9.4392,8.8039,9.0762,9.0762,3570600
1993-12-01,9.0762,9.1669,8.4408,9.1064,9.1064,6289200
1994-01-01,9.2025,9.5986,9.1111,9.4463,9.4463,6112050
1994-02-01,9.3853,9.4767,8.9587,9.2634,9.2634,2912400
1994-03-01,9.2634,9.3853,8.2274,8.5321,8.5321,3859800
1994-04-01,8.5056,8.8434,8.2599,8.7512,8.7512,4297350
1994-05-01,8.7512,8.7512,8.3213,8.567,8.567,3202350
1994-06-01,8.5056,8.9969,8.4442,8.8741,8.8741,4030650
1994-07-01,9.0104,9.1033,8.5769,8.7627,8.7627,3090300
1994-08-01,8.7317,9.2581,8.5769,9.1033,9.1033,5740350
1994-09-01,9.0414,9.0414,8.4531,8.7008,8.7008,7410300
1994-10-01,8.8017,9.1762,8.5832,9.0202,9.0202,4437900
1994-11-01,8.9889,9.1138,8.5832,8.7392,8.7392,4586700
1994-12-01,8.7393,9.2386,8.4583,8.9889,8.9889,3410400
1995-01-01,9.0011,9.4732,8.9382,9.2214,9.2214,3181200
1995-02-01,9.2844,9.9453,9.0955,9.7879,9.7879,4297350
1995-03-01,9.6935,10.0712,9.4417,10.0397,10.0397,4378650
1995-04-01,10.1228,10.1863,9.7737,9.8372,9.8372,3630900
1995-05-01,9.8055,10.2497,9.6468,9.9641,9.9641,4495050
1995-06-01,9.9007,10.0911,9.5199,9.6151,9.6151,5503500
1995-07-01,9.6924,9.7883,9.1486,9.6604,9.6604,10483650
1995-08-01,9.6604,10.1402,9.6284,10.0762,10.0762,9721200
1995-09-01,10.0762,10.4601,9.9483,10.2682,10.2682,4504050
1995-10-01,10.3819,10.4464,10.0595,10.2207,10.2207,5823600
1995-11-01,10.2207,10.5109,10.0272,10.4464,10.4464,5766600
1995-12-01,10.4786,10.8333,10.2529,10.5754,10.5754,4594950
1996-01-01,10.6565,11.5662,10.3966,11.5662,11.5662,6038700
1996-02-01,11.5337,11.9561,11.0139,11.1113,11.1113,5548350
1996-03-01,11.2088,12.086,10.7864,11.6961,11.6961,7278900
1996-04-01,11.8194,11.9504,11.2955,11.5902,11.5902,5155800
1996-05-01,11.5575,12.0486,11.1646,11.9176,11.9176,6270900
1996-06-01,11.8849,12.2778,11.7866,11.9831,11.9831,4058550
1996-07-01,12.1379,12.2369,10.9505,11.1814,11.1814,6611550
1996-08-01,11.1814,11.5442,11.1154,11.3133,11.3133,5797050
1996-09-01,11.2474,11.7421,11.1814,11.5442,11.5442,6613500
1996-10-01,11.6019,11.8014,11.5354,11.6351,11.6351,6460350
1996-11-01,11.6684,12.6324,11.6019,11.9676,11.9676,6663750
1996-12-01,12.0341,12.4662,11.6684,11.8346,11.8346,6269850
1997-01-01,11.8891,12.1571,11.5207,11.8222,11.8222,9199950
1997-02-01,11.8222,12.7934,11.7217,12.5255,12.5255,7535550
1997-03-01,12.492,12.9273,12.358,12.492,12.492,7742250
1997-04-01,12.5209,13.3646,12.0822,13.1115,13.1115,5244650
1997-05-01,13.1115,13.7696,12.9596,13.5671,13.5671,4488000
1997-06-01,13.6684,14.3518,13.3646,13.719,13.719,6121400
1997-07-01,13.9188,14.6326,13.1541,13.307,13.307,8001900
1997-08-01,13.307,13.511,12.3893,12.5932,12.5932,6684500
1997-09-01,12.5678,13.1286,12.2363,12.5678,12.5678,8245300
1997-10-01,12.7413,13.8202,12.3303,12.8697,12.8697,8182000
1997-11-01,12.9725,13.3578,12.6385,13.1523,13.1523,5967500
1997-12-01,13.178,13.9486,12.9468,13.9486,13.9486,6275600
1998-01-01,13.9754,14.2342,13.4319,13.7425,13.7425,5869900
1998-02-01,13.7942,15.4247,13.7424,15.3211,15.3211,5668600
1998-03-01,15.2435,15.8388,14.9071,15.787,15.787,6648700
1998-04-01,15.8414,15.8414,14.5386,15.0076,15.0076,5416900
1998-05-01,15.0076,15.0597,14.1478,14.1478,14.1478,4380300
1998-06-01,14.0436,14.4865,13.6528,14.4084,14.4084,6616400
1998-07-01,14.4884,14.9084,14.3047,14.5672,14.5672,7028100
1998-08-01,14.5147,14.5934,13.1236,13.1498,13.1498,6007800
1998-09-01,13.0711,13.701,12.5462,12.6249,12.6249,5762100
1998-10-01,12.6963,13.4105,11.9557,13.3311,13.3311,5789600
1998-11-01,13.5956,14.3627,13.3311,13.9395,13.9395,4018100
1998-12-01,13.9395,14.2834,13.0402,14.1511,14.1511,6121600
1999-01-01,14.3899,14.4166,13.2174,13.5905,13.5905,6697300
1999-02-01,13.6172,13.6172,12.5246,12.7644,12.7644,6053300
1999-03-01,12.7378,13.5106,11.8584,12.2847,12.2847,9229800
1999-04-01,12.312,14.1937,12.07,12.9034,12.9034,7809600
1999-05-01,12.9034,14.5432,12.9034,14.4894,14.4894,9349300
1999-06-01,14.4356,15.1614,14.355,15.0539,15.0539,5041800
1999-07-01,15.1147,15.4939,13.4353,13.4624,13.4624,4857300
1999-08-01,13.5707,13.7603,12.2164,12.5143,12.5143,5389200
1999-09-01,12.5143,12.731,10.9433,11.5121,11.5121,5819300
1999-10-01,11.5073,12.0267,10.66,11.398,11.398,4920800
1999-11-01,11.4254,11.8627,11.0427,11.2614,11.2614,6669800
1999-12-01,11.152,11.48,9.7307,10.8513,10.8513,10318600
2000-01-01,10.9896,11.2934,10.0232,10.6583,10.6583,10211100
2000-02-01,10.6031,10.6307,9.4434,9.968,9.968,8728400
2000-03-01,9.8299,10.7135,8.8083,10.5478,10.5478,11396500
2000-04-01,10.678,11.852,10.4264,11.7402,11.7402,8043200
2000-05-01,11.6563,11.9359,10.678,10.678,10.678,7236900
2000-06-01,10.678,11.0134,8.9379,8.9449,8.9449,10963700
2000-07-01,9.1625,10.0392,9.0494,9.0777,9.0777,10281500
2000-08-01,9.1625,9.9261,9.0777,9.3039,9.3039,9809000
2000-09-01,9.3039,9.615,8.2576,8.6252,8.6252,10122200
2000-10-01,8.8264,9.8007,8.5398,9.772,9.772,8546300
2000-11-01,9.8293,9.8293,8.6258,8.7977,8.7977,8403500
