Date,Open,High,Low,Close,Adj Close,Volume
,GRMN,GRMN,GRMN,GRMN,,GRMN
2000-12-01,4.1869,6.057,4.0049,5.2295,5.2295,28784400
2001-01-01,5.3412,5.4281,4.3028,5.1468,5.1468,12293200
2001-02-01,5.1302,6.8017,4.8655,5.7922,5.7922,9116200
2001-03-01,5.7591,5.7922,4.7662,5.2626,5.2626,4113800
2001-04-01,5.1302,6.1033,4.7132,5.5605,5.5605,7290600
2001-05-01,5.5605,6.5641,5.0733,5.2984,5.2984,8201600
2001-06-01,5.2798,6.1695,5.0971,6.0504,6.0504,8567200
2001-07-01,6.1192,6.2092,5.3487,5.7723,5.7723,3866200
2001-08-01,5.8677,5.9577,4.9647,5.256,5.256,10717400
2001-09-01,5.2798,5.5076,3.3628,4.2657,4.2657,8275800
2001-10-01,4.2631,4.7106,4.0142,4.4511,4.4511,6176200
2001-11-01,4.4219,4.6338,4.3028,4.6205,4.6205,3444600
2001-12-01,4.6338,5.6929,4.6073,5.6452,5.6452,6970800
2002-01-01,5.5632,5.6611,5.0177,5.0654,5.0654,6037200
2002-02-01,5.113,5.4837,4.925,5.3354,5.3354,6501000
2002-03-01,5.3699,6.0769,5.2454,6.0689,6.0689,10342800
2002-04-01,5.9842,6.1695,5.7723,5.9603,5.9603,4849400
2002-05-01,6.0345,6.4211,5.9789,6.3469,6.3469,6199200
2002-06-01,6.3469,6.3814,5.6532,5.8385,5.8385,3860200
2002-07-01,5.8253,5.8597,4.7794,5.3858,5.3858,5356200
2002-08-01,5.4255,5.6664,5.023,5.3434,5.3434,4398600
2002-09-01,5.2957,5.5579,4.8191,4.9118,4.9118,4840000
2002-10-01,4.9038,5.5738,4.6867,5.5393,5.5393,6999600
2002-11-01,5.5526,6.3814,5.444,6.3019,6.3019,9912800
2002-12-01,6.3416,8.031,6.3019,7.7582,7.7582,26121000
2003-01-01,7.7582,8.4917,7.2446,7.7768,7.7768,19637400
2003-02-01,7.7529,9.0345,7.5358,8.8306,8.8306,17702800
2003-03-01,9.0425,9.8501,8.2613,9.4794,9.4794,26880400
2003-04-01,9.5244,11.5023,9.241,11.2217,11.2217,27510600
2003-05-01,11.166,13.009,10.8801,12.7759,12.7759,28974000
2003-06-01,12.8607,13.6895,9.956,10.565,10.565,48851600
2003-07-01,10.4855,12.5774,9.9692,10.1387,10.1387,38436200
2003-08-01,10.136,10.7265,9.4529,10.5809,10.5809,15041600
2003-09-01,10.5544,12.3788,10.5253,11.0893,11.0893,17113200
2003-10-01,11.1343,14.3197,10.8483,13.2393,13.2393,27096800
2003-11-01,13.3903,15.1537,12.7389,14.8254,14.8254,23323800
2003-12-01,15.1094,15.4541,13.3834,14.5563,14.5563,27190800
2004-01-01,14.7327,15.8896,13.9498,14.1983,14.1983,21059000
2004-02-01,14.1609,14.4281,11.9165,12.2478,12.2478,29509200
2004-03-01,12.3868,12.7448,10.61,11.4115,11.4115,33015200
