Date,Open,High,Low,Close,Adj Close,Volume
,HAL,HAL,HAL,HAL,,HAL
1985-01-01,2.9912,3.2655,2.743,3.2394,3.2394,40165790
1985-02-01,3.2133,3.6312,3.0696,3.3177,3.3177,30439973
1985-03-01,3.355,3.5539,3.1428,3.2489,3.2489,24243607
1985-04-01,3.2622,3.5937,3.1561,3.3417,3.3417,20078278
1985-05-01,3.3285,3.3815,3.1561,3.355,3.355,28506314
1985-06-01,3.4046,3.4046,3.0413,3.1489,3.1489,30603666
1985-07-01,3.1355,3.2701,2.974,3.2162,3.2162,31307541
1985-08-01,3.2028,3.2835,2.9471,3.0951,3.0951,24089986
1985-09-01,3.1302,3.1576,2.6792,2.7885,2.7885,25099001
1985-10-01,2.8158,2.9935,2.6928,2.7202,2.7202,24733844
1985-11-01,2.7338,3.0892,2.7202,2.9115,2.9115,29537570
1985-12-01,2.9873,3.0985,2.765,3.0568,3.0568,29671041
1986-01-01,3.0429,3.1124,2.6122,2.7094,2.7094,35896789
1986-02-01,2.7511,2.7511,2.3482,2.5288,2.5288,41657065
1986-03-01,2.6065,2.7765,2.4932,2.564,2.564,32243944
1986-04-01,2.564,2.7057,2.4648,2.4932,2.4932,29856979
1986-05-01,2.4932,2.5357,2.2099,2.4082,2.4082,49706929
1986-06-01,2.4505,2.5938,2.4362,2.5508,2.5508,24112234
1986-07-01,2.5508,2.5651,1.9919,2.0636,2.0636,27937167
1986-08-01,2.0636,2.5652,1.9919,2.4935,2.4935,32356012
1986-09-01,2.5082,2.7401,2.3487,2.5227,2.5227,30565890
1986-10-01,2.5662,2.6531,2.3922,2.5517,2.5517,26793001
1986-11-01,2.5517,3.0011,2.4792,2.8851,2.8851,35061543
1986-12-01,2.8996,3.0314,2.7678,2.8557,2.8557,26806855
1987-01-01,2.8703,3.6318,2.8703,3.6172,3.6172,56550087
1987-02-01,3.6025,4.0712,3.4707,3.5586,3.5586,39590769
1987-03-01,3.4854,4.2762,3.4707,4.1005,4.1005,42411726
1987-04-01,4.0754,4.3707,3.662,4.0311,4.0311,35984931
1987-05-01,4.0164,4.6661,3.9721,4.2231,4.2231,34317371
1987-06-01,4.2525,4.5796,4.1633,4.5202,4.5202,25191762
1987-07-01,4.4904,5.3231,4.4309,4.8473,4.8473,38004636
1987-08-01,4.9662,5.2636,4.5499,4.8175,4.8175,35026287
1987-09-01,4.8773,4.9671,4.3537,4.6828,4.6828,21029373
1987-10-01,4.6678,4.9072,2.4087,3.2316,3.2316,49539461
1987-11-01,3.2465,3.456,2.7379,2.8127,2.8127,40782362
1987-12-01,2.9297,3.4431,2.7787,2.9901,2.9901,37852278
