Date,Open,High,Low,Close,Adj Close,Volume
,HAS,HAS,HAS,HAS,,HAS
1985-01-01,1.4933,1.7001,1.4933,1.6317,1.6317,8405104
1985-02-01,1.6317,2.1187,1.6232,2.1187,2.1187,14739300
1985-03-01,2.1016,2.1187,1.8624,1.9307,1.9307,6153300
1985-04-01,1.9307,2.1699,1.9051,2.1016,2.1016,15868575
1985-05-01,2.1016,2.6312,2.0247,2.5373,2.5373,11270475
1985-06-01,2.5458,2.6569,2.281,2.6483,2.6483,10651500
1985-07-01,2.6569,2.6996,2.1956,2.3408,2.3408,22156875
1985-08-01,2.3579,2.4177,2.093,2.2554,2.2554,16479450
1985-09-01,2.2554,2.2724,1.8965,2.1016,2.1016,11674125
1985-10-01,2.1358,2.375,2.0161,2.3408,2.3408,12439575
1985-11-01,2.3237,2.486,2.187,2.4348,2.4348,12231675
1985-12-01,2.4177,2.5287,2.2981,2.375,2.375,11140875
1986-01-01,2.3835,2.5885,2.2639,2.5287,2.5287,17354925
1986-02-01,2.4946,2.9559,2.486,2.8875,2.8875,17743725
1986-03-01,2.9046,3.2805,2.8704,3.272,3.272,14323500
1986-04-01,3.2805,3.4685,3.0498,3.3489,3.3489,13221900
1986-05-01,3.3489,3.4343,3.2293,3.383,3.383,12550950
1986-06-01,3.3659,4.2202,3.3659,3.964,3.964,19580400
1986-07-01,3.9469,3.981,3.3489,3.7589,3.7589,22098825
1986-08-01,3.7589,4.0665,3.6393,3.7418,3.7418,7727064
1986-09-01,3.7589,3.8273,3.3147,3.6735,3.6735,9691319
1986-10-01,3.6564,3.7931,2.6996,3.0584,3.0584,24655730
1986-11-01,3.0755,3.3318,3.0584,3.2293,3.2293,11001491
1986-12-01,3.2463,3.3147,2.58,2.6654,2.6654,14254316
1987-01-01,2.6654,3.178,2.58,3.0413,3.0413,13657283
1987-02-01,3.0413,3.5197,2.9046,3.5197,3.5197,13531729
1987-03-01,3.5197,3.6222,3.178,3.2293,3.2293,11662655
1987-04-01,3.178,3.4855,2.973,3.1609,3.1609,7918093
1987-05-01,3.1097,3.2976,2.8705,3.1097,3.1097,9493879
1987-06-01,3.1267,3.571,3.0413,3.4001,3.4001,14497656
1987-07-01,3.383,3.4514,2.8875,3.0926,3.0926,14609366
1987-08-01,3.0596,3.4527,3.0083,3.2476,3.2476,10204317
1987-09-01,3.2818,3.3844,2.8203,2.8545,2.8545,10678843
1987-10-01,2.7861,2.8887,1.3674,1.6238,1.6238,21999269
1987-11-01,1.6083,1.8991,1.5056,1.6254,1.6254,9009907
1987-12-01,1.6425,1.8307,1.4714,1.8136,1.8136,12087905
1988-01-01,1.7794,1.8307,1.6425,1.7794,1.7794,7155681
1988-02-01,1.7794,1.9676,1.728,1.7794,1.7794,6652132
1988-03-01,1.7992,2.0905,1.7992,1.9706,1.9706,9787844
1988-04-01,1.9706,2.0391,1.8163,1.9534,1.9534,6455705
1988-05-01,1.9363,2.0734,1.9191,2.0562,2.0562,4958556
1988-06-01,2.0606,2.2495,2.0262,2.1293,2.1293,8282592
1988-07-01,2.1293,2.3353,2.1121,2.2495,2.2495,5090856
1988-08-01,2.2194,2.2366,1.8925,2.0301,2.0301,8225893
1988-09-01,2.0129,2.2022,1.9957,2.0473,2.0473,3848856
1988-10-01,2.0301,2.2366,2.0129,2.1506,2.1506,4825244
1988-11-01,2.1374,2.2408,2.0684,2.1374,2.1374,5429032
1988-12-01,2.1718,2.2235,2.0856,2.1546,2.1546,5463118
1989-01-01,2.1374,2.4476,2.1029,2.327,2.327,5931906
1989-02-01,2.327,2.3959,2.2063,2.3614,2.3614,6214729
1989-03-01,2.3656,2.9355,2.3656,2.4692,2.4692,13520931
1989-04-01,2.4692,2.6074,2.3829,2.521,2.521,4960581
1989-05-01,2.521,3.0045,2.3656,2.97,2.97,10798318
1989-06-01,3.0111,3.3053,2.6996,2.8727,2.8727,28899794
1989-07-01,2.89,3.0284,2.7169,2.9938,2.9938,12011292
1989-08-01,2.9994,3.1555,2.8087,3.1208,3.1208,10858056
1989-09-01,3.1208,3.1555,2.8434,3.0688,3.0688,8145905
1989-10-01,3.0688,3.2248,2.7047,3.2248,3.2248,15230029
1989-11-01,3.2653,3.3869,2.779,2.918,2.918,9513792
1989-12-01,2.9006,2.9527,2.4664,2.6053,2.6053,8865794
1990-01-01,2.6053,2.918,2.5011,2.6227,2.6227,10634294
1990-02-01,2.6282,2.7501,2.4542,2.6282,2.6282,6341966
1990-03-01,2.5934,2.8197,2.5412,2.6804,2.6804,7574181
1990-04-01,2.6456,2.7501,2.3672,2.4194,2.4194,8097306
1990-05-01,2.4613,3.0025,2.4439,2.9675,2.9675,9103730
1990-06-01,2.9675,2.985,2.374,2.566,2.566,12357569
1990-07-01,2.5311,2.5486,2.2518,2.4089,2.4089,10888092
1990-08-01,2.3809,2.4509,1.7682,2.0308,2.0308,7367295
1990-09-01,2.0308,2.0658,1.6806,1.6981,1.6981,4698004
1990-10-01,1.7156,1.9432,1.5756,1.8207,1.8207,11117256
1990-11-01,1.8627,2.2317,1.8276,2.1615,2.1615,6933268
1990-12-01,2.179,2.302,2.0384,2.1966,2.1966,6152293
1991-01-01,2.1615,2.7589,2.1263,2.6359,2.6359,8794919
1991-02-01,2.7138,3.5244,2.7138,3.4362,3.4362,13297165
1991-03-01,3.4186,3.4539,3.2953,3.4362,3.4362,8254579
1991-04-01,3.4186,4.3702,3.3305,3.9649,3.9649,15068365
1991-05-01,4.0087,4.3266,3.6379,4.3266,4.3266,11704843
1991-06-01,4.2913,4.2913,3.8498,3.9204,3.9204,16778143
1991-07-01,3.9558,4.2383,3.7968,4.0264,4.0264,10276206
1991-08-01,4.0172,4.0703,3.4686,3.8226,3.8226,8571156
1991-09-01,3.858,4.2827,3.504,4.1411,4.1411,13891504
1991-10-01,4.1765,5.1675,4.0349,5.079,5.079,14654256
1991-11-01,5.0703,5.1767,4.7335,5.0348,5.0348,12429790
1991-12-01,4.9639,5.7972,4.8576,5.744,5.744,14960366
1992-01-01,5.6908,6.0099,5.283,5.6199,5.6199,9267080
1992-02-01,5.6461,6.019,5.0602,5.5218,5.5218,13996468
1992-03-01,5.5041,5.6728,4.9803,5.0602,5.0602,6246565
1992-04-01,5.0069,5.8059,4.927,5.4863,5.4863,9994050
1992-05-01,5.5237,6.2975,5.3369,6.2975,6.2975,9188550
1992-06-01,6.2442,6.3509,5.6304,6.0307,6.0307,9412425
1992-07-01,6.0307,6.6711,5.6571,6.5911,6.5911,11240325
1992-08-01,6.5911,6.7779,6.3242,6.3776,6.3776,6703425
1992-09-01,6.3879,7.3501,6.3879,7.27,7.27,7165350
1992-10-01,7.27,7.5372,6.7354,7.2165,7.2165,11775150
1992-11-01,7.2432,7.6174,6.8958,7.5907,7.5907,8662275
1992-12-01,7.6019,7.6822,6.8792,6.9863,6.9863,12635775
1993-01-01,6.9863,7.4681,6.6651,7.2807,7.2807,8522550
1993-02-01,7.2807,7.3343,6.0227,6.5312,6.5312,17544600
1993-03-01,6.5409,6.9966,6.4068,6.6481,6.6481,16022475
1993-04-01,6.6481,7.1306,6.5141,7.0502,7.0502,13387500
1993-05-01,7.0234,7.908,6.943,7.6936,7.6936,8763750
1993-06-01,7.7345,8.2447,7.5465,8.1105,8.1105,10740825
1993-07-01,8.1105,8.1373,7.3048,8.003,8.003,14205150
1993-08-01,7.9762,8.1642,7.7076,8.1373,8.1373,9362925
1993-09-01,8.1504,8.6077,8.1504,8.4732,8.4732,7413525
1993-10-01,8.5539,8.6346,7.8008,7.8277,7.8277,8919225
1993-11-01,7.8008,8.3656,7.5587,8.2849,8.2849,10873125
1993-12-01,8.3525,8.4064,7.6789,7.8136,7.8136,9355725
1994-01-01,7.7598,7.7867,7.2209,7.2478,7.2478,17599050
1994-02-01,7.2874,7.6922,7.2064,7.6112,7.6112,17905275
1994-03-01,7.5843,7.9081,7.2604,7.5033,7.5033,10760850
1994-04-01,7.3683,7.8002,7.2604,7.3413,7.3413,9249975
1994-05-01,7.3413,7.4493,6.9905,7.1254,7.1254,10872675
1994-06-01,7.1401,7.2213,6.0853,6.4099,6.4099,36104400
1994-07-01,6.3558,6.5451,6.1394,6.5451,6.5451,10712025
1994-08-01,6.491,6.9508,6.4369,6.7885,6.7885,9007650
1994-09-01,6.7501,6.9127,6.3434,6.4247,6.4247,7093575
1994-10-01,6.4247,7.2109,6.1266,7.1567,7.1567,9706950
1994-11-01,7.1176,7.2806,6.4112,6.4112,6.4112,6630300
1994-12-01,6.4112,6.4656,6.0581,6.3297,6.3297,9009225
1995-01-01,6.3297,6.6286,6.1667,6.5471,6.5471,6889725
1995-02-01,6.5897,7.1071,6.3447,6.862,6.862,5672925
1995-03-01,6.862,7.3794,6.5353,7.3522,7.3522,13234950
1995-04-01,7.3522,7.4611,6.8893,6.9165,6.9165,8206200
1995-05-01,6.862,7.679,6.8348,7.679,7.679,8249175
1995-06-01,7.6438,7.6438,6.8521,6.934,6.934,10607850
1995-07-01,6.9067,6.934,6.4972,6.8248,6.8248,11850975
1995-08-01,6.7702,7.3162,6.5245,7.0978,7.0978,19263375
1995-09-01,7.1161,7.1709,6.6508,6.8151,6.8151,10931850
1995-10-01,6.8151,6.8151,6.2403,6.6782,6.6782,12995100
1995-11-01,6.6509,6.8972,6.5414,6.6782,6.6782,7899975
1995-12-01,6.7232,7.1623,6.586,6.8055,6.8055,12045600
1996-01-01,6.8056,9.879,6.339,9.1107,9.1107,76349475
1996-02-01,9.1273,9.1273,6.9555,7.5878,7.5878,70413525
1996-03-01,7.6153,8.4126,7.5603,8.1376,8.1376,25117650
1996-04-01,8.1651,8.4126,7.8352,8.0826,8.0826,15546600
1996-05-01,8.1101,8.5225,8.0552,8.3026,8.3026,16614450
1996-06-01,8.3252,8.4631,7.8015,7.8842,7.8842,9164925
1996-07-01,7.9117,7.9117,7.0296,7.9117,7.9117,12736800
1996-08-01,7.9339,8.2657,7.9063,8.1274,8.1274,5950350
