Date,Open,High,Low,Close,Adj Close,Volume
,HCA,HCA,HCA,HCA,,HCA
2011-03-01,23.3647,25.8883,22.7356,25.3641,25.3641,134251600
2011-04-01,25.3791,25.6113,23.0277,24.5628,24.5628,63366100
2011-05-01,24.5629,26.4425,23.9188,26.128,26.128,51600300
2011-06-01,26.2104,26.4874,23.5818,24.7126,24.7126,62948800
2011-07-01,24.8175,26.1504,19.845,19.9798,19.9798,70059200
2011-08-01,20.1895,20.3617,12.7532,14.9998,14.9998,116764500
2011-09-01,15.0972,16.1306,12.8805,15.0972,15.0972,66950100
2011-10-01,15.0447,17.7706,13.0528,17.5609,17.5609,60919300
2011-11-01,17.179,20.1146,16.8495,18.2574,18.2574,65577300
2011-12-01,18.19,18.4072,14.8725,16.4976,16.4976,56559900
2012-01-01,16.4751,20.2419,15.2245,18.3023,18.3023,62039700
2012-02-01,18.5944,21.9418,18.2724,19.9723,19.9723,73814700
2012-03-01,21.6152,21.696,18.5446,19.991,19.991,58790300
2012-04-01,19.9587,22.7626,19.8859,21.7525,21.7525,70683100
2012-05-01,21.8333,22.5444,19.6597,21.001,21.001,45735800
2012-06-01,20.597,25.3645,19.4658,24.5888,24.5888,85833200
2012-07-01,24.5968,24.6453,21.001,21.397,21.397,57160800
2012-08-01,21.5263,23.7646,19.3203,23.0696,23.0696,49191200
2012-09-01,23.2151,27.1098,22.8838,26.8674,26.8674,40866500
2012-10-01,26.8594,27.732,22.9484,22.9565,22.9565,69489300
2012-11-01,24.5736,29.9798,24.5034,27.8647,27.8647,95201500
2012-12-01,28.6985,29.8657,26.206,26.4781,26.4781,98075500
2013-01-01,28.6399,35.6386,28.6399,35.1808,35.1808,83215300
2013-02-01,35.6199,37.0029,32.6111,34.6575,34.6575,106565600
2013-03-01,34.5734,38.2363,33.9006,37.9653,37.9653,76541500
2013-04-01,37.8438,39.0866,33.2185,37.2739,37.2739,104803400
2013-05-01,37.1431,39.0586,34.265,36.4983,36.4983,69725000
2013-06-01,36.5637,37.8252,33.0783,33.695,33.695,88822100
2013-07-01,34.0221,37.4981,32.8914,36.4422,36.4422,77177600
2013-08-01,36.4422,37.3393,35.2742,35.6853,35.6853,50654400
2013-09-01,35.7975,40.2827,35.7881,39.9463,39.9463,61075300
2013-10-01,40.0024,46.2723,39.8061,44.0484,44.0484,96708800
2013-11-01,44.2539,44.609,40.3668,43.3756,43.3756,70247500
2013-12-01,43.2448,44.8333,42.1141,44.581,44.581,46771900
2014-01-01,44.282,48.3654,44.1605,46.9731,46.9731,62704400
2014-02-01,47.1413,48.8046,43.0018,47.8421,47.8421,47773400
2014-03-01,47.3842,49.225,44.0764,49.0568,49.0568,55587500
2014-04-01,49.0942,50.2809,44.6557,48.5896,48.5896,67589900
2014-05-01,48.5896,50.4585,47.3656,49.5147,49.5147,55112700
2014-06-01,49.6175,54.7101,48.9354,52.6824,52.6824,60892800
2014-07-01,53.0094,62.3349,50.094,61.0267,61.0267,87656900
2014-08-01,60.8211,65.4745,60.5221,65.2409,65.2409,58267200
