Date,Open,High,Low,Close,Adj Close,Volume
,HD,HD,HD,HD,,HD
1985-01-01,0.223,0.2277,0.1981,0.2074,0.2074,84864716
1985-02-01,0.2074,0.2433,0.1872,0.2371,0.2371,108461533
1985-03-01,0.2371,0.2496,0.2121,0.2137,0.2137,90113515
1985-04-01,0.2121,0.2308,0.1965,0.223,0.223,59249477
1985-05-01,0.223,0.2542,0.2028,0.2059,0.2059,127784591
1985-06-01,0.2043,0.2074,0.1575,0.1653,0.1653,87288642
1985-07-01,0.1622,0.1762,0.1575,0.1638,0.1638,130864615
1985-08-01,0.1622,0.1653,0.131,0.1482,0.1482,171788853
1985-09-01,0.1466,0.1591,0.1357,0.1388,0.1388,57508990
1985-10-01,0.1388,0.1482,0.1357,0.1373,0.1373,52415102
1985-11-01,0.1373,0.1591,0.131,0.1373,0.1373,89662448
1985-12-01,0.1373,0.1716,0.1341,0.156,0.156,87142838
1986-01-01,0.156,0.1606,0.1341,0.156,0.156,84860160
1986-02-01,0.156,0.1856,0.1482,0.1809,0.1809,141949973
1986-03-01,0.1825,0.2137,0.1762,0.2012,0.2012,151827922
1986-04-01,0.2012,0.2277,0.1778,0.2121,0.2121,121834127
1986-05-01,0.2012,0.2651,0.1965,0.2574,0.2574,192373990
1986-06-01,0.2558,0.2714,0.2433,0.2714,0.2714,86773786
1986-07-01,0.2714,0.2714,0.1981,0.209,0.209,76203284
1986-08-01,0.209,0.2558,0.2074,0.248,0.248,99221458
1986-09-01,0.2496,0.2527,0.2059,0.2121,0.2121,85798748
1986-10-01,0.2121,0.2355,0.2074,0.2293,0.2293,81315397
1986-11-01,0.2293,0.2464,0.2168,0.2355,0.2355,83680090
1986-12-01,0.234,0.2418,0.223,0.223,0.223,83361151
1987-01-01,0.2246,0.2839,0.223,0.2729,0.2729,131944446
1987-02-01,0.2761,0.3119,0.2729,0.2979,0.2979,156051566
1987-03-01,0.3119,0.3837,0.3041,0.3618,0.3618,183694333
1987-04-01,0.3587,0.379,0.3244,0.3603,0.3603,183361727
1987-05-01,0.3572,0.4227,0.3494,0.418,0.418,188095671
1987-06-01,0.4164,0.4617,0.4164,0.4211,0.4211,157837617
1987-07-01,0.418,0.4741,0.4055,0.4679,0.4679,107737087
1987-08-01,0.4648,0.5256,0.4648,0.4851,0.4851,124576992
1987-09-01,0.4882,0.5022,0.4118,0.4258,0.4258,147985484
1987-10-01,0.4258,0.4913,0.2269,0.3041,0.3041,178851042
1987-11-01,0.3088,0.3439,0.2948,0.3065,0.3065,91720356
1987-12-01,0.3115,0.3701,0.2904,0.3513,0.3513,120771002
1988-01-01,0.3513,0.3771,0.3256,0.356,0.356,94028854
1988-02-01,0.3607,0.4357,0.3584,0.4333,0.4333,104140694
1988-03-01,0.431,0.4731,0.4239,0.4497,0.4497,162609531
1988-04-01,0.4477,0.5087,0.436,0.4876,0.4876,112053380
1988-05-01,0.4899,0.5016,0.4337,0.4688,0.4688,72280357
1988-06-01,0.4665,0.5579,0.4618,0.5438,0.5438,127237842
1988-07-01,0.5468,0.5468,0.4788,0.5187,0.5187,121654916
1988-08-01,0.521,0.5281,0.4295,0.4412,0.4412,100362044
1988-09-01,0.4418,0.5076,0.4394,0.4888,0.4888,116430419
1988-10-01,0.4888,0.564,0.4888,0.5334,0.5334,76781931
1988-11-01,0.5334,0.5804,0.4982,0.5663,0.5663,110959881
1988-12-01,0.564,0.6016,0.5381,0.5945,0.5945,90101368
1989-01-01,0.5927,0.5951,0.541,0.5857,0.5857,87042607
1989-02-01,0.5833,0.6586,0.5833,0.6539,0.6539,110741179
1989-03-01,0.661,0.6892,0.6257,0.6821,0.6821,123061281
1989-04-01,0.6827,0.7557,0.6733,0.7557,0.7557,71399481
1989-05-01,0.751,0.7934,0.7157,0.7722,0.7722,106339842
1989-06-01,0.7722,0.8287,0.7298,0.7345,0.7345,95963744
1989-07-01,0.7416,0.8828,0.731,0.8828,0.8828,57337875
1989-08-01,0.8979,1.0181,0.8767,1.0075,1.0075,101454525
1989-09-01,1.0084,1.0154,0.9128,0.9871,0.9871,65488500
1989-10-01,1.0119,1.0791,0.8562,0.9553,0.9553,89369325
1989-11-01,0.9624,1.0862,0.9553,1.0402,1.0402,67369725
1989-12-01,1.0411,1.0659,0.9455,1.0375,1.0375,66513150
1990-01-01,1.0411,1.0977,0.9773,0.995,0.995,106764075
1990-02-01,1.0021,1.1438,0.988,1.1261,1.1261,88269750
1990-03-01,1.1305,1.3396,1.1234,1.2971,1.2971,149977575
1990-04-01,1.2829,1.3715,1.2616,1.3254,1.3254,93168225
1990-05-01,1.3538,1.7472,1.3325,1.7188,1.7188,184159575
1990-06-01,1.7365,1.7861,1.5522,1.6373,1.6373,161179875
1990-07-01,1.6373,1.8553,1.4459,1.4566,1.4566,162596700
1990-08-01,1.4523,1.5959,1.2182,1.4416,1.4416,265967550
1990-09-01,1.4271,1.5016,1.2354,1.2939,1.2939,136344600
1990-10-01,1.3099,1.4537,1.1395,1.2514,1.2514,215924400
1990-11-01,1.2567,1.5495,1.2194,1.5229,1.5229,179213850
1990-12-01,1.5563,1.7481,1.5509,1.6469,1.6469,127218600
1991-01-01,1.6415,1.892,1.4763,1.8441,1.8441,182416050
1991-02-01,1.8387,2.1638,1.7961,2.0786,2.0786,198254250
1991-03-01,2.0626,2.329,2.0572,2.3024,2.3024,122184450
1991-04-01,2.3037,2.5704,2.2611,2.453,2.453,159869700
1991-05-01,2.453,2.8477,2.3571,2.8103,2.8103,150842250
1991-06-01,2.7997,2.9756,2.7357,2.8877,2.8877,132269400
1991-07-01,2.9117,3.1756,2.8317,3.1036,3.1036,145105200
1991-08-01,3.0976,3.4658,2.8895,3.4498,3.4498,137563200
1991-09-01,3.4437,3.5479,3.2115,3.4918,3.4918,102533400
1991-10-01,3.5238,3.668,3.2996,3.652,3.652,123549300
1991-11-01,3.668,3.9403,3.5559,3.8602,3.8602,140226300
1991-12-01,3.8301,4.4952,3.8141,4.3189,4.3189,141096600
1992-01-01,4.2788,4.6074,3.8942,3.9503,3.9503,227046600
1992-02-01,3.9583,4.3509,3.8141,4.1026,4.1026,140575500
1992-03-01,4.1106,4.2868,3.8782,4.1506,4.1506,124147800
1992-04-01,4.1365,4.4011,3.872,4.0003,4.0003,172453500
1992-05-01,4.0003,4.5534,3.888,4.5294,4.5294,144568800
1992-06-01,4.5324,4.5806,4.0591,4.3158,4.3158,157698000
1992-07-01,4.3078,4.8734,4.2998,4.8373,4.8373,105945300
1992-08-01,4.8373,5.1501,4.8012,5.1381,5.1381,127171200
1992-09-01,5.1411,5.4903,5.0568,5.3338,5.3338,107333400
1992-10-01,5.3338,5.6107,4.7197,5.5746,5.5746,143964000
1992-11-01,5.5746,5.8756,5.4782,5.8756,5.8756,110422800
