Date,Open,High,Low,Close,Adj Close,Volume
,HIG,HIG,HIG,HIG,,HIG
1995-12-01,12.8827,13.453,12.7149,12.9833,12.9833,20393400
1996-01-01,12.9162,13.7885,12.8156,13.453,13.453,39509200
1996-02-01,13.5872,14.2582,13.2517,13.822,13.822,21575400
1996-03-01,13.9279,14.5364,12.6771,13.2518,13.2518,23733600
1996-04-01,13.3532,13.4208,12.0348,13.0828,13.0828,21674000
1996-05-01,13.1842,14.0631,12.5081,13.9955,13.9955,16027400
1996-06-01,14.0705,14.82,14.0364,14.5133,14.5133,10982800
1996-07-01,14.6156,14.9222,13.7638,14.4111,14.4111,12644800
1996-08-01,14.4452,14.9903,14.2067,14.3771,14.3771,7616600
1996-09-01,14.0382,16.4065,14.0038,16.2005,16.2005,11192200
1996-10-01,16.1662,17.6421,16.1662,17.2989,17.2989,15141400
1996-11-01,17.3332,19.0837,17.3332,18.7747,18.7747,13318200
1996-12-01,18.8859,19.3002,17.5048,18.6442,18.6442,9929400
1997-01-01,18.437,20.4395,17.9191,20.2669,20.2669,14636400
1997-02-01,20.4395,22.373,20.1978,20.7157,20.7157,17170200
1997-03-01,20.7157,22.304,19.4728,19.9216,19.9216,15364000
1997-04-01,19.9939,20.6882,18.9179,20.6882,20.6882,12038800
1997-05-01,20.6535,22.1808,20.0981,21.6601,21.6601,13528200
1997-06-01,21.8098,24.2525,21.2863,23.1009,23.1009,14697800
1997-07-01,23.1009,24.7934,22.9264,24.3223,24.3223,12395600
1997-08-01,24.1478,24.7061,22.2634,22.2634,22.2634,12615600
1997-09-01,22.3569,24.5488,22.3569,24.1455,24.1455,16157800
1997-10-01,24.1805,25.3378,22.1289,22.7251,22.7251,19241200
1997-11-01,22.8303,24.1104,22.0412,23.4966,23.4966,11372400
1997-12-01,23.6093,26.6398,23.5389,26.3755,26.3755,10539000
1998-01-01,26.2169,26.6574,25.0012,25.3712,25.3712,13412200
1998-02-01,25.4417,27.8026,25.0893,27.6969,27.6969,13981200
1998-03-01,27.7816,31.3206,27.7462,30.719,30.719,15070200
1998-04-01,30.719,33.0902,29.7812,31.356,31.356,12177800
1998-05-01,31.4622,32.4,30.6836,31.1614,31.1614,9838600
1998-06-01,31.3175,32.5787,29.1681,32.5077,32.5077,15247600
1998-07-01,32.6498,34.1064,29.4168,29.5944,29.5944,12193500
1998-08-01,29.6299,30.1273,25.2601,25.4377,25.4377,9915300
1998-09-01,25.6942,29.8695,25.3016,27.0859,27.0859,11813600
1998-10-01,27.0146,30.5475,21.4832,30.3334,30.3334,13112400
1998-11-01,30.4761,33.5808,29.5483,31.511,31.511,12598600
1998-12-01,31.5973,32.887,29.7702,31.454,31.454,10980100
1999-01-01,31.3824,31.9555,27.5491,29.7702,29.7702,10062700
1999-02-01,29.627,32.0989,28.3373,30.9883,30.9883,14087600
1999-03-01,31.1147,33.9205,30.5392,32.6975,32.6975,15649400
1999-04-01,32.3018,35.5032,32.1939,33.9205,33.9205,10831500
1999-05-01,33.9205,38.237,33.5967,36.4025,36.4025,10482800
1999-06-01,36.6784,36.6784,32.9961,33.6821,33.6821,9529900
1999-07-01,33.7182,36.8228,31.0467,31.1911,31.1911,9849700
1999-08-01,31.1911,32.3102,25.9204,26.2453,26.2453,11263800
1999-09-01,26.4057,29.1623,23.3951,23.7216,23.7216,15173300
1999-10-01,23.0687,30.7582,21.1825,30.0691,30.0691,26428300
1999-11-01,29.924,31.3748,26.1518,27.0948,27.0948,16316100
1999-12-01,27.0913,28.0028,24.1378,27.6382,27.6382,18071700
2000-01-01,27.4923,27.4923,21.4761,22.2418,22.2418,17757800
2000-02-01,22.2418,24.466,18.0122,18.231,18.231,20777000
2000-03-01,18.3732,31.749,17.2708,31.014,31.014,26834500
2000-04-01,30.5731,31.5285,25.8695,30.6098,30.6098,20493300
2000-05-01,30.8303,37.6284,29.4339,34.7622,34.7622,16668800
2000-06-01,34.7563,36.1583,29.1849,33.0221,33.0221,26857700
2000-07-01,33.0221,39.11,32.6901,37.9293,37.9293,20014600
2000-08-01,37.8556,41.0286,36.3059,39.3406,39.3406,16700000
2000-09-01,39.6312,44.3351,38.7793,43.1869,43.1869,17646000
2000-10-01,43.0387,46.6315,38.4459,44.1128,44.1128,22037500
2000-11-01,44.1128,45.7055,40.8905,41.9276,41.9276,17158700
2000-12-01,42.5978,47.5787,38.286,42.0031,42.0031,19311600
2001-01-01,42.1146,42.1518,34.2716,36.5761,36.5761,31743200
2001-02-01,36.2788,39.5439,35.9695,37.9738,37.9738,32816700
2001-03-01,37.7954,40.2932,31.8183,35.0893,35.0893,31578900
2001-04-01,36.2721,37.6155,33.5256,37.0782,37.0782,28009700
2001-05-01,37.0185,41.4726,36.7259,40.4218,40.4218,19603700
2001-06-01,40.7184,42.6359,39.2802,40.988,40.988,16085400
2001-07-01,41.1977,41.6172,37.0929,39.6757,39.6757,19593400
2001-08-01,39.43,40.3289,38.2974,38.8308,38.8308,15399200
2001-09-01,38.6803,39.348,27.371,35.3356,35.3356,22919900
2001-10-01,35.3356,36.244,31.7925,32.4842,32.4842,30747700
2001-11-01,32.785,36.1297,32.0752,35.6124,35.6124,16325000
2001-12-01,35.679,38.5007,34.4101,37.9629,37.9629,15892200
2002-01-01,37.6608,39.9931,35.8905,39.9931,39.9931,19265900
2002-02-01,39.8783,41.4976,37.5823,40.4825,40.4825,17142900
2002-03-01,40.5781,42.1248,39.1284,41.3181,41.3181,18047300
2002-04-01,41.2756,42.6039,40.5114,42.0338,42.0338,21217800
2002-05-01,42.0338,42.0945,39.1042,40.0322,40.0322,18588600
2002-06-01,40.2831,40.2831,34.8633,36.2152,36.2152,19130100
2002-07-01,35.7463,36.1421,26.49,30.8136,30.8136,31698600
2002-08-01,30.8989,32.8842,28.4387,30.4605,30.4605,23193300
2002-09-01,30.2998,30.361,23.9338,25.0968,25.0968,45737200
2002-10-01,25.3723,30.3549,22.8014,24.1786,24.1786,47919200
2002-11-01,24.1786,30.0305,23.4441,30.0305,30.0305,28711000
2002-12-01,30.7855,31.0748,27.4298,27.9717,27.9717,24700000
2003-01-01,28.3042,30.2559,25.281,25.6628,25.6628,32446600
2003-02-01,25.6751,25.7366,21.8269,22.2456,22.2456,32314400
2003-03-01,22.766,23.9756,19.6271,21.8913,21.8913,47270100
2003-04-01,22.1147,26.4383,21.9161,25.2845,25.2845,31784600
2003-05-01,26.2026,29.6206,24.8255,28.932,28.932,102879200
2003-06-01,29.2664,32.8857,28.3554,31.4255,31.4255,55800200
2003-07-01,31.2945,33.3288,31.0823,32.5675,32.5675,36870100
2003-08-01,32.3553,34.0027,30.6205,33.2102,33.2102,31513900
2003-09-01,33.43,35.2238,32.4641,33.0097,33.0097,31860100
2003-10-01,33.5868,35.1171,32.7024,34.4335,34.4335,30429300
2003-11-01,34.4962,36.6601,33.1979,34.4962,34.4962,27184300
2003-12-01,35.0513,37.3649,34.9441,37.2136,37.2136,28817700
2004-01-01,37.2136,40.9583,37.0371,40.5611,40.5611,34445200
2004-02-01,40.5233,42.1561,40.2901,41.2924,41.2924,23395400
2004-03-01,41.6536,42.2298,38.6462,40.3304,40.3304,29593500
2004-04-01,40.5203,42.8692,38.6589,38.6716,38.6716,28851600
2004-05-01,38.8425,42.673,38.6842,41.8626,41.8626,35659200
2004-06-01,41.8999,43.9472,41.2704,43.7056,43.7056,28237700
2004-07-01,43.7056,43.9027,39.2358,41.3912,41.3912,27820500
2004-08-01,41.3912,41.7409,36.9278,38.8861,38.8861,31519800
2004-09-01,39.0134,41.1467,38.1958,39.5563,39.5563,33053600
2004-10-01,39.6457,41.0317,33.68,37.3527,37.3527,61833500
2004-11-01,37.2377,41.4789,37.2058,40.8785,40.8785,32586000
2004-12-01,41.3512,44.6362,41.0561,44.4694,44.4694,22205400
2005-01-01,44.3347,44.7389,42.3329,43.1734,43.1734,26675700
2005-02-01,43.4428,47.5234,43.2119,46.1632,46.1632,26220800
2005-03-01,46.4801,47.3949,43.4201,44.1674,44.1674,30217900
2005-04-01,44.2898,46.8087,42.0995,46.6219,46.6219,30881500
2005-05-01,46.7378,48.6898,45.4558,48.1809,48.1809,38780900
2005-06-01,47.9216,50.1334,47.5789,48.3614,48.3614,26846300
2005-07-01,48.633,52.3516,48.536,52.1059,52.1059,22756400
2005-08-01,52.2223,53.354,46.2596,47.2426,47.2426,30673300
2005-09-01,47.28,50.1368,46.8645,50.1044,50.1044,29655900
2005-10-01,50.1239,52.0392,47.1177,51.7795,51.7795,27333000
2005-11-01,51.747,58.1034,51.5847,56.727,56.727,26483200
