Date,Open,High,Low,Close,Adj Close,Volume
,HON,HON,HON,HON,,HON
1985-01-01,2.9358,3.34,2.872,3.3188,3.3188,22851583
1985-02-01,3.2975,3.3826,3.2124,3.2869,3.2869,15509622
1985-03-01,3.3139,3.4752,3.174,3.2493,3.2493,18772995
1985-04-01,3.2708,4.0025,3.0772,3.8303,3.8303,45825672
1985-05-01,3.8303,4.024,3.443,3.5828,3.5828,43410239
1985-06-01,3.6728,3.7162,3.5858,3.7054,3.7054,26035654
1985-07-01,3.7162,3.9662,3.6945,3.8792,3.8792,28652059
1985-08-01,3.8792,3.9227,3.5967,3.6076,3.6076,24087196
1985-09-01,3.6184,3.8575,3.5858,3.8575,3.8575,30272838
1985-10-01,3.8901,3.9118,3.651,3.814,3.814,33239999
1985-11-01,3.8249,4.1835,3.7923,4.0205,4.0205,72069013
1985-12-01,4.0398,4.1935,3.8971,4.1057,4.1057,41000262
1986-01-01,4.1167,4.2155,3.941,4.1277,4.1277,45287369
1986-02-01,4.1277,4.5777,4.0837,4.5009,4.5009,45315902
1986-03-01,4.5536,4.8306,4.3209,4.5647,4.5647,45839938
1986-04-01,4.5868,4.7419,4.4539,4.5979,4.5979,50528572
1986-05-01,4.5647,4.6755,3.9664,4.0107,4.0107,50909536
1986-06-01,4.0354,4.0913,3.8007,4.0131,4.0131,54028577
1986-07-01,4.0019,4.0019,3.2865,3.6889,3.6889,61598780
1986-08-01,3.6889,3.7895,3.4653,3.6777,3.6777,35848008
1986-09-01,3.7415,3.8545,3.4024,3.6737,3.6737,40194279
1986-10-01,3.6963,3.798,3.5719,3.6963,3.6963,28824081
1986-11-01,3.7189,3.8206,3.5833,3.7528,3.7528,27720208
1986-12-01,3.7602,3.9773,3.623,3.6687,3.6687,42295455
1987-01-01,3.6573,4.423,3.6573,4.3202,4.3202,47542947
1987-02-01,4.2745,4.3545,4.023,4.2059,4.2059,34210868
1987-03-01,4.2251,4.5483,4.0865,4.2366,4.2366,38165683
1987-04-01,4.2135,4.4906,3.8787,4.0865,4.0865,37954223
1987-05-01,4.075,4.1442,3.5671,3.7402,3.7402,37266559
1987-06-01,3.7689,4.1657,3.7339,4.0723,4.0723,44199021
1987-07-01,4.0723,4.259,3.8739,4.1073,4.1073,57954024
1987-08-01,4.0956,4.5507,4.0606,4.3057,4.3057,53761735
1987-09-01,4.3231,4.382,3.9579,4.2995,4.2995,43640581
1987-10-01,4.2995,4.3349,2.5444,3.4043,3.4043,89787642
1987-11-01,3.3925,3.4396,2.6151,2.7328,2.7328,56668059
1987-12-01,2.7826,2.8065,2.3407,2.699,2.699,38161908
