Date,Open,High,Low,Close,Adj Close,Volume
,HSIC,HSIC,HSIC,HSIC,,HSIC
1995-11-01,4.2647,5.098,3.9951,4.951,4.951,41652720
1995-12-01,4.951,5.7843,4.4608,5.7843,5.7843,10293840
1996-01-01,5.6863,5.8824,4.6078,5.7843,5.7843,6950280
1996-02-01,5.8824,5.9314,5.3431,5.6863,5.6863,8119710
1996-03-01,5.7598,6.0294,5.6373,5.7353,5.7353,2367420
1996-04-01,5.8333,7.3039,5.3922,7.0588,7.0588,6078180
1996-05-01,7.1078,7.6961,6.9608,7.2549,7.2549,5039310
1996-06-01,7.2549,8.5294,6.7647,7.5,7.5,20353080
1996-07-01,7.4755,7.8922,6.1275,7.1814,7.1814,23418690
1996-08-01,7.2549,7.2549,6.2745,6.5196,6.5196,10771200
1996-09-01,6.5196,7.8922,6.3235,7.549,7.549,9119310
1996-10-01,7.549,7.9412,7.0098,7.7941,7.7941,9132570
1996-11-01,7.7941,8.0882,6.4706,7.9902,7.9902,9913380
1996-12-01,7.8922,7.9902,6.4216,6.7402,6.7402,8855640
1997-01-01,6.6667,7.6471,6.1765,6.6176,6.6176,8544030
1997-02-01,6.4706,6.8137,4.8039,5.2941,5.2941,18834810
1997-03-01,5.3186,5.9314,4.8039,5.6863,5.6863,16451070
1997-04-01,5.6618,5.8088,5.2696,5.4412,5.4412,16452090
1997-05-01,5.5392,6.7157,5.4412,6.5441,6.5441,11588730
1997-06-01,6.5196,7.2549,5.8824,6.1275,6.1275,13003470
1997-07-01,6.1275,7.549,5.9804,7.2549,7.2549,20993640
1997-08-01,7.3039,7.9412,6.7647,6.9853,6.9853,28267770
1997-09-01,6.9608,7.2549,6.5686,7.0098,7.0098,22976010
1997-10-01,7.0098,7.402,6.1765,6.4461,6.4461,15271440
1997-11-01,6.4706,7.1814,6.3725,6.9118,6.9118,22208460
1997-12-01,6.9363,7.0098,6.348,6.8627,6.8627,22375740
1998-01-01,6.8627,6.9118,5.7353,6.4706,6.4706,18597150
1998-02-01,6.4706,8.0392,6.1765,7.9902,7.9902,26612310
1998-03-01,7.9657,8.2353,7.549,8.1373,8.1373,28028070
1998-04-01,8.0392,8.7255,7.2794,7.6471,7.6471,17762790
1998-05-01,7.6961,8.4436,7.4755,7.549,7.549,20091960
1998-06-01,7.5,9.2402,7.2549,9.0441,9.0441,13904130
1998-07-01,9.0196,10.0245,8.4804,9.4363,9.4363,18393150
1998-08-01,9.5343,9.7549,7.5,7.549,7.549,27145260
1998-09-01,7.7451,8.0392,6.0784,6.8137,6.8137,36009060
1998-10-01,6.6667,7.6225,4.8529,7.5858,7.5858,41088150
1998-11-01,7.451,7.8922,6.4706,6.9608,6.9608,33447330
1998-12-01,6.9608,8.9216,6.8627,8.7745,8.7745,33515160
1999-01-01,8.652,9.1912,7.8431,8.2475,8.2475,35780070
1999-02-01,8.6765,8.6765,4.7059,5.0245,5.0245,76937580
1999-03-01,5.1471,5.9436,4.8284,4.951,4.951,64071300
1999-04-01,4.902,5.3676,3.8358,5.1348,5.1348,49140030
1999-05-01,5.1471,6.6667,4.8897,5.9191,5.9191,54616410
1999-06-01,5.8824,6.8627,5.4412,6.2132,6.2132,21511800
1999-07-01,6.2745,6.2745,3.9951,4.3137,4.3137,74962350
1999-08-01,4.3505,4.3873,2.598,3.3456,3.3456,152430840
1999-09-01,3.3824,3.5784,2.7451,2.7941,2.7941,39063960
1999-10-01,2.8186,3.0147,2.0343,2.549,2.549,74826180
1999-11-01,2.598,2.9412,2.3775,2.5123,2.5123,36298740
1999-12-01,2.5123,2.7328,2.1078,2.6103,2.6103,47215290
2000-01-01,2.7328,3.1863,2.3529,2.5858,2.5858,34822290
2000-02-01,2.6348,3.6765,2.451,3.6765,3.6765,34488750
2000-03-01,3.5539,3.6887,2.8431,3.174,3.174,29983920
2000-04-01,3.1403,3.2475,2.5735,2.742,2.742,15743700
2000-05-01,2.7328,3.5294,2.6961,3.4559,3.4559,21685200
2000-06-01,3.4804,3.6275,3.2108,3.3824,3.3824,17973930
2000-07-01,3.3824,3.4804,2.6103,2.7574,2.7574,12510300
2000-08-01,2.7941,4.0441,2.7941,3.6029,3.6029,31036560
2000-09-01,3.6152,4.0074,3.4804,3.9093,3.9093,13343130
2000-10-01,3.8971,5.0,3.8725,4.7794,4.7794,30630090
2000-11-01,4.7426,5.4657,4.4363,5.1838,5.1838,47283630
2000-12-01,5.1838,7.1569,5.1716,6.7892,6.7892,65945040
2001-01-01,6.6667,6.6667,5.3431,5.6985,5.6985,49097190
2001-02-01,5.7108,6.6789,5.4657,5.6005,5.6005,27525210
2001-03-01,5.6618,7.3407,5.3309,7.2059,7.2059,64555800
2001-04-01,7.2181,7.7,5.9681,7.5333,7.5333,59113080
2001-05-01,7.549,7.9549,6.7412,7.402,7.402,33423870
2001-06-01,7.3922,7.8922,5.851,7.5,7.5,44655090
2001-07-01,7.2137,7.3235,6.5882,7.2549,7.2549,30172620
2001-08-01,7.2549,7.2588,6.198,7.1216,7.1216,37925640
2001-09-01,7.1196,7.8431,6.6275,7.5686,7.5686,88920030
2001-10-01,7.5549,8.1373,6.2549,6.6176,6.6176,50464500
2001-11-01,6.6706,7.9471,6.2941,7.8824,7.8824,54006450
2001-12-01,7.9137,7.9137,6.8412,7.2608,7.2608,49601070
2002-01-01,7.2824,9.0314,6.9294,8.998,8.998,60235080
2002-02-01,9.0216,9.0412,8.2431,8.4333,8.4333,29326020
2002-03-01,8.4137,8.6667,7.8941,8.6373,8.6373,43517280
2002-04-01,8.6667,9.5098,8.451,9.3314,9.3314,28643130
2002-05-01,9.3549,9.9196,9.102,9.7216,9.7216,40331820
2002-06-01,9.7294,9.8824,8.7196,8.7255,8.7255,34928880
2002-07-01,8.702,8.8431,7.6471,8.4235,8.4235,48544350
2002-08-01,8.3922,10.4608,8.2255,9.798,9.798,47808930
2002-09-01,9.7647,10.7804,9.6196,10.3431,10.3431,42538080
2002-10-01,10.2941,11.3196,9.7039,9.8373,9.8373,58385310
2002-11-01,9.802,10.2431,7.9412,8.3451,8.3451,83838390
2002-12-01,8.3549,9.1314,7.902,8.8235,8.8235,67544400
2003-01-01,8.9333,9.1373,7.751,7.9471,7.9471,42973110
2003-02-01,8.0373,8.0588,6.7,7.8431,7.8431,64416570
2003-03-01,7.9608,8.9098,7.8529,8.8431,8.8431,60492630
2003-04-01,8.898,9.1157,8.0176,8.4549,8.4549,57235260
2003-05-01,8.451,9.8549,8.4373,9.6392,9.6392,61375440
2003-06-01,9.6451,10.6176,9.5196,10.2961,10.2961,39131280
2003-07-01,10.1255,11.6647,10.098,11.4588,11.4588,37380450
2003-08-01,11.3667,11.8275,10.9216,11.3196,11.3196,39038970
2003-09-01,11.3471,11.7157,10.8176,11.1196,11.1196,32506380
2003-10-01,11.1196,12.4706,10.9451,12.1667,12.1667,40816830
2003-11-01,12.1863,13.3588,12.1039,13.2235,13.2235,37366170
2003-12-01,13.2235,13.7255,12.9588,13.251,13.251,36915330
2004-01-01,13.3137,14.1686,12.9235,13.7549,13.7549,35892780
2004-02-01,13.7353,14.402,13.3706,14.0196,14.0196,26086500
2004-03-01,14.0882,14.5118,13.4137,13.9784,13.9784,47896140
2004-04-01,14.0686,15.5765,13.6824,13.8176,13.8176,43493820
2004-05-01,13.8255,14.1431,12.649,13.1686,13.1686,47084220
2004-06-01,13.2824,13.5471,12.1529,12.3804,12.3804,52073550
2004-07-01,12.3529,13.1647,11.7314,13.1569,13.1569,64674630
2004-08-01,13.2294,13.3353,11.8216,12.2118,12.2118,63252750
2004-09-01,12.1882,12.802,11.7529,12.2176,12.2176,52413720
2004-10-01,12.1667,12.6098,11.0098,12.398,12.398,98966520
2004-11-01,12.4059,13.0529,12.1549,12.7804,12.7804,50852100
2004-12-01,12.8333,13.8078,12.5059,13.6549,13.6549,58125720
2005-01-01,13.6137,13.8431,12.8235,13.3451,13.3451,35253240
2005-02-01,13.4118,14.551,13.4,14.1843,14.1843,39213900
2005-03-01,14.4157,15.8824,13.7686,14.0549,14.0549,54639870
2005-04-01,14.0902,14.9412,13.9843,14.7098,14.7098,24337965
2005-05-01,14.7451,16.6235,14.3686,15.8627,15.8627,38214555
2005-06-01,15.7804,16.4706,15.2275,16.2824,16.2824,27494610
2005-07-01,16.3137,17.1882,15.9647,16.9294,16.9294,23630595
2005-08-01,16.9529,17.0784,15.7098,16.349,16.349,20738640
2005-09-01,16.4157,17.3059,16.2902,16.7137,16.7137,23567100
2005-10-01,16.7137,16.9412,14.9333,15.5451,15.5451,28525065
