Date,Open,High,Low,Close,Adj Close,Volume
,HSY,HSY,HSY,HSY,,HSY
1985-01-01,0.0,1.3366,1.1695,1.2531,1.2531,17098800
1985-02-01,0.0,1.3658,1.2363,1.3282,1.3282,6675600
1985-03-01,0.0,1.4076,1.3115,1.4034,1.4034,5626800
1985-04-01,0.0,1.4034,1.3115,1.3366,1.3366,10009200
1985-05-01,0.0,1.4703,1.3199,1.4661,1.4661,9546000
1985-06-01,0.0,1.6499,1.4703,1.5788,1.5788,12475200
1985-07-01,1.583,1.6415,1.4535,1.4995,1.4995,7538400
1985-08-01,1.4995,1.5245,1.4327,1.4619,1.4619,5678400
1985-09-01,1.4779,1.541,1.4568,1.52,1.52,4761600
1985-10-01,1.52,1.6715,1.5031,1.6631,1.6631,7800000
1985-11-01,1.6631,1.8273,1.6463,1.8189,1.8189,7038000
1985-12-01,1.8323,1.8662,1.7135,1.7475,1.7475,8784000
1986-01-01,1.7475,1.8408,1.5778,1.7856,1.7856,10088400
1986-02-01,1.7856,1.9129,1.7687,1.9086,1.9086,6910800
1986-03-01,1.9217,2.1864,1.8875,2.1779,2.1779,7741200
1986-04-01,2.148,2.2804,1.9644,2.1864,2.1864,7062000
1986-05-01,2.1864,2.4512,2.1096,2.4341,2.4341,7604400
1986-06-01,2.4482,2.7746,2.3236,2.7703,2.7703,10182000
1986-07-01,2.7703,2.8519,2.4868,2.6243,2.6243,10878000
1986-08-01,2.62,3.0839,2.5255,2.9679,2.9679,14293200
1986-09-01,2.9823,2.9823,2.2141,2.24,2.24,14196400
1986-10-01,2.2529,2.7061,2.1752,2.6154,2.6154,22598400
1986-11-01,2.6154,2.6284,2.2917,2.5895,2.5895,18073600
1986-12-01,2.5909,2.7602,2.4868,2.5649,2.5649,17027200
1987-01-01,2.5519,3.0206,2.5519,2.9815,2.9815,17462400
1987-02-01,2.9555,3.0597,2.7993,2.8904,2.8904,11375600
1987-03-01,2.8652,3.0352,2.7343,2.8913,2.8913,12902800
1987-04-01,2.8259,3.0091,2.4073,2.6035,2.6035,15094000
1987-05-01,2.6035,2.7867,2.4858,2.6689,2.6689,9942000
1987-06-01,2.7098,3.1044,2.6703,2.9466,2.9466,11539200
1987-07-01,2.9071,2.986,2.7756,2.9203,2.9203,8449600
1987-08-01,2.8939,3.5385,2.8413,3.4464,3.4464,25180000
1987-09-01,3.4779,3.9936,3.0944,3.6101,3.6101,25076000
1987-10-01,3.5969,3.9804,2.1951,2.7109,2.7109,31558000
1987-11-01,2.6844,2.8299,2.3935,2.539,2.539,12623200
1987-12-01,2.5413,2.9404,2.2352,2.6078,2.6078,11374400
1988-01-01,2.6211,2.7674,2.4348,2.7541,2.7541,8894800
1988-02-01,2.7808,3.0069,2.528,2.8207,2.8207,18048800
1988-03-01,2.8242,3.0384,2.5699,2.6502,2.6502,25360000
1988-04-01,2.6502,2.7974,2.4896,2.5699,2.5699,12168800
1988-05-01,2.5967,2.6502,2.3423,2.4896,2.4896,11877600
1988-06-01,2.5069,2.8304,2.4665,2.6552,2.6552,23680400
1988-07-01,2.6417,2.6956,2.5339,2.6552,2.6552,11050800
1988-08-01,2.6552,2.7091,2.4665,2.5609,2.5609,16718400
1988-09-01,2.5798,2.7699,2.5255,2.7155,2.7155,18800000
1988-10-01,2.7155,3.1093,2.6748,2.9735,2.9735,20782800
1988-11-01,2.9735,2.9735,2.6477,2.7155,2.7155,10415200
1988-12-01,2.7348,2.8989,2.6664,2.8442,2.8442,8927200
1989-01-01,2.8442,2.8989,2.7074,2.8032,2.8032,10916400
1989-02-01,2.8168,2.9809,2.7211,2.7758,2.7758,14167600
1989-03-01,2.7942,2.9318,2.7529,2.9181,2.9181,9350000
1989-04-01,2.8905,3.2071,2.863,3.1245,3.1245,15207600
1989-05-01,3.097,3.2622,3.0144,3.152,3.152,13469600
1989-06-01,3.1435,3.7666,3.1435,3.6697,3.6697,27477200
1989-07-01,3.6697,3.919,3.5866,3.8774,3.8774,14501600
1989-08-01,3.9051,3.9328,3.462,3.6559,3.6559,16371200
1989-09-01,3.6779,3.7197,3.4829,3.6779,3.6779,9176000
1989-10-01,3.6501,4.0402,3.4829,3.8172,3.8172,17814800
1989-11-01,3.8172,4.1098,3.664,3.8451,3.8451,11603600
1989-12-01,3.8938,4.0338,3.7817,4.0198,4.0198,7399600
1990-01-01,3.9918,4.1039,3.4456,3.5716,3.5716,9979600
1990-02-01,3.5716,3.6136,3.1654,3.2495,3.2495,10059600
1990-03-01,3.2707,3.6231,3.2707,3.5808,3.5808,8611200
1990-04-01,3.5808,3.8346,3.468,3.6372,3.6372,9140400
1990-05-01,3.6654,3.9896,3.5667,3.9473,3.9473,12213600
1990-06-01,3.9556,4.3242,3.9414,4.2675,4.2675,11286400
1990-07-01,4.2675,4.4944,4.1399,4.3809,4.3809,9219600
1990-08-01,4.3668,4.4235,3.7146,4.31,4.31,13574800
1990-09-01,4.2994,4.2994,3.9124,4.1417,4.1417,7554400
1990-10-01,4.1847,4.3711,3.8695,3.9554,3.9554,15098800
1990-11-01,3.9268,4.1561,3.8981,4.0128,4.0128,9002400
1990-12-01,4.0674,4.4857,4.053,4.327,4.327,8355600
1991-01-01,4.327,4.6588,4.053,4.5866,4.5866,8521600
1991-02-01,4.5578,4.8895,4.3414,4.6011,4.6011,15413600
1991-03-01,4.6133,4.8745,4.3957,4.7439,4.7439,11440000
1991-04-01,4.7294,4.918,4.5988,4.6569,4.6569,7745200
1991-05-01,4.6424,5.0921,4.6424,5.0921,5.0921,7617200
1991-06-01,5.075,5.1187,4.652,4.7541,4.7541,7094800
1991-07-01,4.7687,4.9729,4.6958,4.8854,4.8854,6322800
1991-08-01,4.8854,4.9437,4.6666,4.8854,4.8854,7324400
1991-09-01,4.9149,4.9443,4.5188,4.5628,4.5628,7242000
1991-10-01,4.5481,4.8709,4.5481,4.8416,4.8416,5901200
1991-11-01,4.8709,4.9003,4.2841,4.4601,4.4601,9438800
1991-12-01,4.4276,5.2541,4.3981,5.2394,5.2394,15084400
1992-01-01,5.1656,5.3427,4.8261,4.8556,4.8556,9686400
1992-02-01,4.8409,5.2689,4.7819,4.9885,4.9885,12797200
1992-03-01,5.0466,5.0614,4.7349,4.7646,4.7646,8116400
