Date,Open,High,Low,Close,Adj Close,Volume
,HUBB,HUBB,HUBB,HUBB,,HUBB
1985-01-01,0.1518,0.1518,0.1518,0.1518,0.1518,0
1985-02-01,0.1518,0.1518,0.1518,0.1518,0.1518,0
1985-03-01,0.1518,0.1518,0.1518,0.1518,0.1518,0
1985-04-01,0.1548,0.1548,0.1548,0.1548,0.1548,0
1985-05-01,0.1548,0.1548,0.1548,0.1548,0.1548,0
1985-06-01,0.1548,0.1548,0.1548,0.1548,0.1548,0
1985-07-01,0.1583,0.1583,0.1583,0.1583,0.1583,0
1985-08-01,0.1583,0.1583,0.1583,0.1583,0.1583,0
1985-09-01,0.1583,0.1583,0.1583,0.1583,0.1583,0
1985-10-01,0.1626,0.1626,0.1626,0.1626,0.1626,0
1985-11-01,0.1626,0.1626,0.1626,0.1626,0.1626,0
1985-12-01,0.1626,0.1626,0.1626,0.1626,0.1626,0
1986-01-01,0.167,0.167,0.167,0.167,0.167,0
1986-02-01,0.167,0.167,0.167,0.167,0.167,0
1986-03-01,0.167,0.167,0.167,0.167,0.167,0
1986-04-01,0.1716,0.1716,0.1716,0.1716,0.1716,0
1986-05-01,0.1716,0.1716,0.1716,0.1716,0.1716,0
1986-06-01,0.1716,0.1716,0.1716,0.1716,0.1716,0
1986-07-01,0.1768,0.1768,0.1768,0.1768,0.1768,0
1986-08-01,0.1768,0.1768,0.1768,0.1768,0.1768,0
1986-09-01,0.1768,0.1768,0.1768,0.1768,0.1768,0
1986-10-01,0.1822,0.1822,0.1822,0.1822,0.1822,0
1986-11-01,0.1822,0.1822,0.1822,0.1822,0.1822,0
1986-12-01,0.1822,0.1822,0.1822,0.1822,0.1822,0
1987-01-01,0.1877,0.1877,0.1877,0.1877,0.1877,0
1987-02-01,0.1877,0.1877,0.1877,0.1877,0.1877,0
1987-03-01,0.1877,0.1877,0.1877,0.1877,0.1877,0
1987-04-01,0.1934,0.1934,0.1934,0.1934,0.1934,0
1987-05-01,0.1934,0.1934,0.1934,0.1934,0.1934,0
1987-06-01,0.1934,0.1934,0.1934,0.1934,0.1934,0
1987-07-01,0.2004,0.2004,0.2004,0.2004,0.2004,0
1987-08-01,0.2004,0.2004,0.2004,0.2004,0.2004,0
1987-09-01,0.2004,0.2004,0.2004,0.2004,0.2004,0
1987-10-01,0.2077,0.2077,0.2077,0.2077,0.2077,0
1987-11-01,0.2077,0.2077,0.2077,0.2077,0.2077,0
1987-12-01,0.2077,0.2077,0.2077,0.2077,0.2077,0
1988-01-01,0.2152,0.2152,0.2152,0.2152,0.2152,0
1988-02-01,0.2152,0.2152,0.2152,0.2152,0.2152,0
1988-03-01,0.2152,0.2152,0.2152,0.2152,0.2152,0
1988-04-01,0.223,0.223,0.223,0.223,0.223,0
1988-05-01,0.223,0.223,0.223,0.223,0.223,0
1988-06-01,0.223,0.223,0.223,0.223,0.223,0
1988-07-01,0.2321,0.2321,0.2321,0.2321,0.2321,0
1988-08-01,0.2321,0.2321,0.2321,0.2321,0.2321,0
1988-09-01,0.2321,0.2321,0.2321,0.2321,0.2321,0
1988-10-01,0.2416,0.2416,0.2416,0.2416,0.2416,0
1988-11-01,0.2416,0.2416,0.2416,0.2416,0.2416,0
1988-12-01,0.2416,0.2416,0.2416,0.2416,0.2416,0
1989-01-01,0.2514,0.2514,0.2514,0.2514,0.2514,0
1989-02-01,0.2514,0.2514,0.2514,0.2514,0.2514,0
1989-03-01,0.2514,0.2514,0.2514,0.2514,0.2514,0
1989-04-01,0.2622,0.2622,0.2622,0.2622,0.2622,0
1989-05-01,0.2622,0.2622,0.2622,0.2622,0.2622,0
1989-06-01,0.2622,0.2622,0.2622,0.2622,0.2622,0
1989-07-01,0.2761,0.2761,0.2761,0.2761,0.2761,0
1989-08-01,0.2761,0.2761,0.2761,0.2761,0.2761,0
1989-09-01,0.2761,0.2761,0.2761,0.2761,0.2761,0
1989-10-01,0.2914,0.2914,0.2914,0.2914,0.2914,0
1989-11-01,0.2914,0.2914,0.2914,0.2914,0.2914,0
1989-12-01,0.2914,0.2914,0.2914,0.2914,0.2914,0
1990-01-01,0.3075,0.3075,0.3075,0.3075,0.3075,0
1990-02-01,0.3075,0.3075,0.3075,0.3075,0.3075,0
1990-03-01,0.3075,0.3075,0.3075,0.3075,0.3075,0
1990-04-01,0.3255,0.3255,0.3255,0.3255,0.3255,0
1990-05-01,0.3255,0.3255,0.3255,0.3255,0.3255,0
1990-06-01,0.3255,0.3255,0.3255,0.3255,0.3255,0
1990-07-01,0.3463,0.3463,0.3463,0.3463,0.3463,0
1990-08-01,0.3463,0.3463,0.3463,0.3463,0.3463,0
1990-09-01,0.3463,0.3463,0.3463,0.3463,0.3463,0
1990-10-01,0.3684,0.3684,0.3684,0.3684,0.3684,0
1990-11-01,0.3684,0.3684,0.3684,0.3684,0.3684,0
1990-12-01,0.3684,0.3684,0.3684,0.3684,0.3684,0
1991-01-01,0.3919,0.3919,0.3919,0.3919,0.3919,0
1991-02-01,0.3919,0.3919,0.3919,0.3919,0.3919,0
1991-03-01,0.3919,0.3919,0.3919,0.3919,0.3919,0
1991-04-01,0.4183,0.4183,0.4183,0.4183,0.4183,0
1991-05-01,0.4183,0.4183,0.4183,0.4183,0.4183,0
1991-06-01,0.4183,0.4183,0.4183,0.4183,0.4183,0
1991-07-01,0.4481,0.4481,0.4481,0.4481,0.4481,0
1991-08-01,0.4481,0.4481,0.4481,0.4481,0.4481,0
1991-09-01,0.4481,0.4481,0.4481,0.4481,0.4481,0
1991-10-01,0.48,0.48,0.48,0.48,0.48,0
1991-11-01,0.48,0.48,0.48,0.48,0.48,0
1991-12-01,0.48,0.48,0.48,0.48,0.48,0
1992-01-01,0.5141,0.5141,0.5141,0.5141,0.5141,0
1992-02-01,0.5141,0.5141,0.5141,0.5141,0.5141,0
1992-03-01,0.5141,0.5141,0.5141,0.5141,0.5141,0
1992-04-01,0.5527,0.5527,0.5527,0.5527,0.5527,0
1992-05-01,0.5527,0.5527,0.5527,0.5527,0.5527,0
1992-06-01,0.5527,0.5527,0.5527,0.5527,0.5527,0
1992-07-01,0.5953,0.5953,0.5953,0.5953,0.5953,0
1992-08-01,0.5953,0.5953,0.5953,0.5953,0.5953,0
1992-09-01,0.5953,0.5953,0.5953,0.5953,0.5953,0
