Date,Open,High,Low,Close,Adj Close,Volume
,HUM,HUM,HUM,HUM,,HUM
1985-01-01,3.2952,3.9472,3.0837,3.9119,3.9119,10681800
1985-02-01,3.8943,4.3525,3.8591,4.1058,4.1058,10681950
1985-03-01,4.1058,4.2996,3.7886,4.1586,4.1586,6803700
1985-04-01,4.1661,4.2015,3.8115,3.9356,3.9356,5953200
1985-05-01,3.9179,4.7156,3.7583,4.6802,4.6802,12682050
1985-06-01,4.7334,4.8929,4.4674,4.7865,4.7865,11194350
1985-07-01,4.7752,5.2385,4.5792,4.7218,4.7218,10101450
1985-08-01,4.7396,4.793,4.2407,4.4189,4.4189,6447750
1985-09-01,4.3832,4.4189,3.8487,4.0091,4.0091,5877150
1985-10-01,4.0156,4.159,3.6571,3.7826,3.7826,17321850
1985-11-01,3.7646,4.1232,3.7109,3.926,3.926,9392100
1985-12-01,3.9081,4.7148,3.8005,4.4817,4.4817,11908200
1986-01-01,4.4731,4.6715,4.0402,4.437,4.437,8411700
1986-02-01,4.437,4.8879,4.3648,4.4731,4.4731,9278400
1986-03-01,4.4731,4.7797,4.1123,4.4009,4.4009,24069150
1986-04-01,4.4653,4.5742,4.2111,4.2293,4.2293,10378800
1986-05-01,4.2293,4.3201,4.1385,4.193,4.193,11699700
1986-06-01,4.1748,4.2474,3.594,3.6848,3.6848,15445650
1986-07-01,3.7123,4.0049,3.182,3.3282,3.3282,9997800
1986-08-01,3.3465,3.6757,3.2185,3.4745,3.4745,8473350
1986-09-01,3.4563,3.6026,3.31,3.4014,3.4014,8186400
1986-10-01,3.4285,3.5391,2.9861,3.1889,3.1889,12998400
1986-11-01,3.1336,3.2811,2.8755,3.0783,3.0783,7126950
1986-12-01,3.0783,3.2995,2.6359,2.8203,2.8203,11487750
1987-01-01,2.8657,3.1077,2.8657,2.996,2.996,10545000
1987-02-01,2.9402,3.4426,2.9402,3.331,3.331,8866800
1987-03-01,3.3496,4.0195,3.2751,3.9078,3.9078,12738900
1987-04-01,3.8616,4.0303,3.393,3.5804,3.5804,9967200
1987-05-01,3.5429,3.6742,3.4492,3.5054,3.5054,7311150
1987-06-01,3.5617,3.9741,3.5617,3.8616,3.8616,10271550
1987-07-01,3.929,4.4579,3.8724,4.3446,4.3446,9983100
1987-08-01,4.3068,4.3257,3.8535,3.8913,3.8913,9848550
1987-09-01,3.9479,4.0613,3.589,3.929,3.929,7280850
1987-10-01,3.9974,4.0545,2.4746,2.8172,2.8172,14155350
1987-11-01,2.7411,3.3502,2.703,2.8172,2.8172,8153250
1987-12-01,2.8553,3.0457,2.4556,2.9314,2.9314,11623500
1988-01-01,3.0402,3.3673,2.9248,3.3673,3.3673,5272650
1988-02-01,3.3866,3.4251,3.0402,3.4251,3.4251,6077250
1988-03-01,3.3481,4.0408,3.2904,4.0023,4.0023,11114700
1988-04-01,3.9949,4.1306,3.6458,3.9561,3.9561,6352650
1988-05-01,3.9173,4.1888,3.6264,4.1694,4.1694,6849000
1988-06-01,4.1694,4.4409,4.0337,4.1888,4.1888,11679150
1988-07-01,4.186,4.2642,3.697,3.9122,3.9122,6822450
1988-08-01,3.9317,3.9513,3.5209,3.6187,3.6187,5806800
1988-09-01,3.5992,4.3034,3.5601,3.9122,3.9122,7533750
1988-10-01,3.9496,4.1076,3.7916,4.0286,4.0286,5326500
1988-11-01,4.0681,4.1471,3.5744,3.9101,3.9101,6843000
1988-12-01,3.9101,4.0681,3.6929,4.0089,4.0089,8220900
1989-01-01,4.066,4.2055,3.9464,4.1657,4.1657,6567900
1989-02-01,4.1657,4.365,4.066,4.3251,4.3251,6974550
1989-03-01,4.3052,4.7636,4.3052,4.7038,4.7038,10826550
1989-04-01,4.7607,5.1424,4.6,4.9616,4.9616,7729050
1989-05-01,4.9214,5.3432,4.9013,5.0018,5.0018,7972050
1989-06-01,5.0018,5.6646,5.0018,5.4638,5.4638,9601500
1989-07-01,5.5044,6.3745,5.4841,6.3745,6.3745,8105100
1989-08-01,6.3745,6.3948,5.9496,6.0912,6.0912,5038050
1989-09-01,6.1317,6.1722,5.727,6.0103,6.0103,4474800
1989-10-01,6.0534,6.6852,5.3808,6.1961,6.1961,6404100
1989-11-01,6.1553,6.6852,6.1553,6.6649,6.6649,4888350
1989-12-01,6.6852,7.1744,6.5222,7.1744,7.1744,5934900
1990-01-01,7.2205,7.2615,6.1538,6.3179,6.3179,6638550
1990-02-01,6.3179,6.5641,6.1743,6.2564,6.2564,5550300
1990-03-01,6.2359,6.6256,5.7846,6.3795,6.3795,9126750
1990-04-01,6.3806,7.0207,6.3393,6.4425,6.4425,5884350
1990-05-01,6.4425,7.7227,6.4425,7.4337,7.4337,11352000
1990-06-01,7.475,8.0944,7.1239,8.0944,8.0944,8924250
1990-07-01,8.1274,8.4599,7.6909,7.9611,7.9611,6274350
1990-08-01,7.9819,8.2105,7.1088,7.6493,7.6493,8249250
1990-09-01,7.5661,7.6285,7.0257,7.3999,7.3999,5616300
1990-10-01,7.2428,7.7033,6.6776,6.9916,6.9916,8636250
1990-11-01,6.5311,7.4103,6.3636,7.2219,7.2219,9667050
1990-12-01,7.3684,8.0173,6.866,7.0544,7.0544,12143550
1991-01-01,7.1459,7.6728,6.3659,7.6728,7.6728,17933100
1991-02-01,7.6307,8.1787,7.462,7.6518,7.6518,13991100
1991-03-01,7.6939,8.4317,7.6307,8.2631,8.2631,11256900
1991-04-01,8.2077,8.9287,8.1864,8.3985,8.3985,7415700
1991-05-01,8.2289,8.7803,8.2077,8.7803,8.7803,6494850
1991-06-01,8.7803,8.7803,7.8471,8.1228,8.1228,8034450
1991-07-01,8.2442,8.6073,7.817,8.5859,8.5859,6786450
1991-08-01,8.5859,8.7461,7.6248,8.3296,8.3296,6917100
1991-09-01,8.3296,8.5859,7.7529,7.7529,7.7529,7133300
1991-10-01,7.8733,7.9055,6.5826,7.486,7.486,14835900
1991-11-01,7.4215,7.6474,5.4532,6.2276,6.2276,20470100
1991-12-01,6.1631,6.9698,6.1631,6.9375,6.9375,13212000
1992-01-01,7.0011,7.685,6.7081,7.3268,7.3268,13142500
1992-02-01,7.2942,7.3919,6.5453,6.5778,6.5778,10525000
1992-03-01,6.5778,6.7732,6.1871,6.5127,6.5127,12766700
1992-04-01,6.5715,6.703,6.1444,6.4073,6.4073,9669700
1992-05-01,6.4401,6.6701,5.4544,5.6844,5.6844,11077000
1992-06-01,5.6187,5.6515,5.0929,5.553,5.553,10456300
1992-07-01,5.6478,6.279,5.4485,6.1129,6.1129,12073600
1992-08-01,6.1129,6.3122,5.4485,5.4485,5.4485,8432500
1992-09-01,5.382,5.7807,5.3156,5.7475,5.7475,10800200
1992-10-01,5.9093,6.3794,5.5064,6.0772,6.0772,7319200
1992-11-01,6.0772,6.4466,4.5663,5.54,5.54,18560900
1992-12-01,5.6072,5.6407,5.3385,5.5064,5.5064,8783300
1993-01-01,5.6019,5.6019,5.2624,5.3982,5.3982,9673100
1993-02-01,5.3982,5.8056,4.7191,5.2624,5.2624,11616500
1993-03-01,5.2284,5.4321,1.6636,2.1389,2.1389,29676800
1993-04-01,6.9841,8.3145,5.6538,8.2036,8.2036,28410700
1993-05-01,8.2036,10.5316,7.7602,10.4208,10.4208,53365200
1993-06-01,10.4208,10.8642,8.8688,9.9773,9.9773,27340900
1993-07-01,9.9773,11.7511,9.8665,10.0882,10.0882,33281300
1993-08-01,10.0882,11.862,9.0905,11.1968,11.1968,34871100
1993-09-01,11.1968,12.3054,10.5316,11.4185,11.4185,19805100
1993-10-01,11.4185,12.9706,10.9751,12.5271,12.5271,20527400
1993-11-01,12.5271,15.0769,12.3054,14.4117,14.4117,22440300
1993-12-01,14.5226,16.9615,14.3009,15.742,15.742,17661200
1994-01-01,15.6312,18.0701,14.7443,17.9592,17.9592,21770900
1994-02-01,17.9592,19.2895,17.1832,17.2941,17.2941,19242500
1994-03-01,17.4049,19.8438,15.0769,16.4072,16.4072,15790500
1994-04-01,15.5203,18.2918,14.966,16.4072,16.4072,12572500
1994-05-01,16.2963,18.6244,16.1855,18.1809,18.1809,12246200
1994-06-01,18.1809,18.4027,14.3009,14.3009,14.3009,16115400
1994-07-01,14.4117,16.8506,14.0791,16.6289,16.6289,23696200
1994-08-01,16.6289,19.2895,15.4095,18.8461,18.8461,15380200
1994-09-01,18.8461,21.1742,18.2918,20.9524,20.9524,14742200
1994-10-01,20.7307,22.5045,19.1787,21.6176,21.6176,13779200
1994-11-01,21.6176,21.6176,18.2918,19.8438,19.8438,7346700
1994-12-01,19.9547,20.6199,16.1855,20.0656,20.0656,18106500
1995-01-01,20.0655,21.7284,19.1787,20.2873,20.2873,12427100
1995-02-01,20.1764,22.837,20.1764,20.8416,20.8416,12855300
1995-03-01,21.0633,24.0565,20.2873,22.7262,22.7262,13115800
1995-04-01,22.837,24.0565,16.7398,17.2941,17.2941,38555700
1995-05-01,17.4049,19.6221,15.8529,18.7352,18.7352,33583300
1995-06-01,18.957,21.1742,15.0769,15.742,15.742,54981400
1995-07-01,15.742,18.8461,15.2986,17.2941,17.2941,37335600
1995-08-01,17.4049,17.8484,15.8529,16.1855,16.1855,26073900
1995-09-01,16.0746,18.5135,16.0746,17.8484,17.8484,18847800
