Date,Open,High,Low,Close,Adj Close,Volume
,IBM,IBM,IBM,IBM,,IBM
1962-01-01,1.4985,1.4985,1.3606,1.404,1.404,9264945
1962-02-01,1.4182,1.4532,1.3781,1.391,1.391,6087720
1962-03-01,1.3964,1.4404,1.3737,1.3802,1.3802,5687625
1962-04-01,1.3796,1.3796,1.1658,1.1762,1.1762,13516935
1962-05-01,1.1762,1.2688,0.9197,1.0169,1.0169,51659325
1962-06-01,1.0131,1.0131,0.7773,0.879,0.879,71679765
1962-07-01,0.879,1.0196,0.8771,1.0028,1.0028,43014135
1962-08-01,1.0002,1.0747,0.96,1.0267,1.0267,43351470
1962-09-01,1.0269,1.0405,0.9032,0.9161,0.9161,34800420
1962-10-01,0.9161,0.9634,0.8345,0.8967,0.8967,45014610
1962-11-01,0.8967,1.0412,0.8863,1.0328,1.0328,38424810
1962-12-01,1.0226,1.0524,0.9889,1.011,1.011,22978005
1963-01-01,1.011,1.1004,0.996,1.0984,1.0984,29920830
1963-02-01,1.0984,1.1014,1.0343,1.0362,1.0362,13854270
1963-03-01,1.0365,1.0974,1.03,1.0916,1.0916,12771660
1963-04-01,1.0916,1.2303,1.0825,1.2024,1.2024,19118265
1963-05-01,1.2024,1.2407,1.1862,1.2374,1.2374,11987160
1963-06-01,1.2377,1.2416,1.1203,1.1314,1.1314,13516935
1963-07-01,1.1314,1.1618,1.1028,1.1268,1.1268,17596335
1963-08-01,1.1268,1.1917,1.1151,1.1534,1.1534,14591700
1963-09-01,1.1553,1.2166,1.1553,1.1725,1.1725,19008435
1963-10-01,1.1725,1.3015,1.1634,1.2814,1.2814,25629615
1963-11-01,1.2814,1.286,1.1958,1.2587,1.2587,13140375
1963-12-01,1.2662,1.322,1.2286,1.3155,1.3155,13697370
1964-01-01,1.3233,1.4712,1.3168,1.4063,1.4063,23401635
1964-02-01,1.4063,1.4958,1.3855,1.4763,1.4763,11900865
1964-03-01,1.4767,1.5429,1.4429,1.5422,1.5422,12340185
1964-04-01,1.5442,1.561,1.4799,1.4799,1.4799,13446330
1964-05-01,1.4819,1.6026,1.4819,1.5571,1.5571,11055174
1964-06-01,1.5575,1.5689,1.4959,1.5478,1.5478,9049992
1964-07-01,1.5535,1.5965,1.4926,1.4991,1.4991,9734076
1964-08-01,1.4991,1.4991,1.3807,1.4294,1.4294,12112680
1964-09-01,1.4297,1.4476,1.3372,1.4168,1.4168,12382548
1964-10-01,1.4168,1.4168,1.347,1.3632,1.3632,7970520
1964-11-01,1.3624,1.4103,1.3389,1.3389,1.3389,8886816
