Date,Open,High,Low,Close,Adj Close,Volume
,IFF,IFF,IFF,IFF,,IFF
1985-01-01,3.2576,3.3453,3.0677,3.1846,3.1846,4227900
1985-02-01,3.1846,3.4475,3.0823,3.3014,3.3014,3704700
1985-03-01,3.2722,3.3891,3.0385,3.3161,3.3161,5413800
1985-04-01,3.3345,3.423,3.2017,3.2755,3.2755,2738700
1985-05-01,3.2755,3.5706,3.187,3.5411,3.5411,3925500
1985-06-01,3.5706,3.6296,3.3492,3.5411,3.5411,3318000
1985-07-01,3.5451,3.9323,3.5004,3.5599,3.5599,5180400
1985-08-01,3.5748,3.694,3.3812,3.5302,3.5302,4018500
1985-09-01,3.5302,3.6344,3.4557,3.5153,3.5153,3503700
1985-10-01,3.519,4.2108,3.504,4.0604,4.0604,5095800
1985-11-01,4.1206,4.6619,3.9251,4.3762,4.3762,6038100
1985-12-01,4.3612,4.8123,4.1506,4.8123,4.8123,3930600
1986-01-01,4.8188,4.8188,4.1823,4.243,4.243,4454100
1986-02-01,4.243,4.6521,4.243,4.6521,4.6521,2953500
1986-03-01,4.6521,4.9703,4.546,4.8188,4.8188,5579400
1986-04-01,4.8394,5.3584,4.4119,5.3126,5.3126,5200200
1986-05-01,5.3126,5.9691,5.1905,5.847,5.847,8018700
1986-06-01,5.8317,5.8622,5.3737,5.8164,5.8164,3948000
1986-07-01,5.8689,5.9611,5.1314,5.4694,5.4694,3927900
1986-08-01,5.4848,5.6692,5.0085,5.2544,5.2544,3591600
1986-09-01,5.2544,5.2544,4.3786,4.4401,4.4401,5809200
1986-10-01,4.4752,5.2804,4.3358,5.2804,5.2804,3287400
1986-11-01,5.2184,5.2494,4.7384,4.8932,4.8932,5188800
1986-12-01,4.8623,5.11,4.5371,4.6145,4.6145,5865600
1987-01-01,4.6515,6.0251,4.6515,5.869,5.869,10289400
1987-02-01,5.9158,6.228,5.51,5.947,5.947,7139100
1987-03-01,5.9314,6.1968,5.5568,5.9002,5.9002,7191600
1987-04-01,5.8761,6.2375,5.3891,5.7347,5.7347,5947200
1987-05-01,5.7033,5.8447,5.122,5.7504,5.7504,6037500
1987-06-01,5.7819,6.3789,5.7033,6.1118,6.1118,5380500
1987-07-01,6.1194,7.0049,5.9138,6.7993,6.7993,8145900
1987-08-01,6.7677,7.3053,6.7203,7.1946,7.1946,6211800
1987-09-01,7.1946,7.3369,6.5305,6.9416,6.9416,5549100
1987-10-01,7.0282,7.2032,4.7385,5.5017,5.5017,7815300
1987-11-01,5.5017,5.5972,4.8975,5.0883,5.0883,4179000
1987-12-01,5.0565,5.8834,4.8816,5.6449,5.6449,5620800
1988-01-01,5.6679,6.2138,5.5394,6.0853,6.0853,4205700
1988-02-01,6.1014,6.5028,5.8124,6.3904,6.3904,4851300
1988-03-01,6.4546,6.7115,6.1816,6.278,6.278,4372800
1988-04-01,6.2954,6.6352,5.9555,6.2468,6.2468,3921300
1988-05-01,6.2468,6.6676,5.907,6.6029,6.6029,4031700
1988-06-01,6.6352,7.056,6.6029,6.9103,6.9103,5437200
1988-07-01,6.9477,6.9803,6.2301,6.6052,6.6052,5029800
1988-08-01,6.5563,6.6215,5.9039,6.0181,6.0181,3796200
1988-09-01,6.0181,6.3932,5.7898,6.0507,6.0507,5881800
1988-10-01,6.0846,6.4464,5.953,6.2326,6.2326,7353900
1988-11-01,6.2326,6.2326,5.8708,6.1504,6.1504,5266200
1988-12-01,6.1504,6.6273,6.0846,6.4957,6.4957,4835400
1989-01-01,6.5774,6.893,6.511,6.8598,6.8598,4955400
1989-02-01,6.8266,6.9594,6.4445,6.511,6.511,4559400
1989-03-01,6.511,6.8266,6.4944,6.81,6.81,5777100
1989-04-01,6.8921,7.3784,6.8418,7.261,7.261,4886400
1989-05-01,7.261,7.4287,7.2107,7.3784,7.3784,4859100
1989-06-01,7.3281,7.4622,6.9089,7.0262,7.0262,8024700
1989-07-01,7.1249,8.0896,7.0234,8.0557,8.0557,5065500
1989-08-01,8.1065,10.4927,7.8526,9.0711,9.0711,13608000
1989-09-01,9.0881,9.2235,8.5634,8.8681,8.8681,8112300
1989-10-01,8.9325,9.5121,7.9779,8.728,8.728,8168400
1989-11-01,8.728,9.5292,8.5234,9.4099,9.4099,5170200
1989-12-01,9.4099,9.5121,8.6598,9.2394,9.2394,3986700
1990-01-01,9.3002,9.4033,8.1312,8.2688,8.2688,5242500
1990-02-01,8.2516,8.2859,7.5124,7.8218,7.8218,5427000
1990-03-01,7.7874,8.4407,7.6671,8.4235,8.4235,5402400
1990-04-01,8.4659,8.6221,7.9108,8.171,8.171,3187500
1990-05-01,8.2057,9.3333,8.119,9.3333,9.3333,5201400
1990-06-01,9.3333,9.8191,9.1599,9.6109,9.6109,5739900
1990-07-01,9.6524,10.3694,9.6175,10.212,10.212,5042100
1990-08-01,10.177,10.212,8.7082,9.2153,9.2153,5517000
1990-09-01,9.2852,9.8623,8.5683,9.0229,9.0229,3611100
1990-10-01,9.2203,9.7316,8.8325,9.5553,9.5553,4080900
1990-11-01,9.5553,10.5778,9.4495,10.5778,10.5778,4904700
1990-12-01,10.4897,10.5955,10.19,10.5073,10.5073,3990300
1991-01-01,10.5947,10.9858,9.777,10.9502,10.9502,5472900
1991-02-01,10.9502,12.3012,10.7547,11.7857,11.7857,5117100
1991-03-01,11.6968,12.4257,10.8613,10.9147,10.9147,5697300
1991-04-01,10.995,12.3918,10.7443,11.4964,11.4964,6279300
1991-05-01,11.5322,11.8904,11.1383,11.8725,11.8725,5621700
1991-06-01,11.8545,11.8545,10.8876,11.0487,11.0487,4702800
1991-07-01,11.1719,11.6231,10.9011,11.4065,11.4065,4230900
1991-08-01,11.3704,12.2548,11.3343,11.9119,11.9119,5246100
1991-09-01,11.9479,12.2006,11.7675,12.1104,12.1104,3404100
1991-10-01,12.1266,13.5629,12.1266,13.0357,13.0357,3903000
1991-11-01,13.0539,13.7629,12.6175,12.9266,12.9266,2982000
1991-12-01,12.8721,15.2538,12.8721,14.9265,14.9265,3358200
1992-01-01,14.9224,15.8196,14.1901,14.2267,14.2267,4328700
1992-02-01,14.2633,15.49,14.1534,15.3069,15.3069,2950800
1992-03-01,15.3436,15.6365,14.7943,15.545,15.545,2983200
1992-04-01,15.6291,16.4032,14.9103,16.2557,16.2557,3946500
1992-05-01,16.2557,16.2926,15.2789,15.8503,15.8503,3301500
1992-06-01,15.8318,15.8871,13.9335,14.2837,14.2837,3426300
1992-07-01,14.4578,15.924,14.4578,15.924,15.924,3111900
1992-08-01,15.9612,16.2395,15.6085,15.9797,15.9797,2453100
1992-09-01,15.9797,16.221,15.59,15.924,15.924,2793600
1992-10-01,16.0248,16.996,15.3898,16.996,16.996,2878200
1992-11-01,16.996,17.3696,16.4731,16.5851,16.5851,4132800
1992-12-01,16.6412,16.8653,16.1742,16.2489,16.2489,3354600
1993-01-01,16.3601,16.3601,15.7207,16.0968,16.0968,3508200
1993-02-01,16.0968,16.6234,15.5327,16.3789,16.3789,3691800
1993-03-01,16.4729,17.5072,16.4541,16.9618,16.9618,4248000
1993-04-01,17.1854,18.0939,16.7123,16.9962,16.9962,4033500
1993-05-01,17.0151,18.075,16.9015,17.6586,17.6586,2794200
1993-06-01,17.6586,17.9804,17.034,17.2233,17.2233,2643300
1993-07-01,17.372,17.5244,17.0292,17.4101,17.4101,2250600
1993-08-01,17.372,17.6006,16.8577,17.6006,17.6006,3102000
1993-09-01,17.5054,17.5435,15.0862,15.4863,15.4863,7077900
1993-10-01,15.5892,16.6438,15.5892,16.6438,16.6438,6601500
1993-11-01,16.6821,17.0081,16.3561,16.7972,16.7972,3971100
1993-12-01,16.8739,17.5066,16.6054,17.4491,17.4491,2995800
1994-01-01,17.5554,18.1927,17.1112,17.5554,17.5554,3221600
1994-02-01,17.7292,17.7871,17.0339,17.2077,17.2077,2737800
1994-03-01,17.2077,17.3815,16.5125,16.918,16.918,4770200
1994-04-01,16.8124,17.4545,16.6373,17.0459,17.0459,2798600
1994-05-01,17.1626,18.0967,16.6372,17.9799,17.9799,2891200
1994-06-01,17.9215,18.9139,17.7464,18.2718,18.2718,4014300
1994-07-01,18.5147,20.6306,18.2796,19.749,19.749,3277100
1994-08-01,19.8666,20.8658,19.3964,20.6307,20.6307,2815900
1994-09-01,20.5131,20.5131,19.1025,19.5727,19.5727,2852800
1994-10-01,19.7012,21.0028,19.1096,20.7662,20.7662,2843200
1994-11-01,20.8253,21.5353,20.352,20.8253,20.8253,2467700
1994-12-01,20.8253,22.6594,20.707,21.8903,21.8903,3195800
1995-01-01,22.0364,23.7636,21.5004,23.4658,23.4658,2581600
1995-02-01,23.2871,23.6444,22.5724,22.9298,22.9298,2468600
1995-03-01,22.8106,25.3121,22.3937,24.5974,24.5974,6207500
1995-04-01,24.8048,25.7035,23.966,24.6251,24.6251,2512600
1995-05-01,24.5651,25.1044,21.869,23.6065,23.6065,4993100
1995-06-01,23.6065,24.9846,22.9474,23.8462,23.8462,3533300
1995-07-01,24.1101,25.7375,23.5676,25.195,25.195,3023300
1995-08-01,25.2553,25.7375,22.7237,23.0251,23.0251,3105400
1995-09-01,23.0854,24.0498,22.3621,23.2662,23.2662,6049300
1995-10-01,23.2993,23.7847,22.2679,23.4207,23.4207,3908900
1995-11-01,23.4814,25.3016,23.178,24.8162,24.8162,2978800
1995-12-01,24.9376,27.1219,23.178,23.2994,23.2994,4395200
1996-01-01,23.399,24.7431,23.0324,24.4987,24.4987,5369700
1996-02-01,24.4987,25.354,23.399,24.4987,24.4987,3763700
1996-03-01,24.6209,25.2929,23.3379,23.399,23.399,3512100
1996-04-01,23.6199,24.481,21.9591,24.112,24.112,6566900
1996-05-01,24.112,24.7886,22.9433,23.9275,23.9275,4003500
1996-06-01,23.6814,24.9731,23.0663,23.4354,23.4354,5296100
1996-07-01,23.723,23.723,20.3163,21.1835,21.1835,6767600
1996-08-01,21.0596,22.4842,21.0596,21.3073,21.3073,3347800
1996-09-01,21.0596,22.2364,20.5641,21.617,21.617,6573200
1996-10-01,21.5347,21.7844,20.3488,20.6609,20.6609,4791800
1996-11-01,20.6609,22.8456,20.5985,22.7207,22.7207,4581400
1996-12-01,22.6583,23.5322,22.2838,22.471,22.471,4531700
1997-01-01,22.6464,22.9609,21.3882,22.3318,22.3318,7010800
1997-02-01,22.0802,23.59,21.7028,23.3383,23.3383,5203700
1997-03-01,23.2125,23.7158,21.7657,22.0173,22.0173,4060300
1997-04-01,22.0642,22.2544,20.2255,21.3667,21.3667,5426300
1997-05-01,21.2399,22.8884,21.1765,22.508,22.508,3998100
1997-06-01,22.4446,26.6292,21.9057,25.6147,25.6147,7184500
1997-07-01,25.9197,27.1965,24.7705,27.1008,27.1008,7193900
1997-08-01,27.0688,27.2923,25.8558,26.1112,26.1112,4715500
1997-09-01,26.1431,27.1965,24.8982,25.0259,25.0259,5228600
1997-10-01,25.0746,26.0711,23.1458,24.8817,24.8817,4477400
1997-11-01,24.7531,25.7175,24.0459,24.7853,24.7853,3386100
1997-12-01,24.8495,26.6819,24.5281,26.489,26.489,4033600
1998-01-01,26.623,26.8821,21.7972,21.8943,21.8943,7495800
1998-02-01,22.0887,24.0643,21.9267,23.8376,23.8376,5794700
1998-03-01,23.6433,25.2627,23.3194,24.4206,24.4206,7396000
1998-04-01,24.6518,25.8926,23.2805,25.5661,25.5661,6583700
1998-05-01,25.5987,26.2844,24.8477,25.0763,25.0763,4378500
1998-06-01,24.9457,25.4681,22.0724,22.6927,22.6927,8725900
1998-07-01,22.9192,23.4461,21.602,22.1289,22.1289,10594600
1998-08-01,21.9972,22.8863,20.4165,20.4165,20.4165,5212900
1998-09-01,20.3177,21.3715,16.893,17.387,17.387,9088300
1998-10-01,17.4791,21.9404,17.3459,19.9428,19.9428,7753200
1998-11-01,20.0427,23.1057,20.0094,22.3067,22.3067,5214800
1998-12-01,22.1069,24.2044,21.9405,23.5386,23.5386,4988600
1999-01-01,23.8834,24.4545,22.5733,23.4467,23.4467,4039200
1999-02-01,23.2116,23.3123,21.1625,22.1366,22.1366,3612800
1999-03-01,22.0359,22.5397,18.408,20.1884,20.1884,7168300
1999-04-01,20.2593,22.9402,18.7322,21.447,21.447,6054200
1999-05-01,21.447,22.5329,20.7004,22.3293,22.3293,4301500
1999-06-01,22.3972,24.4333,22.0578,23.8903,23.8903,5568100
1999-07-01,24.2432,26.5716,23.5926,24.8253,24.8253,4864200
1999-08-01,24.8253,24.9965,22.3256,22.3256,22.3256,3814700
1999-09-01,22.3256,23.3186,18.4221,18.9015,18.9015,4511000
1999-10-01,18.8855,21.3759,18.7125,21.1683,21.1683,7762100
1999-11-01,21.03,21.7218,19.9923,20.3728,20.3728,4618400
1999-12-01,20.269,21.2375,18.9547,20.8224,20.8224,5610200
2000-01-01,21.0396,21.2144,19.3271,19.9562,19.9562,5012100
2000-02-01,19.8164,20.3057,16.3214,16.7758,16.7758,6707200
2000-03-01,16.9156,19.8513,16.0768,19.6067,19.6067,13664200
2000-04-01,19.7877,21.3778,18.975,19.4697,19.4697,4057600
2000-05-01,19.1517,19.6464,17.9503,19.2224,19.2224,6052800
2000-06-01,19.081,19.5051,16.2895,17.0669,17.0669,8570400
2000-07-01,17.1749,17.7116,15.0638,15.3143,15.3143,5847800
2000-08-01,15.3143,15.5648,14.5271,14.7418,14.7418,7399700
2000-09-01,14.7418,14.8491,9.9471,10.4481,10.4481,12872000
2000-10-01,10.7308,11.2037,8.5483,9.7487,9.7487,13087800
2000-11-01,9.785,11.2037,9.3121,10.8763,10.8763,7818700
2000-12-01,11.0218,12.1131,10.5489,11.8221,11.8221,8937300
2001-01-01,11.8789,13.1987,11.7322,12.9465,12.9465,8166000
2001-02-01,12.9582,13.3513,11.5856,11.8554,11.8554,7572400
2001-03-01,11.8789,13.0521,11.6559,12.9406,12.9406,14273300
2001-04-01,13.0256,14.786,12.553,14.6029,14.6029,10406000
2001-05-01,14.6501,16.6586,14.2662,15.5067,15.5067,10935300
2001-06-01,15.5953,16.0974,14.3843,14.8451,14.8451,6962600
2001-07-01,15.1528,17.5179,14.8379,17.3099,17.3099,7384900
2001-08-01,17.3099,18.7776,16.9058,17.916,17.916,9252500
2001-09-01,17.9219,18.124,14.9746,16.4542,16.4542,7480000
2001-10-01,16.4678,17.2747,14.4056,17.0416,17.0416,13765900
2001-11-01,17.0476,18.6017,16.8862,18.3208,18.3208,7614000
2001-12-01,17.992,18.9424,17.5796,17.7589,17.7589,4892000
2002-01-01,17.93,18.6808,16.4163,18.0742,18.0742,9072600
2002-02-01,18.0742,20.7652,18.0021,20.6931,20.6931,8611600
2002-03-01,20.6991,21.5941,20.0323,21.0054,21.0054,7334800
2002-04-01,21.1017,22.5917,18.4655,19.4247,19.4247,10221500
