Date,Open,High,Low,Close,Adj Close,Volume
,INCY,INCY,INCY,INCY,,INCY
1993-11-01,1.875,2.5,1.875,2.25,2.25,6005200
1993-12-01,2.2812,2.9688,2.125,2.25,2.25,2179600
1994-01-01,2.2188,2.875,2.0,2.7812,2.7812,2274400
1994-02-01,2.7812,2.8125,2.4375,2.5938,2.5938,1275200
1994-03-01,2.5625,2.625,2.1875,2.1875,2.1875,995600
1994-04-01,2.2188,2.25,1.7188,2.2188,2.2188,1056000
1994-05-01,2.25,2.75,2.1875,2.625,2.625,1080000
1994-06-01,2.5625,2.9375,2.5,2.6562,2.6562,1756800
1994-07-01,2.6875,2.6875,2.25,2.4688,2.4688,693600
1994-08-01,2.4688,2.5938,2.0,2.0312,2.0312,8082800
1994-09-01,2.0312,2.1875,1.6562,1.8125,1.8125,3686000
1994-10-01,1.7812,2.0625,1.7188,1.9688,1.9688,784800
1994-11-01,1.9688,2.6875,1.8438,2.6797,2.6797,2490800
1994-12-01,2.8125,4.0625,2.7188,3.4688,3.4688,2829200
1995-01-01,3.4062,3.9375,3.2188,3.7812,3.7812,1053200
1995-02-01,3.75,4.875,3.6875,4.4375,4.4375,1485200
1995-03-01,4.4062,4.4062,3.4375,3.5625,3.5625,1844800
1995-04-01,3.5625,4.0938,3.5625,4.0938,4.0938,905600
1995-05-01,4.1562,4.3125,3.75,3.8125,3.8125,1109200
1995-06-01,3.8125,4.0938,3.75,4.0938,4.0938,1044800
1995-07-01,4.125,4.6875,4.0312,4.0625,4.0625,822400
1995-08-01,4.0625,5.7188,4.0,5.4375,5.4375,2326400
1995-09-01,5.4062,6.0938,5.3438,5.625,5.625,1010400
1995-10-01,5.5625,5.7812,5.1562,5.1875,5.1875,1506400
1995-11-01,5.1562,5.1875,4.125,4.4375,4.4375,8053200
1995-12-01,4.4688,6.2812,4.2812,6.25,6.25,5349600
1996-01-01,6.625,9.8438,6.1562,9.75,9.75,14772000
1996-02-01,9.625,9.75,7.6875,8.0,8.0,7131600
1996-03-01,7.9375,8.3125,6.875,7.125,7.125,5562000
1996-04-01,7.0,8.4375,5.7812,8.0312,8.0312,10407600
1996-05-01,8.0,9.0625,6.8125,8.5625,8.5625,6654400
1996-06-01,8.375,9.9688,7.5312,9.6406,9.6406,8950400
1996-07-01,9.75,10.4375,8.125,9.5625,9.5625,11824400
1996-08-01,9.5625,11.0,9.125,10.1562,10.1562,6522400
1996-09-01,10.0,12.4375,9.25,12.375,12.375,7282400
1996-10-01,12.4375,12.625,9.5625,10.125,10.125,7126000
1996-11-01,10.0625,11.0625,8.875,9.5,9.5,6108000
1996-12-01,9.5625,13.2188,9.4375,12.875,12.875,12820000
1997-01-01,12.8438,18.625,12.4375,16.625,16.625,13943200
1997-02-01,16.625,18.375,12.625,13.25,13.25,7987600
1997-03-01,13.3125,15.125,12.0312,13.0,13.0,9953600
1997-04-01,13.0,13.25,10.375,10.625,10.625,7391600
1997-05-01,10.625,16.75,10.625,16.375,16.375,6196000
1997-06-01,16.25,17.9375,16.125,16.75,16.75,3826400
1997-07-01,16.125,18.0,15.1875,16.9375,16.9375,10716800
1997-08-01,16.9062,17.125,14.9062,15.125,15.125,4778000
1997-09-01,15.375,21.125,15.0,21.0,21.0,12297600
1997-10-01,21.0,22.625,17.875,20.125,20.125,7393600
1997-11-01,19.9688,22.0,19.5,20.125,20.125,3853800
1997-12-01,21.0,22.5,15.75,22.5,22.5,9198600
1998-01-01,21.5,22.6875,17.0,21.6875,21.6875,8238000
1998-02-01,22.375,25.5,21.75,22.75,22.75,4202800
1998-03-01,23.375,24.5,21.0,23.375,23.375,4279400
1998-04-01,23.5,24.0,19.5625,22.5,22.5,10279200
1998-05-01,22.3125,22.5625,15.875,18.3594,18.3594,21680600
1998-06-01,18.25,18.25,15.5,17.0625,17.0625,11374000
1998-07-01,17.125,21.625,16.625,18.0312,18.0312,12475400
1998-08-01,18.125,18.125,9.5,9.6875,9.6875,25475000
1998-09-01,10.1875,12.875,8.6875,10.625,10.625,15811400
1998-10-01,10.375,15.625,10.0,15.25,15.25,20123000
1998-11-01,15.0625,17.75,12.9375,15.625,15.625,8964200
1998-12-01,15.5312,20.3125,15.25,18.6875,18.6875,10928800
1999-01-01,18.875,19.75,13.125,15.0,15.0,16494800
1999-02-01,14.75,15.875,10.75,14.0312,14.0312,20923800
1999-03-01,14.25,14.25,9.75,10.0312,10.0312,14415400
1999-04-01,10.0625,13.4375,8.375,9.0312,9.0312,20339000
1999-05-01,9.125,13.25,9.125,13.0,13.0,11602400
1999-06-01,12.875,13.5625,11.0625,13.2188,13.2188,5987600
