Date,Open,High,Low,Close,Adj Close,Volume
,INTU,INTU,INTU,INTU,,INTU
1993-03-01,2.0291,2.4349,1.9922,2.0476,2.0476,53485200
1993-04-01,2.0476,2.1029,1.7709,2.0291,2.0291,18763200
1993-05-01,2.0291,2.3981,2.0291,2.1398,2.1398,9484800
1993-06-01,2.1398,2.5272,1.9,2.3981,2.3981,13534800
1993-07-01,2.3427,2.3981,2.0845,2.1214,2.1214,11340000
1993-08-01,2.1583,2.3981,2.1214,2.3058,2.3058,7993200
1993-09-01,2.3058,2.8039,2.3058,2.601,2.601,21256800
1993-10-01,2.6379,2.6563,2.4165,2.4995,2.4995,10098000
1993-11-01,2.5087,3.4311,2.5087,2.8592,2.8592,39114000
1993-12-01,2.8592,3.2097,2.767,3.1451,3.1451,39982800
1994-01-01,3.1359,3.468,2.8777,3.4403,3.4403,37698000
1994-02-01,3.3942,3.6893,3.1913,3.3204,3.3204,48507600
1994-03-01,3.2835,3.3942,2.6563,2.684,2.684,34101600
1994-04-01,2.6194,2.8039,2.066,2.6563,2.6563,63171600
1994-05-01,2.6748,2.7116,1.9922,2.5641,2.5641,44292000
1994-06-01,2.5456,2.7485,2.1767,2.4534,2.4534,35049600
1994-07-01,2.4626,2.8961,2.4349,2.6563,2.6563,34093200
1994-08-01,2.6932,3.3388,2.5456,3.1544,3.1544,49338000
1994-09-01,3.1544,3.2835,2.8592,3.2282,3.2282,34168800
1994-10-01,3.2466,5.4048,2.9515,5.2065,5.2065,162122400
1994-11-01,5.2204,5.2204,4.7961,5.1466,5.1466,41888400
1994-12-01,5.1097,5.165,4.7777,4.9252,4.9252,34467600
1995-01-01,4.8883,5.1835,4.7961,4.8699,4.8699,25240800
1995-02-01,4.8146,5.2112,4.6301,4.8883,4.8883,35992800
1995-03-01,4.8515,5.8291,4.833,5.7553,5.7553,48165600
1995-04-01,5.6815,6.3641,4.7961,4.999,4.999,84307200
1995-05-01,5.0544,5.9029,4.3903,4.667,4.667,141254400
1995-06-01,4.7592,5.9767,4.6485,5.6078,5.6078,125317200
1995-07-01,5.5524,6.5301,5.4417,6.3641,6.3641,106508400
1995-08-01,6.2718,6.7146,5.9767,6.3548,6.3548,43369800
1995-09-01,6.4563,7.6369,6.0874,6.9359,6.9359,50621400
1995-10-01,6.9359,10.8835,6.1981,10.6252,10.6252,80004600
1995-11-01,10.5514,13.1709,9.9243,12.3961,12.3961,136779600
1995-12-01,12.101,12.9495,9.9243,11.5107,11.5107,87640800
1996-01-01,11.5107,11.5107,7.3417,9.0942,9.0942,150520800
1996-02-01,9.0388,10.2563,7.8582,9.8505,9.8505,114133200
1996-03-01,8.0796,8.301,6.0505,6.6408,6.6408,188437200
1996-04-01,6.7146,7.7476,6.4932,7.6738,7.6738,87288000
1996-05-01,7.6738,8.2272,7.1204,7.6738,7.6738,87758400
1996-06-01,7.7476,8.0796,6.4194,6.9728,6.9728,64635000
1996-07-01,6.9728,7.268,4.6854,5.165,5.165,86072400
1996-08-01,5.1281,6.1243,5.1281,5.3864,5.3864,45961200
1996-09-01,5.2388,5.4233,4.0214,4.6485,4.6485,104738400
1996-10-01,4.5748,4.7592,3.8184,3.9845,3.9845,94184400
1996-11-01,3.9476,5.9398,3.8738,5.2757,5.2757,113679000
1996-12-01,5.3495,5.3864,4.4087,4.6485,4.6485,57584400
1997-01-01,4.7223,5.4602,4.0214,4.3165,4.3165,100243800
1997-02-01,4.3534,4.3718,3.0806,3.3388,3.3388,77815200
1997-03-01,3.3204,3.8553,3.1175,3.4311,3.4311,89455200
1997-04-01,3.3942,3.7078,3.1359,3.265,3.265,64167600
1997-05-01,3.265,4.3165,3.2282,4.0029,4.0029,137509800
1997-06-01,4.0214,4.2058,3.3388,3.3849,3.3849,66585000
1997-07-01,3.3942,3.8369,3.3573,3.717,3.717,60457200
1997-08-01,3.7078,4.2981,3.4864,3.8553,3.8553,105882600
1997-09-01,3.8922,5.0544,3.5971,4.7223,4.7223,155983200
1997-10-01,4.7408,5.368,4.2058,4.8146,4.8146,143080200
1997-11-01,4.8699,5.0359,3.9845,4.4548,4.4548,69053400
1997-12-01,4.4641,6.1704,4.4641,6.0874,6.0874,140953200
1998-01-01,6.0874,6.1058,4.999,5.5155,5.5155,129320400
1998-02-01,5.6078,7.8582,5.5709,6.8621,6.8621,172076400
1998-03-01,6.9175,7.3786,6.4194,7.1388,7.1388,113067000
1998-04-01,7.1019,8.1073,6.7146,7.849,7.849,106063800
1998-05-01,7.8675,8.098,6.1243,6.9913,6.9913,166677000
1998-06-01,7.0097,9.6291,6.6408,9.0388,9.0388,138339600
1998-07-01,9.0849,10.0257,7.3417,7.3417,7.3417,103978800
1998-08-01,7.3786,7.766,5.0451,5.0451,5.0451,137262000
1998-09-01,5.3311,7.268,5.2573,6.8714,6.8714,111720000
1998-10-01,6.7883,7.4547,3.8738,7.4524,7.4524,85472400
1998-11-01,7.3786,9.5738,7.1757,8.5408,8.5408,93108000
1998-12-01,8.4485,10.8281,8.0427,10.699,10.699,93559200
1999-01-01,10.7082,15.4582,10.5699,13.4291,13.4291,167023200
1999-02-01,13.5675,14.7573,11.1417,14.6005,14.6005,100291200
1999-03-01,14.0563,15.5966,12.5068,15.0155,15.0155,139947000
1999-04-01,15.2184,16.3437,10.8466,12.7097,12.7097,130920000
1999-05-01,12.6175,12.9311,10.3854,12.0087,12.0087,145470000
1999-06-01,11.9903,13.7058,11.3446,13.3,13.3,85821000
1999-07-01,13.3184,14.6558,11.7874,12.0733,12.0733,75309000
1999-08-01,12.0272,13.7611,9.9612,13.217,13.217,127292400
1999-09-01,13.2078,15.8272,12.6175,12.9357,12.9357,151072800
1999-10-01,13.0602,14.1116,10.0442,12.8942,12.8942,116467000
1999-11-01,13.0878,26.7844,12.2578,22.1359,22.1359,158565200
1999-12-01,21.9975,28.3339,21.9699,26.5354,26.5354,122668600
2000-01-01,26.3901,39.8446,23.9068,26.7014,26.7014,137455200
2000-02-01,27.5315,32.2077,22.6893,23.2427,23.2427,160453800
2000-03-01,23.298,27.1718,20.1437,24.0728,24.0728,190634600
2000-04-01,23.464,23.7961,13.2815,15.9102,15.9102,151734200
2000-05-01,16.4359,16.9893,11.4,16.0485,16.0485,174396200
2000-06-01,16.3806,19.3136,15.5781,18.3174,18.3174,112153000
2000-07-01,18.1791,20.448,14.2777,15.0524,15.0524,81719600
2000-08-01,16.2145,26.5631,15.2184,26.5077,26.5077,150044400
2000-09-01,26.5631,27.3932,22.2466,25.2349,25.2349,84861400
2000-10-01,25.2626,27.3378,17.9301,27.1995,27.1995,92306800
2000-11-01,26.9781,30.6859,18.4835,20.1713,20.1713,149942400
2000-12-01,20.5864,24.9305,14.7204,17.4597,17.4597,241275400
2001-01-01,17.1,19.1199,13.7519,17.4874,17.4874,186754600
2001-02-01,17.3767,20.0883,14.416,18.2068,18.2068,153562800
2001-03-01,17.8747,20.9738,11.815,12.2854,12.2854,262871800
2001-04-01,12.3131,14.7602,10.0165,14.1847,14.1847,166665000
2001-05-01,14.043,16.1326,13.2151,14.1935,14.1935,151104600
2001-06-01,14.437,18.0408,13.5029,17.7043,17.7043,121685000
2001-07-01,17.1819,17.3324,13.7685,15.2206,15.2206,86705400
2001-08-01,15.2738,17.3413,12.6352,16.7259,16.7259,137880200
2001-09-01,16.7259,17.2881,13.0248,15.8493,15.8493,87727800
2001-10-01,15.6722,19.3601,14.8753,17.8061,17.8061,181750000
2001-11-01,17.9079,20.8299,17.2217,19.4353,19.4353,161123000
2001-12-01,19.3423,20.2986,18.0673,18.9395,18.9395,103231000
2002-01-01,18.9528,19.0324,16.3584,17.3767,17.3767,145690400
2002-02-01,17.266,17.7087,15.2826,16.7746,16.7746,125148600
2002-03-01,16.7746,18.51,15.867,16.9827,16.9827,97391200
2002-04-01,16.8808,18.2046,16.0264,17.3457,17.3457,108630800
2002-05-01,17.2704,20.0994,16.3141,19.36,19.36,126304600
2002-06-01,19.2626,22.1403,18.7624,22.0119,22.0119,169671000
2002-07-01,21.7596,22.1935,17.39,19.4707,19.4707,188533400
2002-08-01,19.3689,21.1619,17.204,19.7585,19.7585,128710400
2002-09-01,19.6213,21.671,19.0989,20.1569,20.1569,139359200
2002-10-01,20.1924,23.6766,19.0369,22.9859,22.9859,167557200
2002-11-01,23.0036,24.3672,21.4098,23.8802,23.8802,151581800
2002-12-01,24.1945,24.3539,20.095,20.7723,20.7723,107730200
2003-01-01,20.8697,22.9239,19.1653,19.5239,19.5239,135537000
2003-02-01,19.5371,21.0512,17.7309,21.038,21.038,156368000
2003-03-01,21.3169,22.8,16.2566,16.4691,16.4691,253566200
2003-04-01,16.4824,18.1514,14.7425,17.1863,17.1863,224303200
2003-05-01,17.1686,20.6041,16.8675,20.3296,20.3296,181139200
2003-06-01,20.4757,21.7729,19.1697,19.7452,19.7452,139326800
2003-07-01,19.4884,20.1437,17.4475,19.0944,19.0944,122904800
2003-08-01,18.8421,20.7945,18.448,20.1481,20.1481,97514800
2003-09-01,20.0994,22.6849,19.9533,21.3567,21.3567,108308000
2003-10-01,21.4143,22.313,20.6794,22.1802,22.1802,95393800
2003-11-01,22.1359,22.6052,20.2234,22.2599,22.2599,87527400
2003-12-01,22.2244,23.8581,21.8039,23.4021,23.4021,106971200
2004-01-01,23.3888,23.5836,20.9627,22.2997,22.2997,139481800
2004-02-01,22.3307,22.3307,19.3025,19.6655,19.6655,102945800
2004-03-01,19.5814,20.1437,18.1027,19.7585,19.7585,106768800
2004-04-01,19.8957,20.6926,18.4348,18.8199,18.8199,94655600
2004-05-01,18.8155,19.4265,16.3496,17.3811,17.3811,154106000
2004-06-01,17.2881,18.5322,16.8233,17.0801,17.0801,93459000
2004-07-01,17.0801,17.3811,15.867,16.5754,16.5754,74451400
2004-08-01,16.6418,19.1254,16.354,18.7225,18.7225,100324200
2004-09-01,18.6163,20.1215,18.572,20.0994,20.0994,75280600
2004-10-01,20.1525,20.8653,19.1962,20.0817,20.0817,68304400
2004-11-01,20.002,20.5554,18.4658,18.5233,18.5233,77410200
2004-12-01,18.6783,19.9002,18.3772,19.484,19.484,64236200
2005-01-01,19.4929,19.6124,16.8233,17.266,17.266,79432800
2005-02-01,17.3191,19.0856,16.4868,18.9483,18.9483,84177000
2005-03-01,19.0147,19.847,18.8288,19.3778,19.3778,73747200
2005-04-01,19.4043,19.5637,17.5671,17.8415,17.8415,72244200
2005-05-01,17.9965,19.6478,17.9434,19.1564,19.1564,75468600
2005-06-01,19.1697,20.4359,18.8111,19.971,19.971,75041000
2005-07-01,20.1348,21.95,19.4575,21.2505,21.2505,73831000
2005-08-01,21.2062,21.4408,19.3025,20.2942,20.2942,76638000
2005-09-01,20.2322,20.5731,19.4265,19.8382,19.8382,68678000
2005-10-01,19.7674,20.5333,18.6783,20.334,20.334,62738800
2005-11-01,20.3429,24.0794,20.2145,23.7164,23.7164,77369600
2005-12-01,23.6987,24.7656,23.1497,23.5969,23.5969,70517000
2006-01-01,23.5747,24.0883,22.4148,23.1674,23.1674,61619200
2006-02-01,23.0833,24.4469,21.3479,21.5205,21.5205,71913000
2006-03-01,21.5117,24.0086,21.2416,23.5482,23.5482,84749800
2006-04-01,23.5836,25.6644,23.3799,23.982,23.982,45516200
2006-05-01,24.0661,25.1021,22.5786,24.4779,24.4779,72676600
2006-06-01,24.4734,27.0058,22.6893,26.8021,26.8021,87628000
2006-07-01,26.8021,28.1923,24.9162,27.3334,27.3334,54391100
2006-08-01,27.174,28.0949,25.8104,26.7933,26.7933,55283100
