Date,Open,High,Low,Close,Adj Close,Volume
,ITW,ITW,ITW,ITW,,ITW
1985-01-01,0.0,1.1179,0.8539,1.0985,1.0985,8171200
1985-02-01,0.0,1.1256,1.017,1.1179,1.1179,6692800
1985-03-01,0.0,1.1179,0.9626,1.0597,1.0597,5832000
1985-04-01,0.0,1.0868,1.0014,1.0092,1.0092,5147200
1985-05-01,0.0,1.0713,0.9704,1.0402,1.0402,5254400
1985-06-01,0.0,1.1023,0.9549,0.9937,0.9937,4806400
1985-07-01,0.0,1.0519,0.9432,1.017,1.017,8796800
1985-08-01,0.0,1.048,0.9471,0.9471,0.9471,4235200
1985-09-01,0.0,0.9549,0.8539,0.9044,0.9044,7148800
1985-10-01,0.0,0.9432,0.8462,0.9005,0.9005,7516800
1985-11-01,0.0,1.017,0.8811,0.9781,0.9781,7892800
1985-12-01,0.0,1.1179,0.9549,1.0868,1.0868,9428800
1986-01-01,0.0,1.0946,0.9626,1.0441,1.0441,10296000
1986-02-01,0.0,1.2964,1.0325,1.2964,1.2964,21612800
1986-03-01,0.0,1.3275,1.2188,1.2382,1.2382,16110400
1986-04-01,0.0,1.2498,1.1334,1.2343,1.2343,16936000
1986-05-01,0.0,1.3973,1.211,1.3973,1.3973,8427200
1986-06-01,0.0,1.3896,1.2421,1.3003,1.3003,6268800
1986-07-01,0.0,1.312,1.1489,1.2304,1.2304,8844800
1986-08-01,0.0,1.409,1.211,1.409,1.409,13540800
1986-09-01,0.0,1.4905,1.2576,1.3081,1.3081,16228800
1986-10-01,0.0,1.4983,1.3081,1.4944,1.4944,13688000
1986-11-01,0.0,1.5759,1.4594,1.5487,1.5487,12102400
1986-12-01,0.0,1.6613,1.5216,1.6108,1.6108,16494400
1987-01-01,0.0,1.9485,1.6069,1.9485,1.9485,10748800
1987-02-01,0.0,2.1489,1.8686,2.0866,2.0866,12024000
1987-03-01,0.0,2.4759,2.0476,2.1644,2.1644,12118400
1987-04-01,0.0,2.3669,2.0087,2.3279,2.3279,16187200
1987-05-01,0.0,2.4836,2.1956,2.2734,2.2734,9267200
1987-06-01,0.0,2.6663,2.1361,2.448,2.448,10916000
1987-07-01,0.0,2.7053,2.3544,2.7053,2.7053,9122400
1987-08-01,0.0,3.0946,2.5632,2.6101,2.6101,10851200
1987-09-01,0.0,2.9383,2.4538,2.9383,2.9383,12361600
1987-10-01,0.0,3.0086,1.5785,2.1568,2.1568,21779200
1987-11-01,0.0,2.1644,1.6782,1.8664,1.8664,12808800
1987-12-01,1.8821,2.2899,1.6939,2.0703,2.0703,15252000
1988-01-01,2.086,2.3369,1.9135,2.086,2.086,13827200
1988-02-01,2.0767,2.2969,1.9036,2.2891,2.2891,11662400
1988-03-01,2.2812,2.4228,2.1081,2.1947,2.1947,11415200
1988-04-01,2.1789,2.3756,2.1239,2.3756,2.3756,10055200
1988-05-01,2.3661,2.374,2.2242,2.303,2.303,8139200
1988-06-01,2.303,2.7605,2.303,2.7368,2.7368,10750400
1988-07-01,2.7132,2.7132,2.303,2.4608,2.4608,8129600
1988-08-01,2.4686,2.5161,2.0492,2.1679,2.1679,9207200
1988-09-01,2.1521,2.2391,2.0097,2.2233,2.2233,12623200
1988-10-01,2.2233,2.3262,2.1679,2.1996,2.1996,11128800
1988-11-01,2.1752,2.1991,1.9768,2.1117,2.1117,20123200
1988-12-01,2.1117,2.2546,2.0959,2.207,2.207,13448000
1989-01-01,2.1911,2.3261,2.1276,2.3181,2.3181,15971200
1989-02-01,2.342,2.4057,2.1269,2.1827,2.1827,12409600
1989-03-01,2.1986,2.2065,2.103,2.1588,2.1588,17342400
1989-04-01,2.1428,2.2623,2.1349,2.2384,2.2384,16299200
1989-05-01,2.2304,2.5172,2.2145,2.3579,2.3579,13825600
1989-06-01,2.366,2.5419,2.2701,2.358,2.358,20205600
1989-07-01,2.374,2.5818,2.3101,2.5818,2.5818,13164000
1989-08-01,2.5818,2.8936,2.5578,2.8856,2.8856,16781600
1989-09-01,2.9044,3.0488,2.7519,2.768,2.768,10319200
1989-10-01,2.7599,3.0006,2.4872,2.5995,2.5995,13573600
1989-11-01,2.6013,2.7382,2.5369,2.6497,2.6497,11864000
1989-12-01,2.6497,2.8993,2.6094,2.8913,2.8913,10150400
1990-01-01,2.8752,3.0282,2.6094,2.6819,2.6819,8767200
1990-02-01,2.6835,3.128,2.6673,3.1038,3.1038,11360800
1990-03-01,3.1119,3.2897,3.0715,3.2655,3.2655,17076800
1990-04-01,3.2493,3.3382,3.1038,3.2735,3.2735,13288800
1990-05-01,3.2654,3.6777,3.2654,3.5483,3.5483,10354400
1990-06-01,3.5751,3.6075,3.3076,3.494,3.494,9784000
1990-07-01,3.5021,3.721,3.2913,3.3643,3.3643,21782400
1990-08-01,3.3643,3.3967,2.6752,3.0481,3.0481,15675200
1990-09-01,3.0424,3.0587,2.6763,2.9122,2.9122,9966400
1990-10-01,2.9041,3.0505,2.7089,2.717,2.717,16244000
1990-11-01,2.7007,2.9773,2.5543,2.9773,2.9773,13735200
1990-12-01,3.0065,3.1944,2.9493,3.1536,3.1536,10270400
1991-01-01,3.1536,3.5621,2.982,3.5131,3.5131,15943200
1991-02-01,3.5583,3.7387,3.4846,3.6157,3.6157,14008000
1991-03-01,3.6321,3.7879,3.5501,3.6157,3.6157,9616800
1991-04-01,3.5993,3.7879,3.3944,3.6403,3.6403,13576800
1991-05-01,3.6403,4.1815,3.501,4.1651,4.1651,12111200
1991-06-01,4.162,4.4088,4.0633,4.1373,4.1373,14903200
1991-07-01,4.162,4.2607,3.7261,3.7425,3.7425,13121600
1991-08-01,3.7425,4.2278,3.7425,4.2196,4.2196,11603200
1991-09-01,4.2267,4.5074,4.1111,4.5074,4.5074,7413600
1991-10-01,4.5074,4.5816,4.2267,4.3257,4.3257,10716000
1991-11-01,4.3092,4.3092,3.9212,4.0781,4.0781,11591200
1991-12-01,4.0587,4.2244,3.6114,4.2244,4.2244,15683200
1992-01-01,4.2161,4.6799,4.1747,4.2575,4.2575,11268000
1992-02-01,4.2409,4.4811,4.125,4.2326,4.2326,6784000
1992-03-01,4.2638,4.4467,4.1308,4.3137,4.3137,7687200
1992-04-01,4.3054,4.3719,3.79,4.2555,4.2555,18247200
1992-05-01,4.2472,4.3137,4.1391,4.2222,4.2222,6522400
1992-06-01,4.2203,4.287,3.92,4.0618,4.0618,7284800
1992-07-01,4.0451,4.2036,3.8533,4.0535,4.0535,11719200
1992-08-01,4.0368,4.1786,4.0284,4.1118,4.1118,9847200
1992-09-01,4.1184,4.6123,4.0933,4.4784,4.4784,8956800
