Date,Open,High,Low,Close,Adj Close,Volume
,IT,IT,IT,IT,,IT
1993-10-01,3.0039,3.2395,2.9156,3.0923,3.0923,45745600
1993-11-01,3.1806,3.8874,3.1217,3.6224,3.6224,17775200
1993-12-01,3.6518,4.3881,3.5929,4.0641,4.0641,6328000
1994-01-01,4.0052,4.9182,4.0052,4.8888,4.8888,9635200
1994-02-01,4.8593,5.0066,4.447,4.9477,4.9477,6231200
1994-03-01,5.036,5.036,3.7696,4.0052,4.0052,6996800
1994-04-01,3.9463,4.2408,3.7696,4.123,4.123,5672800
1994-05-01,4.123,4.712,3.9463,4.6237,4.6237,9867200
1994-06-01,4.6237,5.4778,4.6237,5.2716,5.2716,7996800
1994-07-01,5.2716,5.8017,5.2716,5.787,5.787,8879200
1994-08-01,5.7134,6.5674,5.4483,6.0373,6.0373,9307600
1994-09-01,6.0079,6.9503,5.4778,6.7147,6.7147,6647600
1994-10-01,6.8325,7.6571,6.5969,7.6276,7.6276,4802800
1994-11-01,7.4804,9.0118,7.3626,8.0105,8.0105,8814800
1994-12-01,8.0694,9.3063,7.0681,9.1885,9.1885,8376000
1995-01-01,9.1885,9.7186,8.3639,9.0707,9.0707,16624400
1995-02-01,9.0707,10.5432,8.9529,9.7775,9.7775,10776000
1995-03-01,9.7775,11.3678,9.483,10.1309,10.1309,13575200
1995-04-01,10.1898,10.3665,8.8645,9.748,9.748,15742400
1995-05-01,9.807,11.7801,9.2474,11.25,11.25,17260400
1995-06-01,11.3089,14.0772,11.1911,13.6649,13.6649,12948400
1995-07-01,13.6649,15.6676,12.6047,14.4895,14.4895,10439200
1995-08-01,14.4895,14.843,12.3691,13.3704,13.3704,7229200
1995-09-01,13.3115,16.1388,13.0759,15.432,15.432,5566400
1995-10-01,15.6676,20.9686,15.3142,20.5563,20.5563,8154200
1995-11-01,20.4974,21.6754,16.4922,20.4974,20.4974,10975600
1995-12-01,20.2618,22.7356,19.4372,22.5589,22.5589,8545400
1996-01-01,22.3822,27.4477,18.6126,26.0341,26.0341,14199400
1996-02-01,26.0341,27.4477,24.0314,25.504,25.504,11125200
1996-03-01,25.4451,31.2173,24.267,28.7435,28.7435,11139400
1996-04-01,29.4503,34.1623,28.7435,32.2775,32.2775,7277800
1996-05-01,32.5131,40.6414,30.1571,33.6911,33.6911,9168600
1996-06-01,34.1624,37.6964,27.3299,34.5158,34.5158,8901400
1996-07-01,34.1623,37.2252,26.3875,30.7461,30.7461,9575300
1996-08-01,30.8639,35.1048,29.0969,29.4503,29.4503,9401700
1996-09-01,28.7435,34.8692,25.2095,32.0419,32.0419,10489100
1996-10-01,31.5707,35.1048,27.9189,28.9791,28.9791,8582300
1996-11-01,29.4503,36.754,28.0367,34.398,34.398,10941300
1996-12-01,34.398,36.754,31.3351,36.6951,36.6951,7827600
1997-01-01,36.754,39.8168,29.4503,32.2775,32.2775,12496300
1997-02-01,31.8063,33.1021,24.267,24.9739,24.9739,12268400
1997-03-01,25.4451,28.5079,18.6126,20.3796,20.3796,18419700
1997-04-01,19.6728,27.5655,18.7304,24.7383,24.7383,17132800
1997-05-01,24.8561,28.3901,23.5602,27.4477,27.4477,11540400
1997-06-01,27.4477,33.9267,25.2684,33.8678,33.8678,11325200
1997-07-01,33.4555,35.3404,25.9163,26.7409,26.7409,18309000
1997-08-01,26.9765,29.0969,23.5602,24.915,24.915,21569300
1997-09-01,24.9739,30.2749,24.5027,28.2723,28.2723,12346400
1997-10-01,28.1545,31.5707,24.8561,26.6231,26.6231,12127000
1997-11-01,26.5053,29.8037,25.2095,27.4477,27.4477,10465700
1997-12-01,27.9189,35.3404,27.4477,35.1048,35.1048,16687600
1998-01-01,34.5158,36.3417,30.5105,35.1637,35.1637,13804000
1998-02-01,35.1048,38.1676,33.5733,37.5786,37.5786,11909800
1998-03-01,37.8142,39.3456,32.1008,35.2226,35.2226,14031500
1998-04-01,34.5158,34.5158,29.3325,31.2173,31.2173,25170500
1998-05-01,31.3351,33.1021,28.2723,31.1584,31.1584,11044200
1998-06-01,31.0995,32.9843,29.8037,32.9843,32.9843,12816900
1998-07-01,32.9843,33.5733,28.5079,28.8613,28.8613,17800200
1998-08-01,28.5079,30.3338,21.6754,21.7932,21.7932,20096500
1998-09-01,21.6754,26.682,18.7893,19.6728,19.6728,13202800
1998-10-01,19.555,20.6152,16.3155,18.7304,18.7304,15583800
1998-11-01,19.3194,23.3835,16.61,20.4974,20.4974,17405100
1998-12-01,20.3796,20.6741,17.5524,20.0262,20.0262,12263200
1999-01-01,20.144,23.5602,20.0262,22.6178,22.6178,5012200
1999-02-01,22.7356,24.267,19.9673,21.1453,21.1453,5493900
1999-03-01,20.733,22.2644,19.2016,21.2631,21.2631,5393200
1999-04-01,21.2042,21.911,17.9058,17.9647,17.9647,6822000
1999-05-01,18.0825,23.5013,17.6702,21.6754,21.6754,6183700
1999-06-01,21.911,22.0288,18.5537,19.3194,19.3194,4884400
1999-07-01,19.3194,22.0288,18.8482,20.9097,20.9097,8123700
1999-08-01,22.1875,23.125,20.75,20.9375,20.9375,6871900
1999-09-01,21.0,22.3125,14.25,16.0,16.0,7808500
1999-10-01,16.25,19.0,9.5625,9.75,9.75,10111100
1999-11-01,9.75,12.75,9.625,11.5,11.5,19510900
1999-12-01,11.5625,15.4375,11.4375,15.25,15.25,13788300
2000-01-01,15.5,17.5,14.3125,15.5625,15.5625,8426300
2000-02-01,15.3125,15.9375,12.625,14.3125,14.3125,5878300
2000-03-01,14.875,22.25,13.25,15.75,15.75,12705800
2000-04-01,15.8125,17.0,12.4375,13.5,13.5,8893900
2000-05-01,13.5,14.75,11.375,13.3125,13.3125,4950000
2000-06-01,13.3125,14.5,11.375,12.0,12.0,6612200
2000-07-01,12.0,15.25,11.8125,14.125,14.125,6098300
2000-08-01,13.875,14.375,12.25,13.375,13.375,2701600
2000-09-01,13.125,14.75,11.625,11.625,11.625,3884300
2000-10-01,11.75,12.375,7.625,9.5,9.5,6469700
2000-11-01,9.5,11.0625,8.375,8.5,8.5,2848300
2000-12-01,8.5625,8.8125,5.6562,6.9062,6.9062,7255200
2001-01-01,7.0,8.6,6.4062,8.1,8.1,6890600
2001-02-01,8.2,9.16,7.6,8.5,8.5,3247600
2001-03-01,8.4,8.45,6.01,6.74,6.74,6183300
2001-04-01,6.84,8.35,5.8,8.0,8.0,4516300
2001-05-01,8.0,9.3,7.9,9.1,9.1,3317000
2001-06-01,9.1,11.0,8.2,11.0,11.0,3542700
2001-07-01,10.97,11.17,8.9,11.1,11.1,5562000
2001-08-01,11.15,11.15,9.3,9.95,9.95,2430400
2001-09-01,10.0,10.25,8.4,9.05,9.05,5222100
2001-10-01,9.15,9.7,8.2,9.09,9.09,3868700
2001-11-01,9.19,10.0,8.6,9.95,9.95,3137900
2001-12-01,10.0,11.7,9.82,11.69,11.69,5657600
2002-01-01,11.75,12.7,11.0,11.71,11.71,5940600
2002-02-01,11.78,12.08,10.8,11.81,11.81,3974000
2002-03-01,11.15,13.49,11.15,12.9,12.9,5061200
2002-04-01,13.0,13.7,11.15,11.7,11.7,6968300
2002-05-01,11.73,12.1,11.1,11.46,11.46,4833700
2002-06-01,11.46,11.7,9.5,10.1,10.1,6121200
2002-07-01,9.7,9.94,7.7,7.75,7.75,6225400
2002-08-01,7.9,9.89,7.9,9.41,9.41,3792800
2002-09-01,9.31,9.8,7.78,8.1,8.1,2867300
2002-10-01,8.15,8.41,4.9,8.0,8.0,4815500
2002-11-01,7.98,9.77,7.98,9.77,9.77,3211500
2002-12-01,9.87,10.66,8.9,9.2,9.2,4179400
2003-01-01,9.35,9.68,8.26,8.68,8.68,3493900
2003-02-01,8.69,8.78,7.15,7.32,7.32,6362700
2003-03-01,7.38,7.47,6.76,6.95,6.95,3283600
2003-04-01,7.08,8.14,7.08,7.94,7.94,2720600
