Date,Open,High,Low,Close,Adj Close,Volume
,IVZ,IVZ,IVZ,IVZ,,IVZ
1995-08-01,2.8294,2.8715,2.7874,2.8189,2.8189,6881500
1995-09-01,2.8189,2.9136,2.6401,2.9031,2.9031,7538000
1995-10-01,2.9452,3.2397,2.861,3.2186,3.2186,3365500
1995-11-01,3.2081,3.4606,3.145,3.429,3.429,1386500
1995-12-01,3.429,3.45,3.2081,3.2607,3.2607,277500
1996-01-01,3.2817,3.3554,2.9767,3.1555,3.1555,1074000
1996-02-01,3.1766,3.7025,3.1766,3.4711,3.4711,791000
1996-03-01,3.4816,3.4816,3.2712,3.3764,3.3764,223500
1996-04-01,3.3764,3.3869,3.0924,3.1134,3.1134,868500
1996-05-01,3.1345,3.2817,3.0503,3.2186,3.2186,627500
1996-06-01,3.2929,3.3356,2.9935,2.9935,2.9935,424000
1996-07-01,3.0256,3.2287,2.8438,2.8973,2.8973,1809000
1996-08-01,2.908,3.2501,2.8652,3.2287,3.2287,963000
1996-09-01,3.2445,3.32,3.1259,3.1906,3.1906,304500
1996-10-01,3.2122,3.2337,3.1475,3.2229,3.2229,146000
1996-11-01,3.2768,3.9559,3.2768,3.8374,3.8374,1755500
1996-12-01,3.8374,3.8805,3.5787,3.8266,3.8266,549500
1997-01-01,3.8374,4.1284,3.708,4.1284,4.1284,1158000
1997-02-01,4.1392,4.9584,4.1392,4.9584,4.9584,933500
1997-03-01,4.9584,5.0877,4.6781,4.6781,4.6781,1013500
1997-04-01,4.5703,4.7644,4.4194,4.732,4.732,656500
1997-05-01,4.7415,4.9364,4.7307,4.8281,4.8281,551500
1997-06-01,4.8065,5.0879,4.6116,5.0446,5.0446,497500
1997-07-01,5.0988,5.6292,5.0988,5.4343,5.4343,982000
1997-08-01,5.3477,5.3477,5.0663,5.2287,5.2287,768500
1997-09-01,5.3076,5.8852,5.3076,5.8852,5.8852,1614000
1997-10-01,5.8634,6.2339,5.3621,5.7326,5.7326,982500
1997-11-01,5.7544,6.3211,5.58,6.2339,6.2339,472500
1997-12-01,6.3865,7.52,6.3429,7.52,7.52,962500
1998-01-01,7.4873,8.0649,6.7571,7.8742,7.8742,555000
1998-02-01,7.8415,8.4572,7.8415,8.3918,8.3918,349000
1998-03-01,8.7624,9.5907,8.37,9.3291,9.3291,521000
1998-04-01,9.4599,10.8549,9.2419,9.8522,9.8522,421500
1998-05-01,9.9637,10.0076,9.2175,9.3163,9.3163,4438500
1998-06-01,9.3053,9.6345,8.4823,8.625,8.625,2938250
1998-07-01,8.8006,10.4026,8.8006,10.0954,10.0954,2298750
1998-08-01,9.9418,9.9418,6.6278,6.6278,6.6278,2256000
1998-09-01,6.6717,7.1326,4.7843,5.0916,5.0916,1879750
1998-10-01,4.6399,6.7168,3.8003,6.4738,6.4738,1832000
1998-11-01,6.7168,7.2471,5.9656,7.0924,7.0924,505500
1998-12-01,6.7721,6.982,6.1645,6.8052,6.8052,763000
1999-01-01,6.8163,8.1309,6.761,7.3576,7.3576,812750
1999-02-01,7.6006,8.6612,7.5122,8.628,8.628,562750
1999-03-01,8.6391,9.545,8.3518,9.0478,9.0478,584000
1999-04-01,8.8821,9.9869,8.4402,9.6444,9.6444,535500
1999-05-01,9.6955,9.6955,8.2914,8.4028,8.4028,529750
1999-06-01,8.4474,8.4474,7.5893,8.2914,8.2914,460750
1999-07-01,8.2914,9.3166,8.0908,8.2468,8.2468,293250
1999-08-01,7.957,8.0685,6.9875,7.5335,7.5335,373250
1999-09-01,7.6227,7.8902,6.9318,7.2995,7.2995,228500
1999-10-01,7.3649,8.0609,6.4667,8.0609,8.0609,363250
1999-11-01,8.0385,9.251,7.769,9.0489,9.0489,991750
1999-12-01,9.1612,10.5084,9.1612,10.1491,10.1491,808250
2000-01-01,10.1042,11.4066,9.251,9.7338,9.7338,580000
2000-02-01,9.7001,10.9126,9.3857,10.2502,10.2502,518750
2000-03-01,10.2502,13.158,10.1941,12.7538,12.7538,730500
2000-04-01,12.4394,12.9334,10.3737,12.7987,12.7987,698000
2000-05-01,12.9591,13.5584,10.7879,11.7604,11.7604,918250
2000-06-01,11.8057,14.3387,11.6474,14.1804,14.1804,802750
2000-07-01,14.2256,16.4646,14.2256,15.7748,15.7748,860000
2000-08-01,15.7409,19.7214,15.6052,19.3595,19.3595,1811500
2000-09-01,20.9878,21.1688,17.618,20.0606,20.0606,1298750
2000-10-01,20.2103,20.7774,16.944,20.5732,20.5732,1187500
2000-11-01,21.3444,23.1817,14.3468,14.4602,14.4602,1663900
2000-12-01,15.5377,20.8681,15.2541,19.734,19.734,1067000
2001-01-01,18.8267,21.7754,18.0328,20.9135,20.9135,681700
2001-02-01,20.7774,21.2083,16.9395,18.0509,18.0509,773200
2001-03-01,17.0892,18.0554,11.0692,13.156,13.156,1527700
2001-04-01,13.5095,17.115,12.7792,16.6586,16.6586,602000
2001-05-01,16.6815,18.3062,15.8599,17.1835,17.1835,468900
2001-06-01,16.8594,17.3432,14.7417,15.8052,15.8052,436600
2001-07-01,16.0881,16.3437,12.5967,14.5774,14.5774,700600
2001-08-01,14.7098,15.6591,13.1215,13.2813,13.2813,367800
2001-09-01,13.2356,13.4638,7.3937,9.7944,9.7944,713100
2001-10-01,9.6319,12.8471,9.4485,10.9162,10.9162,986800
2001-11-01,11.0996,14.324,10.8932,12.9343,12.9343,640400
2001-12-01,12.6132,14.3057,12.4068,13.3104,13.3104,426500
2002-01-01,13.3242,14.5855,11.6042,12.7692,12.7692,652300
2002-02-01,12.5215,12.6362,10.3474,10.962,10.962,538900
2002-03-01,11.1455,13.315,11.0905,12.7233,12.7233,477600
2002-04-01,12.7508,13.0673,9.6549,9.9759,9.9759,456200
2002-05-01,10.1479,10.7394,8.7338,9.3346,9.3346,960300
2002-06-01,9.3577,9.3577,6.9362,7.6017,7.6017,1306500
2002-07-01,7.8558,7.8558,5.7856,6.9963,6.9963,1472000
2002-08-01,6.7884,7.0934,5.3558,6.4695,6.4695,817000
2002-09-01,5.961,6.1948,4.2779,4.5257,4.5257,1745700
2002-10-01,4.4883,6.1854,3.5626,5.8441,5.8441,1745500
2002-11-01,5.774,7.2467,5.6898,6.8119,6.8119,620800
2002-12-01,7.3262,7.3402,5.6337,5.8909,5.8909,1315700
2003-01-01,5.9563,6.522,4.9558,5.4,5.4,811000
2003-02-01,5.5636,5.6104,4.0208,4.3761,4.3761,1144400
2003-03-01,4.4883,5.0213,3.5766,4.2732,4.2732,1622100
2003-04-01,4.3013,5.6665,4.2685,5.1942,5.1942,1375500
2003-05-01,5.1328,5.9771,4.9889,5.9387,5.9387,1701000
2003-06-01,6.1738,7.6752,5.9819,6.7062,6.7062,1709000
