Date,Open,High,Low,Close,Adj Close,Volume
,JCI,JCI,JCI,JCI,,JCI
1987-09-01,3.1468,3.1614,3.1029,3.1175,3.1175,834160
1987-10-01,3.1175,3.2346,1.8442,2.4296,2.4296,15864409
1987-11-01,2.4296,2.6052,2.2247,2.2979,2.2979,6993343
1987-12-01,2.3418,2.6784,2.2247,2.6638,2.6638,6866549
1988-01-01,2.6491,2.8394,2.4589,2.7662,2.7662,6840035
1988-02-01,2.8101,2.9858,2.5467,2.8687,2.8687,7397937
1988-03-01,2.8687,3.4688,2.8394,3.176,3.176,17224965
1988-04-01,3.1984,3.4478,3.0224,3.4038,3.4038,15553956
1988-05-01,3.3892,3.9027,3.3892,3.6533,3.6533,19209121
1988-06-01,3.6533,4.2841,3.6533,4.02,4.02,16420390
1988-07-01,4.0425,4.1307,3.7632,3.8661,3.8661,8550237
1988-08-01,3.8514,3.9984,3.4692,3.6015,3.6015,7742972
1988-09-01,3.5868,4.2189,3.5868,4.1748,4.1748,11942591
1988-10-01,4.1535,4.5218,4.1241,4.1683,4.1683,8745424
1988-11-01,4.1535,4.2419,3.7853,4.0946,4.0946,6827357
1988-12-01,4.0799,4.2861,4.021,4.2125,4.2125,5574389
1989-01-01,4.1914,4.28,3.8077,4.28,4.28,12726417
1989-02-01,4.2505,4.4719,4.1915,4.3095,4.3095,10048726
1989-03-01,4.2948,4.3981,3.9996,4.1767,4.1767,7090552
1989-04-01,4.1551,4.2143,3.9333,4.1699,4.1699,14471201
1989-05-01,4.1551,4.9389,4.0516,4.8353,4.8353,16905671
1989-06-01,4.8438,5.0512,4.5179,4.5772,4.5772,7047520
1989-07-01,4.5772,5.4512,4.5179,5.3623,5.3623,11041573
1989-08-01,5.3475,5.8363,5.3178,5.5845,5.5845,9733276
1989-09-01,5.5926,5.6816,5.2514,5.652,5.652,4970380
1989-10-01,5.652,6.2305,5.2811,5.8003,5.8003,9788222
1989-11-01,5.7706,5.9932,5.7113,5.8745,5.8745,5295056
1989-12-01,5.8838,6.389,5.7501,5.9879,5.9879,5654308
1990-01-01,6.0176,6.2999,4.8735,5.2301,5.2301,10502502
1990-02-01,5.2895,5.7204,5.2598,5.6758,5.6758,5769959
1990-03-01,5.6854,5.998,5.6408,5.6557,5.6557,4358689
1990-04-01,5.611,5.9831,5.3431,5.4026,5.4026,5876009
1990-05-01,5.4175,6.4594,5.1794,6.3403,6.3403,10850615
1990-06-01,6.3354,6.9168,6.3205,6.7826,6.7826,9298714
1990-07-01,6.7826,7.841,6.7081,7.0509,7.0509,10207799
1990-08-01,7.0062,7.0956,5.6944,6.3056,6.3056,10646971
1990-09-01,6.2853,6.7183,5.8524,5.9569,5.9569,5933642
1990-10-01,6.0912,6.3301,4.5236,4.5833,4.5833,15717634
1990-11-01,4.7177,4.8222,4.434,4.7326,4.7326,16245183
1990-12-01,4.7476,5.3746,4.5535,5.1357,5.1357,11827321
1991-01-01,5.1466,5.2962,4.4734,4.8474,4.8474,14647557
1991-02-01,4.8474,5.8947,4.8474,5.386,5.386,16917580
1991-03-01,5.3561,6.2538,5.3411,5.6852,5.6852,12900089
1991-04-01,5.6703,6.1041,5.5805,5.5805,5.5805,8643605
1991-05-01,5.6058,6.1005,5.5909,6.1005,6.1005,7371427
1991-06-01,6.0855,6.1604,5.6958,5.7557,5.7557,8233250
1991-07-01,5.7707,5.8756,4.9763,4.9913,4.9913,10875974
1991-08-01,5.0007,5.3761,4.5352,4.9706,4.9706,11509949
1991-09-01,5.0007,5.0307,4.5502,4.6553,4.6553,9594569
1991-10-01,4.6703,4.7454,3.6792,4.0096,4.0096,22445478
1991-11-01,3.9887,4.1392,3.7478,3.7629,3.7629,15363378
1991-12-01,3.7629,4.2295,3.3715,4.1392,4.1392,15648474
1992-01-01,4.1198,4.7989,4.0594,4.482,4.482,10481755
1992-02-01,4.6027,4.6932,4.3763,4.4669,4.4669,5726924
1992-03-01,4.482,4.7234,4.2707,4.4971,4.4971,8741200
1992-04-01,4.4367,4.5725,4.0443,4.3914,4.3914,8729672
1992-05-01,4.4021,4.4323,4.1449,4.2357,4.2357,5674286
1992-06-01,4.2357,4.3264,3.7062,4.1146,4.1146,8951757
1992-07-01,4.1258,4.1864,3.7769,4.0954,4.0954,8353514
1992-08-01,4.0803,4.2471,3.7162,4.1713,4.1713,10649277
1992-09-01,4.1713,4.5505,4.1561,4.2016,4.2016,6116151
1992-10-01,4.2275,5.0182,4.0754,4.8053,4.8053,7376037
1992-11-01,4.8053,4.9118,4.562,4.8053,4.8053,4773269
1992-12-01,4.7749,5.2463,4.7749,5.0334,5.0334,8595192
1993-01-01,5.0759,5.838,5.0759,5.5484,5.5484,9658738
1993-02-01,5.5789,5.899,4.9997,5.3198,5.3198,7639614
1993-03-01,5.2893,5.7313,5.2741,5.5179,5.5179,7887060
1993-04-01,5.5149,5.5913,5.1636,5.2247,5.2247,5914432
1993-05-01,5.2094,5.3469,4.5678,5.0872,5.0872,10049497
1993-06-01,5.1177,5.2247,4.8886,5.0566,5.0566,7796770
1993-07-01,5.0261,5.133,4.7358,4.8275,4.8275,6526506
1993-08-01,4.8085,5.6967,4.8085,5.6661,5.6661,5793784
1993-09-01,5.6355,5.7427,5.1148,5.2986,5.2986,8182529
1993-10-01,5.2956,5.7561,5.0961,5.7408,5.7408,5762660
