Date,Open,High,Low,Close,Adj Close,Volume
,JNJ,JNJ,JNJ,JNJ,,JNJ
1985-01-01,0.8616,0.9427,0.8436,0.9367,0.9367,141102400
1985-02-01,0.9187,0.9637,0.8887,0.9457,0.9457,131019200
1985-03-01,0.9438,1.0195,0.9378,1.0164,1.0164,149992000
1985-04-01,1.0104,1.083,0.9771,1.0618,1.0618,183592000
1985-05-01,1.0558,1.1465,1.0376,1.1374,1.1374,136675200
1985-06-01,1.1545,1.1667,1.0936,1.1302,1.1302,113316800
1985-07-01,1.1332,1.1972,1.0966,1.1241,1.1241,150539200
1985-08-01,1.1393,1.1576,1.0784,1.1393,1.1393,104529600
1985-09-01,1.1474,1.1781,1.0492,1.0891,1.0891,111371200
1985-10-01,1.086,1.1719,1.0584,1.1535,1.1535,128929600
1985-11-01,1.1505,1.2425,1.1443,1.2241,1.2241,224345600
1985-12-01,1.226,1.3649,1.192,1.3001,1.3001,171881600
1986-01-01,1.297,1.334,1.2167,1.3279,1.3279,132534400
1986-02-01,1.3279,1.3588,1.1302,1.2291,1.2291,576472000
1986-03-01,1.2404,1.4549,1.1968,1.4269,1.4269,274787200
1986-04-01,1.4362,1.7253,1.315,1.6383,1.6383,318836800
1986-05-01,1.6134,1.7533,1.5917,1.7005,1.7005,161201600
1986-06-01,1.7028,1.8434,1.6403,1.8153,1.8153,143424000
1986-07-01,1.8153,1.8216,1.6091,1.7028,1.7028,174428800
1986-08-01,1.706,1.8622,1.6747,1.8466,1.8466,144096000
1986-09-01,1.8461,1.8555,1.5133,1.6075,1.6075,194441600
1986-10-01,1.62,1.7613,1.5541,1.7519,1.7519,123788800
1986-11-01,1.7582,1.7801,1.6263,1.7205,1.7205,130014400
1986-12-01,1.704,1.8176,1.6472,1.6567,1.6567,170254400
1987-01-01,1.6567,1.9911,1.6567,1.9091,1.9091,249284800
1987-02-01,1.9028,2.2341,1.887,2.1773,2.1773,193604800
1987-03-01,2.2054,2.3955,2.1642,2.2434,2.2434,208251200
1987-04-01,2.2244,2.3353,2.1072,2.2086,2.2086,224408000
1987-05-01,2.1991,2.2909,2.0343,2.18,2.18,148656000
1987-06-01,2.2007,2.4269,2.1657,2.3409,2.3409,133956800
1987-07-01,2.3441,2.4651,2.2708,2.4269,2.4269,159984000
1987-08-01,2.4205,2.6848,2.3568,2.5415,2.5415,175347200
1987-09-01,2.5586,2.5714,2.2899,2.4434,2.4434,219763200
1987-10-01,2.4562,2.5458,1.4136,2.0469,2.0469,344299200
1987-11-01,2.0277,2.0629,1.8102,1.8678,1.8678,143969600
1987-12-01,1.8973,2.0677,1.8008,1.9262,1.9262,153884800
1988-01-01,1.9519,2.0548,1.7911,2.0162,2.0162,242632000
1988-02-01,2.0323,2.1481,1.9551,2.1417,2.1417,147928000
1988-03-01,2.1559,2.24,2.0008,2.0525,2.0525,156260800
1988-04-01,2.0396,2.1753,1.9491,1.9588,1.9588,148171200
1988-05-01,1.9652,2.0169,1.7907,2.0105,2.0105,147083200
1988-06-01,2.0376,2.1288,2.0018,2.0669,2.0669,178225600
1988-07-01,2.0702,2.093,1.9791,2.0832,2.0832,108262400
1988-08-01,2.0832,2.1451,2.0507,2.1093,2.1093,120308800
1988-09-01,2.1127,2.2732,2.0898,2.2503,2.2503,123940800
1988-10-01,2.247,2.3093,2.2077,2.2798,2.2798,109171200
1988-11-01,2.2798,2.306,2.1127,2.2536,2.2536,113971200
1988-12-01,2.2672,2.3068,2.2211,2.2442,2.2442,87448000
1989-01-01,2.2409,2.4254,2.1881,2.4155,2.4155,131144000
1989-02-01,2.4155,2.432,2.254,2.2705,2.2705,111040000
1989-03-01,2.2999,2.4789,2.2568,2.406,2.406,144632000
1989-04-01,2.4093,2.5683,2.3828,2.5485,2.5485,108467200
1989-05-01,2.5319,2.744,2.4855,2.6181,2.6181,137480800
1989-06-01,2.6532,2.8665,2.5132,2.5532,2.5532,131359200
1989-07-01,2.5998,2.8932,2.5532,2.8465,2.8465,106146400
1989-08-01,2.8398,2.8465,2.6332,2.7932,2.7932,137716000
1989-09-01,2.8223,2.9429,2.6815,2.9362,2.9362,106166400
1989-10-01,2.9094,3.0368,2.7083,2.9698,2.9698,132754400
1989-11-01,2.9497,3.0703,2.8089,3.0301,3.0301,94060000
1989-12-01,3.073,3.2078,2.9921,3.201,3.201,94146400
1990-01-01,3.1674,3.2752,2.7563,2.8237,2.8237,136120000
1990-02-01,2.9247,3.0528,2.8034,2.8911,2.8911,92084000
1990-03-01,2.9197,3.1162,2.9129,3.0417,3.0417,93845600
1990-04-01,3.0213,3.2178,3.0078,3.0688,3.0688,94313600
1990-05-01,3.0891,3.4888,3.0755,3.4617,3.4617,126883200
1990-06-01,3.5151,3.7195,3.4266,3.6922,3.6922,108437600
1990-07-01,3.6922,4.0397,3.6786,3.8489,3.8489,116019200
1990-08-01,3.8353,3.8557,3.2699,3.5764,3.5764,168426400
1990-09-01,3.5397,3.6561,3.3138,3.4644,3.4644,102738400
1990-10-01,3.5055,3.8068,3.4713,3.526,3.526,136454400
1990-11-01,3.5192,3.8547,3.4918,3.8204,3.8204,117522400
1990-12-01,3.8952,3.9709,3.8264,3.9503,3.9503,93742400
1991-01-01,3.9296,4.2187,3.5993,4.2118,4.2118,148303200
1991-02-01,4.198,4.5628,4.1292,4.5215,4.5215,125629600
1991-03-01,4.4855,5.5015,4.4786,5.3011,5.3011,178516000
1991-04-01,5.2872,5.5499,5.149,5.225,5.225,151252000
1991-05-01,5.2112,5.3218,4.914,5.0108,5.0108,120423200
1991-06-01,4.9562,4.9979,4.5536,4.6369,4.6369,147764800
1991-07-01,4.6924,5.0881,4.5397,5.0881,5.0881,108432000
1991-08-01,5.0881,5.1853,4.7202,5.1575,5.1575,88289600
1991-09-01,5.1939,5.2218,4.9081,4.929,4.929,76906400
1991-10-01,4.936,5.3264,4.7268,5.3055,5.3055,117614400
1991-11-01,5.2915,5.5843,5.1591,5.3752,5.3752,96635200
1991-12-01,5.3339,6.5099,5.3339,6.4119,6.4119,118049600
1992-01-01,6.2999,6.5729,5.7259,6.0199,6.0199,143755200
1992-02-01,5.9779,6.1459,5.4039,5.6699,5.6699,112514400
1992-03-01,5.6631,5.7685,5.2837,5.4805,5.4805,108916800
1992-04-01,5.4524,5.7756,4.9957,5.3329,5.3329,164190400
1992-05-01,5.3048,5.4945,5.1713,5.4453,5.4453,99303200
1992-06-01,5.4506,5.5354,4.8576,5.0553,5.0553,143238000
1992-07-01,5.0411,5.606,5.0411,5.5636,5.5636,84928800
1992-08-01,5.5212,5.7895,5.4365,5.5777,5.5777,67834400
1992-09-01,5.5898,6.0012,5.2777,5.3486,5.3486,80918000
1992-10-01,5.377,5.7884,4.9088,5.6749,5.6749,92159200
1992-11-01,5.6465,5.8877,5.4053,5.7175,5.7175,67899600
1992-12-01,5.73,6.2432,5.673,5.7585,5.7585,82614400
1993-01-01,5.73,5.7443,4.9603,5.0173,5.0173,113930800
1993-02-01,5.0601,5.2597,4.2904,4.8463,4.8463,161588800
1993-03-01,4.9143,5.1292,4.4271,4.8856,4.8856,160477200
1993-04-01,4.8856,5.0289,4.3985,5.0002,5.0002,115748800
1993-05-01,5.0432,5.2438,4.8426,5.1148,5.1148,92354000
1993-06-01,5.1302,5.2743,4.6691,4.7844,4.7844,108939600
1993-07-01,4.7556,4.77,4.1647,4.2079,4.2079,129280400
1993-08-01,4.2224,4.7267,4.1071,4.6979,4.6979,137678800
1993-09-01,4.7171,4.8477,4.3688,4.572,4.572,115323600
1993-10-01,4.5574,4.9493,4.4704,4.8913,4.8913,90568400
1993-11-01,4.8913,5.2977,4.8622,5.0654,5.0654,90893200
1993-12-01,5.1108,5.3152,4.9501,5.2422,5.2422,86742000
1994-01-01,5.2276,5.3444,4.6873,4.9501,4.9501,98402800
1994-02-01,4.9355,5.0378,4.6727,4.6873,4.6873,85927200
1994-03-01,4.7161,4.8042,4.2312,4.4369,4.4369,106467600
1994-04-01,4.29,4.9218,4.2606,4.863,4.863,102322800
1994-05-01,4.863,5.2744,4.7601,5.2009,5.2009,90794800
1994-06-01,5.2226,5.2374,5.0007,5.0746,5.0746,77763600
1994-07-01,5.1042,5.6368,5.0007,5.5629,5.5629,100252000
1994-08-01,5.5629,5.9919,5.5185,5.9327,5.9327,136172000
1994-09-01,5.9689,6.2368,5.7605,6.1624,6.1624,95790000
1994-10-01,6.1773,6.6834,5.8945,6.5048,6.5048,103617200
1994-11-01,6.4601,6.728,6.1029,6.3559,6.3559,109474000
1994-12-01,6.4207,6.6752,6.2411,6.5554,6.5554,87551600
1995-01-01,6.5405,7.1242,6.4207,6.9595,6.9595,91209600
1995-02-01,6.9895,6.9895,6.6452,6.7949,6.7949,86100400
1995-03-01,6.8141,7.5812,6.784,7.16,7.16,101681200
1995-04-01,7.145,7.8369,7.0247,7.8219,7.8219,91005200
1995-05-01,7.7918,8.1378,7.4158,7.9573,7.9573,112846400
1995-06-01,7.9818,8.6168,7.9063,8.1633,8.1633,75038000
1995-07-01,8.133,8.6772,7.7853,8.6772,8.6772,87112400
1995-08-01,8.647,8.647,8.0877,8.3447,8.3447,65398800
1995-09-01,8.384,9.0979,8.3081,9.0068,9.0068,68438800
1995-10-01,8.946,10.2218,8.8853,9.9029,9.9029,92542400
1995-11-01,9.8725,10.6016,9.6751,10.5256,10.5256,72781200
1995-12-01,10.599,11.27,10.3855,10.4312,10.4312,95390400
1996-01-01,10.4312,11.7732,10.1415,11.7122,11.7122,123280400
1996-02-01,11.7428,12.246,11.27,11.4072,11.4072,156618400
1996-03-01,11.5377,12.0274,11.1399,11.2929,11.2929,122030800
1996-04-01,11.4,11.6602,10.4819,11.3235,11.3235,118370000
1996-05-01,11.2623,12.0427,10.8186,11.9203,11.9203,98430800
1996-06-01,11.9225,12.4756,11.6766,12.1683,12.1683,83213200
1996-07-01,12.2297,12.2912,10.847,11.7381,11.7381,79048800
1996-08-01,11.7381,13.1209,11.7381,12.1068,12.1068,65203800
1996-09-01,11.9961,12.767,11.9036,12.6437,12.6437,62727600
1996-10-01,12.6437,13.0446,11.626,12.1503,12.1503,93335800
1996-11-01,12.2736,13.3221,12.0578,13.1371,13.1371,82136200
1996-12-01,13.1554,13.3102,11.8863,12.3196,12.3196,84063000
1997-01-01,12.3506,14.4864,12.0411,14.3007,14.3007,126250200
1997-02-01,14.3626,15.5388,14.0221,14.2388,14.2388,94141200
1997-03-01,14.1592,15.2459,13.1034,13.1345,13.1345,105654600
