Date,Open,High,Low,Close,Adj Close,Volume
,JNPR,JNPR,JNPR,JNPR,,JNPR
1999-06-01,13.4716,20.4159,11.5632,19.1169,19.1169,85582800
1999-07-01,20.2556,21.1697,15.6528,20.841,20.841,92561400
1999-08-01,20.5282,30.0706,18.732,26.3018,26.3018,90854400
1999-09-01,26.4782,27.9536,21.7471,23.3589,23.3589,107736000
1999-10-01,23.4471,35.7961,23.0942,35.363,35.363,126042000
1999-11-01,35.5395,42.9168,32.7168,35.5555,35.5555,81890400
1999-12-01,35.9244,49.3158,34.914,43.6224,43.6224,107043000
2000-01-01,44.7932,57.8017,37.5923,52.0823,52.0823,147834600
2000-02-01,52.4913,108.0617,51.6493,105.5839,105.5839,111954400
2000-03-01,108.9278,120.4508,79.8675,101.4462,101.4462,120949600
2000-04-01,101.6146,105.4637,58.3129,81.8642,81.8642,190889800
2000-05-01,83.885,87.6137,53.8865,67.4304,67.4304,193646400
2000-06-01,69.1143,115.8561,69.0902,112.0551,112.0551,167534400
2000-07-01,111.7183,139.5276,98.3429,109.6495,109.6495,135348000
2000-08-01,107.0514,165.0275,90.8854,164.5464,164.5464,157037100
2000-09-01,168.203,184.7538,139.9125,168.5398,168.5398,195560700
2000-10-01,170.8492,188.218,122.8805,150.1125,150.1125,301414400
2000-11-01,145.1087,170.7048,79.2902,95.9373,95.9373,292300500
2000-12-01,99.0646,129.7126,68.994,97.0439,97.0439,335365500
2001-01-01,95.2637,111.6221,74.8638,81.5515,81.5515,463514600
2001-02-01,83.1873,85.8335,44.2639,49.7007,49.7007,468590500
2001-03-01,48.2573,51.962,27.6746,29.2219,29.2219,606040900
2001-04-01,27.7978,53.5016,22.0165,45.4418,45.4418,706085000
2001-05-01,45.919,52.2468,30.8231,32.7399,32.7399,579886700
2001-06-01,34.6028,37.2587,21.4468,23.941,23.941,451908200
2001-07-01,23.8178,25.0187,17.5131,19.7764,19.7764,282589500
2001-08-01,20.5077,22.1628,10.5156,10.7773,10.7773,267005800
2001-09-01,10.5156,10.9698,6.8513,7.4671,7.4671,207406500
2001-10-01,7.4286,21.0312,7.0822,17.082,17.082,690130900
2001-11-01,17.4592,21.3237,14.7649,18.9219,18.9219,534088400
2001-12-01,18.5139,21.4314,14.1183,14.5879,14.5879,395371300
2002-01-01,14.7726,17.7133,11.7396,11.7935,11.7935,319350200
2002-02-01,11.678,12.1245,6.9283,7.1746,7.1746,390559300
2002-03-01,7.3363,11.5471,7.267,9.715,9.715,509066400
2002-04-01,9.9228,10.3385,7.3517,7.7828,7.7828,325421800
2002-05-01,7.7212,8.0291,6.0353,7.1361,7.1361,292174900
2002-06-01,7.1746,7.1746,3.6181,4.3494,4.3494,282211000
2002-07-01,4.4418,7.1207,4.2801,6.1585,6.1585,315646200
2002-08-01,6.0353,6.7589,5.1038,5.5965,5.5965,195059300
2002-09-01,5.481,5.7582,3.2948,3.6951,3.6951,183232400
2002-10-01,3.7644,4.665,3.1947,4.4803,4.4803,261271700
2002-11-01,4.3494,7.7366,4.3109,7.4979,7.4979,345748800
2002-12-01,7.7905,8.2754,5.0191,5.2347,5.2347,210880700
2003-01-01,5.3733,7.5518,5.2963,6.7512,6.7512,318096300
2003-02-01,6.8821,7.1207,6.2585,6.9206,6.9206,205771200
2003-03-01,7.113,7.2285,5.7351,6.2893,6.2893,224102600
2003-04-01,6.3355,8.2215,6.2354,7.8828,7.8828,274014500
2003-05-01,7.8289,10.8851,7.6827,10.631,10.631,364846200
2003-06-01,11.0698,11.5086,9.0991,9.5995,9.5995,269431400
2003-07-01,9.3609,11.8165,9.3147,11.1083,11.1083,308606700
2003-08-01,11.0698,13.5717,10.0152,13.2484,13.2484,200494300
2003-09-01,13.4562,14.0028,11.3547,11.5471,11.5471,209432600
2003-10-01,11.601,14.5494,11.5548,13.8565,13.8565,253312600
2003-11-01,14.0952,14.9189,13.2484,14.5263,14.5263,134590700
2003-12-01,14.5725,14.6956,12.5941,14.38,14.38,145647600
2004-01-01,14.4801,24.0565,14.4339,22.1936,22.1936,392267900
2004-02-01,22.2936,22.7401,18.7294,19.9149,19.9149,420189400
2004-03-01,20.0073,20.5385,17.7672,20.0304,20.0304,307517600
2004-04-01,20.1536,21.4545,16.6432,16.8434,16.8434,258619700
2004-05-01,16.8511,18.2752,15.2653,16.1275,16.1275,259868500
2004-06-01,15.9735,18.9373,15.1267,18.9142,18.9142,245932900
2004-07-01,19.0219,19.353,16.4816,17.6748,17.6748,282166300
2004-08-01,17.2976,17.8364,15.4038,17.6209,17.6209,176417700
2004-09-01,17.6132,20.0073,17.4361,18.1675,18.1675,172829000
2004-10-01,18.2675,20.6154,17.7672,20.4846,20.4846,235653000
2004-11-01,20.3999,22.9095,20.2075,21.2159,21.2159,163149100
2004-12-01,21.1928,23.2867,20.0997,20.9311,20.9311,154588000
2005-01-01,20.9619,21.1543,18.3676,19.3453,19.3453,189139500
2005-02-01,19.3299,19.4915,16.2122,16.5817,16.5817,215735200
2005-03-01,16.6355,18.3368,15.858,16.982,16.982,186958200
2005-04-01,17.2052,18.0751,15.1267,17.3823,17.3823,197773600
2005-05-01,17.5208,20.015,17.236,19.7456,19.7456,152268800
2005-06-01,19.5685,21.2852,18.7987,19.3838,19.3838,137046000
2005-07-01,19.4377,20.9465,17.6671,18.4677,18.4677,158796300
2005-08-01,18.5447,18.8603,17.1898,17.5054,17.5054,130526700
2005-09-01,17.5131,18.7602,16.9358,18.3214,18.3214,99541900
2005-10-01,18.1675,18.4523,16.2044,17.9596,17.9596,168067500
2005-11-01,17.9596,18.9989,17.2514,17.313,17.313,137744900
2005-12-01,17.4361,18.1983,16.166,17.1667,17.1667,138086900
2006-01-01,17.0435,17.4208,13.0713,13.9566,13.9566,423223200
2006-02-01,13.7873,14.8188,13.2561,14.1568,14.1568,236416900
2006-03-01,14.1568,15.7811,14.1414,14.7187,14.7187,225531700
2006-04-01,14.9189,15.681,13.4716,14.2261,14.2261,250695100
2006-05-01,14.2106,14.2414,11.0313,12.263,12.263,315986600
2006-06-01,12.34,13.4485,11.6934,12.3092,12.3092,300301700
2006-07-01,12.3939,12.4709,10.0922,10.3539,10.3539,194928300
2006-08-01,10.1692,11.3316,9.307,11.2854,11.2854,201416100
2006-09-01,11.347,13.487,10.7388,13.3023,13.3023,205363900
2006-10-01,13.2253,14.4647,12.7018,13.2561,13.2561,274740600
2006-11-01,13.3485,16.6048,12.8943,16.3892,16.3892,203714800
2006-12-01,16.4662,16.7664,14.1645,14.5802,14.5802,172954200
2007-01-01,14.7957,16.1044,13.7334,13.9489,13.9489,210715000
2007-02-01,14.0259,15.5424,13.7411,14.5571,14.5571,146566200
2007-03-01,14.1491,15.4192,13.2484,15.1498,15.1498,203209200
2007-04-01,15.1498,17.6132,15.1113,17.2129,17.2129,195535100
2007-05-01,17.2514,18.8834,17.0897,18.791,18.791,242448800
2007-06-01,18.8603,20.015,18.2906,19.3761,19.3761,189784700
2007-07-01,19.4376,24.6031,19.4376,23.0634,23.0634,258591300
2007-08-01,22.7093,26.7431,22.0242,25.3421,25.3421,258003300
2007-09-01,25.5037,28.9217,25.3498,28.1827,28.1827,189642500
2007-10-01,28.1673,29.2142,25.1265,27.7131,27.7131,196550800
2007-11-01,27.4821,27.6823,21.5623,22.8787,22.8787,201337500
2007-12-01,22.9018,26.9048,22.8864,25.5576,25.5576,137238100
2008-01-01,25.5576,25.6346,18.46,20.9003,20.9003,309433800
2008-02-01,20.8849,22.6169,18.3753,20.6462,20.6462,212627700
2008-03-01,20.6924,21.1928,18.0366,19.2452,19.2452,246969500
2008-04-01,19.5531,21.7471,17.1128,21.2621,21.2621,287371300
2008-05-01,21.1389,22.7016,20.6847,21.1851,21.1851,197383000
2008-06-01,21.1235,21.1543,16.8742,17.0743,17.0743,307178900
2008-07-01,16.9358,20.8233,16.0043,20.0381,20.0381,362375700
2008-08-01,19.9688,21.2852,19.045,19.7841,19.7841,192003000
2008-09-01,20.1767,21.0311,15.8426,16.2198,16.2198,291932100
2008-10-01,15.9196,16.012,11.755,14.4262,14.4262,328776400
2008-11-01,14.457,14.6725,10.2307,13.3793,13.3793,171616100
2008-12-01,13.079,14.1645,11.6626,13.4793,13.4793,176172500
2009-01-01,13.3562,14.5032,10.5849,10.9005,10.9005,250694500
2009-02-01,10.7003,12.9559,10.6464,10.939,10.939,254190700
2009-03-01,10.9236,12.8096,9.5687,11.5856,11.5856,357505700
2009-04-01,11.5625,17.2668,11.3547,16.6663,16.6663,354176200
2009-05-01,16.7818,19.4299,16.1275,19.0373,19.0373,224686800
2009-06-01,18.9835,19.5839,16.343,18.1675,18.1675,268725400
2009-07-01,18.3599,20.7617,17.2899,20.1151,20.1151,261875100
2009-08-01,20.0227,20.3229,17.4515,17.7595,17.7595,161596400
2009-09-01,17.7518,21.5931,17.2822,20.8002,20.8002,170755100
2009-10-01,20.8233,22.1243,19.2837,19.6378,19.6378,211648800
2009-11-01,20.0381,20.4153,18.5062,20.1151,20.1151,168449900
2009-12-01,20.2536,21.4776,19.5069,20.5308,20.5308,113865500
2010-01-01,20.7232,21.0311,18.7448,19.1143,19.1143,136847900
2010-02-01,18.7679,21.5931,18.5216,21.5392,21.5392,138135700
2010-03-01,21.5392,24.1104,21.4853,23.6177,23.6177,127563300
2010-04-01,23.7178,24.757,21.8394,21.8702,21.8702,157991900
2010-05-01,21.978,22.3783,19.2837,20.4923,20.4923,156009900
2010-06-01,20.015,20.2228,17.5054,17.567,17.567,192042300
2010-07-01,17.5901,22.3244,17.1282,21.3853,21.3853,194188800
2010-08-01,21.5392,22.3244,19.2452,20.9388,20.9388,123993400
2010-09-01,21.1851,24.2335,21.1851,23.3637,23.3637,121336100
2010-10-01,23.5561,25.2805,23.1404,24.9341,24.9341,172933100
2010-11-01,25.0803,27.7131,24.4337,26.1889,26.1889,145976100
2010-12-01,26.5815,29.2142,26.135,28.4213,28.4213,90374800
2011-01-01,28.6676,29.8146,26.3274,28.5753,28.5753,125325100
2011-02-01,28.7292,34.3488,28.5137,33.8715,33.8715,148547500
2011-03-01,34.0794,34.6491,29.907,32.3935,32.3935,164858500
2011-04-01,32.5398,32.5398,28.0826,29.5067,29.5067,146470700
2011-05-01,29.4605,31.0771,27.7516,28.1827,28.1827,142245600
2011-06-01,28.098,28.3828,22.3475,24.2489,24.2489,252691400
2011-07-01,24.2797,25.4883,17.8134,18.0058,18.0058,252736000
2011-08-01,18.0366,18.206,15.1113,16.1121,16.1121,273607200
2011-09-01,16.1506,17.0897,13.2484,13.2869,13.2869,233407300
2011-10-01,13.1714,19.7148,12.8327,18.8372,18.8372,269758900
2011-11-01,18.0597,19.5146,15.4962,17.4823,17.4823,177346100
2011-12-01,17.3746,18.2521,13.895,15.7118,15.7118,187511500
2012-01-01,16.089,18.637,15.1421,16.1121,16.1121,251736000
2012-02-01,16.1583,19.276,16.1583,17.5208,17.5208,200553500
2012-03-01,17.2822,17.7518,15.6964,17.6132,17.6132,193520400
2012-04-01,17.5208,17.6209,15.0343,16.497,16.497,224939400
2012-05-01,16.4354,16.8511,12.979,13.2407,13.2407,205596900
2012-06-01,12.8943,13.487,11.7858,12.5556,12.5556,186165800
2012-07-01,12.5017,13.8488,10.785,13.4947,13.4947,184092600
2012-08-01,13.487,15.0728,12.4555,13.4254,13.4254,224089400
2012-09-01,13.3716,15.3962,13.1637,13.1714,13.1714,123452400
2012-10-01,13.2484,14.7957,12.1399,12.7557,12.7557,182999800
2012-11-01,12.748,14.2645,12.34,13.8411,13.8411,162068900
2012-12-01,13.9335,15.9119,13.7257,15.1421,15.1421,141675100
2013-01-01,15.4962,17.5901,15.0497,17.2283,17.2283,153142100
2013-02-01,17.1821,17.6902,15.4885,15.9196,15.9196,103631800
2013-03-01,15.8503,16.3738,14.2183,14.2722,14.2722,147055000
2013-04-01,14.3107,14.6648,12.0244,12.7403,12.7403,183973800
2013-05-01,12.6941,13.9951,12.494,13.6487,13.6487,149762900
2013-06-01,13.6179,15.1036,13.2561,14.865,14.865,147078400
2013-07-01,14.9343,17.0204,14.6417,16.6817,16.6817,110262900
2013-08-01,16.751,17.1282,14.4031,14.5494,14.5494,104596900
2013-09-01,14.711,16.7741,14.711,15.2884,15.2884,102196700
2013-10-01,15.4808,16.4739,14.2568,14.3492,14.3492,149906200
2013-11-01,14.38,15.9504,14.1337,15.604,15.604,159875200
2013-12-01,15.604,17.4823,15.4808,17.3746,17.3746,160753500
2014-01-01,17.3746,22.132,17.1513,20.4846,20.4846,259592500
2014-02-01,20.3152,21.8548,20.1536,20.5847,20.5847,169825300
2014-03-01,20.423,20.6308,19.3145,19.8302,19.8302,152120200
2014-04-01,19.9072,20.6924,18.3291,19.0066,19.0066,174167800
2014-05-01,19.045,19.7841,18.6678,18.8295,18.8295,131723900
2014-06-01,18.8603,19.5146,18.4523,18.8911,18.8911,128554600
2014-07-01,18.9681,19.3915,16.9127,18.1213,18.1213,169028800
2014-08-01,18.0212,18.637,17.6286,17.8518,17.8518,109115300
2014-09-01,17.9445,18.3697,16.9317,17.125,17.125,101439900
2014-10-01,17.0863,17.1713,14.2334,16.29,16.29,203540400
2014-11-01,16.2745,17.2332,15.5632,17.1327,17.1327,116848600
2014-12-01,17.1558,17.9402,16.3326,17.3345,17.3345,106318700
2015-01-01,17.4432,18.3208,16.4957,17.6529,17.6529,102838100
2015-02-01,17.6529,19.1052,17.2024,18.5693,18.5693,82267500
2015-03-01,18.6467,19.099,17.2585,17.6094,17.6094,108599000
2015-04-01,17.547,21.0019,17.3209,20.6119,20.6119,137741000
2015-05-01,20.8225,22.0391,20.6743,21.6804,21.6804,93413100
2015-06-01,21.3912,22.0017,20.3189,20.3267,20.3267,104813900
2015-07-01,20.6006,22.8,19.6379,22.2443,22.2443,158349000
2015-08-01,22.1895,22.393,19.3953,20.1232,20.1232,103943700
2015-09-01,19.7452,20.5466,19.4387,20.2009,20.2009,98573700
2015-10-01,20.2009,25.0095,20.0202,24.6638,24.6638,142146900
2015-11-01,24.6952,25.4495,22.3931,23.6738,23.6738,104244600
2015-12-01,23.8859,24.083,21.3002,21.7575,21.7575,132017700
2016-01-01,21.4343,21.8599,17.3035,18.6042,18.6042,149134800
2016-02-01,18.3756,19.8103,16.9409,19.4714,19.4714,146128900
2016-03-01,19.5893,20.9664,19.3914,20.1908,20.1908,122811800
2016-04-01,20.1037,20.3332,17.7293,18.5207,18.5207,136041600
2016-05-01,18.4653,18.5841,17.5551,18.5287,18.5287,78454900
2016-06-01,18.6096,19.1184,16.8369,17.8783,17.8783,66230800
2016-07-01,17.8703,19.4363,16.8369,18.0372,18.0372,64290700
2016-08-01,18.0372,19.2138,17.5841,18.3473,18.3473,71802200
2016-09-01,18.4747,19.3369,17.8839,19.2092,19.2092,79661900
2016-10-01,19.1054,21.4287,17.8919,21.0295,21.0295,110919100
2016-11-01,20.5984,22.0754,19.7521,21.9876,21.9876,102093900
2016-12-01,22.119,23.4093,21.2455,22.6479,22.6479,70157700
2017-01-01,22.8243,23.3211,19.9552,21.4618,21.4618,81802300
2017-02-01,21.4298,23.0567,21.2936,22.4396,22.4396,64830600
2017-03-01,22.6797,23.1783,22.0684,22.3821,22.3821,83440800
2017-04-01,22.4062,24.3766,22.0524,24.1836,24.1836,120466500
2017-05-01,24.2399,24.8994,23.4035,23.5885,23.5885,124868100
2017-06-01,23.9274,24.5649,22.2892,22.499,22.499,146698100
2017-07-01,22.6362,24.4439,22.2247,22.5555,22.5555,102692900
2017-08-01,22.612,22.9752,21.7243,22.378,22.378,77413400
2017-09-01,22.5571,22.8648,21.4636,22.5409,22.5409,64630200
2017-10-01,22.63,23.3346,19.3335,20.111,20.111,151440300
2017-11-01,20.2487,24.258,19.706,22.4842,22.4842,189100400
2017-12-01,22.5685,24.0313,22.4059,23.1618,23.1618,88134900
2018-01-01,23.3487,23.7306,20.358,21.2519,21.2519,89507600
