Date,Open,High,Low,Close,Adj Close,Volume
,J,J,J,J,,J
1980-03-01,0.4637,0.472,0.3478,0.3975,0.3975,1488110
1980-04-01,0.3975,0.4472,0.3685,0.4389,0.4389,807257
1980-05-01,0.443,0.443,0.4058,0.4306,0.4306,787148
1980-06-01,0.4306,0.4886,0.4182,0.4762,0.4762,1309997
1980-07-01,0.4762,0.6501,0.4637,0.6252,0.6252,6228230
1980-08-01,0.6252,0.9606,0.6169,0.8902,0.8902,13947443
1980-09-01,0.8902,0.9482,0.8198,0.8281,0.8281,6064478
1980-10-01,0.8281,1.1594,0.8281,1.0683,1.0683,8514978
1980-11-01,1.0683,1.1469,0.9855,1.0476,1.0476,4099485
1980-12-01,1.0559,1.1014,0.9937,1.089,1.089,2028198
1981-01-01,1.0683,1.0683,0.8861,0.8861,0.8861,2697561
1981-02-01,0.8695,1.0269,0.795,1.0103,1.0103,3237646
1981-03-01,1.0103,1.2173,0.9192,1.1428,1.1428,2632443
1981-04-01,1.1428,1.2111,1.0745,1.1304,1.1304,2175667
1981-05-01,1.1428,1.2608,1.118,1.1552,1.1552,2374846
1981-06-01,1.1552,1.1739,1.0186,1.0434,1.0434,1693037
1981-07-01,1.0186,1.0931,0.9068,1.0807,1.0807,2719583
1981-08-01,1.0807,1.0869,0.913,0.9627,0.9627,1170188
1981-09-01,0.9627,0.9751,0.7764,0.795,0.795,1265946
1981-10-01,0.795,0.9378,0.7702,0.8447,0.8447,2041604
1981-11-01,0.8447,0.9378,0.795,0.913,0.913,1737086
1981-12-01,0.913,0.913,0.7639,0.795,0.795,1995641
1982-01-01,0.7826,0.7826,0.5776,0.708,0.708,2480183
1982-02-01,0.708,0.7267,0.6025,0.6335,0.6335,1277441
1982-03-01,0.6335,0.6459,0.5403,0.6211,0.6211,1513008
1982-04-01,0.6149,0.6894,0.5838,0.6025,0.6025,856094
1982-05-01,0.6025,0.6211,0.5403,0.6025,0.6025,1204661
