Date,Open,High,Low,Close,Adj Close,Volume
,KDP,KDP,KDP,KDP,,KDP
2008-05-01,2.7535,2.9338,2.688,2.7514,2.7514,138948800
2008-06-01,2.7284,2.8825,2.2531,2.2924,2.2924,68476700
2008-07-01,2.2728,2.4192,2.1165,2.2586,2.2586,39566000
2008-08-01,2.2717,2.7251,2.2389,2.7,2.7,47447500
2008-09-01,2.7404,2.9306,2.57,2.8934,2.8934,57015200
2008-10-01,2.8956,2.9174,2.0346,2.5022,2.5022,120348800
2008-11-01,2.464,2.6049,1.5582,1.7636,1.7636,47008200
2008-12-01,1.721,1.8991,1.4696,1.7756,1.7756,55237300
2009-01-01,1.7854,1.9264,1.6696,1.7974,1.7974,53991000
2009-02-01,1.7581,1.827,1.5297,1.5352,1.5352,31992100
2009-03-01,1.5002,1.9646,1.2926,1.8477,1.8477,41962400
2009-04-01,1.8412,2.2804,1.827,2.2629,2.2629,48280700
2009-05-01,2.2596,2.5405,2.1646,2.3744,2.3744,47686500
2009-06-01,2.4006,2.5656,2.2301,2.3154,2.3154,46145100
2009-07-01,2.3394,2.7328,2.3176,2.6891,2.6891,29805600
2009-08-01,2.7022,3.0497,2.5459,2.889,2.889,53193700
2009-09-01,2.8748,3.1633,2.83,3.1414,3.1414,40395100
2009-10-01,3.1272,3.349,2.9371,2.9786,2.9786,54206100
2009-11-01,2.9841,3.0824,2.794,2.8617,2.8617,43509900
2009-12-01,2.8825,3.2026,2.8726,3.0923,3.0923,34794000
2010-01-01,3.1343,3.2343,2.9651,3.0387,3.0387,26293000
2010-02-01,3.0585,3.5188,2.8981,3.488,3.488,43684800
2010-03-01,3.5045,4.0714,3.4221,3.8638,3.8638,65807600
2010-04-01,3.8874,3.9635,3.6061,3.6105,3.6105,43375700
2010-05-01,3.7406,4.2944,3.6083,4.1764,4.1764,78091300
2010-06-01,4.1466,4.247,3.9293,4.1245,4.1245,79792400
2010-07-01,4.1629,4.4683,4.0419,4.1696,4.1696,69935200
2010-08-01,4.2229,4.2529,3.9986,4.0885,4.0885,51252900
2010-09-01,4.1174,4.3051,3.731,3.9442,3.9442,63092100
