Date,Open,High,Low,Close,Adj Close,Volume
,KEY,KEY,KEY,KEY,,KEY
1987-11-01,1.5045,1.6059,1.3861,1.4115,1.4115,1724357
1987-12-01,1.403,1.5467,1.327,1.4369,1.4369,2166473
1988-01-01,1.4386,1.5756,1.3872,1.5328,1.5328,1844374
1988-02-01,1.5499,1.5499,1.4043,1.4728,1.4728,1190423
1988-03-01,1.4814,1.5413,1.4129,1.4728,1.4728,2741622
1988-04-01,1.4758,1.5279,1.3977,1.4758,1.4758,2034523
1988-05-01,1.4758,1.4932,1.4237,1.4671,1.4671,2505559
1988-06-01,1.4671,1.5453,1.4064,1.4671,1.4671,3835878
1988-07-01,1.4885,1.5238,1.4357,1.4621,1.4621,2433622
1988-08-01,1.4709,1.4973,1.4005,1.4885,1.4885,2838862
1988-09-01,1.4885,1.515,1.4621,1.4885,1.4885,2741258
1988-10-01,1.5187,1.5723,1.4919,1.5097,1.5097,3356894
1988-11-01,1.5097,1.5365,1.4293,1.4383,1.4383,2538821
1988-12-01,1.4383,1.4651,1.3936,1.4204,1.4204,2430369
1989-01-01,1.442,1.569,1.4239,1.569,1.569,4472120
1989-02-01,1.569,1.6416,1.569,1.6053,1.6053,4023857
1989-03-01,1.5962,1.7232,1.569,1.705,1.705,3108543
1989-04-01,1.7274,1.7918,1.6907,1.7091,1.7091,3691279
1989-05-01,1.7091,1.9112,1.6999,1.8745,1.8745,3730322
1989-06-01,1.8745,2.049,1.8469,1.9112,1.9112,2909719
1989-07-01,1.9347,2.1765,1.9254,2.1021,2.1021,3494261
1989-08-01,2.1021,2.1207,2.0184,2.1021,2.1021,4916766
1989-09-01,2.1114,2.1765,2.0835,2.13,2.13,3772979
1989-10-01,2.1633,2.2385,1.9564,2.0034,2.0034,2654859
1989-11-01,2.0316,2.0692,1.9376,2.0316,2.0316,1644829
1989-12-01,2.041,2.1351,1.8999,1.9846,1.9846,3601627
1990-01-01,2.0286,2.1048,1.781,1.9715,1.9715,3236154
1990-02-01,1.9619,2.0,1.9048,1.9524,1.9524,1686042
1990-03-01,1.9524,1.9715,1.8191,1.8286,1.8286,1897154
1990-04-01,1.8424,2.0257,1.7942,2.0064,2.0064,4285946
1990-05-01,2.0064,2.045,1.9003,2.0257,2.0257,3625487
1990-06-01,2.0354,2.2572,2.0354,2.1222,2.1222,3441485
1990-07-01,2.1387,2.1485,1.8946,1.9043,1.9043,1697246
1990-08-01,1.8946,1.9336,1.6407,1.6797,1.6797,4233532
1990-09-01,1.6797,1.7969,1.4942,1.5625,1.5625,3536918
1990-10-01,1.579,1.6882,1.3406,1.3704,1.3704,2914417
1990-11-01,1.3804,1.7676,1.3605,1.7577,1.7577,3113965
1990-12-01,1.7478,1.9166,1.6584,1.8471,1.8471,3269770
1991-01-01,1.9044,2.0455,1.6727,2.0254,2.0254,4570085
1991-02-01,2.0153,2.3176,1.9951,2.2974,2.2974,5385265
1991-03-01,2.2873,2.4989,2.1866,2.4687,2.4687,5814732
1991-04-01,2.4988,2.815,2.4886,2.713,2.713,7791048
1991-05-01,2.6926,2.866,2.4274,2.866,2.866,5101128
1991-06-01,2.8864,3.0393,2.713,2.764,2.764,7603433
1991-07-01,2.8026,3.1323,2.7923,3.122,3.122,5190421
1991-08-01,3.122,3.3796,3.0087,3.1735,3.1735,6238406
1991-09-01,3.1838,3.4517,3.0396,3.4002,3.4002,4274020
1991-10-01,3.4212,3.5044,3.3068,3.4524,3.4524,7702485
1991-11-01,3.4524,3.7019,3.13,3.1612,3.1612,5742432
1991-12-01,3.1612,3.7019,2.9844,3.7019,3.7019,5948849
1992-01-01,3.7134,3.7763,3.4196,3.6924,3.6924,7733573
1992-02-01,3.7029,4.2798,3.6924,4.091,4.091,5739540
1992-03-01,4.091,4.1015,3.6504,3.7658,3.7658,16070849
1992-04-01,3.8083,4.1098,3.692,3.9987,3.9987,8432833
1992-05-01,3.9829,4.3478,3.9829,4.205,4.205,8122905
1992-06-01,4.205,4.2209,3.7766,4.1098,4.1098,7926731
1992-07-01,4.1614,4.4495,4.1134,4.3855,4.3855,10832709
1992-08-01,4.3855,4.4495,3.8573,4.0654,4.0654,8092780
1992-09-01,4.0494,4.3215,3.9694,4.2575,4.2575,9009544
1992-10-01,4.2913,4.5333,4.2268,4.4203,4.4203,6768244
1992-11-01,4.4203,4.743,4.372,4.743,4.743,5522033
1992-12-01,4.7269,5.0495,4.6785,4.985,4.985,9541190
1993-01-01,5.0351,5.2463,4.824,5.2138,5.2138,9219455
1993-02-01,5.1813,5.4899,5.0026,5.4249,5.4249,10404693
1993-03-01,5.4574,5.9772,5.4249,5.8148,5.8148,10375050
1993-04-01,5.8887,5.9214,4.7437,5.0872,5.0872,11442198
1993-05-01,5.1199,5.2671,4.5147,5.169,5.169,9995234
1993-06-01,5.169,5.5616,4.6783,5.4634,5.4634,9378756
1993-07-01,5.506,5.5554,5.1103,5.1598,5.1598,5822801
1993-08-01,5.1433,5.3576,4.962,5.1268,5.1268,8140739
1993-09-01,5.1103,5.3411,4.929,4.9949,4.9949,11654519
1993-10-01,5.0528,5.2024,4.5043,4.5874,4.5874,30591817
1993-11-01,4.5874,4.7536,4.3547,4.6373,4.6373,18126815
1993-12-01,4.6539,4.8035,4.6206,4.7037,4.7037,10035481
1994-01-01,4.7283,5.0636,4.6612,4.963,4.963,16147000
1994-02-01,4.963,5.1139,4.6277,5.0971,5.0971,27847550
1994-03-01,5.2732,5.4288,4.853,4.9353,4.9353,39597872
1994-04-01,4.8941,5.4905,4.853,5.2026,5.2026,20394800
1994-05-01,5.2232,5.4082,4.853,5.3465,5.3465,17995200
1994-06-01,5.4014,5.6092,5.1937,5.2975,5.2975,16643800
1994-07-01,5.3183,5.4014,5.1729,5.4014,5.4014,10642400
1994-08-01,5.3806,5.5676,5.2768,5.4637,5.4637,11038800
1994-09-01,5.4957,5.5166,5.0552,5.1181,5.1181,12448600
1994-10-01,5.1391,5.1391,4.6147,4.8035,4.8035,18000800
1994-11-01,4.7615,4.8035,4.0483,4.0903,4.0903,23010600
1994-12-01,4.1643,4.3768,4.0156,4.2493,4.2493,21714200
1995-01-01,4.2493,4.7379,4.2068,4.7379,4.7379,19913800
1995-02-01,4.7379,4.9717,4.6742,4.9292,4.9292,13500200
1995-03-01,4.9939,5.08,4.7787,4.8648,4.8648,22554800
1995-04-01,4.8648,4.9939,4.4773,4.6065,4.6065,19841200
1995-05-01,4.6065,5.2738,4.6065,5.2523,5.2523,27755800
1995-06-01,5.3392,5.6007,5.1213,5.47,5.47,28734000
1995-07-01,5.5136,5.6225,5.2956,5.5789,5.5789,13282000
1995-08-01,5.5789,5.6007,5.3392,5.4046,5.4046,13396000
1995-09-01,5.4686,6.1963,5.4466,6.0419,6.0419,27780600
1995-10-01,6.0199,6.3948,5.8655,5.9537,5.9537,23947200
1995-11-01,5.9758,6.505,5.9317,6.505,6.505,18370800
1995-12-01,6.5714,6.6382,6.2818,6.46,6.46,14787200
1996-01-01,6.3932,6.5714,5.9477,6.5269,6.5269,18977400
1996-02-01,6.5269,6.7273,6.4155,6.7051,6.7051,17560400
1996-03-01,6.7273,6.9724,6.2373,6.8833,6.8833,18653800
1996-04-01,6.9055,7.0169,6.5714,6.8833,6.8833,13387800
1996-05-01,6.8387,7.1506,6.5491,6.9055,6.9055,17641000
1996-06-01,6.9276,7.2425,6.8377,6.9726,6.9726,16400200
1996-07-01,6.9951,7.0626,6.5228,6.9501,6.9501,14451800
1996-08-01,6.9276,7.3775,6.9276,7.22,7.22,17142200
1996-09-01,7.2424,8.0597,7.197,7.9916,7.9916,21826200
1996-10-01,7.9689,8.6046,7.9348,8.4684,8.4684,18866000
1996-11-01,8.4911,9.6035,8.264,9.5127,9.5127,18658200
1996-12-01,9.536,9.9248,8.9186,9.2387,9.2387,26627600
1997-01-01,9.2616,9.6961,9.0101,9.5818,9.5818,20582400
1997-02-01,9.5818,10.3135,9.4217,9.7876,9.7876,18715200
1997-03-01,9.8404,10.3243,8.9646,8.9877,8.9877,19968600
1997-04-01,8.8955,9.633,8.8264,9.6099,9.6099,20165200
1997-05-01,9.5869,10.1169,9.5408,10.0247,10.0247,16567600
1997-06-01,10.1273,10.8589,9.9879,10.3828,10.3828,14346400
1997-07-01,10.3596,11.6487,10.2666,11.5558,11.5558,20281000
1997-08-01,11.4861,11.6022,10.7312,11.2654,11.2654,20077800
1997-09-01,11.3212,12.2452,11.2043,11.906,11.906,17449400
1997-10-01,11.9761,12.6545,10.6663,11.4499,11.4499,19955400
1997-11-01,11.5668,12.865,11.1575,12.6194,12.6194,13447600
1997-12-01,12.8512,13.7809,12.7806,13.3337,13.3337,19295600
1998-01-01,13.216,13.3337,11.8862,12.2392,12.2392,26482200
1998-02-01,12.2863,13.2513,12.2863,13.1925,13.1925,17970400
1998-03-01,13.2847,14.8846,12.9884,14.3394,14.3394,19170200
1998-04-01,14.3157,17.0177,13.8891,15.0742,15.0742,21978300
1998-05-01,15.2401,15.3586,13.7706,14.3868,14.3868,13325800
1998-06-01,14.4521,14.8813,13.1404,13.5935,13.5935,20557600
1998-07-01,13.4981,15.0721,12.7111,12.9735,12.9735,25039400
1998-08-01,12.9496,13.1166,9.7301,9.7301,9.7301,21622200
1998-09-01,9.8591,12.6725,9.5224,11.1095,11.1095,25488400
1998-10-01,11.0133,12.3118,8.9934,11.6626,11.6626,26256600
1998-11-01,12.1195,13.1054,11.4221,11.8069,11.8069,15939400
1998-12-01,11.7956,12.5949,11.6261,12.4012,12.4012,17701900
1999-01-01,12.3043,13.1036,11.5534,12.3527,12.3527,20387200
1999-02-01,12.3527,12.6918,11.5534,12.4981,12.4981,17432100
1999-03-01,12.5028,13.3574,11.5992,11.8434,11.8434,20238100
1999-04-01,11.6237,12.576,11.3795,12.0876,12.0876,22650200
1999-05-01,12.112,14.8959,11.9411,13.5772,13.5772,36778800
1999-06-01,13.6772,13.8248,12.5456,12.644,12.644,19788100
1999-07-01,12.7424,13.1852,12.2996,12.398,12.398,18683700
1999-08-01,12.5456,12.644,11.2173,11.4141,11.4141,14744200
1999-09-01,11.512,12.1075,9.9986,10.2467,10.2467,18524200
1999-10-01,10.1722,11.4128,9.4031,11.0902,11.0902,23032500
1999-11-01,11.115,11.8097,9.9241,10.7181,10.7181,16253700
1999-12-01,10.3211,10.6436,8.3363,8.7829,8.7829,30040700
2000-01-01,8.6178,8.8683,7.9414,8.4173,8.4173,26024300
2000-02-01,8.3923,8.4424,6.6387,6.789,6.789,32479800
2000-03-01,6.9252,8.02,6.3396,7.74,7.74,41348800
2000-04-01,7.8418,8.1219,6.9252,7.5363,7.5363,27114200
2000-05-01,7.5617,8.6311,7.1798,8.5547,8.5547,26091000
2000-06-01,8.6445,9.496,7.2704,7.2769,7.2769,32163000
2000-07-01,7.4317,8.2058,7.2253,7.2511,7.2511,16720000
2000-08-01,7.3543,8.4897,7.3285,8.3413,8.3413,19237300
2000-09-01,8.4547,11.334,8.3762,10.6011,10.6011,35461100
2000-10-01,10.6535,11.1508,9.0044,10.3394,10.3394,28786500
2000-11-01,10.3132,10.6273,9.24,10.4441,10.4441,20598300
2000-12-01,10.5742,12.0848,10.4682,11.8728,11.8728,32886600
2001-01-01,11.6873,12.4028,11.1572,11.3046,11.3046,30680600
2001-02-01,11.3215,11.8431,10.4523,11.0247,11.0247,24189000
2001-03-01,11.2604,11.8309,9.7161,11.0674,11.0674,28578900
